"Export time:  1/28/2024, 5:45:17 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B06X6B39G3","Amazon Basics 6 3/4 Security Tinted Envelopes with Peel & Seal, 100-Pack, White","Amazon Basics","$7.39","14,455","499","$106,822","07/30/2017","$3.36","4.7","15,903","$4.03","205","6","AMZ","5","Office Products","Standard","3.63 x 0.1 x 6.5 in","0.12 oz","https://www.amazon.com/dp/B06X6B39G3"
"100 envelope","","B0791LT1RS","Kraft Mini Envelopes Brown Kraft Envelopes for Gift Cards and Business Cards (4'x2.75' 100 Pack)","Purple Q Crafts","$9.99","1,467","54","$14,655","02/20/2018","$5.42","4.8","3,752","$4.57","4,479","6","FBA","1","Office Products","Standard","2.36 x 0.5 x 4.72 in","6.7 oz","https://www.amazon.com/dp/B0791LT1RS"
"Average Monthly Sales: 2,927","","B09WKR1P8Q","Wanderings Handmade White Deckle Edge Envelope - 6x9' Package of 25 - for Announcements, Wedding Invitations, Greeting Cards, Crafts - Thick 130 GSM","WANDERINGS","$21.99","113","3","$2,485","12/09/2020","$15.10","3.9","126","$6.89","59,858","5","FBA","1","Office Products","Standard","6 x 0.01 x 9 in","13.6 oz","https://www.amazon.com/dp/B09WKR1P8Q"
"Average Revenue: $44,885","","B07FMDV5LR","Quality Park 6 3/4 Self-Seal Security Envelopes, Security Tint and Pattern, Redi-Strip Closure, 24-lb White Wove, 3-5/8 x 6-1/2, 100/Box (QUA10417) (Pack of 1)","Quality Park","$5.29","4,973","192","$26,307","07/12/2018","$-0.02","4.7","7,457","$5.31","922","7","AMZ","1","Office Products","Standard","3.75 x 2.44 x 6.63 in","12.3 oz","https://www.amazon.com/dp/B07FMDV5LR"
"Average Price: $14.33","","B0CCP574N6","MQQ 100 Envelope Challenge Binder, 2023 New Savings Challenges Binder, Savings Book with Cash Envelopes, Budget Binder Planner Book for Budgeting Planner & Saving Money, Purple","MQQ","$17.99","1,334","13","$23,999","07/23/2023","$10.77","3.7","326","$7.22","18,007","6","FBA","1","Office Products","Standard","7.4 x 1.81 x 9.45 in","13.4 oz","https://www.amazon.com/dp/B0CCP574N6"
"Average No. of Ratings: 1,781","","B0CHF61NVY","100 Envelopes Money Saving Challenge Budget Binder, Budget Planner Book Easy and Fun Way to Save $5,050(Pink)","Cutaswish","$9.99","1,460","41","$14,585","09/05/2023","$3.35","4.6","927","$6.64","5,990","7","FBA","1","Office Products","Standard","7.87 x 1.5 x 9.45 in","1.03 lb","https://www.amazon.com/dp/B0CHF61NVY"
"Average Sales Rank: 25,769","","B0CM2CB18R","100 Envelope Challenge Binder | Easy and Fun Way to Save $5,050 - Savings Challenges Binder, Budget Binder with Cash Envelopes for Budgeting Planner & Saving Money (Color : Purple)","TAYASH","$9.99","3,343","107","$33,397","10/28/2023","$5.66","4.3","44","$4.33","1,992","7","FBA","4","Office Products","Standard","1 x 0.1 x 2 in","1.76 oz","https://www.amazon.com/dp/B0CM2CB18R"
"Average Rating Number: 4.5","","B074M9FN2P","9 X 12 Self-Seal Brown Kraft Catalog Mailing Envelopes - 28lb - 100 Count, 9x12 Inch (38300)","Aimoh","$20.98","6,363","174","$133,496","09/26/2017","$11.40","4.7","3,139","$9.58","1,055","6","FBA","8","Office Products","Standard","9.49 x 2.6 x 12.91 in","3.84 lb","https://www.amazon.com/dp/B074M9FN2P"
"","","B0753K4CNG","NextDayLabels - W-2 Double Window Security Envelopes, Pack of 100 Envelopes","NextDayLabels","$28.02","1,823","82","$51,080","01/03/2017","$18.68","4.7","228","$9.34","2,741","4","FBA","2","Office Products","Standard","6.7 x 0.1 x 9 in","1.61 lb","https://www.amazon.com/dp/B0753K4CNG"
"","","B016V06OYS","10 Security Self-Seal Envelopes, Windowless Design, Premium Security Tint Pattern, Ultra Strong Quick-Seal Closure - EnveGuard - Size 4-1/8 x 9-1/2 Inches - White - 24 LB - 500 Count (34010)","Aimoh","$27.99","13,169","369","$368,600","10/18/2015","$16.55","4.8","8,618","$11.44","342","6","FBA","7","Office Products","Standard","10 x 4.25 x 11.5 in","6.85 lb","https://www.amazon.com/dp/B016V06OYS"
