"Export time:  1/29/2024, 5:29:04 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CC22KHG7","Thenshop 12 Pieces Cardboard Magazine File Holder 12 x 12 Paper Storage Organizer Scrapbook Paper Document File Box for Students Teacher Desk Office Organization (Pink)","Thenshop","$30.99","125","1","$3,874","07/16/2023","$15.50","","","$15.49","109,014","7","FBA","1","Office Products","Oversize","15.5 x 3 x 16.5 in","3.34 lb","https://www.amazon.com/dp/B0CC22KHG7"
"12x12 inch paper storage","","B0C6971ZH9","SONGWAY Scrapbook Paper Organizer 12x12-4 Tier File Organizer for Desk, Scrapbook Paper Storage, Paper Holder, 12x12 Stackable Paper Trays, Desktop Paper Storage Organizer Cube for Home Office","SONGWAY","$29.99","450","15","$13,496","05/24/2023","","4.1","22","","16,661","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6971ZH9"
"Average Monthly Sales: 293","","B0CL9NWC5P","Caydo 4 Pack Scrapbook Paper Storage with Wheels, Plastic Scrapbook Storage Bin for Holding 12' x 12' Papers, Scrapbook Papers, Vinyl Sheets, Cardstocks","Caydo","$33.99","118","8","$4,011","10/17/2023","","4.8","15","","19,921","7","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CL9NWC5P"
"Average Revenue: $8,177","","B0CDGP9L2D","Caydo Hanging Paper Storage Pocket, 12 x 12 Inch Paper Storage with 3 Pieces Hanging Hooks for Holding Scrapbook, Cardstock, Vinyl Sheets","Caydo","$13.99","112","4","$1,567","08/01/2023","","4.8","35","","38,691","7","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CDGP9L2D"
"Average Price: $29.70","","B0BNPKVBNR","Caydo Wood Paper Storage Organizer, Slope Design Paper Storage Shelf For Holding 12 x 12 Inch Scrapbook Paper, 8 Slot Stable Scrapbook Paper Rack For Portfolio, Heat Transfer Papers","Caydo","$49.99","142","5","$7,099","11/30/2022","","4.6","32","","28,919","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BNPKVBNR"
"Average No. of Ratings: 406","","B09P3HPZX7","iBune 4 Pack 12x12 Paper Storage, Scrapbook Storage Box for 12' x 12' Paper, Portable Slim Project Case Plastic Craft Paper Storage Box, Inner Size 12.2 x 12.2 x 0.85 in","iBune","$29.99","222","11","$6,658","12/22/2021","$18.46","4.7","292","$11.53","20,854","4","FBA","2","Office Products","Standard","13.032 x 13.15 x 4.843 in","3.841 lb","https://www.amazon.com/dp/B09P3HPZX7"
"Average Sales Rank: 85,458","","B001MUKPES","Storage Studios Easy Access Paper Holder with 3-Slots, 9.5 x 13.5 x 14.5 Inches, Black (CH92579)","Advantus","$27.68","136","6","$3,764","07/25/2017","$13.45","3.8","1,032","$14.23","35,673","6","AMZ","8","Office Products","Oversize","14.5 x 14.5 x 1.25 in","2.551 lb","https://www.amazon.com/dp/B001MUKPES"
"Average Rating Number: 4.5","","B0BWRG5JB4","Caydo 36PCS Scrapbook Paper Storage Organizer 12 x 12 Inch Clear Scrapbook Paper Organizer with 100PCS Sticky Index Tabs Holds Scrapbook Paper, Cardstock, Vinyl Paper","Caydo","$24.99","773","28","$19,317","02/23/2023","","4.7","55","","4,930","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BWRG5JB4"
"","","B08V21RXFY","IRIS USA Fits 12' x 12' Paper, 6 Pack Thick Portable Plastic Scrapbook Paper Storage Cases with Built-in Handle for Art and Craft Supplies Yarn File Paper Office Documents Toys, Rounded Corner, Clear","IRIS","$42.29","2,637","90","$111,519","02/23/2021","$14.85","4.7","7,517","$27.44","1,123","7","AMZ","8","Arts, Crafts & Sewing","Oversize","14.8 x 20.6 x 14.7 in","8.76 lb","https://www.amazon.com/dp/B08V21RXFY"
"","","B0BZVRWWSM","Caydo 5 Pack Scrapbook Paper Organizer, Pink Expanding Paper Folio, Portable Scrapbook Paper Storage with Button Closure for Holding 12 x 12 Inch Scrapbook, Vinyl Paper","Caydo","$26.99","63","1","$1,700","03/28/2023","","4.8","23","","135,475","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BZVRWWSM"
