"Export time:  2/5/2024, 2:45:50 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BCT46X9P","2.5 Gallon Glass Iced Beverage Dispenser with Stainless Steel Spigot Drink Dispenser on Wooden Stand - Chiseled Glass Style","kitchentoolz","$95.99","15","1","$1,440","08/31/2022","","4.1","35","","145,871","8","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BCT46X9P"
"2 gallon drink dispenser","","B08VL5S1LZ","Crutello 2 Pack Glass Beverage Dispenser with Stainless Steel Spigots, 2 Gallon Drink Dispenser Metal Black Stand, Lemonade, Tea, Water, Mason Jar Style - A Family-Owned American Brand","Crutello","$99.97","57","2","$5,698","08/09/2021","$68.05","4.3","242","$31.92","95,947","6","FBA","1","Kitchen & Dining","Oversize","16.8 x 17.8 x 9.8 in","13.9 lb","https://www.amazon.com/dp/B08VL5S1LZ"
"Average Monthly Sales: 398","","B08V9HCLDM","Style Setter Beverage Dispenser w/Stand (Set of 2), 1.5 Gallon Large Countertop Glass Drink Dispenser w/Spigot, Party Drink Dispenser for Sweet Tea Lemonade Punch Water, Juice Dispensers for Parties","Style Setter","$67.19","271","21","$18,208","01/27/2021","$41.33","4.3","693","$25.86","13,425","7","AMZ","6","Kitchen & Dining","Oversize","15.984 x 16.732 x 9.803 in","13.503 lb","https://www.amazon.com/dp/B08V9HCLDM"
"Average Revenue: $12,663","","B0CLPG6X3G","12L Stainless Steel Insulated Beverage Dispenser Hot Water Urn Dispenser Hot Drink Dispenser Insulated Thermal Hot and Cold Coffee Drink Dispenser with Spigot for Hot Water Tea Milk Juice, BLACK","VANLUMZ","$65.99","","","$0.00","01/03/2024","","","","","383,048","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CLPG6X3G"
"Average Price: $50.65","","B004W05JQ4","CreativeWare 2.5-Gallon Bark Beverage Dispenser, 2.5 Gallon, Clear","CreativeWare","$22.98","5,468","221","$125,655","04/09/2011","$6.03","4.5","8,672","$16.95","732","5","AMZ","10","Kitchen & Dining","Oversize","11.4 x 14.5 x 10.7 in","3.801 lb","https://www.amazon.com/dp/B004W05JQ4"
"Average No. of Ratings: 1,789","","B0CKQWBJJS","Accguan Drink Dispenser,2-Gallon Glass Beverage Dispenser with Black Lid and Stainless Steel Spigot,Mason Drink Dispenser for Parties,Wedding,Picnics,Barbecues and Daily,1 pack","Accguan","$25.99","416","14","$10,812","10/08/2023","","4.8","8","","19,470","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CKQWBJJS"
"Average Sales Rank: 90,069","","B0C9C2ZMDM","Lallisa 2 Pcs 2 Gallon Glass Drink Dispenser with Stand Ice Cylinder Hanging Chalkboard Signs 18/8 Stainless Steel Spigot Beverage Dispensers for Parties Mason Jar Drink Lemonade (Silver Spigot)","Lallisa","$85.99","179","8","$15,392","06/25/2023","","4.5","14","","33,670","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C9C2ZMDM"
"Average Rating Number: 4.2","","B0BLMXN97F","WantJoin Beverage Dispenser With Stand, Drink Dispenser for Party, Stainless Steel Water Jar Dispenser with Ice Container, Spigot, Drink Jar Jug For Home Parties, Clear Acrylic, 2-GALLONS 8-L","WantJoin","$99.99","128","5","$12,799","11/06/2022","","4.6","39","","54,051","6","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BLMXN97F"
"","","B097QFBYM4","Style Setter Glass Drink Dispenser for Parties - 2.4 Gallon Large Capacity Beverage Dispenser - Easy Assembling with Leakproof Spigot - Fruit Infuser for Best Taste - Galvanized Base Water Dispenser","Style Setter","$59.99","30","2","$1,800","06/21/2021","$44.26","4.1","109","$15.73","113,519","8","AMZ","3","Kitchen & Dining","Standard","5 x 3 x 10 in","5 lb","https://www.amazon.com/dp/B097QFBYM4"
"","","B09RWF82J7","IDEUS 68 oz Stainless Steel Thermal Coffee Carafe, Double Wall Insulated Vacuum Flask, Water Coffee and Beverage Dispenser, 12 Hour Heat 24 Hour Cold Retention, Coral Red","Ideus","$49.99","810","27","$40,492","05/10/2021","$36.06","4.5","444","$13.93","34,846","7","FBA","1","Home & Kitchen","Standard","6.85 x 11.89 x 6.181 in","2.771 lb","https://www.amazon.com/dp/B09RWF82J7"
