"Export time:  1/30/2024, 12:48:51 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08M3B6FXH","MUNBYN 4'x6' Direct Thermal Shipping Label Compatible with DYMO LabelWriter 4XL 1744907,1755120, Perforated Postage Paper for MUNBYN, DYMO, Rollo, JADENS, Permanent Adhesive, 220 Labels/Roll","MUNBYN","$13.98","14,824","524","$207,240","04/10/2019","$5.57","4.8","12,348","$8.41","64","7","FBA","16","Industrial & Scientific","Standard","2.36 x 0.5 x 4.72 in","4.63 lb","https://www.amazon.com/dp/B08M3B6FXH"
"4 x 6 thermal shipping labels","","B01M9AR01Q","Rollo Direct Thermal Shipping Labels - Pack of 500 4x6 Thermal Labels Fanfold - Perforated and Strong Adhesive (Commercial Grade)","Rollo","$19.99","8,990","330","$179,710","10/12/2016","$11.80","4.8","11,702","$8.19","156","7","FBA","1","Industrial & Scientific","Standard","4.61 x 3.31 x 6.59 in","2.76 lb","https://www.amazon.com/dp/B01M9AR01Q"
"Average Monthly Sales: 1,650","","B07Z4GK7LY","L LIKED 4000 Labels Fanfold 4' x 6' Direct Thermal Labels, with Perforated line for Thermal Printers - Compatible Zebra & Rollo Printer (4' x 6' - 4000 Labels)","L LIKED","$61.99","2,783","108","$172,518","12/14/2019","$37.29","4.5","999","$24.70","1,982","6","FBA","5","Office Products","Oversize","12.4 x 8.27 x 12.4 in","17.4 lb","https://www.amazon.com/dp/B07Z4GK7LY"
"Average Revenue: $44,455","","B0BHTYK7ZC","Thermal Shipping Labels 4x6, 500 Fan-Fold Perforated Labels Two Pack, Commercial Grade with Permanent Adhesive, Direct Thermal Printer Label Compatible with Zebra, Rollo, iDRPT, Polono, MUNBYN, Elton","Dasher Products","$29.99","2,617","104","$78,484","01/30/2023","$18.46","4.8","3,188","$11.53","2,061","6","FBA","2","Office Products","Standard","6.42 x 4.49 x 6.69 in","5.41 lb","https://www.amazon.com/dp/B0BHTYK7ZC"
"Average Price: $33.77","","B0BXR9D7ZN","MaxGear 4' x 6' Direct Thermal Labels, 500 Labels, Fanfold Shipping Package Labels, Perforated White Mailing Labels, Commercial Grade, Permanent Adhesive, Compatible with Most Thermal Printers","MaxGear","$9.99","2,246","144","$22,438","06/03/2023","$2.70","4.6","267","$7.29","1,367","6","FBA","2","Office Products","Standard","4.33 x 2.36 x 6.3 in","2.12 lb","https://www.amazon.com/dp/B0BXR9D7ZN"
"Average No. of Ratings: 1,343","","B082183BM6","9527 Product Fanfold 4 x 6 Direct Thermal Labels White Perforated Shipping Labels,500 Labels per Stack,1 Stack","9527 Product","$16.99","8,026","278","$136,362","11/25/2019","$10.67","4.7","3,695","$6.32","535","6","FBA","3","Office Products","Standard","4.37 x 2.91 x 6.42 in","8 oz","https://www.amazon.com/dp/B082183BM6"
"Average Sales Rank: 29,565","","B0111K65CY","MFLABEL 4x6 Direct Thermal Labels, Thermal Shipping Labels with Perforated, Commercial Grade, for Thermal Printer, 250 Labels/1 Roll, 20 Rolls","MFLABEL","$99.99","2,654","117","$265,373","11/10/2014","$66.55","4.5","1,800","$33.44","1,779","6","FBA","2","Office Products","Oversize","5 x 15 x 18 in","25.7 lb","https://www.amazon.com/dp/B0111K65CY"
"Average Rating Number: 4.5","","B01MAZEN5X","Dasher Products Thermal Shipping Labels Compatible with Dymo LabelWriter 4XL 1744907 4x6 Internet Postage Labels, Water Resistant, Strong Adhesive, Perforated, 220 Labels/Roll, NOT for 5XL (4 Pack)","Dasher Products","$32.99","2,450","104","$80,826","10/19/2016","$21.61","4.8","3,188","$11.38","2,061","6","AMZ","7","Office Products","Standard","6.93 x 4.8 x 7.05 in","3.11 lb","https://www.amazon.com/dp/B01MAZEN5X"
"","","B088WJZWGF","L LIKED 16 Rolls 4' x 6' Direct Blank Thermal Shipping Labels with 220 Labels/Roll - Compatible Zebra 2844 ZP-450 ZP-500 ZP-505 (16 Rolls - 3520 Labels)","L LIKED","$55.99","278","13","$15,565","01/12/2019","$36.66","4.5","177","$19.33","18,989","7","FBA","1","Office Products","Standard","12.67 x 5 x 12.67 in","18.87 lb","https://www.amazon.com/dp/B088WJZWGF"
"","","B07W7H7G4P","MUNBYN Thermal Direct Shipping Label (Pack of 500 4x6 Per Fanfold Labels) - Commercial Grade","MUNBYN","$21.98","14,639","524","$321,765","04/10/2019","$14.20","4.8","12,348","$7.78","64","6","FBA","7","Industrial & Scientific","Standard","3.54 x 2.36 x 5.51 in","1.76 lb","https://www.amazon.com/dp/B07W7H7G4P"
"","","B07MQQ5HPW","L LIKED 20 Rolls of 4' x 6' Direct Thermal Shipping Labels with 250 Labels/Roll - Compatible Zebra 2844 ZP-450 ZP-500 ZP-505","L LIKED","$80.99","1,561","72","$126,425","01/12/2019","$50.78","4.4","710","$30.21","3,223","6","FBA","2","Office Products","Oversize","12.67 x 5 x 17.7 in","24.7 lb","https://www.amazon.com/dp/B07MQQ5HPW"
"","","B097D96V2X","LabelRange 4x6 Thermal Labels, Commercial Grade Shipping Labels (Pack of 500 4x6 Fan-Fold Labels), LabelRange, Zebra, Rollo, Munbyn Compatible","LabelRange","$17.98","493","14","$8,864","06/16/2021","$9.49","4.8","583","$8.49","17,232","6","FBA","1","Office Products","Standard","4 x 2.7 x 6 in","2.38 lb","https://www.amazon.com/dp/B097D96V2X"
"","","B09XGPSGPT","JETZAP Pre-Cut 4x6 Shipping Labels for Inkjet and Laser Printers - Just Load & Print - USPS UPS FedEx Multi-Purpose Adhesive Sticker Matte Opaque Smudge-Free Jam-Free Home Printer Compatible 120 Pack","JETZAP","$9.85","1,320","53","$13,002","08/05/2022","$5.30","4.6","1,922","$4.55","4,534","6","FBA","1","Office Products","Standard","8 x 0.48 x 6 in","11.2 oz","https://www.amazon.com/dp/B09XGPSGPT"
"","","B01H1NJAXG","BETCKEY - Compatible DYMO 1744907 (4' x 6') Shipping Labels, Strong Permanent Adhesive & Perforated, Compatible with DYMO Labelwriter 4XL Rollo & Zebra Desktop Printers [10 Rolls/2200 Labels]","BETCKEY","$49.90","1,710","85","$85,329","06/13/2016","$33.29","4.7","1,950","$16.62","2,637","7","FBA","7","Office Products","Standard","2 x 1.5 x 2.5 in","12.42 lb","https://www.amazon.com/dp/B01H1NJAXG"
"","","B071RM4FWL","BETCKEY - 4' x 6' (102 mm x 152 mm) Shipping Labels Compatible with Zebra & Rollo Label Printer(not for dymo 4XL), Premium Adhesive & Perforated [10 Rolls, 2500 Labels]","BETCKEY","$49.90","132","5","$6,587","04/25/2017","$38.64","4.5","266","$11.25","47,337","7","FBA","1","Office Products","Standard","3.94 x 3.94 x 3.94 in","7.1 oz","https://www.amazon.com/dp/B071RM4FWL"
"","","B07BK24YZ4","FungLam 4'x 6' Direct Thermal Labels (4 Rolls, 4000 Labels) - 3'' Core, Perforations Between Labels - Zebra Compatible","FungLam","$75.99","220","12","$16,718","03/18/2018","$53.36","4.1","80","$22.63","20,440","5","FBA","2","Office Products","Standard","4.3 x 13.8 x 14.2 in","19.01 lb","https://www.amazon.com/dp/B07BK24YZ4"
"","","B0C52T3P8B","L LIKED 20 Rolls 4' x 6' Thermal Labels with 250 Labels/Roll - Compatible Zebra & Rollo Printer Blank Direct Thermal Shipping Labels","L LIKED","$69.99","317","6","$22,187","06/01/2023","$40.67","4.8","39","$29.32","38,951","6","FBA","2","Office Products","Oversize","9 x 8 x 18.5 in","26.6 lb","https://www.amazon.com/dp/B0C52T3P8B"
"","","B072HSLN5Z","FungLam Thermal Labels 4x6 Direct Thermal Shipping Labels, 20 Rolls with 250 Labels/Roll, 1'' Core, Compatible Zebra 2844 ZP-450 ZP-500 ZP-505 Thermal Printer Label","FungLam","$94.99","513","19","$48,730","05/07/2017","$63.44","4.6","330","$31.55","12,921","6","FBA","3","Office Products","Oversize","13 x 7 x 17 in","23 lb","https://www.amazon.com/dp/B072HSLN5Z"
"","","B07YDMJ9YY","SJPACK 4 x 6 Fanfold Labels, 4000 Thermal Shipping Labels for FedEx Shipping Label (4 Stack- 4000 Labels)","SJPACK","$62.27","205","9","$12,765","09/25/2019","$42.60","4.7","756","$19.67","25,365","6","FBA","5","Office Products","Standard","9.25 x 5.87 x 13.11 in","16.98 lb","https://www.amazon.com/dp/B07YDMJ9YY"
"","","B0C65DDRHD","iEager Thermal Label, 4' x 6' White Direct Thermal Shipping Labels, 220 Labels/Roll","iEager","$9.99","90","3","$899.10","05/23/2023","","4.4","49","","42,123","5","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B0C65DDRHD"
"","","B0BKGQJ292","Phomemo 4x6 Thermal Labels for Shipping Label Printer - 500PCS Purple Mailing Labels - 4x6 Direct Thermal Labels Fanfold Compatible with Rollo,MUNBYN,iDPRT,JADENS,POLONO - Water/Oilproof - NO BPA/BPS","Phomemo","$21.99","630","21","$13,854","","","4.7","439","","11,721","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0BKGQJ292"
"","","B0C2KRCK4B","ZEPHYR Premium Shipping Labels for Thermal Printers - 250 Rolls - 4x6 inches Thermal Printer Labels for All Courier/Transport Services Such as Amazon, DHL - FSC & BPA Free","ZEPHYR","$9.99","","","$0.00","07/23/2023","","4.2","26","","266,761","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C2KRCK4B"
"","","B08XQSSFZ9","JADENS 4x6 Thermal Labels - 350 Labels, Compatible with Rollo, Brother, Zebra and Most Thermal Printer, Perforated, Commercial Grade, Doesn't Compatible with Dymo","JADENS","$16.99","3,172","92","$53,892","03/05/2021","$9.30","4.7","1,470","$7.69","2,408","6","FBA","1","Office Products","Standard","3.86 x 3.82 x 5.16 in","1.61 lb","https://www.amazon.com/dp/B08XQSSFZ9"
"","","B0B65LDNYF","L LIKED 1000 Labels Fanfold 4' x 6' Direct Thermal Labels, with Perforated line for Thermal Printers - Compatible Zebra & Rollo Printer (4' x 6' - 1000 Labels)","L LIKED","$25.99","2,862","108","$74,383","01/12/2019","$15.36","4.5","999","$10.63","1,982","6","FBA","2","Office Products","Standard","4.05 x 0.01 x 6.14 in","4.84 lb","https://www.amazon.com/dp/B0B65LDNYF"
"","","B094N4K3YM","ESSENTIAL Fanfold 4' x 6' Direct Thermal Labels, Shipping Labels 425 Labels Per Stack, Rollo & Zebra Compatible (1 Stack- 425 Labels)","ESSENTIAL","$9.99","684","1","$6,833","05/10/2021","$3.38","4.3","107","$6.61","109,821","6","FBA","1","Office Products","Standard","4 x 3 x 6 in","2.42 lb","https://www.amazon.com/dp/B094N4K3YM"
"","","B08DMZ9P2D","AveneMark 8 Stacks 4000 Labels 4' x 6' Fanfold Direct Thermal Labels, Postage Shipping Labels Paper with Perforated, Strong Adhesive Label for Zebra, Rollo, MUNBYN Thermal Printer,500 Labels per Stack","AveneMark","$65.99","666","25","$43,949","07/25/2020","$45.46","4.5","282","$20.53","10,025","6","FBA","1","Office Products","Standard","9.06 x 5.59 x 13.03 in","17.82 lb","https://www.amazon.com/dp/B08DMZ9P2D"
"","","B0BQ2BWVQM","Muotich Thermal Labels 4x6 Roll - 500 Labels, Industrial Labels Direct Thermal Perforated Postage Shipping Label for Rollo, Zebra, MUNBYN and Polono Thermal Printer (NOT for DYMO)","Muotich","$9.99","503","24","$5,025","12/13/2022","$2.70","4.4","112","$7.29","10,207","7","FBA","2","Office Products","Standard","4.72 x 3.5 x 6.65 in","2.59 lb","https://www.amazon.com/dp/B0BQ2BWVQM"
"","","B0BNQFP3FQ","Thermal Labels 4x6, MakerKing Direct Thermal Printer Shipping Label (100 4x6 Fan-Fold Labels), White Mailing Fanfold Postage Labels Compatible with Rollo, MUNBYN, Polono, Zebra Thermal Label Printer","MakerKing","$7.99","886","28","$7,079","11/30/2022","$3.72","4.6","205","$4.27","8,832","7","FBA","1","Office Products","Standard","4.13 x 0.59 x 6.1 in","7.4 oz","https://www.amazon.com/dp/B0BNQFP3FQ"
"","","B06XWXWLYT","BETCKEY - 4' x 6' (102 mm x 152 mm) Shipping Labels Compatible with Zebra & Rollo Label Printer(not for dymo 4XL), Premium Adhesive & Perforated [12 Rolls, 3000 Labels]","BETCKEY","$56.99","380","16","$21,656","12/21/2016","$38.41","4.5","683","$18.58","15,482","7","FBA","4","Office Products","Standard","11.1 x 4.9 x 14.2 in","15.78 lb","https://www.amazon.com/dp/B06XWXWLYT"
"","","B08K2SVYS9","NATURALABEL 5000pcs 4x6 inch Direct Thermal Shipping Labels (Compatible with Rollo and Zebra Thermal Printer) Address Labels 250 Labels/Roll","NATURALABEL","$72.99","77","3","$5,620","09/24/2020","$43.60","4.1","39","$29.39","60,973","6","FBA","3","Office Products","Oversize","9 x 7.5 x 17.5 in","25.7 lb","https://www.amazon.com/dp/B08K2SVYS9"
"","","B0C53695MZ","L LIKED Directr Thermal Labels 4' x 6' Perforated Industrial Thermal Shipping Labels 4000 Labels with 3'Core,4 Rolls","L LIKED","$69.99","135","4","$9,449","05/11/2023","$43.71","4.4","32","$26.28","52,040","7","FBA","1","Office Products","Oversize","14.63 x 4.75 x 14.63 in","18.56 lb","https://www.amazon.com/dp/B0C53695MZ"
"","","B07VCXCGMS","L LIKED 20 Rolls Compatible with Dymo 1744907 Internet Postage Labels 4' x 6' Shipping Labels Compatible with Rollo, DYMO 4XL & Zebra Desktop Printers (220 Labels Per Roll)","L LIKED","$82.99","851","34","$70,624","07/29/2019","$52.48","4.6","557","$30.51","7,224","6","FBA","2","Office Products","Oversize","13 x 5 x 17.3 in","24.88 lb","https://www.amazon.com/dp/B07VCXCGMS"
"","","B0BSL9SL19","SANBOTT 4'x6' Direct Thermal Shipping Labels, 500 Shipping Labels/Roll - Thermal Shipping Label Printer Paper Postage Mailing Labels Compatible with Rollo, MUNBYN Label Printer","SANBOTT","$13.99","495","15","$6,925","01/17/2023","$7.35","4.7","129","$6.64","16,303","7","FBA","1","Office Products","Standard","3.78 x 3.62 x 4.57 in","1.01 lb","https://www.amazon.com/dp/B0BSL9SL19"
"","","B0C9LZ9XX3","MaxGear 4' x 6' Direct Thermal Labels, 4000 Labels/16 Rolls, Shipping Package Labels, Perforated White Mailing Labels, Commercial Grade, Permanent Adhesive, Compatible with Most Thermal Printers","MaxGear","$49.99","110","3","$5,499","09/15/2023","$31.56","4.7","19","$18.43","66,260","6","FBA","1","Office Products","Standard","13.78 x 5.51 x 13.78 in","18.7 lb","https://www.amazon.com/dp/B0C9LZ9XX3"
"","","B09WN2BT7N","REKDOM 4X6'' Direct Thermal Labels (Pack of 500 Labels), Commercial Grade Self-Adhesive Shipping Labels, Compatible with REKDOM, LabelRange, Zebra, Rollo, MUNBYN, etc.","REKDOM","$17.99","668","22","$12,017","03/27/2022","$9.50","4.4","402","$8.49","11,051","7","FBA","1","Office Products","Standard","4.72 x 11.02 x 4.72 in","2.55 lb","https://www.amazon.com/dp/B09WN2BT7N"
"","","B08FHXHLCC","OausTect 4x6 Shipping Label 1000 Fanfold Labels for Rollo, Zebra Direct Thermal Printer, with Perforations","OausTect","$23.99","945","36","$22,671","08/09/2020","$13.66","4.6","653","$10.33","6,771","6","FBA","1","Office Products","Standard","5.63 x 4.41 x 6.38 in","4.73 lb","https://www.amazon.com/dp/B08FHXHLCC"
"","","B07Y48SQZP","4x6 Thermal Labels, FungLam 1000 Labels Fanfold 4' x 6' Direct Thermal Shipping Labels, Thermal Printer Labels with Perforated line, Permanent Adhesive, Compatible Zebra, Rollo Thermal Label Printer","FungLam","$21.99","630","28","$13,854","09/19/2019","$11.96","4.7","1,067","$10.03","8,860","6","FBA","1","Office Products","Standard","5.51 x 4.29 x 6.42 in","4.69 lb","https://www.amazon.com/dp/B07Y48SQZP"
"","","B07DJD9B6B","Immuson Fanfold 4 x 6 Direct Thermal Shipping Labels with Perforations, 500 Labels, Permanent Adhesive, White Mailing Labels for Thermal Printer","Immuson","$16.99","2,666","88","$45,295","06/04/2018","$8.65","4.7","3,857","$8.34","2,525","7","FBA","1","Office Products","Standard","4.41 x 3.03 x 6.46 in","2.4 lb","https://www.amazon.com/dp/B07DJD9B6B"
"","","B0BNQDSBGW","4x6 Thermal Labels, MakerKing White Mailing Fanfold Postage Direct Thermal Printer Shipping Label (500 4x6 Fanfold Labels), Compatible with Rollo, MUNBYN, iDPRT, Polono, Zebra Thermal Label Printer","MakerKing","$9.99","166","6","$1,658","11/30/2022","$2.70","4.5","92","$7.29","38,985","7","FBA","1","Office Products","Standard","4.33 x 3.03 x 6.46 in","2.14 lb","https://www.amazon.com/dp/B0BNQDSBGW"
