"Export time:  1/30/2024, 12:46:04 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07K92HF9K","Amazon Basics Two Pocket Plastic Dividers, 5 Tab Set, Pack of 3, Letter Size, Assorted Color","Amazon Basics","$8.96","1,706","63","$15,286","03/23/2019","$4.03","4.8","2,870","$4.93","3,764","6","AMZ","3","Office Products","Standard","11.6 x 0.63 x 9.85 in","13.4 oz","https://www.amazon.com/dp/B07K92HF9K"
"5 page dividers","","B0C2CBTT1K","Rosmonde 5 Subject Spiral Notebook, 6 Pack, Wide Ruled, Water Resistant Cover, Thick 300 Pages/Book (150 Sheets), 8 x 10-1/2, 3 Hole Punched, Colored Dividers, Assorted Colors, Bulk School & Office","Rosmonde","$28.99","1,605","24","$46,529","04/12/2023","$17.16","4.5","171","$11.83","10,283","7","FBA","1","Office Products","Standard","9.25 x 2.99 x 10.91 in","6.52 lb","https://www.amazon.com/dp/B0C2CBTT1K"
"Average Monthly Sales: 1,088","","B0CM54D5S3","Darice 5-Tab Plastic Dividers 15 Pcs - Binder Dividers with Pockets and Tabs - Multicolored Plastic Divider for 3 Ring Binder - File Organization  Ideal for School, Office","Darice","$9.99","210","7","$2,098","10/29/2023","$5.42","5","11","$4.57","33,211","7","FBA","2","Office Products","Standard","10.2 x 0.67 x 11.46 in","11.6 oz","https://www.amazon.com/dp/B0CM54D5S3"
"Average Revenue: $10,218","","B07QL9R6HS","Blue Summit Supplies 5-Tab Binder Dividers, Manila Paper with Insertable Colored Plastic Tabs, Reinforced 3 Ring Dividers with Perforated Paper Tab Inserts, 6 Sets","Blue Summit Supplies","$8.75","168","8","$1,470","04/11/2019","$3.67","4.7","136","$5.08","27,669","6","FBA","3","Office Products","Standard","9.41 x 1.06 x 11.26 in","10.8 oz","https://www.amazon.com/dp/B07QL9R6HS"
"Average Price: $13.69","","B01HC4KJ5M","Avery Big Tab Write & Erase Durable Plastic Dividers for 3 Ring Binders, 5-Tab Set, Bright Multicolor, 1 Set (16129)","AVERY","$5.59","5,237","151","$29,275","02/28/2015","$1.83","4.8","18,341","$3.76","1,285","6","AMZ","17","Office Products","Standard","9.5 x 0.08 x 12 in","3.2 oz","https://www.amazon.com/dp/B01HC4KJ5M"
"Average No. of Ratings: 1,148","","B07ZL2SVZW","Ensight 3 Ring Page Dividers Bulk, 1/5 Cut Tab Dividers, 100 Per Box - Divider Pages with Tabs, Decorative Printable Rewritable Divider Tabs, Exhibit Tab Dividers for 3 Ring Binders Bulk","ensight","$22.99","1,410","47","$32,416","10/24/2019","$14.67","4.8","470","$8.32","5,199","6","FBA","1","Office Products","Standard","9.2 x 1.2 x 11.2 in","2.798 lb","https://www.amazon.com/dp/B07ZL2SVZW"
"Average Sales Rank: 36,189","","B08BYH8FGF","5-Tab Binder Dividers, HERKKA 3 Ring Binder Dividers with Reinforced Edge, 3 Hole Punch Section Index Dividers for Binders, 1/5-Cut Tabs, Letter Size, White, 120 Dividers","HERKKA","$20.99","450","15","$9,446","06/27/2020","$11.41","4.7","238","$9.58","15,860","7","FBA","9","Office Products","Standard","9 x 0.01 x 11 in","3.12 lb","https://www.amazon.com/dp/B08BYH8FGF"
"Average Rating Number: 4.6","","B07J5CGR9R","Blue Summit Supplies 3 Ring Binder Dividers with Reinforced Edge, 1/5 Cut Tabs, Letter Size, 3 Hole Punch Section Index Dividers for Binders, White, 100 Page Divider Pack","Blue Summit Supplies","$23.99","1,340","53","$32,147","10/07/2018","$14.60","4.7","849","$9.39","4,544","6","FBA","9","Office Products","Standard","9.29 x 1.46 x 11.26 in","2.68 lb","https://www.amazon.com/dp/B07J5CGR9R"
"","","B07J5C8FJD","Blue Summit Supplies 3 Ring Binder Dividers with Reinforced Edge, 1/8 Cut Tabs, Letter Size, 3 Hole Punch Section Index Dividers for Binders, White, 96 Pack","Blue Summit Supplies","$23.99","1,638","66","$39,296","10/07/2018","$16.85","4.7","922","$7.14","3,557","6","FBA","10","Office Products","Standard","10.31 x 1.22 x 11.26 in","0.32 oz","https://www.amazon.com/dp/B07J5C8FJD"
"","","B08FMJRLBR","WOT I 5-Tab Plastic Dividers w/Front Pockets - 3 Sets, Multicolor Dividers with Pockets for Binders, 15PCS Tab Dviders Assorted Colors","WOT I","$11.99","975","32","$11,690","08/10/2020","$5.67","4.7","1,912","$6.32","7,771","6","FBA","1","Office Products","Standard","9.72 x 0.94 x 11.34 in","14.4 oz","https://www.amazon.com/dp/B08FMJRLBR"
"","","B01FIYTLTI","Avery Dividers for 3 Ring Binders, 5-Tab Binder Dividers, Plastic Binder Dividers, Insertable Big Tabs, Multicolor, 3 Sets (71900)","AVERY","$5.45","260","5","$1,417","06/16/2016","$1.71","4.7","876","$3.74","42,781","7","FBA","13","Office Products","Standard","9 x 0.09 x 11 in","3.2 oz","https://www.amazon.com/dp/B01FIYTLTI"
"","","B002EKLSO6","Avery 23075 Write & Erase Big Tab Paper Dividers, 5-Tab, White, Letter","AVERY","$1.99","2,080","67","$4,139","07/06/2004","$-1.23","4.7","2,781","$3.22","3,488","6","AMZ","6","Office Products","Standard","9.25 x 0.06 x 11 in","1.44 oz","https://www.amazon.com/dp/B002EKLSO6"
"","","B09GHZWDCS","Avery Big Tab Insertable Dividers for 3 Ring Binders, 5-Tab Sets, Buff Paper, Clear Tabs, 6 Binder Divider Sets (26177)","AVERY","$12.28","240","10","$2,947","09/15/2021","$7.26","4.7","257","$5.02","24,538","7","AMZ","4","Office Products","Standard","9 x 0.34 x 11 in","10.7 oz","https://www.amazon.com/dp/B09GHZWDCS"
"","","B0006HV826","Avery Copier Tab Binder Dividers, 5 White Tabs, Unpunched, 30 Sets/150 Sheets (20405), 9 x 11 inches","AVERY","$21.28","210","7","$4,469","04/17/2006","$11.93","4.5","274","$9.35","32,945","6","AMZ","51","Office Products","Standard","9.21 x 11.42 x 1.38 in","3.091 lb","https://www.amazon.com/dp/B0006HV826"
"","","B07SRX4Q9J","3 Ring Binder Dividers with Tabs - (20 Sets) x 5 Tab Dividers for 3 Ring Binders - White - Binder Dividers with Tabs - Dividers for 3 Ring Binder - Tab Dividers - Binder Tabs // Paper Plan","Paper Plan","$25.55","500","15","$12,775","06/09/2019","$15.98","4.7","429","$9.57","16,692","6","FBA","5","Office Products","Standard","9.33 x 1.26 x 11.34 in","2.64 lb","https://www.amazon.com/dp/B07SRX4Q9J"
"","","B07XSNFBGS","Avery 5 Tab Dividers for 3 Ring Binders, Customizable Table of Contents, Classic White Tabs, 6 Sets (11821)","AVERY","$11.39","215","4","$2,449","09/10/2019","$6.61","4.6","64","$4.78","48,115","6","AMZ","15","Office Products","Standard","8.92 x 0.59 x 11.01 in","9.8 oz","https://www.amazon.com/dp/B07XSNFBGS"
"","","B09VZPSXSF","8-Tab Clear Binder Dividers, 3 Ring Binders Dividers with Tabs,Transparent Plastic 3 Holes Binder Index Dividers, Insertable Organizer Page Tabs","etspolt","$10.99","121","6","$1,330","03/18/2022","$6.27","4.5","40","$4.72","37,598","7","FBA","3","Office Products","Standard","8.5 x 0.01 x 11 in","6.7 oz","https://www.amazon.com/dp/B09VZPSXSF"
"","","B08W9TXWX1","Oxford Plastic 2 Pocket Binder Dividers, 5 Tab 1/5 Cut, Multicolor Large Tab Set, Insertable Dividers with Paper Inserts, Letter Size, 3 Sets (89602)","Oxford","$8.60","160","4","$1,376","02/08/2021","$2.18","4.6","165","$6.42","50,423","7","AMZ","1","Office Products","Standard","1 x 11 x 9 in","1.06 lb","https://www.amazon.com/dp/B08W9TXWX1"
"","","B017ETNV1E","Avery Clear Easy View Durable Plastic Dividers for 3 Ring Binders, 5-Tab Set, Bright Multicolor, 1 Set (16740)","AVERY","$7.19","69","3","$496.11","05/17/2016","$3.19","4.6","130","$4.00","64,540","6","FBA","18","Office Products","Standard","9.53 x 0.07 x 12.48 in","0.32 oz","https://www.amazon.com/dp/B017ETNV1E"
"","","B08VHTCMC1","1InTheOffice Dividers for 3 Ring Binder, Paper Dividers with Tabs, 5-Tab, White, 4 Sets/Pack","1InTheOffice","$8.19","60","2","$491.40","01/31/2021","$3.62","4.7","7","$4.57","92,108","6","FBA","1","Office Products","Standard","9.17 x 13.03 x 0.51 in","0.441 lb","https://www.amazon.com/dp/B08VHTCMC1"
"","","B0BFNMN7NB","HABGP Binder Dividers with Tabs, 8 Tab Sheet Protectors for 3 Ring Binder, Clear Dividers for 3 Ring Binder Page Protectors, Notebook Binder Sleeves with Pockets, 2 Set (16 Pcs)","habgp","$6.49","278","10","$1,804","09/17/2022","$2.60","4.3","90","$3.89","23,723","6","FBA","1","Office Products","Standard","8.5 x 0.2 x 11 in","5.6 oz","https://www.amazon.com/dp/B0BFNMN7NB"
"","","B08VC4BMCL","Oxford Write n Erase Plastic Binder Dividers, 8 Tab, Write On Tabs, Erase Ballpoint Pen, Non Permanent Marker, Pencil, Asstd. Colors, 3 Sets (89992)","Oxford","$7.07","120","4","$848.40","01/27/2021","$2.63","4.8","117","$4.45","54,853","6","AMZ","1","Office Products","Standard","9.252 x 11.102 x 0.315 in","0.926 lb","https://www.amazon.com/dp/B08VC4BMCL"
"","","B0CDWYHLK7","Honoson 12 Sets 8 Tab Binder Dividers for 3 Ring Binders 8.5 x 11 Inch Paper Multicolor Dividers with Plastic Film 3 Hole Punched Page Dividers Sturdy Binder Index Dividers for School (Dark Color)","Honoson","$31.99","458","12","$14,651","05/10/2023","$20.76","4.9","10","$11.23","20,272","7","FBA","1","Office Products","Standard","8.5 x 0.01 x 11 in","3.61 lb","https://www.amazon.com/dp/B0CDWYHLK7"
"","","B071DMRT82","JAM PAPER Plastic Index 5-Tab Dividers - 9 3/4 x 11 1/2 - Assorted Multi-Color - 5 Tabbed Dividers/Pack","JAM Paper","$5.99","621","28","$3,720","04/23/2017","$2.17","4.4","1,088","$3.82","8,936","6","FBA","2","Office Products","Standard","0.1 x 9.75 x 11.5 in","2.57 oz","https://www.amazon.com/dp/B071DMRT82"
"","","B0CM5QDTV3","Thenshop 200 Pieces 3 Ring Binder Dividers with Tabs 40 Sets 5 Tab Dividers for 3 Ring Binders Letter Size Page Dividers for 3 Ring Binder with Tabs (Mix Color)","Thenshop","$34.99","162","5","$5,668","10/30/2023","$22.71","3","2","$12.28","42,951","7","FBA","1","Office Products","Standard","9.8 x 2.13 x 11.69 in","5.19 lb","https://www.amazon.com/dp/B0CM5QDTV3"
"","","B017JCDU26","Avery 5 Tab Dividers for 3 Ring Binders, Customizable Table of Contents, Multicolor Tabs, 1 Set (11840)","AVERY","$4.99","196","10","$978.04","10/31/2015","$1.29","4.7","720","$3.70","23,907","6","FBA","1","Office Products","Standard","9 x 0.06 x 11 in","1.98 oz","https://www.amazon.com/dp/B017JCDU26"
