"Export time:  1/30/2024, 12:44:02 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07NVWL4KR","Mintra Office Durable Spiral Notebooks, 5 Subject, (Red, College Ruled 1pk), 200 Sheets,Poly Pockets, Moisture Resistant Cover, School, Office, Business, Professional","Mintra Office","$7.49","2,450","54","$18,351","03/28/2019","$1.23","4.7","3,403","$6.26","4,483","6","FBA","1","Office Products","Standard","9.84 x 0.98 x 11.06 in","1.98 lb","https://www.amazon.com/dp/B07NVWL4KR"
"5 subject notebook red","","B0CKGTDKS9","Yoment Spiral Notebook with Tabs 8'x10' Hardcover Spiral Notebook with Divider 5 Subject Notebook College Ruled Large Spiral Notebooks for Work Professional Organizer Notebooks for Note Taking","Yoment","$16.99","38","1","$645.62","10/04/2023","$9.60","4.6","13","$7.39","131,799","7","FBA","1","Office Products","Standard","8.03 x 1.02 x 10.28 in","1.15 lb","https://www.amazon.com/dp/B0CKGTDKS9"
"Average Monthly Sales: 2,807","","B003O2RXV0","Five Star Spiral Notebook, 5 Subject, Wide Ruled Paper, Fights Ink Bleed, Water Resistant Cover, 8' x 10-1/2', 200 Sheets, Red (72041)","Five Star","$6.98","6,862","92","$47,897","06/13/2010","$2.39","4.8","8,531","$4.59","2,394","7","AMZ","8","Office Products","Standard","1.13 x 9.5 x 10.5 in","5.9 oz","https://www.amazon.com/dp/B003O2RXV0"
"Average Revenue: $34,490","","B07Q5FHS8N","Mintra Office Durable Spiral Notebooks, 5 Subject, (Red, Wide Ruled 1pk) 200 Sheets, Poly Pockets, Moisture Resistant Cover, School, Office, Business, Professional","Mintra Office","$6.99","2,495","54","$17,440","03/28/2019","$0.80","4.7","3,403","$6.19","4,483","6","FBA","1","Office Products","Standard","9.37 x 0.94 x 10.63 in","1.76 lb","https://www.amazon.com/dp/B07Q5FHS8N"
"Average Price: $18.77","","B096RXX5JF","MOWEE Spiral Notebook - 5 Subject Notebook, College Ruled Notebook 3-Hole Punched With Dividers, Storage Pockets, 11' Ruler, 200 Pages, for Writing Journal, Home &Office, School SuppliesRed","MOWEE","$11.99","629","10","$7,542","06/06/2021","$5.05","4.6","998","$6.94","23,255","7","FBA","2","Office Products","Standard","9.5 x 0.6 x 12 in","1.9 lb","https://www.amazon.com/dp/B096RXX5JF"
"Average No. of Ratings: 1,985","","B0BQBP5BJ4","Dunwell 3-Subject Notebook College Ruled 8.5 x 11, 150 Sheets (300 Pages), Spiral Notebook 8.5x11 with Tabs, Movable Dividers, Pockets, Front/Back Plastic Covers, Multi Subject Notebook","Dunwell","$13.95","2,997","77","$41,808","12/15/2022","$6.72","4.7","474","$7.23","2,975","6","FBA","1","Office Products","Standard","8.5 x 0.98 x 11 in","1.68 lb","https://www.amazon.com/dp/B0BQBP5BJ4"
"Average Sales Rank: 104,380","","B0BKFKRXJZ","YIKANGHENG 5 Subject Notebook, 1 Pcs Pink 10 Inch x 7 Inch B5 Spiral Notebook With Waterproof Plastic Softcover, 300 Pages 80 Gsm College Ruled Papers With 5 Sheets Colorful Movable Dividers (Pink)","YIKANGHENG","$10.99","625","15","$6,869","10/24/2022","$4.20","4.7","161","$6.79","16,573","6","FBA","1","Office Products","Standard","8.7 x 2.09 x 11.02 in","1.37 lb","https://www.amazon.com/dp/B0BKFKRXJZ"
"Average Rating Number: 4.7","","B09GP3H4SM","Pukka Pad B5 Subject Notebook with 10 Repositionable Dividers for Organization  400 Perforated Pages of 80GSM Paper  200 Sheet Notebook for School, Office, and Home  White, 7.48 x 9.84in","Pukka Pad","$21.99","698","21","$15,349","09/19/2021","$13.55","4.7","661","$8.44","12,004","6","FBA","1","Office Products","Standard","8.07 x 1.18 x 9.84 in","1.94 lb","https://www.amazon.com/dp/B09GP3H4SM"
"","","B09CYMND3C","Pukka Pad 5 Subject Spiral Notebook 3-Pack - 200 Pages, 100 Sheets of 80GSM Paper with Repositionable Dividers & Perforated Edges for School & Office Planning & Organization - B5-7 X 10, Bloom","Pukka Pad","$29.99","395","14","$11,846","08/17/2021","$21.95","4.8","2,266","$8.04","17,459","6","FBA","1","Office Products","Standard","0.98 x 9.84 x 8.07 in","3.53 oz","https://www.amazon.com/dp/B09CYMND3C"
"","","B00X7X2KOG","Five Star Spiral Notebook + Study App, 5 Subject, College Ruled Paper, Advance Notebook with Spiral Guard, Movable Tabbed Dividers and Expanding Pockets, 8-1/2' x 11', 200 Sheets, Red (73146)","Five Star","$13.84","7,447","160","$103,066","05/04/2015","$5.97","4.8","12,967","$7.87","1,187","7","AMZ","2","Office Products","Standard","1.38 x 10.19 x 11 in","2.2 lb","https://www.amazon.com/dp/B00X7X2KOG"
