"Export time:  2/11/2024, 3:05:59 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BCTNZ2N2","StarJungle Central Air Conditioner Cover for Outside Units - 36' x 36' Durable AC Cover for Outside Unit, Leaf Guard Mesh Air Conditioner Cover","StarJungle","$19.99","61","2","$1,219","09/01/2022","$12.47","4.9","31","$7.52","336,304","7","FBA","1","Home & Kitchen","Standard","7.6 x 1.65 x 11.1 in","14.9 oz","https://www.amazon.com/dp/B0BCTNZ2N2"
"Air Conditioner Cover For Outside Units - AC Cover For Outside Unit - Central AC Unit Covers Outdoor - Winter AC Condenser Cover - Dual Shoelace Drawstring For Snug Fit.","","B0CCJRQKTD","Westblue Air Conditioner Cover for Outside Units-Durable 600D AC Cover for Outside Unit Waterproof & Resistant AC Unit Covers Outdoor Central Square Fits up to 30 x 30 x 32 inches","Westblue","$27.97","315","7","$8,811","07/20/2023","$17.34","4.7","469","$10.63","121,402","7","FBA","2","Home & Kitchen","Standard","11.93 x 3.66 x 12.09 in","2.88 lb","https://www.amazon.com/dp/B0CCJRQKTD"
"Average Monthly Sales: 264","","B0CG18VD9D","Air Conditioner Cover For Outside Units - AC Cover For Outside Unit - Central AC Unit Covers Outdoor - Winter AC Condenser Cover - Dual Shoelace Drawstring For Snug Fit.","AC COAT","$32.99","599","14","$19,761","08/28/2023","$21.61","4.8","71","$11.38","67,039","7","FBA","1","Home & Kitchen","Standard","8.62 x 3.74 x 12.76 in","3.72 lb","https://www.amazon.com/dp/B0CG18VD9D"
"Average Revenue: $6,311","","B0CLGMYLN9","Zettum Air Conditioner Cover for Outside Units 30 Inch - 600D Air Conditioning AC Covers Waterproof, Outdoor Winter Cover for Central AC Condenser, Swamp Cooler, Pool Heater, Heat Pump, HVAC and More","Zettum","$26.99","561","7","$15,141","11/30/2023","$-58.48","4.7","64","$85.47","125,672","7","FBA","1","Home & Kitchen","Oversize","30 x 36 x 30 in","1.7 lb","https://www.amazon.com/dp/B0CLGMYLN9"
"Average Price: $22.90","","B0CLT16JJ5","Winter Air Conditioner Covers for Outside Units 36x36 Inch Waterproof Central AC Cover for Outdoor Unit Sturdy Covers AC Defender Heavy Duty Top AC Unit Covers Outdoor Winter Condenser Heat Pump Cover","MQLD","$18.99","","","$0.00","12/18/2023","","5","2","","1,493,833","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CLT16JJ5"
"Average No. of Ratings: 652","","B0CLGNMVGJ","Zettum Air Conditioner Cover for Outside Units 36 Inch - 600D Air Conditioning AC Covers Waterproof, Outdoor Winter Cover for Central AC Condenser, Swamp Cooler, Pool Heater, Heat Pump, HVAC and More","Zettum","$27.99","568","7","$15,898","11/30/2023","$-58.42","4.7","64","$86.41","125,672","7","FBA","1","Home & Kitchen","Oversize","36 x 39 x 36 in","2.12 lb","https://www.amazon.com/dp/B0CLGNMVGJ"
"Average Sales Rank: 388,654","","B0BQ2XDL8B","Air Conditioner Covers for Outside Units Central Ac Cover Leaf Guard Heavy Duty Mesh AC Defender for Outdoor Square Units, All Season Black ","yhslmh","$19.99","50","2","$999","01/02/2023","$13.22","4.7","427","$6.77","350,715","6","FBA","1","Home & Kitchen","Standard","7.8 x 1.46 x 9.49 in","9.6 oz","https://www.amazon.com/dp/B0BQ2XDL8B"
"Average Rating Number: 4.6","","B0978YX13S","Sunnyglade 24x24x30 Central Air Conditioner Covers for Outside Units (24x24x30)","Sunnyglade","$18.99","30","1","$569.70","10/26/2018","$11.62","4.6","964","$7.37","666,550","6","FBA","1","Home & Kitchen","Standard","9.21 x 2.09 x 12.68 in","15.2 oz","https://www.amazon.com/dp/B0978YX13S"
"","","B0CG17KHR3","Air Conditioner Cover for Outside Units - AC Cover for Outside Unit - Central AC Unit Covers Outdoor - Winter AC Condenser Cover - Dual Shoelace Drawstring for Snug Fit.","AC COAT","$23.99","620","15","$14,874","08/28/2023","$14.60","4.8","71","$9.39","60,824","7","FBA","1","Home & Kitchen","Standard","9.92 x 2.56 x 12.56 in","2.33 lb","https://www.amazon.com/dp/B0CG17KHR3"
"","","B0CG3HZZ97","Central Air Conditioner Cover for Outside Units, 2-in-1 Waterproof Full AC Cover with Ventilated Mesh and Detachable Top Design, Seasons AC Unit Protection cover(24'L*24'W*28'H)","","$24.99","120","4","$2,999","","","4.6","278","","187,318","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CG3HZZ97"
