"Export time:  1/28/2024, 5:43:37 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CBB19T1Z","Sasylvia Wooden and Bamboo Book Press Portable Binding Press Book Press Bookbinding for Bookbinding Supplies (11.6 x 7.9 Inch)","Sasylvia","$38.99","372","10","$14,504","07/06/2023","$26.71","3.6","21","$12.28","23,160","6","FBA","2","Office Products","Standard","7.99 x 2.44 x 12.36 in","3.8 lb","https://www.amazon.com/dp/B0CBB19T1Z"
"Bamboo Book Press","","B0BZBW3DCH","Wooqu Book Press, 7.9x11.6, Bamboo Wood, Portable, Pre-Assembled, for Bookbinding","Wooqu","$42.99","102","6","$4,385","03/22/2023","","4.9","11","","27,550","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BZBW3DCH"
"Average Monthly Sales: 1,236","","B0CPV9XMW1","whciaxd Book Press,Bamboo Wood Bookbinding Press,Book Binding Press Finishing Press for Handmade Bookbinding Tool Flower Press 12.5 * 7.8Inch","whciaxd","$42.86","","","$0.00","12/08/2023","$32.66","","","$10.20","235,086","7","FBA","1","Office Products","Standard","7 x 2 x 7 in","9.6 oz","https://www.amazon.com/dp/B0CPV9XMW1"
"Average Revenue: $33,171","","B0CQ71MZV7","FEATCH Wooden and Bamboo Book Press - Portable Binding Press for Bookbinding Supplies (11.6 x 7.9 Inch)","FEATCH","$29.99","120","4","$3,599","12/29/2023","","","","","53,081","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CQ71MZV7"
"Average Price: $39.58","","B0CCSM8P1X","SCITROFACTORY Book Press, Book Press Machine, Book Binding Press, Portable Book Press Bookbinding for Handmade Bookbinding, Manual Paper Press, Bamboo Flower Press 13 * 7.7 inch","SCITROFACTORY","$42.99","162","5","$6,964","08/30/2023","","4.5","18","","43,303","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CCSM8P1X"
"Average No. of Ratings: 449","","B0CNRN1283","11.6x7.9 Inch Wooden Bamboo Book Press, Stable Book Binding Tool Convenient Bookbinding Supplies for DIY Book","NQEUEPN","$41.99","","","$0.00","11/20/2023","","3.5","2","","353,604","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNRN1283"
"Average Sales Rank: 218,193","","0881929360","Timber Press Pocket Guide to Bamboos","Ted Jordan Meredith","$38.26","","","","10/31/2009","$28.69","4.5","35","$9.57","588,647","3","FBA","1","Books","Standard","8.3 x 0.6 x 5.9 in","0.9 lb","https://www.amazon.com/dp/0881929360"
"Average Rating Number: 4.5","","B0CM934ZT5","Wenqik 11.61 x 7.68 Inch Book Press Bamboo Wood Bookbinding Press Portable Book Press Bookbinding for Bookbinding Supplies","Wenqik","$39.99","86","3","$3,439","10/30/2023","$27.56","5","2","$12.43","70,430","7","FBA","1","Office Products","Standard","10.28 x 1.5 x 13.27 in","3.74 lb","https://www.amazon.com/dp/B0CM934ZT5"
"","","B0CP43FBTB","FOWSRHRG Book Binding Kits,Wooden Book Press 11.6 * 8in Bamboo Binding Machine Square Bookbinding Supplies Fits in Printing Industry, Home, Office,Paper Crafts,Notebooks,Presses Flowers with Screw","","$45.99","","","","","","","","","","","FBA","","","","","","https://www.amazon.com/dp/B0CP43FBTB"
"","","B07VR4V49S","E-Found Bookbinding Press Screw Papermaking Book Notes Invoice Flattening Machine Heavy Press Bookbinder Steel 11.8 in X 8.5IN Flat Paper Press Machine for Photo Nipping Vouchers Checks Booklets","E-Found","$169.99","","","$0.00","07/26/2019","$122.63","4.7","27","$47.36","245,023","6","FBA","1","Office Products","Oversize","14.5 x 16.5 x 11 in","34.551 lb","https://www.amazon.com/dp/B07VR4V49S"
