"Export time:  2/13/2024, 12:35:41 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B082W21L63","Pipishell 5-Piece Bamboo Drawer Organizer Set, Varied Sizes Junk Multi-use Storage Box for Office, Home, Kitchen, Bedroom, Bathroom","Pipishell","$26.99","944","28","$25,479","12/16/2019","$16.51","4.8","2,043","$10.48","33,646","7","FBA","3","Home & Kitchen","Standard","7.48 x 12.165 x 6.063 in","3.131 lb","https://www.amazon.com/dp/B082W21L63"
"Bamboo Organizer","","B08D9HWD2B","Wisuce Bamboo Desk Organizer, Mini Desktop Drawer Tabletop Storage Organization Box for Office Home Toiletries Supplies Vanity, No Assembly Required (3 Drawer with Shelf)","Wisuce","$39.99","1,108","35","$44,309","05/20/2020","$26.96","4.7","1,214","$13.03","6,957","6","FBA","1","Office Products","Standard","7.48 x 8.26 x 12.99 in","4.8 lb","https://www.amazon.com/dp/B08D9HWD2B"
"Average Monthly Sales: 1,885","","B088WCT93C","ROYAL CRAFT WOOD Luxury Bamboo Drawer Organizer Storage Box, Bin Set - Multi-Use Drawer Organizer for Kitchen, Bathroom, Office Desk, Makeup, Jewelry (5 Boxes)","ROYAL CRAFT WOOD","$30.97","4,532","60","$140,356","12/31/2023","$15.25","4.8","3,659","$15.72","14,728","7","FBA","1","Home & Kitchen","Oversize","14.9 x 15.3 x 2.8 in","3.49 lb","https://www.amazon.com/dp/B088WCT93C"
"Average Revenue: $48,413","","B095S8ZJ8D","ROCDEER Bamboo Vanity Tray, 6-Piece Bathroom Countertop Vanity Tray Set, Makeup Kitchen Desk Organizer and Storage - Holds Small Items","ROCDEER","$23.99","359","11","$8,612","05/24/2021","$14.60","4.6","216","$9.39","81,786","7","FBA","1","Home & Kitchen","Standard","4.606 x 15.669 x 4.173 in","1.554 lb","https://www.amazon.com/dp/B095S8ZJ8D"
"Average Price: $28.02","","B0CBNHRQSZ","Lipper International Bamboo Utensil Holder Storage Box for Cooking Tools, Makeup, or Office Supplies, 4' x 9 1/4' x 3'","Lipper International","$8.00","196","10","$1,568","08/24/2023","","4.8","20","","28,236","7","AMZ","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CBNHRQSZ"
"Average No. of Ratings: 2,498","","B0C52KPTKY","StorageWorks Bamboo Organizers for Shelf, Handcrafted Bamboo Storage Containers for Snacks, Spices, or Drinks, Wooden Crates with Built-in Handles, 2 Pack","StorageWorks","$24.99","230","8","$5,748","07/30/2023","","4.2","43","","32,180","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C52KPTKY"
"Average Sales Rank: 61,218","","B07SRV3SN8","Pipishell Bamboo Expandable Drawer Organizer for Utensils Holder, Adjustable Cutlery Tray, Wood Drawer Dividers Organizer for Silverware, Flatware, Knives in Kitchen, Bedroom, Living Room","Pipishell","$29.98","14,358","535","$430,453","06/09/2019","$15.92","4.7","38,664","$14.06","159","6","FBA","12","Kitchen & Dining","Oversize","19.68 x 1.92 x 16.92 in","3.7 lb","https://www.amazon.com/dp/B07SRV3SN8"
"Average Rating Number: 4.6","","B07HJFXHKV","Bambsi Corner 3-Tier Shelf Organizer, Bamboo, 9.5 in x 10 in, 3 Shelves","Bambüsi","$19.99","3,646","118","$72,884","09/19/2018","$11.20","4.6","7,181","$8.79","6,389","7","FBA","14","Home & Kitchen","Standard","10 x 10.236 x 2.284 in","2.178 lb","https://www.amazon.com/dp/B07HJFXHKV"
"","","B0BL3L75JV","Charmlife Bamboo Desk Organizer Makeup Storage Drawer Pen Organizer with Drawer bamboo marker organizer for desk Pencil Holder for Desk Drawer Desk Organizer Office Organization","Charmlife","$24.99","177","5","$4,423","10/31/2022","$14.81","4.7","92","$10.18","43,214","7","FBA","1","Office Products","Standard","10.23 x 7.08 x 5.5 in","3.17 lb","https://www.amazon.com/dp/B0BL3L75JV"
"","","B0B75DGLP7","VeyFey Bamboo Drawer Organizer, Stackable Utensil Organizer for Kitchen, Bamboo Storage Box Wood Silverware Tray for Drawer 15' x 6' x 2' Set of 2","VeyFey","$24.99","1,519","51","$37,960","10/08/2022","$14.21","4.7","334","$10.78","5,153","6","FBA","2","Kitchen & Dining","Standard","10.87 x 4.21 x 16.45 in","2.2 lb","https://www.amazon.com/dp/B0B75DGLP7"
