"Export time:  2/13/2024, 12:26:50 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CPBBHW9Q","WISUCART Bamboo Under Bed Storage Containers- 1 PACK Underbed Organizer with Wheels with Large Capacity Dust Bag,Sturdy Wood Rolling Under Bed Shoe Storage Organizer Drawer for Shoes Toys (1 Pack)","WISUCART","$39.99","388","4","$15,516","11/14/2023","$26.96","4.6","13","$13.03","187,981","7","FBA","1","Home & Kitchen","Standard","11 x 4 x 17 in","4 lb","https://www.amazon.com/dp/B0CPBBHW9Q"
"Bamboo Under Bed Storage Containers","","B0896RNMRX","storageLAB Under Bed Storage Containers, Closet Organizers and Storage Bins, 2 Pack Underbed Clothes Storage Organizer with Sturdy Handles for use Under the Bed, End of Bed, Bed Accessories, Comforter","storageLAB","$29.65","2,038","63","$60,427","05/26/2020","$18.07","4.7","13,329","$11.58","13,780","7","FBA","1","Home & Kitchen","Standard","17.4 x 3.6 x 13 in","2.53 lb","https://www.amazon.com/dp/B0896RNMRX"
"Average Monthly Sales: 1,125","","B0814QNBFC","iwill CREATE PRO Ultra Large Under Bed Storage Organizer Box with Lid, Folding Design with 6 Handles, Beige","iwill CREATE PRO","$23.99","454","23","$10,891","01/25/2019","$13.96","4.6","293","$10.03","41,491","6","FBA","1","Home & Kitchen","Standard","10 x 17 x 2.8 in","3.001 lb","https://www.amazon.com/dp/B0814QNBFC"
"Average Revenue: $32,047","","B0BZ7YKJLN","NADAMOO Under Bed Storage with Wheels and Clear Cover, Rolling Underbed Storage Containers, Metal Frame Under the Bed Organizer Bins for Bedroom Clothes Shoes Blankets Toys Books, Pack of 2","NADAMOO","$49.99","967","39","$48,340","03/21/2023","$25.19","4.3","99","$24.80","23,688","6","FBA","2","Home & Kitchen","Oversize","16.5 x 7.7 x 24.4 in","8 lb","https://www.amazon.com/dp/B0BZ7YKJLN"
"Average Price: $35.22","","B0CGX2FTHR","Hoyula Deep Under Bed Storage Container, 2 Pack 10' High 31' Long Large Underbed Box Storage Bins with Lids and Hard Bottom, for Closet, Bedroom, Dorms, Clothes, Bed sheets, blankets, Dark Gray","Hoyula","$42.99","519","12","$22,312","08/29/2023","$13.92","4.1","70","$29.07","74,785","7","FBA","1","Home & Kitchen","Oversize","16 x 10 x 31.5 in","4 lb","https://www.amazon.com/dp/B0CGX2FTHR"
"Average No. of Ratings: 1,889","","B0C72SHMRW","Fokyfok Underbed Storage with Wheels,36' Under the Bed Storage Containers,Underbed Drawers,Under Bed Clothes Storage,Under Bed Rolling Storage,Under Bed Drawers on Wheels,Underbed Storage with Lid","Fokyfok","$36.99","676","16","$25,005","10/08/2023","$-2.58","4.3","77","$39.57","59,715","7","FBA","1","Home & Kitchen","Oversize","16.6 x 7.03 x 36 in","2.16 kg","https://www.amazon.com/dp/B0C72SHMRW"
"Average Sales Rank: 160,277","","B0CJNNRG7R","TidyCorner Under Bed Storage Containers, Foldable Under Bed Storage Bags for Clothing, Blankets, Toys, Underbed Storage with Clear Window, Strong Zipper, 33' L x 17.5' W x 4.7' H, Beige, 2 Pack","TidyCorner","$22.99","637","23","$14,645","09/22/2023","","4","48","","41,617","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJNNRG7R"
"Average Rating Number: 4.4","","B0CMZSKCZS","BULIJUJU 2 Pack Under Bed Storage Rolling Drawers with Wheels for Clothes, Book, Toys, Underbed Shoe Storage Containers with Clear Lid and Handles (31' L x 18' W x 7.5' H)","BULIJUJU","$34.99","30","1","$1,050","11/08/2023","","4.6","37","","541,908","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMZSKCZS"
"","","B0CMX7533M","Aokeyee Under Bed Storage with Wheels - Rolling Underbed Storage Containers with Clear Lids for Shoe, Clothes, Blankets, Sheets, Pillows, Dorm Room (Grey)","Aokeyee","$35.99","343","10","$12,345","11/29/2023","","4.7","25","","91,217","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMX7533M"
"","","B0CNPNPS8C","MIBYLEN 1-Pack Solid Wood Under Bed Storage Drawer with Lids, Wheels, Handles - Divided Underbed Cabinet for Closet - Wooden Crate Organizer for Clothes - Underneath Container Fit for Any Bed Size","MIBYLEN","$65.99","45","1","$2,970","01/07/2024","","4","3","","581,411","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CNPNPS8C"
