"Export time:  2/5/2024, 1:14:02 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C9L5PGB4","INSTITIZER 8.2 Quart Kitchen Colanders Bowl Set, Plastic Strainers and Colanders Bowl Set, Fruit Vegetable Washing Basket, Large Double Layered Strainer for Pasta, Noodles, Salads and Food","INSTITIZER","$15.99","","","$0.00","06/27/2023","","4.7","3","","298,613","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C9L5PGB4"
"Basin Fruit Washing","","B094NSTFV6","MontNorth Dishpan For Washing Dishes,9L Collapsible and Portable,Wash Dish Basin,Foldable Laundry Tub with Drain Plug forKitchenSink,Camping,Gray","MontNorth","$16.99","7,749","276","$131,656","05/10/2021","$8.65","4.7","3,292","$8.34","513","6","FBA","1","Kitchen & Dining","Standard","11.26 x 11.772 x 2.717 in","1.151 lb","https://www.amazon.com/dp/B094NSTFV6"
"Average Monthly Sales: 2,509","","B0C9PYY6N3","8.2 QT Fruit Strainer Colander Bowl Set, Kitchen Nesting Vegetable Fruit Washing Soaking Basket, 2 in 1 Large Plastic Food Storage Container Basin for Pasta Salad Berry Drain BPA Free, Dark Green","jioko","$12.99","178","8","$2,312","06/28/2023","","4.5","31","","34,040","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C9PYY6N3"
"Average Revenue: $54,299","","B0CPJF41JK","Suwimut Wash Basin with Handle and Draining Plug, Fruit Vegetable Washing Soaking Basket, Large Plastic Dish Tub Dishpan Basin for Washing Dishes, Kitchen Sink, Vegetable Washing, RV","Suwimut","$23.99","390","13","$9,356","12/04/2023","","5","1","","20,839","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CPJF41JK"
"Average Price: $19.86","","B09QBPMYFC","SOUJOY 6 Pack Vegetable Washing Basket, 2-in-1 Drain Colander Bowl Set, Kitchen Fruit Washing Bowl and Strainer, Drain Basin and Basket for Food Vegetables Cleaning Washing","SOUJOY","$16.99","90","3","$1,529","01/12/2022","$8.16","4.3","56","$8.83","80,241","6","FBA","1","Kitchen & Dining","Standard","10.63 x 10.98 x 4.13 in","0.82 lb","https://www.amazon.com/dp/B09QBPMYFC"
"Average No. of Ratings: 1,828","","B087RQCQQZ","BLUE GINKGO Over the Sink Colander Strainer Basket - Wash Vegetables and Fruits, Drain Cooked Pasta and Dry Dishes - Extendable - New Home Kitchen Essentials (7.9W x 14-19L x 2.75H) - Gray","BLUE GINKGO","$17.99","8,671","344","$155,991","06/14/2020","$11.52","4.6","19,630","$6.47","356","7","FBA","1","Kitchen & Dining","Standard","7.8 x 2.75 x 14.2 in","0.625 lb","https://www.amazon.com/dp/B087RQCQQZ"
"Average Sales Rank: 281,080","","B0B6CKMZZK","2 in 1 Kitchen Colander Set with Bowl Strainer (2 Sets 3 Qt),BPA Free Plastic Fruits and Vegetable Washing Basket,Dishwasher Friendly Double Layered Drain Basin,for Pasta Salad Berry Cleaning Mixing","Sunkaioo","$17.99","193","11","$3,472","07/11/2022","$8.86","4.6","197","$9.13","25,552","7","FBA","1","Kitchen & Dining","Standard","7.87 x 10.51 x 5.2 in","0.88 lb","https://www.amazon.com/dp/B0B6CKMZZK"
"Average Rating Number: 4.5","","B0B493XGXH","304 Stainless Steel Microporous Colander,2QT Large Capacity with Mixing Bowl For washing vegetables, fruit and rice and for draining cooked pasta(2PC)","Paoli","$21.98","2,519","78","$55,368","06/15/2022","$13.54","4.6","1,432","$8.44","3,097","6","FBA","2","Kitchen & Dining","Standard","8.6 x 3 x 8.6 in","0.86 lb","https://www.amazon.com/dp/B0B493XGXH"
"","","B09Y36VJFT","Komzon Over the Sink Strainer Colander Basket Set with Bowl, Extendable Kitchen Sink Strainer Basket to Wash Vegetables Fruits, Adjustable Retractable Plastic Colander to Drain Pasta, Dishes","Komzon","$14.99","141","7","$2,114","04/15/2022","$6.95","4.5","236","$8.04","38,798","7","FBA","1","Kitchen & Dining","Standard","7.835 x 13.543 x 3.189 in","1.144 lb","https://www.amazon.com/dp/B09Y36VJFT"
"","","B08KXFWT9M","MUSROD 2 Pack 5 QT Large Kitchen Strainer Colander Bowl Sets, 2-in-1 Multifunctional Washing Bowl and Strainer, Double Layered Drain Basin and Basket for Fruits Vegetables (Blue+Green)","MUSROD","$19.98","40","1","$799.20","11/28/2020","$10.25","4.6","149","$9.73","174,517","7","FBA","1","Kitchen & Dining","Standard","9.7 x 5.7 x 12.5 in","2 lb","https://www.amazon.com/dp/B08KXFWT9M"
