"Export time:  2/13/2024, 12:30:17 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0001OPI6Q","Bluecorn Beeswax 100% Pure Beeswax Pillar Candles | Natural Beeswax Candles, Unscented Yellow Candles | Soy, Paraffin, & Fragrance Free | 3x6, 90 Hour Burn Time | Handmade in Colorado","Bluecorn Beeswax","$36.48","258","4","$9,412","09/12/2017","$17.17","4.4","937","$19.31","38,832","6","FBA","1","Arts, Crafts & Sewing","Standard","2 x 4.5 x 2 in","1.86 lb","https://www.amazon.com/dp/B0001OPI6Q"
"Beeswax Pillar Candles","","B00A8IDNBC","Bluecorn Beeswax 100% Pure Beeswax Pillar Candles | Ivory White Beeswax Candles, Unscented Candles | Soy, Paraffin, & Fragrance Free | 3x6, 90 Hour Burn Time | Handmade in Colorado","Bluecorn Beeswax","$36.48","226","6","$8,244","10/01/2003","$25.87","4.2","153","$10.61","153,419","7","FBA","1","Home & Kitchen","Standard","2 x 6.4 x 3.1 in","1.25 lb","https://www.amazon.com/dp/B00A8IDNBC"
"Average Monthly Sales: 387","","B0CJRGWJ43","Lacaser Beeswax Pillar Candles Set of 2, 1.37'x7.67' Tall Pillar Candles, Large Candle Sticks, Unscented & Dripless & Smokeless, 16 Hours Burning, White","Lacaser","$16.99","30","","$509.70","11/15/2023","$10.67","4","11","$6.32","764,936","6","FBA","1","Home & Kitchen","Standard","1.37 x 7.67 x 1.37 in","8.11 oz","https://www.amazon.com/dp/B0CJRGWJ43"
"Average Revenue: $9,843","","B084QBYJXR","Ivory Beeswax Candle Gift Set. 3 Colored Beeswax Pillar Candles With Natural Honey Scent and Hand Made Honeycomb Charm for Gift and Home Decor (White Candles, 3 pcs, Size 3.3 x 1.8 in) Made in Ukraine","Beeswax Gifts","$24.99","60","2","$1,499","05/17/2019","$17.47","3.7","541","$7.52","402,239","6","FBA","1","Home & Kitchen","Standard","4.1 x 7.7 x 2.7 in","0.45 lb","https://www.amazon.com/dp/B084QBYJXR"
"Average Price: $29.05","","B0CGHPXXS6","4 Packs Natural Beeswax Pillar Candles 2x4 inch, 140 Hours Burn Time, Unscented Beeswax Candles Pillar, 100% Pure Bees Wax Candles, Smokeless and Dripless Beeswax Candle for Prayer,Home,Relax","MOSROAD","$35.99","1,140","38","$41,029","08/23/2023","$25.90","4.1","47","$10.09","24,009","7","FBA","1","Home & Kitchen","Standard","4.45 x 2.2 x 8.62 in","1.52 lb","https://www.amazon.com/dp/B0CGHPXXS6"
"Average No. of Ratings: 274","","B09GVSVMQK","Large Beeswax Pillar Candle, Smokeless Dripless Pure Beeswax Candle Set with Natural Scent for Room Decoration Prayer Party, Long Lasting Burn Time,2x4 inch (2 Pack),Brown Raw","DEYBBY","$19.99","1,449","16","$28,966","09/21/2021","$12.47","4.4","232","$7.52","59,547","6","FBA","2","Home & Kitchen","Standard","2 x 4 x 2 in","14 oz","https://www.amazon.com/dp/B09GVSVMQK"
"Average Sales Rank: 334,968","","B0CFVGQJZK","Cocaburra Hand-Rolled Beeswax Candles, 6 Pack Pure Beeswax Pillar Candles (2.4x4 Inch), 20 Hour Burn Time, Vintage Beeswax Candle Gift Set","Cocaburra","$30.99","294","5","$9,111","08/15/2023","$21.20","4.2","16","$9.79","183,839","7","FBA","1","Home & Kitchen","Standard","2.36 x 3.94 x 2.36 in","1.54 lb","https://www.amazon.com/dp/B0CFVGQJZK"
"Average Rating Number: 4.3","","B0BVC78RJJ","Home & Hive Pure Beeswax Candle | 45 Hour Burn Time | 100% Natural Beeswax Candles | Round Candle","Home & Hive","$24.99","113","3","$2,824","02/08/2023","$17.70","4.5","27","$7.29","231,193","7","FBA","1","Home & Kitchen","Standard","3 x 3 x 3 in","2.72 oz","https://www.amazon.com/dp/B0BVC78RJJ"
"","","B07DP93JF2","Hyoola Beeswax Taper Candles 12 Pack  Handmade, All Natural, 100% Pure Scented Bee Wax Candle - Tall, Decorative, Golden Yellow  7 Hour Burn Time","Hyoola","$34.99","543","12","$19,000","06/11/2018","$24.60","4.6","1,033","$10.39","74,360","6","FBA","2","Home & Kitchen","Standard","0.65 x 8 x 0.65 in","1.23 lb","https://www.amazon.com/dp/B07DP93JF2"
"","","B0BYB1FKP4","PARNOO 100% Natural Yellow Beeswax 3X6 Inch Pillar Candle, 70 Hours Burn time - Pack of 1 (Dripless and Smokless)","PARNOO","$27.00","120","4","$3,240","03/12/2023","$18.86","4.5","24","$8.14","195,501","7","FBA","1","Home & Kitchen","Standard","3 x 6 x 3 in","1.39 lb","https://www.amazon.com/dp/B0BYB1FKP4"
"","","B08L6SVL54","Alternative Imagination 100% Pure Beeswax Pillar Candle (Extra Large, 3x9 Inch), 110 Hour, Hand-Poured","Alternative Imagination","$42.99","739","18","$31,770","10/13/2020","$31.40","4.5","646","$11.59","53,036","6","FBA","1","Home & Kitchen","Standard","0.01 x 9 x 3 in","2 lb","https://www.amazon.com/dp/B08L6SVL54"
"","","B084SW6J2V","Alternative Imagination 100% Pure Beeswax Diamond Pillar Candles (2x4 Inch), 3 Pack, 20 Hour Burn Time, Hand-Poured (Yellow)","Alternative Imagination","$26.99","638","14","$17,220","02/12/2020","$17.80","4.4","429","$9.19","68,479","7","FBA","1","Home & Kitchen","Standard","2 x 4 x 2 in","1.26 lb","https://www.amazon.com/dp/B084SW6J2V"
"","","B07KMLVD4Y","Alternative Imagination 100% Pure Beeswax Pillar Candle, White Ivory (3x6 Inch), 80 Hour, Hand-Poured","Alternative Imagination","$31.99","166","5","$5,310","11/15/2018","$22.05","4.6","108","$9.94","159,189","7","FBA","2","Home & Kitchen","Standard","3 x 6 x 3 in","1.39 lb","https://www.amazon.com/dp/B07KMLVD4Y"
"","","B0C2CDTD7Y","olorvela Beeswax Pillar Candles Set of 2 - Beeswax Candles Clearance Bees Wax Candles for Home Pillar Candles 3x6 inch 100% Pure Wax Candles","olorvela","$34.99","384","5","$13,436","11/26/2023","$23.95","3.8","36","$11.04","171,126","6","FBA","1","Home & Kitchen","Standard","3 x 6 x 3 in","2.87 lb","https://www.amazon.com/dp/B0C2CDTD7Y"
"","","B0C9JHWBB6","Pure Beeswax Pillar Candle Set of 3-21 Hours Lasting Smokeless Pillar Candles with Cotton Wick - Unscented Candle Lover Gift - Dripless Beeswax Pillars","Giftellino","$35.00","150","5","$5,250","06/26/2023","$25.23","4.3","30","$9.77","176,482","6","FBA","1","Home & Kitchen","Standard","2 x 3 x 2 in","15.2 oz","https://www.amazon.com/dp/B0C9JHWBB6"
"","","B0CFTSX8GT","Natural Beeswax Pillar Candle, Large Beeswax Candle for Home Spa Yoga, Yellow Raw (3 x 6'')","DEYBBY","$27.99","150","5","$4,199","08/15/2023","$21.37","3.3","17","$6.62","165,948","6","FBA","1","Home & Kitchen","Standard","3 x 6 x 3 in","11.64 oz","https://www.amazon.com/dp/B0CFTSX8GT"
"","","B0BMVKM2QH","Beeswax Pillar Candles Set of 3 - Handmade Pure Beeswax Rolled Candles for Gift & Home Decor (23.4 in)","DEYBBY","$21.99","354","8","$7,784","11/17/2022","$14.92","3.9","54","$7.07","106,592","6","FBA","1","Home & Kitchen","Standard","2 x 3.4 x 2 in","10.55 oz","https://www.amazon.com/dp/B0BMVKM2QH"
"","","B0CHX5ZHC5","Beeswax Pillar Candles Bulk Set of 9 Handmade from 100% Pure Natural Rolled Bees Wax - Measures 2' x 3.4', Great for Home Decor, Party & Events, 10-12 Hour Burn Time","Upper Midland Products","$39.99","245","7","$9,798","09/11/2023","$28.20","3.5","3","$11.79","130,810","6","FBA","1","Home & Kitchen","Standard","2 x 3.4 x 2 in","2.09 lb","https://www.amazon.com/dp/B0CHX5ZHC5"
"","","B0CGHZZM9Q","AGLARY 3'x 3' Beeswax Pillar Candle, Made of Pure Natural Beeswax, with Ultra Long Burning Time and Low Allergenicity-Raw40H","AGLARY","$18.99","60","2","$1,139","08/23/2023","$12.22","3.7","14","$6.77","304,643","6","FBA","1","Home & Kitchen","Standard","3 x 3 x 3 in","11.68 oz","https://www.amazon.com/dp/B0CGHZZM9Q"
"","","B07XB2ZRNJ","3 Pack Emergency Candles Made from Pure Beeswax. Slow Burn time for Hurricanes, Power outages, and More.","Alternative Imagination","$29.99","372","7","$11,156","10/13/2019","$21.72","4.4","92","$8.27","72,323","6","FBA","1","Health & Household","Standard","6 x 2 x 8 in","6.4 oz","https://www.amazon.com/dp/B07XB2ZRNJ"
"","","B0C9JL3MLS","Extra Large Pure Beeswax Pillar Candle - 80 Hours Lasting - 100% Pure Beeswax and Cotton Wick - Unscented Candle for Emergencies - Candle Lovers Gift","Giftellino","$39.99","90","3","$3,599","06/26/2023","$29.90","4.7","27","$10.09","248,518","7","FBA","1","Home & Kitchen","Standard","3.1 x 6 x 3.1 in","1.5 lb","https://www.amazon.com/dp/B0C9JL3MLS"
"","","B09GCFHGG7","Alternative Imagination 100% Pure Beeswax Pillar Candle (Large, 3x6 Inch), 80 Hour, Hand-Poured (Pack of 2)","Alternative Imagination","$59.99","30","1","$1,800","09/14/2021","$45.20","4.4","60","$14.79","647,732","7","FBA","1","Home & Kitchen","Standard","3 x 6 x 3 in","2.88 lb","https://www.amazon.com/dp/B09GCFHGG7"
"","","B0CK63QK83","Premium Essential Beeswax Candle, Pure Beeswax Pillar Candle, 25-30Hours Burn Time, Handmade Smokeless Dripless Beeswax Candle with Aromatic Fragrance for Room Decoration Party 2x4 inch (4 Pack)","Generic","$29.99","95","1","$2,849","11/19/2023","$20.35","","","$9.64","569,362","7","FBA","1","Home & Kitchen","Standard","2 x 4 x 2 in","1.32 lb","https://www.amazon.com/dp/B0CK63QK83"
"","","B0C9H1VMP1","Beeswax Pillar Candles Set of 3, Large Bee Waxed Pure Candles, Hand Rolled Honeycomb Organic Bees Wax Candles for Home Decor, Bee Hive Candles Non Toxic, Smokeless, Dripless - Velas de Miel (Natural)","Generic","$19.99","45","1","$899.55","06/25/2023","$13.22","5","2","$6.77","631,085","7","FBA","1","Home & Kitchen","Standard","6 x 6 x 6 in","8 oz","https://www.amazon.com/dp/B0C9H1VMP1"
"","","B0C2CFWY5B","olorvela Beeswax Pillar Candles - Beeswax Candles Clearance Bees Wax Candles for Home Pillar Candles 2x3 inch 100% Pure Wax Candles","olorvela","$8.99","150","5","$1,349","07/20/2023","","3.8","36","","171,126","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2CFWY5B"
"","","B0CQMZLGB3","Lacaser Beeswax Pillar Candles Set of 2, 100% Pure Bees Wax Candles for Home, Dripless & Smokeless, 2x 4 (2 Packs) Candle Pillars, Long Burning Time Beeswax Candles 50 Hours","Lacaser","$19.99","60","2","$1,199","12/19/2023","$13.22","5","1","$6.77","373,191","6","FBA","1","Home & Kitchen","Standard","2 x 4 x 2 in","9.44 oz","https://www.amazon.com/dp/B0CQMZLGB3"
"","","B0CMQRL432","Threlaco 10 Pcs Pure Beeswax Candles Set Natural Unscented Beeswax Pillar Candle 2 x 3 Inch 2 x 4 Inch Smokeless Bees Wax Candles Long Burn Time Scentless Candles for Prayer Room Decoration Home Relax","Threlaco","$43.99","40","1","$1,760","11/05/2023","$30.96","3","2","$13.03","607,801","7","FBA","1","Home & Kitchen","Standard","3 x 2.4 x 3 in","3.62 lb","https://www.amazon.com/dp/B0CMQRL432"
"","","B091L6XNGB","CANDWAX Pure Beeswax Pillar Candles 1.8x4 inch Set of 3 - Yellow 34,5 Hours Burning Handmade Candles - Smokeless Pure Bees Wax Candles Home Decor Natural Candles","CANDWAX","$30.95","139","5","$4,302","04/01/2021","$21.17","4.4","186","$9.78","184,820","7","FBA","2","Home & Kitchen","Standard","0.01 x 4 x 1.8 in","1.19 lb","https://www.amazon.com/dp/B091L6XNGB"
"","","B0BY1SQBZV","Lacaser Beeswax Pillar Candles Set of 2, 2'x4' Pillar Candles Unscented & Dripless & Smokeless, White,12 Hours Burn Time","Lacaser","$17.99","240","5","$4,318","06/18/2023","$11.75","4.8","24","$6.24","179,330","6","FBA","1","Home & Kitchen","Standard","2 x 4 x 2 in","3.28 oz","https://www.amazon.com/dp/B0BY1SQBZV"
"","","B0B5KX2Y8J","MOZEAL 3' x 4' Hand-Poured Unscented Candle,Dripless Pillar Candle Set of 3,Long Clean Burning,Approx 72 Hours Burn Time,Rustic Country Style,Wedding,Dinner,Christmas and Home Decor,Ivory","MOZEAL","$21.99","4,200","125","$92,358","06/30/2022","$12.90","4.6","824","$9.09","5,897","6","FBA","1","Home & Kitchen","Standard","3 x 4 x 3 in","2.5 lb","https://www.amazon.com/dp/B0B5KX2Y8J"
