"Export time:  2/17/2024, 6:08:18 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B9B531QN","K-Musculo Pool Table Cover, Heavy Duty Leatherette Billiard Table Cover, Waterproof and Tearproof, 6.5/7/ 7.5/8/ 8.5/9 Foot Fitted","K-Musculo","$37.99","1,110","37","$42,169","08/10/2022","","4.7","288","","5,387","7","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0B9B531QN"
"Billiard Table Cover","","B08GCQZ9MR","WOMACO 7 8 9 ft Billiard Table Covers Heavy Duty Waterproof 7/8/9 Foot Fitted Pool Table Cover Polyester Fabric for Snooker Billiard Table","WOMACO","$20.99","167","6","$3,505","08/19/2020","$12.05","4.6","347","$8.94","37,336","7","FBA","1","Sports & Outdoors","Standard","9.41 x 1.3 x 11.5 in","0.63 kg","https://www.amazon.com/dp/B08GCQZ9MR"
"Average Monthly Sales: 230","","B095P5GP2T","NEXCOVER Leatherette Billiard Pool Table Cover | 7 Foot Billiard Covers | Heavy Duty Cover for Pool Table | Waterproof Table Protector | UV Protection | Black Color.","NEXCOVER","$29.99","149","5","$4,469","09/21/2021","$18.16","4.7","511","$11.83","43,092","6","FBA","4","Sports & Outdoors","Standard","13.661 x 15.866 x 3.858 in","5.626 lb","https://www.amazon.com/dp/B095P5GP2T"
"Average Revenue: $8,371","","B07C9371J5","7/8/9 FT Vinyl Pool Table Cover Waterproof Billiard Covers","Collapsar","$16.97","54","1","$916.38","04/21/2018","$8.35","4.2","68","$8.62","170,362","4","FBA","1","Sports & Outdoors","Standard","8.46 x 2.05 x 10.55 in","0.51 kg","https://www.amazon.com/dp/B07C9371J5"
"Average Price: $31.41","","B09NCTWF9G","BEARCOVER Heavy Duty Leatherette Billiard Pool Table Cover, Waterproof & Tearproof Covers for Pool Table 7/8/9FT Fitted (8 Feet/Black)","BEARCOVER","$42.99","2,371","64","$101,929","12/12/2021","$28.91","4.8","843","$14.08","2,672","6","FBA","1","Sports & Outdoors","Standard","12.71 x 14.92 x 3.82 in","7.56 lb","https://www.amazon.com/dp/B09NCTWF9G"
"Average No. of Ratings: 540","","B09ZDPRPG4","amberr Billiard Pool Table Cover,Pool Table Cover 8 feet Waterproof (8ft:100x56x8in)","amberr","$15.99","677","20","$10,825","05/02/2022","$8.45","4.5","314","$7.54","10,678","6","FBA","1","Sports & Outdoors","Standard","5 x 1 x 10 in","1 lb","https://www.amazon.com/dp/B09ZDPRPG4"
"Average Sales Rank: 146,683","","B07TGB2QYY","Kohree 9FT Heavy Duty Leatherette Billiard Pool Table Cover, Waterproof & UV Protection(Brown), 9 Foot Fitted, Pool Table Accessories","Kohree","$39.99","523","14","$20,915","06/23/2019","$22.39","4.8","5,975","$17.60","15,725","6","FBA","1","Sports & Outdoors","Oversize","15 x 16.339 x 3.228 in","7.209 lb","https://www.amazon.com/dp/B07TGB2QYY"
"Average Rating Number: 4.4","","B0B9B67TLP","K-Musculo Pool Table Cover, Heavy Duty Leatherette Billiard Table Cover, Waterproof and Tearproof, 6.5/7/ 7.5/8/ 8.5/9 Foot Fitted","K-Musculo","$36.99","1,110","37","$41,059","08/10/2022","","4.7","288","","5,387","7","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0B9B67TLP"
"","","B0C557JWVC","DTESL Pool Table Cover, Waterproof & Dustproof Outdoor/Indoor Polyester Taffeta Cloth Table CoverBilliard Pool Table Cover Scratch-Resistant","DTESL","$37.99","120","4","$4,559","07/14/2023","","3.9","10","","54,743","","FBA","","Sports & Outdoors","","","","https://www.amazon.com/dp/B0C557JWVC"
"","","B0C557RQYG","DTESL Pool Table Cover, Waterproof & Dustproof Outdoor/Indoor Polyester Taffeta Cloth Table","DTESL","$37.99","150","5","$5,699","05/12/2023","$29.22","4.8","7","$8.77","48,446","7","FBA","1","Sports & Outdoors","Standard","9.84 x 0.4 x 11.42 in","0.54 lb","https://www.amazon.com/dp/B0C557RQYG"
"","","B07NMMRQG4","7/8/9FT Heavy Duty 600D Polyester Canvas Billiard Pool Table Cover(7 Colors Available) (Gray, 9-Foot)","Collapsar","$38.99","83","3","$3,236","02/10/2019","$26.41","4.5","987","$12.58","79,605","6","FBA","1","Sports & Outdoors","Standard","12.5 x 13 x 2 in","4.8 lb","https://www.amazon.com/dp/B07NMMRQG4"
"","","B0C2PLDW35","ZIIYAN 7/8/9 Ft Billiard Pool Table Cover, Outdoor Waterproof Dustproof Sunscreen Protector Cover for Snooker Billiard Table Rectangle Table and Patio Furniture (9ft: 113x61x32in)","ZIIYAN","$30.99","30","1","$929.70","04/16/2023","","4.1","4","","210,878","7","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0C2PLDW35"
"","","B098PWX9ZN","MoyanSuper Pool Table Cover PVC Waterproof Dustproof for 7/8/9 Ft Billiard/Pool Table, 8 Feet","MoyanSuper","$16.99","189","9","$3,211","07/05/2021","$9.30","4.3","158","$7.69","24,856","6","FBA","1","Sports & Outdoors","Standard","9.37 x 11.693 x 0.945 in","1.078 lb","https://www.amazon.com/dp/B098PWX9ZN"
