"Export time:  2/14/2024, 2:20:07 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0845NZ9N2","Crema Coffee Products - 54mm Bottomless Naked Portafilter - Filter Basket Included - Fits 54mm Breville Machines, Sandalwood","CREMA COFFEE PRODUCTS","$87.99","547","16","$48,131","02/03/2020","$71.02","4.3","395","$16.97","59,518","6","FBA","1","Home & Kitchen","Standard","4.25 x 10.94 x 2.52 in","0.5 lb","https://www.amazon.com/dp/B0845NZ9N2"
"Bottomless Portafilter","","B0CH9YW6MP","51MM Naked Bottomless Portafilter 2 Ears Fits Delonghi ECP3420/EC155/BCO430/EC260 with Puck Screen & Stainless Steel Filter Basket,Walnut Handle","","$43.95","90","3","$3,956","","","3.8","36","","235,313","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CH9YW6MP"
"Average Monthly Sales: 244","","B0CHM2KH1R","54mm Bottomless Portafilter with 3 Ear,YMWVH Espresso Bottomless Portafilter Fits Breville Barista Series BES870/878/880 Machine & Solis Barista Machines,Stainless Steel Basket and Walnut Handle","YMWVH","$41.95","420","12","$17,619","06/16/2022","","4.3","75","","77,784","7","FBA","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHM2KH1R"
"Average Revenue: $11,678","","B0C2BS957Z","Viitech 54mm Bottomless Portafilter 3 Ears, Stainless Steel Espresso Portafilter with Filter Basket, Bottomless Portafilter 54mm Breville 8 series BES870/880 Replacement Espresso Machine Accessories","Viitech","$18.99","145","5","$2,754","04/12/2023","","3.9","45","","182,910","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2BS957Z"
"Average Price: $42.10","","B09886G7P6","Normcore 54mm Bottomless Portafilter | Bottomless Naked Portafilter | Filter Basket Included | Fits Breville Barista Express and 54mm Breville Machines, Black","Normcore","$63.99","2,758","88","$176,484","08/17/2021","$49.25","4.4","825","$14.74","9,251","6","FBA","4","Home & Kitchen","Standard","3.347 x 9.449 x 2.008 in","1.096 lb","https://www.amazon.com/dp/B09886G7P6"
"Average No. of Ratings: 177","","B0C2NS4DZ8","Teyearlife 54mm Bottomless Portafilter,Replacement for Breville Portafilter,Made of Stainless Steel and Solid Wood.Portafilter Bottomless Helps Diagnose Espresso Issues.It's a Good 54mm Portafilter.","Teyearlife","$44.99","548","9","$24,655","04/15/2023","","4.3","79","","96,735","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2NS4DZ8"
"Average Sales Rank: 323,058","","B08HYNCM89","Bottomless Portafilter 54mm, Bottomless Naked Portafilter Compatible with Breville 8 Series and 54mm Breville Machines","Decdeal","$31.41","77","6","$2,419","09/13/2020","$22.93","4.2","402","$8.48","155,665","6","FBA","1","Home & Kitchen","Standard","3.347 x 1.575 x 9.449 in","0.679 lb","https://www.amazon.com/dp/B08HYNCM89"
"Average Rating Number: 4.3","","B088TNVC59","51mm Espresso Tamper & Distributor, MATOW Dual Head Coffee Leveler Fits 51mm Delonghi Portafilter, Adjustable Depth-Professional Espresso Hand Tampers","MATOW","$29.99","356","8","$10,676","05/18/2020","$20.35","4.6","613","$9.64","110,513","7","FBA","1","Home & Kitchen","Standard","2.835 x 2.835 x 1.732 in","1.058 lb","https://www.amazon.com/dp/B088TNVC59"
"","","B082SWN84Q","54mm Espresso Dosing Funnel, MATOW Stainless Steel Coffee Dosing Ring Compatible with 54mm Breville Portafilter","MATOW","$19.99","662","20","$13,233","12/15/2019","$13.45","4.6","2,443","$6.54","47,082","7","FBA","1","Home & Kitchen","Standard","3.071 x 3.307 x 2.008 in","0.353 lb","https://www.amazon.com/dp/B082SWN84Q"
"","","B0CDBSZX2V","IKAPE 51MM, 54MM Espresso Dosing Cup, Compatible with All the 51MM to 54MM Portafilters, Espresso Coffee Accessory, Made of Aluminum (Black)","IKAPE","$32.99","157","4","$5,179","07/31/2023","","4.8","33","","190,818","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDBSZX2V"
"","","B09W5QY63R","51mm portafilter for Delonghi ECP3420/EC155/BCO430/EC260, 51mm bottomless portafilter 2 ears, Stainless Steel Replacement Parts for Delonghi Handle","CAPFEI","$23.89","501","20","$11,969","03/21/2022","$16.42","4.1","327","$7.47","47,566","7","FBA","4","Home & Kitchen","Standard","3.35 x 1.77 x 9.84 in","0.741 lb","https://www.amazon.com/dp/B09W5QY63R"
"","","B08N4Y6LH8","Premium 54mm Naked Bottomless Portafilter, Compatible with Breville Barista BES 870/878/880 Replacement Breville Bottomless Portafilter, Not Include Filter Basket","GeeAnkok","$36.95","191","9","$7,057","12/02/2020","$26.89","4.4","288","$10.06","103,740","7","FBA","1","Home & Kitchen","Standard","3.15 x 9.528 x 1.772 in","0.805 lb","https://www.amazon.com/dp/B08N4Y6LH8"
"","","B0C5DD98RL","CAPFEI 51mm Bottomless Portafilter 3 Ears Compatible with Mr.Coffee Espresso and Cappuccino Machine/Casabrews 3700 Series and CM5418, with Stainless Steel Double Shot Capacity Cup Filter Basket","CAPFEI","$40.99","428","15","$17,544","05/15/2023","","4.3","36","","60,537","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C5DD98RL"
"","","B0CP1Q21B2","Beroun 54mm Bottomless Portafilter Includes 2 Filter Basket Ergonomic 3 Ears Bottomless Naked Portafilter Fits Breville Barista Express and 54mm Breville Machines Espresso Accessories","Beroun","$39.99","90","3","$3,599","11/26/2023","","5","4","","281,084","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CP1Q21B2"
"","","B08HDGB1QN","Joytata Maspresso 51mm Bottomless Portafilter for Delonghi La Specialista Espresso Machine EC9335 EC9155 EC9665 EC9355 Stainless Steel Portafilter 4 Cups -Wooden Handle","Joytata","$59.99","93","2","$5,579","09/02/2020","","4.2","116","","315,274","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B08HDGB1QN"
"","","B0CK7S2Y5F","BEYEAZERO Strengthen 54mm Bottomless Portafilter | Bottomless Naked Portafilter | Fits Breville Barista Express And 54mm Breville Machines, White","BEYEAZERO","$48.00","","","$0.00","10/01/2023","","","","","900,610","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CK7S2Y5F"
"","","B0C88T4KWG","CrossCreek 51mm Espresso Bottomless Portafilter with 2 Ear | Fits DeLonghi ECP3420 / EC155 / BCO430 / EC260 Espresso Machine | Stainless Steel Basket and Walnut Handle | Espresso Accessories","CrossCreek","$44.99","393","9","$17,681","06/15/2023","","4.2","411","","98,534","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C88T4KWG"
"","","B08N9PQSBM","54mm Bottomless Portafilter for Breville Barista Express, BES870XL, BES870BSXL, BES878BSS, BES880BSS, BES840XL and More Breville Espresso Machine (ABS Handle-Black)","FIRJOY","$39.95","280","9","$11,186","11/11/2020","$29.44","4.2","509","$10.51","96,188","7","FBA","10","Home & Kitchen","Standard","3.35 x 1.75 x 9.45 in","0.86 lb","https://www.amazon.com/dp/B08N9PQSBM"
"","","B0C3Y8ZVKS","Pawa 54mm Bottomless Portafilter Paired with Wdt Tool - Enhance Your Espresso Brewing | Includes Filter Basket | Compatible with Breville Barista Express and 54mm Breville Machines","Hello Pawa!","$49.99","190","6","$9,498","04/30/2023","","4.5","54","","140,258","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3Y8ZVKS"
"","","B0BCVS7JNR","58mm Bottomless Portafilter with Double Shot Filter Basket & Wood Handle for Gaggia Classic, Espresso Pure, Color, Dose, Evolution, Baby Twin and More Semi-Automatic Espresso Machine","GURUDAR","$49.99","189","4","$9,448","09/01/2022","","4.4","36","","200,583","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BCVS7JNR"
"","","B0CKG39N3T","ALPHAJUY- 54mm Bottomless Portafilter- Unlock the Perfect Espresso Shots with Our Naked Portafilter- Compatible Breville Replacement Parts- Stainless Steel- Walnut Wood- Boost Your Coffee Ritual Today","ALPHAJUY","$35.95","180","6","$6,471","10/03/2023","","4.7","15","","142,945","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKG39N3T"
"","","B0C4D5RLWW","Bottomless Portafilter 54mm Breville Portafilter 3 ears for Breville Espresso Machine Coffee Handle Espresso Accessories Replacement Parts Coffee Funnel Filter Espresso Tools Wood Portafilter Holder","EIFOCWCY","$35.49","30","1","$1,065","05/04/2023","","4.1","35","","447,534","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C4D5RLWW"
"","","B0C3W2Z8CV","Mcbazel 58mm Coffee Bottomless Portafilter for FAEMA E61/Expobar E61/Rocket E61ECM and ect, 304 Food Stainless Steel Coffee Espresso Machine Wood Handle Barista Tool","Mcbazel","$27.99","","","$0.00","04/27/2023","","3.6","28","","735,912","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3W2Z8CV"
"","","B0BQDNYLS3","Joytata 51mm Bottomless Portafilter for DeLonghi Espresso Machine Stainless Steel 51mm Portafilter 2 Ear for ECP3420/ECP3630/ECP3120/ECP260BK/ECP265/ECP155/ECP702/BCO430 Handle-RoseWooden","Joytata","$49.99","30","1","$1,500","12/16/2022","","3","1","","595,497","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BQDNYLS3"
"","","B098Q9QF26","Crema Coffee Products - 54mm Bottomless Naked Portafilter - Filter Basket Included - Fits 54mm Breville Machines, Walnut","CREMA COFFEE PRODUCTS","$89.00","557","16","$49,573","10/06/2020","$69.86","4.3","395","$19.14","59,518","6","FBA","2","Home & Kitchen","Standard","4.331 x 10.827 x 2.323 in","2.624 lb","https://www.amazon.com/dp/B098Q9QF26"
"","","B0CPDJBDQ4","FANSIN 51mm Bottomless Portafilter with 3 Ear, Filter Stainless Basket and Solid Wood Handle, Coffee Accessories, Fit Delonghi Dedica Style Series EC680 and EC685 (Beechwood)","FANSIN","$32.99","90","3","$2,969","12/03/2023","","5","1","","296,854","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CPDJBDQ4"
"","","B0C2CMQHXD","BLUCO 54mm Bottomless Portafilter - Bottomless Naked Portafilter - Filter Basket Includes - Fits 54mm Breville Machines","BLUCO","$26.99","60","2","$1,619","04/12/2023","","5","4","","401,953","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2CMQHXD"
"","","B09DS8ZPKZ","CrossCreek 54mm Espresso Bottomless Portafilter with 3 Ear | Fits 54mm Breville/Sage Barista Espresso Machine | Stainless Steel Basket and Solid Wood Handle | Espresso Accessories","CrossCreek","$39.99","380","9","$15,196","08/26/2021","$29.47","4.2","411","$10.52","98,534","7","FBA","1","Home & Kitchen","Standard","3.268 x 9.685 x 1.929 in","0.811 lb","https://www.amazon.com/dp/B09DS8ZPKZ"
"","","B0CPPZJTRP","Crema Coffee Products - 58mm E61 Bottomless Portafilter, Fits Flair 58, ECM, Rocket, Sanremo, Synesso, VBM, Espresso Machine Models - For E61 Group Heads, Walnut","CREMA COFFEE PRODUCTS","$89.00","60","2","$5,340","12/06/2023","","","","","369,752","5","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CPPZJTRP"
"","","B0CQXCVG4P","54mm Bottomless Portafilter - Bottomless Portafilter Filter Basket with 54mm Puck Screen Compatible with Breville Barista Express, Pro, Bambino Plus, Infuser, Duo Temp Pro and 54mm Breville Machines","Ccshyysm","$37.99","90","3","$3,419","12/24/2023","","","","","297,078","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CQXCVG4P"
"","","B0CCRN3J66","Modorate 54mm Bottomeless Portafilter - Fits Breville Espresso Coffee Machine - Espresso Naked Portafilter - Coffee Portafilter","MODORATE","$26.99","94","2","$2,537","07/24/2023","","5","4","","331,758","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCRN3J66"
"","","B0B57S2Z6R","Comunit 54mm Bottomless Portafilter with Filter Basket | Replaces Breville Portafilter | 100% Natural Walnut + Stainless Steel | Bottomless Portafilter 54mm Breville | 54mm Portafilter for Breville","comunit","$54.99","182","5","$10,008","06/26/2022","","4","128","","159,665","6","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0B57S2Z6R"
"","","B00JF9WCBW","Gaggia Bottomless Filter Holder - Portafilter with 3 Cup Filter","Gaggia","$49.98","359","2","$17,943","04/01/2014","$37.28","4.3","314","$12.70","302,660","5","FBA","1","Home & Kitchen","Standard","2.913 x 9.016 x 2.795 in","1.014 lb","https://www.amazon.com/dp/B00JF9WCBW"
"","","B0CGWPYCJD","51mm Bottomless Portafilter Compatible with Gevi Espresso Machine, 51mm Portafilter 3 Ears Caf Barista Fits for Delonghi Dedica EC680/EC685 Included Portafilter Filter Basket Espresso Accessories","DFD","$28.99","90","3","$2,609","10/09/2023","","4.2","5","","280,019","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGWPYCJD"
"","","B0CDQBMCYH","CittaLalage Coffee Espresso 304 Stainless Steel & Wooden Bottomless Portafilter 2 Ears 51mm with Filter Basket (14-18g) Fits for Delonghi Coffee Machine ECP3420/ECO310/BCO430/EC260/EC155/ECP3630","CittaLalage","$28.99","60","2","$1,739","08/03/2023","","3.8","15","","388,288","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDQBMCYH"
"","","B0CQ6ZKSTT","54mm Bottomless PortafilterStainless Steel Espresso Portafilter with Filter Basket Fits for Breville Barista Express, Pro,Touch,Bambino PlusInfuser and Duo-Temp Pro Espresso Machine","MXBTSYA","$33.99","208","8","$7,070","01/15/2024","","4.5","15","","116,900","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CQ6ZKSTT"
