"Export time:  2/14/2024, 2:18:00 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08G4ZPZBZ","RORECAY Bread Banneton Proofing Basket Set of 2, 9 Inch Round & 10 Oval Cane Sourdough Baskets with Lame + Dough Scraper Linen Liner Basting Brush for Making Baking Fermentation","rorecay","$39.99","14,779","427","$591,012","08/17/2020","$28.85","4.6","2,112","$11.14","242","7","FBA","1","Kitchen & Dining","Standard","11.26 x 5.77 x 12.83 in","630 g","https://www.amazon.com/dp/B08G4ZPZBZ"
"Bread Proofing Basket","","B0C5LMXQKW","Bread Proofing Basket, Kikcoin Banneton Bread Proofing Basket Set of 2, 9 Inch & 10 Inch Round Sourdough Proofing Basket with Linen Liner, Bread Lame","Kikcoin","$29.98","2,972","93","$89,101","05/17/2023","","4.6","189","","2,488","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C5LMXQKW"
"Average Monthly Sales: 1,822","","B07BN2C5MD","9 inch Round Bread Banneton Proofing Basket & Liner SUGUS HOUSE Brotform Dough Rising Rattan Handmade rattan bowl - Perfect For Artisan","SUGUS HOUSE","$20.99","3,406","141","$71,492","03/21/2018","$14.07","4.6","2,031","$6.92","1,416","6","FBA","1","Kitchen & Dining","Standard","8.6 x 9.4 x 3.4 in","0.399 lb","https://www.amazon.com/dp/B07BN2C5MD"
"Average Revenue: $58,528","","B08DKXVQTM","Bread Banneton Proofing Basket Set, 10 Inch Round & 9.6 Inch Oval Bread Proofing Basket Natural Rattan Banneton for Sourdough with Dough Whisk + Dough Scraper + Bread Lame + Cloth Liner","TNELTUEB","$39.99","1,925","62","$76,981","07/23/2020","$26.96","4.6","1,975","$13.03","4,090","7","FBA","1","Kitchen & Dining","Standard","10.4 x 14 x 5.7 in","1.601 lb","https://www.amazon.com/dp/B08DKXVQTM"
"Average Price: $33.34","","B089LVDXGB","Wwyybfk Banneton Bread Proofing Basket, Sourdough Bread Baking Supplies, 9' Sourdough Bread Proofing Basket Baking Set","Wwyybfk","$28.99","1,304","34","$37,803","06/02/2020","$18.85","4.5","583","$10.14","8,154","6","FBA","1","Kitchen & Dining","Standard","9.1 x 9.1 x 5 in","1.451 lb","https://www.amazon.com/dp/B089LVDXGB"
"Average No. of Ratings: 919","","B07CBV3YSZ","Chefast Banneton Proofing Basket Set of 9.5 Natural Rattan Basket with Brotform Cloth Liner, 8 Bread Stencils and Bowl/Dough Scraper + Instructions - Make Perfectly Round Sourdough Boules","Chefast","$12.99","455","40","$5,910","07/15/2018","$7.27","4.6","645","$5.72","6,778","8","FBA","1","Kitchen & Dining","Standard","9.4 x 9.6 x 3.2 in","0.701 lb","https://www.amazon.com/dp/B07CBV3YSZ"
"Average Sales Rank: 22,088","","B086RK5VP6","10' Round Bread Banneton Proofing Basket for Sourdough, Rising Dough Baking Bowl Kit, Gifts for Artisan Bread Making Starter, Includes Linen Liner, Metal Dough Scraper, Scoring Lame & Case, 5 Blades","ttmagic","$27.99","166","4","$4,646","05/20/2020","$16.76","4.6","1,219","$11.23","56,572","7","FBA","1","Kitchen & Dining","Standard","10.83 x 12.99 x 5.24 in","0.97 lb","https://www.amazon.com/dp/B086RK5VP6"
"Average Rating Number: 4.6","","B0B4DPT25Q","Superbaking Banneton Bread Proofing Basket Set, Oval 10' Sourdough Proofing Basket for Bread Making Tools Supplies, Bread Baking Supplies, Artisan Bread Kit, Gifts for Bakers","Superbaking","$27.97","9,664","332","$270,302","08/24/2022","","4.7","3,404","","377","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B4DPT25Q"
"","","B07K79N1RD","DOYOLLA Bread Proofing Baskets Set of 2 8.5 inch Round Dough Proofing Bowls w/Liners Perfect for Home Sourdough Bakers Baking","DOYOLLA","$32.99","4,447","176","$146,707","01/31/2019","$22.90","4.7","1,407","$10.09","1,036","6","FBA","1","Kitchen & Dining","Standard","5.67 x 5.59 x 8.62 in","1.47 lb","https://www.amazon.com/dp/B07K79N1RD"
"","","B089K7HZM4","Bread Proofing Basket Set 9.6 Inch Oval and 10 Inch Round Natural Rattan Proofing Baskets with Bread Lame and Dough Scraper and Linen Liner Bread Making Tools for Professional and Home Bakers","TNELTUEB","$34.99","1,833","62","$64,137","05/31/2020","$23.01","4.6","1,975","$11.98","4,090","7","FBA","2","Kitchen & Dining","Standard","11.14 x 4.21 x 14.53 in","1.81 lb","https://www.amazon.com/dp/B089K7HZM4"
