"Export time:  1/28/2024, 5:52:03 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B06VVLD2GL","Amazon Basics 10 Security-Tinted Self-Seal Business Letter Envelopes, Peel & Seal Closure - 500-Pack, White","Amazon Basics","$21.79","17,868","677","$389,344","10/10/2018","$11.19","4.8","15,330","$10.60","118","6","AMZ","5","Office Products","Standard","9.9 x 4.5 x 12.2 in","6.47 lb","https://www.amazon.com/dp/B06VVLD2GL"
"Business Envelopes","","B078S5ZL5D","10 Envelopes Letter Size Self Seal, Business White Security Tinted Peel and Seal, 500 Pack Windowless, Legal Size Regular Plain Envelopes 4-1/8 x 9-1/2 Inches - 24 LB Envelops","Splendoress","$26.95","12,775","402","$344,286","01/02/2018","$15.58","4.6","7,067","$11.37","297","6","FBA","1","Office Products","Standard","10 x 4.25 x 11.5 in","6.06 lb","https://www.amazon.com/dp/B078S5ZL5D"
"Average Monthly Sales: 3,514","","B01D0OANU4","10 Security Tinted Self-Seal Envelopes - No Window - EnveGuard, Size 4-1/8 X 9-1/2 Inches - White - 24 LB - 100 Count (34100)","Aimoh","$9.99","36,135","1,127","$360,989","04/05/2016","$3.35","4.8","34,160","$6.64","43","6","FBA","3","Office Products","Standard","4.3 x 2.2 x 9.7 in","1.37 lb","https://www.amazon.com/dp/B01D0OANU4"
"Average Revenue: $53,360","","B0006HW15E","Quality Park Business Envelopes (QUA90090), Super White, 9","Quality Park","$25.16","150","5","$3,774","02/12/2005","$14.36","4.4","88","$10.80","46,211","6","AMZ","21","Office Products","Standard","9.1 x 4 x 12 in","5.75 lb","https://www.amazon.com/dp/B0006HW15E"
"Average Price: $19.62","","B0BVBQR3L4","Columbian 10 Security Envelopes, 500/Box, No Window, 4-1/8 x 9-1/2 Inches, Release & Seal Self Seal, White (COLO151)","Columbian","$20.72","5,954","89","$123,367","02/08/2023","$10.28","4.7","130","$10.44","2,502","7","AMZ","2","Office Products","Standard","9.8 x 4.29 x 12.2 in","6.43 lb","https://www.amazon.com/dp/B0BVBQR3L4"
"Average No. of Ratings: 3,166","","B016V06OYS","10 Security Self-Seal Envelopes, Windowless Design, Premium Security Tint Pattern, Ultra Strong Quick-Seal Closure - EnveGuard - Size 4-1/8 x 9-1/2 Inches - White - 24 LB - 500 Count (34010)","Aimoh","$27.99","13,169","369","$368,600","10/18/2015","$16.55","4.8","8,618","$11.44","342","6","FBA","7","Office Products","Standard","10 x 4.25 x 11.5 in","6.85 lb","https://www.amazon.com/dp/B016V06OYS"
"Average Sales Rank: 45,308","","B07PDNRRMC","5008 Double Window Self Seal Security Envelopes - for Business Checks, QuickBooks & Quicken Checks, Size 3 5/8 x 8 11/16 Inches - Checks Fit Perfectly - Not for Invoices, 500 Count (30180)","Aimoh","$29.98","1,648","40","$49,407","04/01/2019","$18.45","4.6","932","$11.53","6,143","6","FBA","3","Office Products","Standard","5 x 0.01 x 8 in","5.57 lb","https://www.amazon.com/dp/B07PDNRRMC"
"Average Rating Number: 4.6","","B0CGBTMXFS","5009 FLIP & SEAL Double Window Security Envelopes - for Invoices, Statements & Documents, Self-Sealing Adhesive Seal, Security Tinted, Size 3-7/8 x 8-7/8-24 LB - 500 Count (30109)","Aimoh","$27.99","2,262","63","$63,313","09/03/2023","$16.76","4.6","1,243","$11.23","3,741","7","FBA","2","Office Products","Standard","9.5 x 4 x 11.5 in","5.59 lb","https://www.amazon.com/dp/B0CGBTMXFS"
"","","B0186D2JGK","Top Flight PSTF10NWT 10 Envelopes, Strip & Seal, Security Tinted, White Paper, 24 lb, 500 Count","Top Flight","$18.99","10,039","257","$190,641","09/09/2010","$9.11","4.8","4,450","$9.88","603","5","AMZ","3","Office Products","Standard","10 x 4.3 x 11.8 in","6 lb","https://www.amazon.com/dp/B0186D2JGK"
"","","B07FK9PCZB","Quality Park 10 Security Envelopes, No Window, Redi-Strip Self Seal Envelopes, 24-lb White Wove, 4-1/8' x 9-1/2', 100 per Box (QUA69117)","Quality Park","$8.72","9,994","296","$87,148","07/12/2018","$2.89","4.8","27,626","$5.83","486","7","AMZ","1","Office Products","Standard","4.25 x 2.03 x 9.63 in","14.6 oz","https://www.amazon.com/dp/B07FK9PCZB"
