"Export time:  2/13/2024, 12:16:05 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CPXY83W1","ZOKCC Candle Warmer Lamp with Timer: Dimmable Candle Lamps Warmer with Adjustable Height for Home Decor - Mothers Day Gifts House Warming Gift New Home","ZOKCC","$29.99","220","8","$6,598","12/10/2023","$19.06","4.6","11","$10.93","111,375","7","FBA","1","Home & Kitchen","Standard","5.9 x 13.7 x 5.9 in","1.41 lb","https://www.amazon.com/dp/B0CPXY83W1"
"Candle Warmer Lamp with Timer","","B0CLNV6PQ9","Hong-in Candle Warmer Lamp-Electric Candle Lamp Warmer with Timer, Dimmable Candle Warmers for Jar Candles,Gifts for Women,Wax Melt Warmer with 2 Bulbs for Bedroom Home Decor,Valentines Day Gifts","Hong-in","$29.99","1,530","51","$45,885","01/29/2024","$19.70","4","5","$10.29","17,590","7","FBA","1","Home & Kitchen","Standard","5.1 x 14 x 5.1 in","2.65 lb","https://www.amazon.com/dp/B0CLNV6PQ9"
"Average Monthly Sales: 1,342","","B0CHRMQG2T","YIQAN Candle Warmer Lamp with 50W GU10 Bulb for Wax Scented Candle Warmer,Scented Candles with 2 * 50W Bulb,Candle Warmer with Timer&Dimmer(Rose Golden Glass Shade)","YIQAN","$29.99","164","4","$4,918","09/01/2023","$19.06","4.7","36","$10.93","212,304","7","FBA","2","Home & Kitchen","Standard","5.5 x 5.5 x 11.8 in","3.16 lb","https://www.amazon.com/dp/B0CHRMQG2T"
"Average Revenue: $40,274","","B0CJRH24P2","Candeldo Candle Warmer Lamp with Timer: Flower Candle Lamp Warmers for Jar with 2 Bulbs Height Adjustable Candle Lamps Vintage Home Decor Christmas Gift for Woman","Candeldo","$32.99","930","31","$30,681","09/24/2023","$21.01","4.5","20","$11.98","29,688","7","FBA","1","Home & Kitchen","Standard","6.7 x 10.6 x 6.7 in","3.7 lb","https://www.amazon.com/dp/B0CJRH24P2"
"Average Price: $31.62","","B0BR4ZX5ND","Candle Warmer Lamp with 2 Bulbs,Electric Candle Warmer with Timer,Christmas Gifts for Candle Lovers,Dimmable Candle Lamp,Compatible with Various Candles, Candle Holders for Home Decor (Black)","XJZJY","$29.99","5,839","233","$175,112","12/27/2022","$19.70","4.6","949","$10.29","2,444","7","FBA","4","Home & Kitchen","Standard","6 x 10 x 6 in","1 lb","https://www.amazon.com/dp/B0BR4ZX5ND"
"Average No. of Ratings: 299","","B0CGTZY3KB","Noojinn Candle Warmer Lamp with Timer/Dimmer/Adjustable Height, Wood Base Electric Top Down Melting Candle Warming Lamps for Jar Candles, Home Decor Valentines Day Gifts for Daughter/Mom/Women, White","Noojinn","$22.99","3,445","189","$79,201","08/28/2023","$13.75","4.6","179","$9.24","3,333","7","FBA","2","Home & Kitchen","Standard","4.6 x 10.5 x 6.9 in","1.96 lb","https://www.amazon.com/dp/B0CGTZY3KB"
"Average Sales Rank: 131,661","","B0CCYCBRSK","TOACSUCP Candle Warmer Lamp with 3 Bulbs, Adjustable Height Dimmable Candle Warmer with Timer, Compatible with Large Jar Candles, Candle Lamp with Charming Gift Box Ribbon for Her/Him(Natural Wood)","TOACSUCP","$29.98","3,026","96","$90,719","07/26/2023","$19.69","4.6","156","$10.29","8,271","7","FBA","3","Home & Kitchen","Standard","5.5 x 5.5 x 11.2 in","2.6 lb","https://www.amazon.com/dp/B0CCYCBRSK"
"Average Rating Number: 4.6","","B0CG8J41Q5","Candle Warmer Lamp with Timer - 2 Bulbs, 4 Levels Dimmable - Ideal Bedroom Home Decor & Christmas Gifts for Women Mom Electric Wax Melter Widened Design for Jar Vintage Candle, Adjustable Height","OGACFO","$29.99","334","5","$10,017","10/15/2023","$18.46","4.7","111","$11.53","172,948","7","FBA","1","Home & Kitchen","Standard","8 x 8 x 12.5 in","3.3 lb","https://www.amazon.com/dp/B0CG8J41Q5"
"","","B0CM66X5KZ","Flelano Candle Warmer Lamp,Electric Candle Warmer Lamp with APP Control,2 Bulbs,Adjustable Warmer Lamp with Timer&Dimmer for All Jar Candles,Bedroom Home Decor,Birthday &Christmas Gifts for Women Mom","Flelano","$39.99","30","1","$1,200","10/30/2023","$26.06","4.5","56","$13.93","657,341","7","FBA","31","Home & Kitchen","Standard","3.75 x 13.78 x 6.89 in","3.28 lb","https://www.amazon.com/dp/B0CM66X5KZ"
"","","B0C9DHC636","kelary Candle Lamp, Candle Warmer Lamp with 2h/4h/8h Timer and Dimmer, Height Adjustable Candle Warmer for Jar Candles Wooden Base Candles Wax Warmer with 2 Bulbs Black","kelary","$34.98","373","14","$13,048","08/11/2023","$23.00","4.5","62","$11.98","64,710","7","FBA","1","Home & Kitchen","Standard","8.5 x 12 x 6 in","3.4 lb","https://www.amazon.com/dp/B0C9DHC636"
"","","B0CHK2SCPD","Keevvon Candle Warmer Lamp, Adjustable Height Candle Lamp Warmer with Timer, Electric Dimmable Wax Melt Warmer for Jar Candles with 2 Bulbs, Bedroom Home Decor Aesthetic Gift (Amber)","Keevvon","$24.99","582","32","$14,544","09/06/2023","$15.45","4.7","32","$9.54","29,090","7","FBA","1","Home & Kitchen","Standard","6.3 x 6.14 x 10.39 in","2.82 lb","https://www.amazon.com/dp/B0CHK2SCPD"
"","","B0BYGLJZ3C","Candle Warmer Lamp with Timer and Brightness Adjustments, Lamp Candle Warmer Lamp for Jar Candles, Candle Lamps for Warming Scented Candles, Candle Lamp Warmer Light and Melting, Calentador de Velas","Uniqli Decor","$29.87","60","1","$1,792","08/03/2023","$18.66","4.8","30","$11.21","572,816","7","FBA","30","Home & Kitchen","Standard","6.3 x 15 x 6.3 in","2.29 lb","https://www.amazon.com/dp/B0BYGLJZ3C"
"","","B0BZPCGBYT","NVRGIUP Candle Lamp with Timer & Dimmer - Height Adjustable for Scented Candles, With 2 * 50W Bulbs - Home Decor Gift for Mothers Day (Black)","NVRGIUP","$34.99","5,484","166","$191,885","04/17/2023","","4.4","580","","4,004","7","FBA","11","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZPCGBYT"
