"Export time:  2/13/2024, 12:17:18 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09YCVYCQ2","ASAWASA Candle Warmer for Large Jar, Coffee Mug Warmers, Safely Releases Scents Without a Flame, Melt The Candle Quickly, Enjoy Your Warm Coffee Tea. Gifts for Festival Birthday Women Men Mom Dad","ASAWASA","$8.99","8,010","267","$72,010","07/23/2022","$3.87","4.5","1,170","$5.12","1,980","7","FBA","1","Home & Kitchen","Standard","5.5 x 6.9 x 1.9 in","0.399 lb","https://www.amazon.com/dp/B09YCVYCQ2"
"Candle Warmer","","B0BZ7ZDVRW","Elegant Candle Lamp with Bulbs, Timer and Dimmer - Compatible with All Jar Candles for Scented Wax Melting - Amber Glass Candle Warmer for Home Decoration","TigQiang","$29.99","4,625","152","$138,704","03/21/2023","$18.76","4.7","196","$11.23","4,533","7","FBA","1","Home & Kitchen","Standard","7 x 14 x 7 in","3.42 lb","https://www.amazon.com/dp/B0BZ7ZDVRW"
"Average Monthly Sales: 1,840","","B0BR4ZX5ND","Candle Warmer Lamp with 2 Bulbs,Electric Candle Warmer with Timer,Christmas Gifts for Candle Lovers,Dimmable Candle Lamp,Compatible with Various Candles, Candle Holders for Home Decor (Black)","XJZJY","$29.99","5,839","233","$175,112","12/27/2022","$19.70","4.6","949","$10.29","2,444","7","FBA","4","Home & Kitchen","Standard","6 x 10 x 6 in","1 lb","https://www.amazon.com/dp/B0BR4ZX5ND"
"Average Revenue: $45,788","","B0CHRCTWS4","Candle Warmer Lamp, Adjustable Height Candle Warmer with Timer, Remote, Dimmable. Electric Candle Warmer, Wax Melt Warmer for Scented Wax Jar Candles Home Bedroom Decoration, Valentine's Day Gift","NMLLIFE","$24.99","348","16","$8,697","09/10/2023","$14.81","4.4","26","$10.18","56,862","7","FBA","1","Home & Kitchen","Standard","3.7 x 6.89 x 6.89 in","3.53 lb","https://www.amazon.com/dp/B0CHRCTWS4"
"Average Price: $27.18","","B0CKXB39S7","Candle Warmer Lamp, Metal Candle Warmer Dimmable Candle Melter for Scented Candles Top-Down Candle Melting with 2 Bulbs, Home Decor and Gift for Christmas, Her, Wedding","Kakdsoip","$22.99","120","2","$2,759","10/11/2023","","4.9","25","","310,565","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKXB39S7"
"Average No. of Ratings: 995","","B00T59VC8Q","One Fur All, Pet House Candle - 100% Plant-Based Wax Candle - Pet Odor Eliminator for Home - Non-Toxic and Eco-Friendly Air Freshening Scented Candles - (Pack of 1, Lavender Green Tea)","One Fur All","$22.99","3,447","120","$79,247","02/02/2015","$14.40","4.4","9,608","$8.59","2,307","6","FBA","1","Pet Supplies","Standard","4.57 x 4.02 x 9.41 in","1.79 lb","https://www.amazon.com/dp/B00T59VC8Q"
"Average Sales Rank: 71,206","","B0BNHDWZL4","CHIACHIA Candle Warmer Lamp with Timer, Compatible with Jar Candles, Metal Top Dimmable Candle Warmer with 2 Bulbs for Scented Candles (Black)","CHIACHIA","$57.99","173","6","$10,032","02/12/2023","","4.5","195","","147,629","7","FBA","30","Home & Kitchen","","","","https://www.amazon.com/dp/B0BNHDWZL4"
"Average Rating Number: 4.5","","B0BP1LH2K4","Funny Unique Gifts for Her, Women, Colleagues,Mom and Wife,Birthday,Valentines Day, Rotating Scented Candles(Rose).","Kelly's Custom Candles","$24.99","546","37","$13,645","12/04/2022","$17.70","4.6","121","$7.29","25,254","6","FBA","1","Home & Kitchen","Standard","2.36 x 6.3 x 2.36 in","3.53 oz","https://www.amazon.com/dp/B0BP1LH2K4"
"","","B08PG5PGG2","Large Candle Warmer Plate Safely Releases Scents Without a Flame- Used as Candle Jar Warmer, Candle Melter, Coffee Warmer, Mug Warmer, Cup Warmer in Your Home & Office, 1 Pack, White","BULK PARADISE","$9.99","4,649","137","$46,444","12/01/2020","$4.72","4.6","4,892","$5.27","5,243","7","FBA","1","Home & Kitchen","Standard","6.25 x 1.25 x 10.5 in","0.43 lb","https://www.amazon.com/dp/B08PG5PGG2"
"","","B0BZHFHQ4R","Candle Warmer Lamp - Dimmable Scented Electric Candle Warmer with Timer, Compatible with Large & Small Candle Jars, 4 Bulbs Included(Clear)","Light elves","$32.99","372","21","$12,272","03/23/2023","","4.3","238","","44,404","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZHFHQ4R"
"","","B074TZDXBC","CANDLE WARMERS ETC 2-in-1 Candle and Fragrance Warmer for Warming Scented Candles or Wax Melts and Tarts with to Freshen Room, Bronze and Walnut-Finish Ceramic","CANDLE WARMERS ETC","$18.79","3,069","88","$57,667","08/14/2017","$4.75","4.6","13,920","$14.04","9,234","7","FBA","4","Home & Kitchen","Oversize","7.1 x 6.1 x 19.3 in","5.51 lb","https://www.amazon.com/dp/B074TZDXBC"
"","","B0CGTZY3KB","Noojinn Candle Warmer Lamp with Timer/Dimmer/Adjustable Height, Wood Base Electric Top Down Melting Candle Warming Lamps for Jar Candles, Home Decor Valentines Day Gifts for Daughter/Mom/Women, White","Noojinn","$22.99","3,445","189","$79,201","08/28/2023","$13.75","4.6","179","$9.24","3,333","7","FBA","2","Home & Kitchen","Standard","4.6 x 10.5 x 6.9 in","1.96 lb","https://www.amazon.com/dp/B0CGTZY3KB"
"","","B0036FQDA2","CANDLE WARMERS ETC. Auto Shutoff Candle Warmer Plate (White, Plug-in)  Modern Candle Wax Warmer with 8-Hour Timer","CANDLE WARMERS ETC","$12.99","4,035","119","$52,415","11/23/2010","$7.27","4.5","9,434","$5.72","6,299","6","FBA","2","Home & Kitchen","Standard","5.4 x 7.5 x 2.3 in","0.549 lb","https://www.amazon.com/dp/B0036FQDA2"
"","","B0BZ53N7RL","GEEZO Fragrance Candle Warmer Lamp with 2 Bulbs Electric Candle Warmer with Timer & Dimmer for Home Decor Wax Melt for Small Large Size Jar Candles Retro Wooden Base","Geezo","$29.99","4,544","182","$136,275","03/20/2023","","4.8","274","","3,519","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZ53N7RL"
"","","B0CLLKL9BD","Candle Warmer Wax Melter, Warmer Plate for Candle Jar, Wax Cubes Melter, Warmer Plate, Electric Coffee Mug Warmer, Tea or Various Beverages Warmer, for Home, Office Desk, etc(Black)","Dialan's","$7.99","1,198","49","$9,572","10/22/2023","","4.4","48","","18,478","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CLLKL9BD"
"","","B0CLNV6PQ9","Hong-in Candle Warmer Lamp-Electric Candle Lamp Warmer with Timer, Dimmable Candle Warmers for Jar Candles,Gifts for Women,Wax Melt Warmer with 2 Bulbs for Bedroom Home Decor,Valentines Day Gifts","Hong-in","$29.99","1,530","51","$45,885","01/29/2024","$19.70","4","5","$10.29","17,590","7","FBA","1","Home & Kitchen","Standard","5.1 x 14 x 5.1 in","2.65 lb","https://www.amazon.com/dp/B0CLNV6PQ9"
"","","B0C2771TLS","Candle Warmer Lamp with Timer, Dimmable Electric Candle Lamp Warmer for Jar Candles, Valentines Gifts for Her, Candle Heater House Warming Gifts, Women Gifts for Valentines Day, Home Decor for Bedroom","Funistree","$25.98","1,118","40","$29,046","06/17/2023","$16.29","4.7","233","$9.69","22,767","7","FBA","3","Home & Kitchen","Standard","5.3 x 10.5 x 5.3 in","1.85 lb","https://www.amazon.com/dp/B0C2771TLS"
"","","B0CCYCBRSK","TOACSUCP Candle Warmer Lamp with 3 Bulbs, Adjustable Height Dimmable Candle Warmer with Timer, Compatible with Large Jar Candles, Candle Lamp with Charming Gift Box Ribbon for Her/Him(Natural Wood)","TOACSUCP","$29.98","3,026","96","$90,719","07/26/2023","$19.69","4.6","156","$10.29","8,271","7","FBA","3","Home & Kitchen","Standard","5.5 x 5.5 x 11.2 in","2.6 lb","https://www.amazon.com/dp/B0CCYCBRSK"
"","","B0CF9TL3V8","Yuichoy Candle Warmer Lamp with Timer, Dimmable Electric Candle Wamer, Adjustable Height Glass Candle Melter Lamp for Jar Candle, Black","Yuichoy","$29.99","1,796","44","$53,862","08/08/2023","","4.6","57","","20,908","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CF9TL3V8"
"","","B0CLLJ94ZK","Candle Warmer Lamp, Candle Lamp Warmer with Dimmer, Electric Candle Warmer for Jar Candles Lamp Warmer, Gifts for Mom, Bedroom Home Decor, 2/4/8H Timer Adjustable Height with 2 Bulbs","widicoko","$24.99","1,779","56","$44,457","10/22/2023","$15.45","4.3","114","$9.54","15,660","7","FBA","1","Home & Kitchen","Standard","1 x 1 x 1 in","2.02 lb","https://www.amazon.com/dp/B0CLLJ94ZK"
"","","B0BZPGDR1B","NVRGIUP Candle Warmer, Candle Warmer Lamp with Timer & Dimmer Candle Warmer Height Adjustable for All Size Scented Candles, Candle Warmer with 2 * 50W Bulbs for Home Decor Mothers Day Gifts(Gold)","NVRGIUP","$34.99","5,361","166","$187,581","03/26/2023","","4.4","580","","4,004","7","FBA","8","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZPGDR1B"
"","","B0CKR5LY26","yvyvpat Candle Warmer Lamp with Timer, Candle Warming Lamp for Large Jar Candles, Adjustable Height Dimmable Metal Top Wooden Base Candle Warmer with 2 BulbsBlack and Gold","yvyvpat","$39.99","240","8","$9,598","10/12/2023","$26.36","4.1","17","$13.63","117,371","6","FBA","1","Home & Kitchen","Standard","6.69 x 11.81 x 7.48 in","3.06 lb","https://www.amazon.com/dp/B0CKR5LY26"
"","","B0BJV12BSF","Qoyntuer Candle Warmer Lamp with Timer, Dimmable Candle Light Electric Candle Warmer Compatible with Various Candles, Candle Holders for Home Decor, Gifts for Christmas/Birthday/Housewarming","Qoyntuer","$36.99","2,150","38","$79,529","10/19/2022","","4.6","321","","24,460","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BJV12BSF"
"","","B0CNPDXW68","Zecnaud Candle Warmer Lamp with Timer, Electric Candle Warmer Wax Melts Dimmable Lamp Home Decor Compatible with Small & Large Candle Gift for Mom, 2 Bulbs Included (Bronze)","Zecnaud","$35.99","594","8","$21,378","12/10/2023","$24.16","4.6","16","$11.83","112,973","7","FBA","1","Home & Kitchen","Standard","6.7 x 12.2 x 6.7 in","1 lb","https://www.amazon.com/dp/B0CNPDXW68"
