"Export time:  2/13/2024, 12:19:19 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CKR6H7WK","yvyvpat Candle Warmer Lamp with Timer, Candle Warming Lamp for Large Jar Candles, Adjustable Height Dimmable Metal Top Wooden Base Candle Warmer with 2 Bulbs Black","yvyvpat","$39.99","240","8","$9,598","10/12/2023","$25.76","4.1","17","$14.23","117,371","6","FBA","1","Home & Kitchen","Standard","6.69 x 11.81 x 7.48 in","3 lb","https://www.amazon.com/dp/B0CKR6H7WK"
"Candle lamp","","B0CLNV6PQ9","Hong-in Candle Warmer Lamp-Electric Candle Lamp Warmer with Timer, Dimmable Candle Warmers for Jar Candles,Gifts for Women,Wax Melt Warmer with 2 Bulbs for Bedroom Home Decor,Valentines Day Gifts","Hong-in","$29.99","1,530","51","$45,885","01/29/2024","$19.70","4","5","$10.29","17,590","7","FBA","1","Home & Kitchen","Standard","5.1 x 14 x 5.1 in","2.65 lb","https://www.amazon.com/dp/B0CLNV6PQ9"
"Average Monthly Sales: 1,276","","B0BRPQLHTP","LALISU Candle Warmer Lamp with 2 Bulbs Compatible with Jar Vintage Electric Touch Control Dimmable Candle Melter Top Melting for Scented Wax (Touch-Black)","LALISU","$19.99","745","28","$14,893","01/04/2023","$10.56","4.4","251","$9.43","33,338","7","FBA","1","Home & Kitchen","Standard","5.51 x 12.59 x 6.69 in","2.24 lb","https://www.amazon.com/dp/B0BRPQLHTP"
"Average Revenue: $36,877","","B0CKKQGNDG","FINPOT Candle Lamp Warmer, Candle Warmer Lamp with Timer & Dimmer,Valentines Day Gifts, Candle Warming Lamp with USB Charging Ports & 2 Bulbs, Wax Warmer Lamps for All Size Scented Candles Home Decor","FINPOT","$39.99","270","9","$10,797","10/05/2023","$28.80","4.9","11","$11.19","99,777","7","FBA","1","Home & Kitchen","Standard","7 x 4 x 11 in","2 lb","https://www.amazon.com/dp/B0CKKQGNDG"
"Average Price: $30.44","","B0BR4ZX5ND","Candle Warmer Lamp with 2 Bulbs,Electric Candle Warmer with Timer,Christmas Gifts for Candle Lovers,Dimmable Candle Lamp,Compatible with Various Candles, Candle Holders for Home Decor (Black)","XJZJY","$29.99","5,839","233","$175,112","12/27/2022","$19.70","4.6","949","$10.29","2,444","7","FBA","4","Home & Kitchen","Standard","6 x 10 x 6 in","1 lb","https://www.amazon.com/dp/B0BR4ZX5ND"
"Average No. of Ratings: 158","","B0BZ7ZDVRW","Elegant Candle Lamp with Bulbs, Timer and Dimmer - Compatible with All Jar Candles for Scented Wax Melting - Amber Glass Candle Warmer for Home Decoration","TigQiang","$29.99","4,625","152","$138,704","03/21/2023","$18.76","4.7","196","$11.23","4,533","7","FBA","1","Home & Kitchen","Standard","7 x 14 x 7 in","3.42 lb","https://www.amazon.com/dp/B0BZ7ZDVRW"
"Average Sales Rank: 145,845","","B0CGTZY3KB","Noojinn Candle Warmer Lamp with Timer/Dimmer/Adjustable Height, Wood Base Electric Top Down Melting Candle Warming Lamps for Jar Candles, Home Decor Valentines Day Gifts for Daughter/Mom/Women, White","Noojinn","$22.99","3,445","189","$79,201","08/28/2023","$13.75","4.6","179","$9.24","3,333","7","FBA","2","Home & Kitchen","Standard","4.6 x 10.5 x 6.9 in","1.96 lb","https://www.amazon.com/dp/B0CGTZY3KB"
"Average Rating Number: 4.6","","B09KC4JQ6P","luzdiosa Candle Warmer Lamp with 2 Bulbs Compatible with Jar Candles Vintage Electric Dimmable Candle Melter Top Melting for Scented Wax (Amber)","luzdiosa","$27.99","2,599","73","$72,746","10/25/2021","$17.06","4.5","824","$10.93","11,595","7","FBA","1","Home & Kitchen","Standard","6.3 x 6.3 x 14.5 in","2.8 lb","https://www.amazon.com/dp/B09KC4JQ6P"
"","","B0BNHDWZL4","CHIACHIA Candle Warmer Lamp with Timer, Compatible with Jar Candles, Metal Top Dimmable Candle Warmer with 2 Bulbs for Scented Candles (Black)","CHIACHIA","$57.99","173","6","$10,032","02/12/2023","","4.5","195","","147,629","7","FBA","30","Home & Kitchen","","","","https://www.amazon.com/dp/B0BNHDWZL4"
"","","B0CMV2W797","Cozyvibes Candle Warmer, Compatible with Yankee Candle Large Jar, Candle Warmer Lamp, Dimmable Candle Melter for Scented Candle (Black)","Cozyvibes","$30.00","120","4","$3,600","11/06/2023","","4.8","41","","207,561","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMV2W797"
"","","B0CKSRQVYJ","Candle Wax Melt Warmer for Jar Candles, Safely Releases Scents Without a Flame, Coffee Mug Warmer for Desk Gravity-Induction Auto Shut Off, Electric Self Heated Plate for Heating Milk, Tea","aromara","$19.99","1,920","64","$38,381","10/09/2023","","4.4","278","","13,550","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKSRQVYJ"
"","","B0CJRNT3R8","XUKEIB Coffee Mug Warmer for Desk Auto Shut Off, Candle Wax Melt Warmer for Jar Candles, Safely Releases Scents Without a Flame, Electric Self Heated Plate for Heating Milk, Tea, Hot Chocolate","Xukeib","$16.89","717","13","$12,110","09/24/2023","","4.6","337","","73,287","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJRNT3R8"
