"Export time:  2/14/2024, 2:13:44 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07SQYBLJJ","storageLAB China Storage Containers, Containers for Organizing, Hard Shell Case, Felt Plate Dividers, Moving Supplies, Storage Box, Wine, Dishes, Glasses Storage, Charger Plates Storage Containers","storageLAB","$57.40","5,595","143","$321,153","06/04/2019","$39.06","4.8","9,484","$18.34","1,397","7","FBA","7","Kitchen & Dining","Standard","14 x 18 x 8 in","7 lb","https://www.amazon.com/dp/B07SQYBLJJ"
"China Storage Containers","","B07SQYTF8W","storageLAB China Storage Containers, Containers for Organizing, Hard Shell Case, Felt Plate Dividers, Moving Supplies, Storage Box, Wine, Dishes, Glasses Storage, Charger Plates Storage Containers","storageLAB","$49.99","493","18","$24,645","08/16/2019","$33.96","4.8","2,991","$16.03","15,540","6","FBA","1","Kitchen & Dining","Standard","13.7 x 15.98 x 6.93 in","4.05 lb","https://www.amazon.com/dp/B07SQYTF8W"
"Average Monthly Sales: 853","","B0B2QLHJ2G","HOMELUX THEORY Hard Shell China Storage Containers, 8pc Mug & Plate Storage Box Thick Surfaces & Cover for Packing, Heavy Duty Moving Box with Handles for Dishes, Glassware, Silverware, Cup & Mug","HOMELUX THEORY","$99.99","1,431","46","$143,086","05/29/2022","","4.8","773","","5,732","7","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B2QLHJ2G"
"Average Revenue: $35,200","","B07DGG4QPQ","Woffit China Storage Containers - 6 Pack, Quilted Dinnerware & Stemware Set Bins for Packing Dishes and Glasses w/ 48 Felt Protectors - Christmas, Seasonal Storage","Woffit","$40.99","2,054","43","$84,193","05/31/2018","$26.91","4.6","9,653","$14.08","6,262","6","FBA","4","Kitchen & Dining","Standard","13.2 x 16 x 5.5 in","5.6 lb","https://www.amazon.com/dp/B07DGG4QPQ"
"Average Price: $34.32","","B08JJDX2ZZ","China Storage Containers 5-Piece Set Moving Boxes for Dinnerware, Glasses, Plates, Mugs and Saucers Sturdy Quilted Microfiber Dish Organizer with Dividers for Seasonal Storage - Service for 12","HOLDN STORAGE","$29.99","3,879","108","$116,331","09/18/2020","$17.56","4.5","2,577","$12.43","2,042","6","FBA","6","Kitchen & Dining","Standard","13.7 x 4.88 x 16.93 in","1.94 lb","https://www.amazon.com/dp/B08JJDX2ZZ"
"Average No. of Ratings: 1,273","","B003XARB7E","Honey-Can-Do SFT-01630 Dinnerware Storage Set, 5-Piece,White","Honey-Can-Do","$16.99","1,641","39","$27,881","04/28/2013","$7.71","4.5","3,235","$9.28","6,889","5","AMZ","2","Kitchen & Dining","Standard","13.07 x 14.13 x 3.39 in","1.59 lb","https://www.amazon.com/dp/B003XARB7E"
"Average Sales Rank: 53,763","","B081264RS7","storageLAB China Storage Containers, Containers for Organizing, Hard Shell Case, Felt Plate Dividers, Moving Supplies, Storage Box, Wine, Dishes, Glasses Storage, Charger Plates Storage Containers","storageLAB","$57.40","6,461","143","$370,861","06/03/2019","$39.96","4.8","9,484","$17.44","1,397","7","FBA","1","Kitchen & Dining","Standard","13.898 x 16.378 x 7.126 in","5.269 lb","https://www.amazon.com/dp/B081264RS7"
"Average Rating Number: 4.6","","B085128L85","Teemto China Storage Containers Quilted. 7PC Dishes Storage Kit with 48 Cut-to-Size Felt Inners. Fine China Storage, Plate Platter Storage, Glass and Dish Storage, Crystal Stemware, Moving Supplies","Teemto","$53.99","616","21","$33,258","04/27/2020","$37.06","4.6","1,498","$16.93","13,317","7","FBA","1","Kitchen & Dining","Standard","13.15 x 7.44 x 16.61 in","3.19 lb","https://www.amazon.com/dp/B085128L85"
"","","B0BQ6PN4P2","China Storage Containers-Quilted Dish Storage Containers with Lid Hard Shell for Moving Transport, Dinnerware Storage,Stackable Plate Storage,24 Felt Plate Dividers Included,2PACK 12*12*8in(Dark Grey)","ouruer","$24.99","1,011","37","$25,265","12/14/2022","","4.7","175","","7,339","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BQ6PN4P2"
"","","B0987242NB","VTVT China Storage Set, Hard Shell 4-Piece Set for Plate Storage and Transport, Protects Dishes have Lable Window for Saucers and Stackable,Felt Plate Dividers Included","VTVT","$38.99","81","3","$3,158","06/28/2021","$25.21","4.5","77","$13.78","90,388","6","FBA","1","Kitchen & Dining","Standard","12.677 x 13.032 x 7.52 in","4.894 lb","https://www.amazon.com/dp/B0987242NB"
"","","B0CGDB7TD3","BALEINE China Storage Containers, Hard Shell Case for Organizing, Stackable Moving Storage Box with Felt Plate Dividers for Dishes, Glasses, Mugs (Plate Set)","BALEINE","$39.99","","","","12/18/2023","","4.5","45","","","","FBA","1","","","","","https://www.amazon.com/dp/B0CGDB7TD3"
"","","B0CNFLDCNW","Hard Shell China Storage Containers 5-Piece Set Moving Boxes for Dinnerware, Glasses, Plates, Mugs and Saucers Sturdy Dish Organizer with Dividers for Seasonal Storage - Service for 12 - Gray","HOLDN STORAGE","$49.99","309","11","$15,447","11/14/2023","","4.9","30","","25,005","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNFLDCNW"
"","","B08LMFQNTZ","VENO 4 Sizes Dinnerware Storage Box w/Lid and Handles, China Storage Containers for Dishes, Plate Packing Supplies Moving Boxes Transport Protection Dividers Included (4 Sizes Bundle, Hold 48 Plates)","VENO","$33.99","183","5","$6,220","10/21/2020","$21.56","4.7","248","$12.43","53,845","7","FBA","4","Kitchen & Dining","Standard","10 x 8 x 12.01 in","4 lb","https://www.amazon.com/dp/B08LMFQNTZ"
"","","B0CL3K28R1","China Storage Containers - Set of 5 China Storage, Plate Organizer and Mug Organizer - Dish Storage Organizers for Glass Dinnerware Set - Moving Containers","Clorso","$54.99","","","$0.00","10/14/2023","","4.8","9","","289,594","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CL3K28R1"
"","","B071CYTRYG","LAMINET 6 Piece Quilted Dinnerware Storage Starter Set - Includes 4 Plate Cases, 1 Cup Case & Platter Case - RED","LAMINET","$22.29","690","23","$15,380","04/01/2017","$12.52","4.4","2,004","$9.77","11,861","6","FBA","1","Kitchen & Dining","Standard","12.95 x 15.16 x 2.8 in","1.83 lb","https://www.amazon.com/dp/B071CYTRYG"
"","","B09CGLPW9N","homyfort Platter Storage Case - Stackable China Storage Containers Hard Shell with Durable Zipper & Label & Sturdy Handles, 5.3 Height, Structured Top, 4 Felt Dividers Included (Dark Gray)","homyfort","$18.99","1,046","20","$19,864","08/11/2021","$10.35","4.7","1,857","$8.64","14,164","6","FBA","1","Kitchen & Dining","Standard","6.299 x 2.756 x 16.929 in","1.4 lb","https://www.amazon.com/dp/B09CGLPW9N"
"","","B0897HBJMM","LotFancy China Storage Containers - Quilted 6-Piece Set Storage Box- Stores Chinaware, Stemware, Dinnerware, Dish Storage Service for 12, 48 Pcs Felt Protectors, Cardboard Dividers Included","LotFancy","$36.99","1,193","34","$44,129","08/16/2020","$26.92","4.5","1,083","$10.07","8,036","6","FBA","1","Kitchen & Dining","Standard","12.95 x 5.12 x 16.26 in","16 oz","https://www.amazon.com/dp/B0897HBJMM"
"","","B0C2PV2F5X","VERONLY China Dinnerware Storage Containers Set- Dish,Mug,Stemware Storage Cases - Quilted Box Bins Stackable with Divider,handles,Clear Window for Cups,Plates,Wine Glasses Moving Set of 6","VERONLY","$35.99","239","11","$8,602","04/16/2023","$16.33","4.6","61","$19.66","24,542","7","FBA","5","Kitchen & Dining","Oversize","13 x 10 x 15.5 in","5.88 lb","https://www.amazon.com/dp/B0C2PV2F5X"
"","","B0CG33HFZF","Gowee China Storage Containers Hard Shell, Platter Storage Case 17' x 13' x 6' for Dinnerware Storage and Transport, 5 Felt Dividers Included, Structured Top and Stackable (Black)","Gowee","$17.99","210","7","$3,778","08/18/2023","$6.76","4.8","12","$11.23","37,213","7","FBA","1","Kitchen & Dining","Standard","13 x 6 x 17 in","2.03 lb","https://www.amazon.com/dp/B0CG33HFZF"
"","","B08CNLC4GV","Sorbus Dinnerware Storage 5-Piece Set for Protecting or Transporting Dinnerware  Service for 12  Round Plate and Cup Quilted Protection, Felt Protectors for Plates, Fine China Case","Sorbus","$54.99","1,022","22","$56,200","07/08/2020","$27.16","4.7","1,405","$27.83","12,888","7","FBA","1","Kitchen & Dining","Oversize","13.86 x 7.76 x 16.77 in","2.17 kg","https://www.amazon.com/dp/B08CNLC4GV"
"","","B09KX3FF32","Fine China Storage Containers Hard Shell, Dish Storage Containers, Flatware & Utensil Storage, Mug Storage, Platter Storage and Wine Glass Storage Box with Dividers, Durable 8 Piece Dinnerware Storage","STORAGEBUD","$104.99","850","22","$89,242","11/01/2021","$74.98","4.7","1,132","$30.01","12,617","6","FBA","1","Kitchen & Dining","Oversize","10 x 12.5 x 16 in","10 lb","https://www.amazon.com/dp/B09KX3FF32"
"","","B0C2Y6GYLP","STOZU China Storage Container for Dinner Plate - 12' W x 7' H - Includes 12 Felt Dividers. Stackable Case with Padded Interior","STOZU","$18.99","776","23","$14,736","08/27/2023","","4.6","100","","12,262","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C2Y6GYLP"
"","","B0BBMCRDGQ","China Storage Containers 2 Pack, Platter Storage Case Hard Shell 17' x 13' x 6', 5 Felt Dividers Included, Structured Top and Stackable (Linen Grey)","popoly","$35.99","548","11","$19,723","08/22/2022","","4.8","223","","24,278","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BBMCRDGQ"
"","","B008529Z74","LAMINET 6 Piece Quilted Dinnerware Storage Starter Set - Includes 4 Plate Cases, 1 Cup Case & Platter Case - WHITE","LAMINET","$22.99","534","23","$12,277","05/20/2012","$13.75","4.4","2,004","$9.24","11,861","6","FBA","2","Kitchen & Dining","Standard","12.8 x 14.6 x 2 in","1.451 lb","https://www.amazon.com/dp/B008529Z74"
"","","B000KI2Q2C","Richards Homewares China Storage Chest, for Starter 4-Piece Set, Quilted Micro Fiber-Gray","Richards","$24.00","186","4","$4,464","10/31/2000","$6.90","4.7","1,181","$17.10","64,437","6","FBA","2","Kitchen & Dining","Oversize","15.27 x 15.94 x 6.89 in","1.261 lb","https://www.amazon.com/dp/B000KI2Q2C"
"","","B098KNF4V4","China Storage Container for Saucer, Bowls, and Appetizer Plates - 7' W x 5.5' H - Includes 12 Felt Dividers - Stackable with Hard Shell and Interior Quilted Padding","STOZU","$20.99","2,022","50","$42,442","07/01/2021","$14.07","4.7","805","$6.92","5,243","6","FBA","3","Kitchen & Dining","Standard","7 x 5 x 7 in","0.375 lb","https://www.amazon.com/dp/B098KNF4V4"
"","","B01GM1PLP4","Fine China Storage - Set of 4 Quilted Cases for Dinnerware Storage. Sizes: 12' - 10' - 8' and 7' Wide - Gray - 48 Felt Plate Separators Included","StackStorePlusMore","$29.99","623","11","$18,684","05/30/2016","$17.86","4.7","623","$12.13","25,070","6","FBA","2","Kitchen & Dining","Standard","12 x 7 x 12 in","1.72 lb","https://www.amazon.com/dp/B01GM1PLP4"
"","","B00GICWZS4","Homewear 8-Piece Hudson Damask China Storage Container Set, Navy","Homewear","$38.22","86","2","$3,287","10/13/2013","$25.46","4.4","837","$12.76","117,118","5","AMZ","3","Kitchen & Dining","Standard","15 x 4 x 12 in","2 lb","https://www.amazon.com/dp/B00GICWZS4"
"","","B075XRQBLC","Sorbus China Storage Containers - 5 Pc Quilted Set for Moving & Transporting Dinnerware, Dishes, Round Plates, Glassware, Cups & Mugs with Felt Plate Protectors - Fine China Glass, Plate Storage Cases","Sorbus","$29.99","207","5","$6,208","09/25/2017","$18.46","4.5","1,666","$11.53","47,327","7","FBA","4","Kitchen & Dining","Standard","13.4 x 3.9 x 15.5 in","1.5 lb","https://www.amazon.com/dp/B075XRQBLC"
"","","B095GR6H29","VERONLY Stemware Storage Cases, Wine Glass Storage Box Containers with Dividers for Glassware or Crystal, China Storage Containers Hard Shell with Lids Holds 12 Red or White Wine Glasses,Gray","VERONLY","$19.99","714","20","$14,273","06/19/2021","$10.56","4.7","724","$9.43","14,068","7","FBA","2","Kitchen & Dining","Standard","11.221 x 17.913 x 2.402 in","3.823 lb","https://www.amazon.com/dp/B095GR6H29"
"","","B095CFXKDS","homyfort China Storage Containers With Lid and Handles, Dinnerware Storage Box for Dishes with 12 Felt Dividers, Hold 24 Plates, 12x 12, Set of 2, Grey","homyfort","$22.99","270","9","$6,207","05/18/2021","$12.96","4.7","696","$10.03","28,935","6","FBA","1","Kitchen & Dining","Standard","11.89 x 12.402 x 2.913 in","3.355 lb","https://www.amazon.com/dp/B095CFXKDS"
"","","B099NSNNBP","Felt Plate China Storage Dividers Protectors Grey Large Thick and Premium Soft 24 7.5 Inches. 12 5 Inches 12 10.5 Inches.","Feltectors","$16.95","712","19","$12,068","07/15/2021","$10.64","4.7","480","$6.31","14,417","7","FBA","1","Kitchen & Dining","Standard","5.9 x 10.2 x 2.3 in","0.75 lb","https://www.amazon.com/dp/B099NSNNBP"
"","","B000KFSOOO","Richard's Homewares - Quilted China Keepers 6pc. Starter Set - Crimson","Richards","$32.99","112","2","$3,695","03/19/2007","$21.31","4.4","534","$11.68","92,911","5","FBA","1","Kitchen & Dining","Standard","13.62 x 15.63 x 3.11 in","1.389 lb","https://www.amazon.com/dp/B000KFSOOO"
"","","B0CC51NV53","VERONLY China Dinnerware Storage Containers Set- Dish,Mug,Stemware Storage Cases - Quilted Box Bins Stackable with Divider,handles,Clear Window for Cups,Plates,Wine Glasses Moving Set of 6 (Black)","VERONLY","$35.99","916","22","$32,967","11/03/2023","","4.6","1,168","","12,769","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CC51NV53"
"","","B0BY4LGRJ8","popoly China Storage Container for Bowls or Dessert Plates, 8.5' W x 6' H Plate Storage Case with 24 Felt Dividers, Hard Shell and Stackable (2 Pack Grey)","popoly","$22.99","441","14","$10,139","03/10/2023","","4.8","199","","20,188","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BY4LGRJ8"
"","","B0019TR8M4","China Cup Storage Chest - Deluxe Quilted Microfiber (Light Gray) (13'H x 15.5'W x 5'D)","Richards","$16.00","238","7","$3,808","10/31/2000","$7.81","4.6","1,144","$8.19","37,857","6","FBA","2","Kitchen & Dining","Standard","13.4 x 1.3 x 17.2 in","0.95 lb","https://www.amazon.com/dp/B0019TR8M4"
"","","B07W69PFGM","Simplify Holiday Salad Plate Dinnerware Storage Box | 9.45 Inch | Christmas China | 12 Felt Dividers | Tableware Setting | Red","Simplify","$11.55","406","7","$4,689","08/04/2019","$5.30","4.7","58","$6.25","37,718","6","AMZ","1","Kitchen & Dining","Standard","9.45 x 8 x 9.45 in","14.08 oz","https://www.amazon.com/dp/B07W69PFGM"
"","","B0BXJPDRQR","CHINA STORAGE CONTAINERS, Plate Storage include: 4 China Storage Containers Hard Shell Polyester, with 48 Round Felt Pot Protectors for Stacking, China Storage includes Bonus Drawstring Bag.","Generic","$39.99","90","3","$3,599","03/04/2023","","4.5","10","","70,048","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BXJPDRQR"
