"Export time:  1/30/2024, 5:09:37 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CB57W859","Lifewit 4 Pack Plastic Multi-Purpose Storage Box with Latching Lids, Clear A4 Paper Storage, Classroom Organization, Storage Containers for Board Game, Craft, Document, Magazine, Art Supplies","Lifewit","$25.98","1,114","59","$28,942","10/04/2023","","4.8","47","","14,993","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CB57W859"
"classroom storage","","B0CD7DKYNB","HoneySky 6 Pack - 8.5 Gallon Storage Bins with Lids and Wheels, Collapsible & Stackable Closet Organizers, Foldable Storage Containers Plastic Shelves for Clothes Shoe Book, White","HoneySky","$159.99","620","32","$99,194","09/20/2023","","4.8","9","","28,837","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CD7DKYNB"
"Average Monthly Sales: 4,650","","B0BN2ZCQ9C","Sineda 4 Pack Storage Bins with Lids - 19 Gallon Collapsible Storage Bins with Wheels and Door, Stackable Storage Bins for Clothing, Blankets, Books, Bedding and Toys.(19 Gal-4Pack, Green)","Sineda","$229.95","2,795","57","$642,710","01/28/2023","","4.6","759","","15,499","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BN2ZCQ9C"
"Average Revenue: $173,570","","B0BKWLDRZY","YEMUNY 5 Tier Rolling Utility Cart Multi-Functional Movable Storage Book Shelves with Lockable Casters for Study Office Kitchen Classroom, White","YEMUNY","$35.87","1,567","25","$56,208","10/28/2022","","4","225","","10,048","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BKWLDRZY"
"Average Price: $55.19","","B0CK1YP1MP","SYKIARIOL Utility Cart with 8 Drawers,Rolling Storage Cart with Wooden Tabletop and Lockable Wheels,Storage Drawer Cart with Large Capacity,Colorful","SYKIARIOL","$56.99","403","11","$22,967","09/27/2023","","4.1","23","","22,500","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CK1YP1MP"
"Average No. of Ratings: 3,900","","B0CH8X6XCK","Plastic Storage Baskets With Bamboo Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","Ohmlove","$36.99","1,325","39","$49,012","10/12/2023","","4.6","72","","23,328","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CH8X6XCK"
"Average Sales Rank: 48,190","","B0CMW6Q7G1","IRIS USA Small 3-Drawer Desktop Organizer, 4 Pack, Stackable, for Office, School, Stationary, Makeup Organizer, Bathroom, Utility, Medical Supplies, Desk Organizer, Versatile Storage, Black","IRIS","$32.99","4,877","158","$160,892","11/06/2023","$21.31","4.7","8,497","$11.68","1,209","7","AMZ","7","Office Products","Standard","6.75 x 6.88 x 8.38 in","4.6 lb","https://www.amazon.com/dp/B0CMW6Q7G1"
"Average Rating Number: 4.5","","B07K2KJFTW","Really Good Stuff-163319 Durable Magazine, Book, Folder, File and Binder Holders  Ideal for Narrow or Vertical Storage Needs Instantly Color Code Home Classroom Assorted Primary Colors(Set of 6)","Really Good Stuff","$35.99","283","10","$10,185","02/28/2017","$23.26","4.6","469","$12.73","23,113","7","AMZ","6","Office Products","Standard","12.5 x 5.37 x 13.5 in","2.08 lb","https://www.amazon.com/dp/B07K2KJFTW"
"","","B07KCMT78K","Really Good Stuff-160103WA Durable Magazine, Book, Folder and File HoldersIdeal for Narrow or Vertical Storage NeedsInstantly Color Code Your ClassroomChoose from 22 Colors(Single Color Set of 12)","Really Good Stuff","$13.59","176","7","$2,392","01/25/2017","$-10.77","4.6","459","$24.36","32,197","7","AMZ","1","Office Products","Oversize","12.5 x 5.25 x 20.5 in","5 lb","https://www.amazon.com/dp/B07KCMT78K"
"","","B0BNVKYKNR","Simple Houseware 8-Drawers Rolling Storage Cart, Chrome","Simple Houseware","$54.87","1,556","46","$85,378","12/01/2022","","4.3","822","","5,259","5","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BNVKYKNR"
