"Export time:  1/30/2024, 10:13:37 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CG14T4CD","Vtopmart 4 Pack Clear Stackable Storage Organizer Bins with Bamboo Lids, Large Plastic Containers with Handle for Pantry, Bathroom, Closet, Shelf, Kitchen, Under Sink, Cabinet, etc","Vtopmart","$23.99","653","","","11/14/2023","","4.5","38","","15,055","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CG14T4CD"
"Clear Plastic Storage Organizer Bins with Bamboo Lids","","B0BVMJ4MVK","Hudgan Plastic Storage Containers with Bamboo Lids, Medicine Cabinet Organizer Drawer Organizers Clear Bins with Lids for Organizing Pantry or Bathroom - 4.5 Inches Tall - Set Of 4","Hudgan","$29.99","399","","","03/24/2023","$19.70","4.7","99","$10.29","25,716","6","FBA","1","Kitchen & Dining","Standard","6.7 x 4.5 x 11.2 in","1 lb","https://www.amazon.com/dp/B0BVMJ4MVK"
"Average Monthly Sales: 1,207","","B09Z1FHC1R","HERITAGE LIVING Storage Bin with Bamboo Lid, Decorative Stackable Basket Table Bookcase Kitchen Office Organizing, Multipurpose Basket Organizer Bin (2PC MEDIUM, CLEAR)","HERITAGE LIVING","$39.95","456","12","$18,217","04/29/2022","$26.33","4.2","261","$13.62","75,478","8","FBA","1","Home & Kitchen","Standard","8.1 x 5.5 x 12.4 in","7.43 lb","https://www.amazon.com/dp/B09Z1FHC1R"
"Average Revenue: $43,867","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","14,795","465","$591,652","06/22/2020","$25.46","4.8","10,422","$14.53","207","6","FBA","14","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"Average Price: $28.53","","B0C7KZ9PXK","Besky Refrigerator Organizer Bins - 4pcs Plastic Storage Bins with Lids, Pantry Storage - Clear Plastic Bins For Fridge, Freezer, Kitchen Cabinet, Pantry Organization and Storage Bins with Handle","besky","$26.99","180","6","$4,858","06/08/2023","","4.8","26","","45,512","5","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C7KZ9PXK"
"Average No. of Ratings: 533","","B0B1PX9VT2","YH-MONICAQUE | Clear Plastic Organizing Bins,10'【6-Pack | PET】 Pantry Organization and Storage Bins,Kitchen Organiner or Fridge Organizer, Cabinet Organizers (10.10' L*5.31' H*6.09' W","YH-MONICAQUE","$29.99","170","4","$5,098","05/18/2022","$18.46","4.8","138","$11.53","56,737","7","FBA","2","Kitchen & Dining","Standard","6.693 x 11.024 x 10.63 in","4.982 lb","https://www.amazon.com/dp/B0B1PX9VT2"
"Average Sales Rank: 168,684","","B07ZHM86HH","Sorbus Large Plastic Storage Bins - for Kitchen Organization, Pantry Organizers and Storage, Fridge Organizer, Cabinet Organizer, Refrigerator Organizer Bins - Clear Storage Bins (4 pack)","Sorbus","$29.99","977","","","10/22/2019","$19.06","4.8","2,959","$10.93","11,941","6","FBA","2","Kitchen & Dining","Standard","8 x 6 x 11.25 in","1 lb","https://www.amazon.com/dp/B07ZHM86HH"
"Average Rating Number: 4.5","","B097M3XJ49","Vtopmart 4 Pack Food Storage Organizer Bins, Clear Plastic Bins for Pantry, Kitchen, Fridge, Cabinet Organization and Storage, Compartment Holder Packets, Snacks, Pouches, Spice Packets","Vtopmart","$19.99","11,742","367","$234,723","06/20/2021","$9.66","4.7","3,685","$10.33","317","6","FBA","2","Kitchen & Dining","Standard","10.75 x 12.76 x 6.18 in","3.589 lb","https://www.amazon.com/dp/B097M3XJ49"
"","","B0B652789F","ANMINY 6PCS Clear Plastic Storage Bins Lidded Stackable Basket Box Set with Bamboo Removable Lid Handle Kitchen Closet Shelf Decorative Kid Toy Cloth Towel Laundry Organizer - 1 Large 1 Medium 4 Small","ANMINY","$64.99","71","","","07/08/2022","$41.36","4.2","53","$23.63","260,164","6","FBA","1","Home & Kitchen","Oversize","11 x 16 x 10.4 in","12.5 lb","https://www.amazon.com/dp/B0B652789F"
"","","B0BJJB89QQ","Hudgan Clear Plastic Storage Organizer Bins with Bamboo Lids for Pantry Organization and Storage, Medicine Cabinet, Craft Rooms - 4.5-Inches Tall - 4 Pack","Hudgan","$29.99","1,076","","","11/04/2022","$18.16","4.7","372","$11.83","9,500","6","FBA","1","Kitchen & Dining","Standard","6.7 x 4.5 x 11.2 in","6.18 lb","https://www.amazon.com/dp/B0BJJB89QQ"
