"Export time:  2/17/2024, 2:54:22 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","12,943","361","$517,591","06/22/2020","$25.46","4.8","10,498","$14.53","327","6","FBA","11","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"Clear Storag Bins","","B09JYBNCG1","ClearSpace Clear Plastic Storage Bins  XL 4 Pack Perfect for Kitchen,Fridge, Pantry Organization, Cabinet Organizers","ClearSpace","$49.99","2,834","86","$141,672","10/19/2021","","4.7","2,105","","2,732","6","FBA","4","Kitchen & Dining","","","","https://www.amazon.com/dp/B09JYBNCG1"
"Average Monthly Sales: 7,200","","B09GW5ZXWR","ClearSpace Plastic Storage Bins With lids  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Cabinet Organizers - 4 Pack","ClearSpace","$39.99","3,946","77","$157,801","04/17/2022","$26.36","4.7","1,250","$13.63","3,134","6","FBA","4","Kitchen & Dining","Standard","11.3 x 11.73 x 7.99 in","5.95 lb","https://www.amazon.com/dp/B09GW5ZXWR"
"Average Revenue: $265,825","","B0B46NPJY9","Set of 8 Clear Plastic Storage Bins, 4 Large and 4 Small Stackable Storage Containers for Pantry Organization and Kitchen Storage Bins,Home Edit and Cabinet Organizers","SKTEET","$32.24","1,506","54","$48,553","06/14/2022","$13.88","4.7","379","$18.36","4,776","7","FBA","6","Kitchen & Dining","Oversize","11.57 x 12.99 x 8.66 in","8.289 lb","https://www.amazon.com/dp/B0B46NPJY9"
"Average Price: $39.75","","B0BMFKGVXD","Tiawudi 12 Pack Plastic Storage Bins, Multi-Use Organizer Bins, Pantry Organizer, Clear Storage Containers, Bins for Home & Kitchen","Tiawudi","$29.99","2,284","87","$68,497","11/14/2022","$17.56","4.8","342","$12.43","2,699","7","FBA","1","Kitchen & Dining","Standard","7.2 x 4.5 x 10.5 in","8.91 lb","https://www.amazon.com/dp/B0BMFKGVXD"
"Average No. of Ratings: 5,085","","B08L558KX9","Vtopmart Clear Plastic Pantry Organizer Bins, 6 PCS Food Storage Bins with Handle for Refrigerator, Fridge, Cabinet, Kitchen, Countertops, Cupboard, Freezer Organization, BPA Free, Medium","Vtopmart","$21.99","9,105","198","$200,219","10/12/2020","$7.85","4.7","8,310","$14.14","870","7","FBA","1","Kitchen & Dining","Oversize","9.5 x 9.5 x 9 in","3.9 lb","https://www.amazon.com/dp/B08L558KX9"
"Average Sales Rank: 11,128","","B0B9H6K7GC","Utopia Kitchen Clear Organizer Bins - Set of 4 Pantry Organizers and Storage Bins - Large Clear Storage Containers for Organizing - Clear Storage Bins For Fridge, Kitchen Organization and Storage","Utopia Kitchen","$27.99","2,068","39","$57,883","08/12/2022","","4.8","341","","6,857","6","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B9H6K7GC"
"Average Rating Number: 4.6","","B09QB18GGW","ClearSpace Clear Plastic Storage Bins  XL 6 Pack Perfect Kitchen or Pantry Organization Fridge Organizer and Storage Bins, Cabinet Organizers","ClearSpace","$69.99","2,627","86","$183,864","01/11/2022","$44.47","4.7","2,105","$25.52","2,732","6","FBA","1","Kitchen & Dining","Oversize","12.4 x 11.41 x 16.53 in","2 lb","https://www.amazon.com/dp/B09QB18GGW"
"","","B0BFZZ9315","Clear Containers for Organizing, Clear Storage Bins, Clear Organizing Bins, Clear Plastic Storage Bins for Pantry, Organization Bins, Clear Bins, Clear Storage Containers, Plastic Organizer Bins","GOMINIMO","$32.00","149","5","$4,768","09/20/2022","$19.57","4.7","14","$12.43","49,685","7","FBA","2","Kitchen & Dining","Standard","6 x 6.7 x 10.5 in","7.83 lb","https://www.amazon.com/dp/B0BFZZ9315"
"","","B0BHY5JRYH","KOKITEA Clear Storage Bins With Lids, 4 Pack Plastic, Stackable Food Storage Organizer Bins For Kitchen Organization, Pantry And Fridge","KOKITEA","$38.99","205","5","$7,993","10/11/2022","$26.11","4.7","120","$12.88","54,564","7","FBA","1","Kitchen & Dining","Standard","8 x 6 x 11.2 in","5.8 lb","https://www.amazon.com/dp/B0BHY5JRYH"
"","","B09NQVFZ6P","Simple Houseware Refrigerator Organizer Storage Bins Kitchen/Pantry, Clear, Set of 4","Simple Houseware","$16.87","448","12","$7,558","12/16/2021","$9.20","4.6","954","$7.67","22,889","6","FBA","1","Kitchen & Dining","Standard","3 x 3 x 3 in","1 lb","https://www.amazon.com/dp/B09NQVFZ6P"
"","","B08GGYSGFY","IRIS USA 40 Quart Stackable Plastic Storage Bins with Lids and Latching Buckles, 6 Pack - Clear, Containers with Lids and Latches, Durable Nestable Closet, Garage, Totes, Tubs Boxes Organizing","IRIS","$67.49","26,450","808","$1.79M","08/20/2020","$30.58","4","26,507","$36.91","268","7","AMZ","6","Home & Kitchen","Oversize","15.43 x 20.44 x 19.56 in","16.14 lb","https://www.amazon.com/dp/B08GGYSGFY"
"","","B08R9P9CJL","YIHONG Clear Pantry Storage Organizer Bins, 6 Pack Plastic Storage Containers with Handle for Kitchen,Refrigerator, Freezer,Cabinet,Closet,Bathroom Under Sink Organization","YIHONG","$21.23","9,878","447","$209,710","12/27/2021","$5.69","4.6","4,280","$15.54","223","7","FBA","3","Kitchen & Dining","Oversize","12.32 x 13.62 x 8.15 in","6.131 lb","https://www.amazon.com/dp/B08R9P9CJL"
"","","B0C79NY4N9","RUBOXA Shatterproof Clear Plastic Storage Bins for kitchen organization and storage BPA-Free Freezer and Refrigerator Organizer Bins with carry handles (4)","RUBOXA","$16.99","1,320","44","$22,427","06/05/2023","","4.9","26","","6,107","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C79NY4N9"
"","","B0B5YVZ7Q9","Clear Plastic Storage Bins, Perfect for Kitchen Organization or Pantry Organization and Storage, Fridge Organizer Plastic Bins, Pantry Organization and Storage Bins, Cabinet Organizers","CONTROL KITCHEN","$29.99","1,004","23","$30,110","07/06/2022","$18.16","4.8","551","$11.83","12,289","7","FBA","1","Kitchen & Dining","Standard","10.35 x 11.65 x 7.83 in","3.971 lb","https://www.amazon.com/dp/B0B5YVZ7Q9"
"","","B0C4VB3YCW","ClearSpace Plastic Storage Bins with Divider  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$34.99","771","31","$26,977","05/09/2023","","4.8","1,239","","8,901","7","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4VB3YCW"
"","","B09ZKYQMVD","Vtopmart 4 Pack Clear Stackable Storage Drawers, 4.4'' Tall Acrylic Bathroom Makeup Organizer,Plastic Storage Bins For Vanity, Undersink, Kitchen Cabinets, Pantry, Home Organization and Storage","Vtopmart","$24.99","23,658","593","$591,213","05/04/2022","$14.21","4.6","7,542","$10.78","578","7","FBA","2","Beauty & Personal Care","Standard","8.94 x 12.2 x 7.44 in","5.091 lb","https://www.amazon.com/dp/B09ZKYQMVD"
"","","B07DFBSTFR","IRIS USA 5.9 Quarts Plastic Storage Container Bin with Latching Lid, 20 Pack, Nestable Box Tote Closet Game Organization Teacher Tools Art Supplies Shoe Shoebox Stackable","IRIS","$26.09","12,664","497","$330,404","05/29/2018","$4.88","4","20,166","$21.21","687","7","AMZ","14","Home & Kitchen","Oversize","14 x 16 x 13.8 in","8.111 lb","https://www.amazon.com/dp/B07DFBSTFR"
"","","B0B1M6ML2J","WOWBOX 25 PCS Clear Plastic Drawer Organizer Set, 4 Sizes Desk Drawer Divider Organizers and Storage Bins for Makeup, Jewelry, Gadgets for Kitchen, Bedroom, Bathroom, Office","WOWBOX","$17.99","30,732","1,005","$552,869","06/24/2022","$8.56","4.5","6,876","$9.43","170","6","FBA","7","Home & Kitchen","Standard","7.48 x 9.37 x 6.26 in","4.341 lb","https://www.amazon.com/dp/B0B1M6ML2J"
"","","B09TFV97FL","ClearSpace Plastic Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Cabinet Organizers","ClearSpace","$34.99","1,926","56","$67,391","02/24/2022","$21.81","4.8","780","$13.18","4,584","6","FBA","3","Kitchen & Dining","Standard","10.5 x 6.37 x 10.5 in","9 lb","https://www.amazon.com/dp/B09TFV97FL"
"","","B0CHZ3Z7WJ","Clear Plastic Storage Bins with Lids, Perfect for Kitchen Organization or Pantry Organization and Storage, Fridge Organizer Plastic Bins, Pantry Organization and Storage Bins, Cabinet Organizers","ShelfShaper","$24.99","347","14","$8,672","09/12/2023","$12.86","4.7","38","$12.13","19,939","7","FBA","1","Kitchen & Dining","Standard","11.38 x 7.95 x 11.85 in","5.81 lb","https://www.amazon.com/dp/B0CHZ3Z7WJ"
"","","B09NQTHM9J","SimpleHouseware Freezer Organizer Storage Bins, Clear, Set of 8","Simple Houseware","$22.87","411","12","$9,400","12/16/2021","$14.30","4.6","954","$8.57","22,889","5","FBA","1","Kitchen & Dining","Standard","3 x 3 x 3 in","1 lb","https://www.amazon.com/dp/B09NQTHM9J"
"","","B07PR9NM54","Rubbermaid Cleverstore Clear Plastic Storage Bins with Lid, 95 Qt, 4 Pack, 4 Count, Polypropylene, Plastic","Rubbermaid","$101.99","10,563","222","$1.08M","03/17/2019","$42.28","4.3","15,584","$59.71","2,635","7","AMZ","18","Home & Kitchen","Oversize","19 x 28.8 x 18.4 in","21.301 lb","https://www.amazon.com/dp/B07PR9NM54"
