"Export time:  2/17/2024, 2:54:05 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08R9P9CJL","YIHONG Clear Pantry Storage Organizer Bins, 6 Pack Plastic Storage Containers with Handle for Kitchen,Refrigerator, Freezer,Cabinet,Closet,Bathroom Under Sink Organization","YIHONG","$21.23","9,878","447","$209,710","12/27/2021","$5.69","4.6","4,280","$15.54","223","7","FBA","3","Kitchen & Dining","Oversize","12.32 x 13.62 x 8.15 in","6.131 lb","https://www.amazon.com/dp/B08R9P9CJL"
"Clear Storage Organizer Bins","","B08L558KX9","Vtopmart Clear Plastic Pantry Organizer Bins, 6 PCS Food Storage Bins with Handle for Refrigerator, Fridge, Cabinet, Kitchen, Countertops, Cupboard, Freezer Organization, BPA Free, Medium","Vtopmart","$21.99","9,105","198","$200,219","10/12/2020","$7.85","4.7","8,310","$14.14","870","7","FBA","1","Kitchen & Dining","Oversize","9.5 x 9.5 x 9 in","3.9 lb","https://www.amazon.com/dp/B08L558KX9"
"Average Monthly Sales: 6,128","","B0B5FHSWKT","Ruboxa Clear Drawer Organizer, [25 PCS] Clear Plastic Drawer Organizers for Home Organization and Storage, Including 4 Sizes Small Organizer Bins, Non-Slip Pads, for Bathroom, Kitchen, Vanity & Office","RUBOXA","$12.99","8,147","671","$105,830","06/28/2022","$4.31","4.7","1,789","$8.68","389","6","FBA","6","Home & Kitchen","Standard","11 x 1 x 1 in","4.55 lb","https://www.amazon.com/dp/B0B5FHSWKT"
"Average Revenue: $159,319","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","12,943","361","$517,591","06/22/2020","$25.46","4.8","10,498","$14.53","327","6","FBA","11","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"Average Price: $34.32","","B09TFS3KFY","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$25.99","1,696","56","$44,079","02/24/2022","$15.36","4.8","780","$10.63","4,584","6","FBA","2","Kitchen & Dining","Standard","8.46 x 6.38 x 10.5 in","4 lb","https://www.amazon.com/dp/B09TFS3KFY"
"Average No. of Ratings: 4,379","","B0C4VB8MBM","ClearSpace Plastic Storage Bins with Divider, 13.5in x 10in x 6in, Clear, Portable, Stackable, Food Safe, BPA Free","ClearSpace","$59.99","702","31","$42,113","05/09/2023","","4.8","1,239","","8,901","7","FBA","6","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4VB8MBM"
"Average Sales Rank: 10,451","","B09QB37XM3","ClearSpace Clear Plastic Storage Bins  XL 8 Pack Perfect Kitchen or Pantry Organization Fridge Organizer and Storage Bins, Cabinet Organizers","ClearSpace","$89.99","2,551","86","$229,564","01/11/2022","$59.95","4.7","2,105","$30.04","2,732","6","FBA","3","Kitchen & Dining","Oversize","12.4 x 11.41 x 19.68 in","8 lb","https://www.amazon.com/dp/B09QB37XM3"
"Average Rating Number: 4.7","","B0B46NPJY9","Set of 8 Clear Plastic Storage Bins, 4 Large and 4 Small Stackable Storage Containers for Pantry Organization and Kitchen Storage Bins,Home Edit and Cabinet Organizers","SKTEET","$32.24","1,506","54","$48,553","06/14/2022","$13.88","4.7","379","$18.36","4,776","7","FBA","6","Kitchen & Dining","Oversize","11.57 x 12.99 x 8.66 in","8.289 lb","https://www.amazon.com/dp/B0B46NPJY9"
"","","B0BMFKGVXD","Tiawudi 12 Pack Plastic Storage Bins, Multi-Use Organizer Bins, Pantry Organizer, Clear Storage Containers, Bins for Home & Kitchen","Tiawudi","$29.99","2,284","87","$68,497","11/14/2022","$17.56","4.8","342","$12.43","2,699","7","FBA","1","Kitchen & Dining","Standard","7.2 x 4.5 x 10.5 in","8.91 lb","https://www.amazon.com/dp/B0BMFKGVXD"
"","","B0BK243R2R","Set Of 12 Refrigerator Organizer Bins with Lids - Plastic Pantry Organization and Storage Baskets - Stackable Food Fridge Organizers with Cutout Handles for Freezer, Kitchen, Countertops, Cabinets","Seseno","$29.99","2,638","101","$79,114","10/20/2022","","4.6","933","","2,242","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BK243R2R"
"","","B0CKY4YGX3","ShelfShaper Clear Plastic Storage Bins, Perfect for Kitchen Organization or Pantry Organization and Storage, Fridge Organizer Plastic Bins, Pantry Organization and Storage Bins, Cabinet Organizers","ShelfShaper","$29.99","450","15","$13,496","12/29/2023","","4.8","26","","18,943","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CKY4YGX3"
"","","B0BC8VSWC7","Vtopmart 6 Pack Clear Stackable Storage Bins with Lids, Large Plastic Containers with Handle for Pantry Organizer and Storage,Perfect for Kitchen,Fridge,Cabinet, Closet,Bathroom Organization","Vtopmart","$29.99","10,129","302","$303,769","08/28/2022","$16.66","4.7","1,578","$13.33","444","7","FBA","2","Kitchen & Dining","Standard","13.11 x 7.95 x 15.51 in","7.65 lb","https://www.amazon.com/dp/B0BC8VSWC7"
"","","B0B1M6ML2J","WOWBOX 25 PCS Clear Plastic Drawer Organizer Set, 4 Sizes Desk Drawer Divider Organizers and Storage Bins for Makeup, Jewelry, Gadgets for Kitchen, Bedroom, Bathroom, Office","WOWBOX","$17.99","30,732","1,005","$552,869","06/24/2022","$8.56","4.5","6,876","$9.43","170","6","FBA","7","Home & Kitchen","Standard","7.48 x 9.37 x 6.26 in","4.341 lb","https://www.amazon.com/dp/B0B1M6ML2J"
"","","B08RYTGPH1","Clear Fridge Organizer Bins Set - 10 Piece Plastic Refrigerator Organizers and Storage Bins, Clear Freezer Storage Bins, Fridge Organization Bins, Snack Organizer Fridge Bins with Handle for Freezer","FOOYOO","$35.99","355","12","$12,776","03/14/2021","$22.06","4.8","2,521","$13.93","22,313","7","FBA","2","Kitchen & Dining","Standard","11.42 x 7.68 x 16.34 in","7.804 lb","https://www.amazon.com/dp/B08RYTGPH1"
"","","B08RSPW3B8","Stackable Refrigerator Organizer Bins, 6 Pack Clear Kitchen Organizer Container Bins with Handles and 20 PCS Plastic Bags for Pantry, Cabinets, Shelves, Drawer, Freezer - Food Safe, BPA Free 10'L","Beauty Cottage","$25.99","2,574","92","$66,898","12/30/2020","$14.16","4.6","2,655","$11.83","2,521","7","FBA","1","Kitchen & Dining","Standard","6.14 x 10.43 x 17.7 in","3.83 lb","https://www.amazon.com/dp/B08RSPW3B8"
"","","B0B9H6K7GC","Utopia Kitchen Clear Organizer Bins - Set of 4 Pantry Organizers and Storage Bins - Large Clear Storage Containers for Organizing - Clear Storage Bins For Fridge, Kitchen Organization and Storage","Utopia Kitchen","$27.99","2,068","39","$57,883","08/12/2022","","4.8","341","","6,857","6","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B9H6K7GC"
"","","B09JYBNCG1","ClearSpace Clear Plastic Storage Bins  XL 4 Pack Perfect for Kitchen,Fridge, Pantry Organization, Cabinet Organizers","ClearSpace","$49.99","2,834","86","$141,672","10/19/2021","","4.7","2,105","","2,732","6","FBA","4","Kitchen & Dining","","","","https://www.amazon.com/dp/B09JYBNCG1"
"","","B07TZPF6PM","Utopia Home - Fridge Organizer Bins - Set of 8 Refrigerator Organizing Bins - Pantry Organizers and Storage - Stackable Clear Storage Bins For Home & Kitchen Pantry Organization and Storage","Utopia Home","$22.99","7,885","207","$181,276","07/04/2019","$11.91","4.7","30,523","$11.08","1,010","6","FBA","14","Tools & Home Improvement","Standard","10.08 x 15.04 x 7.17 in","6.31 lb","https://www.amazon.com/dp/B07TZPF6PM"
"","","B0B6B4M7BT","Vtopmart 4 Pack Stackable Storage Drawers, 6.6''Tall Acrylic Bathroom Makeup Organizers,Clear Plastic Storage Bins For Vanity, Undersink, Kitchen Cabinet,Pantry Organization and Storage","Vtopmart","$28.99","6,311","203","$182,956","07/11/2022","","4.7","2,209","","833","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B6B4M7BT"
"","","B08KXKVT4K","Vtopmart 25 PCS Clear Plastic Drawer Organizers Set, 4-Size Versatile Bathroom and Vanity Drawer Organizer Trays, Storage Bins for Makeup, Bedroom, Kitchen Gadgets Utensils and Office","Vtopmart","$18.49","84,539","2,251","$1.56M","10/08/2020","$9.29","4.7","30,509","$9.20","27","7","FBA","2","Home & Kitchen","Standard","2 x 9 x 6 in","3.92 lb","https://www.amazon.com/dp/B08KXKVT4K"
"","","B0CC4K9PXW","ClearSpace Plastic Pantry Organization and Storage Bins with Lids  Perfect Kitchen Organization or Kitchen Storage  Fridge Organizer, Refrigerator Organizer Bins, Cabinet Organizers","ClearSpace","$39.99","1,488","55","$59,505","07/17/2023","","4.8","76","","4,677","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CC4K9PXW"
"","","B0BZCTXKPZ","Vtopmart 4 Pack Large Stackable Storage Drawers,Clear Acrylic Drawer Organizers with Handles, Easily Assemble for Bathroom,Kitchen Undersink,Cabinet,Closet,Makeup,Pantry organization and Storage","Vtopmart","$34.99","13,238","382","$463,198","03/22/2023","$21.51","4.7","389","$13.48","1,092","6","FBA","7","Home & Kitchen","Standard","7.5 x 7 x 12 in","9.79 lb","https://www.amazon.com/dp/B0BZCTXKPZ"
"","","B097M3XJ49","Vtopmart 4 Pack Food Storage Organizer Bins, Clear Plastic Bins for Pantry, Kitchen, Fridge, Cabinet Organization and Storage, Compartment Holder Packets, Snacks, Pouches, Spice Packets","Vtopmart","$19.99","11,869","355","$237,261","06/20/2021","$9.66","4.7","3,823","$10.33","336","6","FBA","1","Kitchen & Dining","Standard","10.75 x 12.76 x 6.18 in","3.589 lb","https://www.amazon.com/dp/B097M3XJ49"
"","","B09PMHDLW1","[ 12 Pack ] Multi-Use Clear Bins for Organizing - Fridge, Refrigerator Organizer Bins - Pantry Organization and Storage - Plastic Containers for Home, Kitchen, Freezer, SOHO Collection, Canbinet, RV","LANDNEOO","$29.99","2,001","56","$60,010","01/03/2022","$17.26","4.8","1,366","$12.73","4,599","7","FBA","4","Kitchen & Dining","Standard","10.906 x 16.969 x 7.323 in","7.952 lb","https://www.amazon.com/dp/B09PMHDLW1"
"","","B0BJNZTQ5G","Simple Houseware 4PK XL Size Kitchen Bin Organizer, 15' x 8.4' x 3.75', Clear","Simple Houseware","$19.87","2,130","71","$42,323","10/18/2022","$10.59","4.7","280","$9.28","3,503","6","FBA","1","Kitchen & Dining","Standard","8.4 x 3.9 x 14.9 in","4.38 lb","https://www.amazon.com/dp/B0BJNZTQ5G"
"","","B089LLDN39","HOOJO Refrigerator Organizer Bins - 8pcs Clear Plastic Bins For Fridge, Freezer, Kitchen Cabinet, Pantry Organization, BPA Free Fridge Organizer, 12.5' Long, Clear","HOOJO","$19.98","19,801","703","$395,624","06/02/2020","$9.95","4.7","32,447","$10.03","93","7","FBA","5","Kitchen & Dining","Standard","10.04 x 12.76 x 6.22 in","5.031 lb","https://www.amazon.com/dp/B089LLDN39"
"","","B0C79NY4N9","RUBOXA Shatterproof Clear Plastic Storage Bins for kitchen organization and storage BPA-Free Freezer and Refrigerator Organizer Bins with carry handles (4)","RUBOXA","$16.99","1,320","44","$22,427","06/05/2023","","4.9","26","","6,107","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C79NY4N9"
"","","B0C57FV4JS","Clear Plastic Storage Bins, Perfect for Kitchen Organization or Pantry Organization and Storage, Fridge Organizer Plastic Bins, Pantry Storage and Organization Bins, cabinet organizers and storage","CONTROL KITCHEN","$29.99","1,866","24","$55,961","05/13/2023","$18.16","4.8","210","$11.83","11,808","7","FBA","1","Kitchen & Dining","Standard","10.24 x 7.76 x 11.65 in","4 lb","https://www.amazon.com/dp/B0C57FV4JS"
"","","B08FRR2YSN","SESENO. 12 Pack Shoe Storage Boxes, Clear Plastic Stackable Shoe Organizer Bins, Drawer Type Front Opening Shoe Holder Containers","SESENO.","$29.99","4,678","219","$140,293","08/19/2020","$7.43","4.2","21,787","$22.56","2,672","7","FBA","2","Home & Kitchen","Oversize","9 x 5.5 x 31 in","3.7 kg","https://www.amazon.com/dp/B08FRR2YSN"
"","","B0C6LJXD72","8 Pack Clear Storage Bins with Lids Stackable, Large Plastic Storage Bins with Handle for Pantry Organization and Storage, Perfect Containers for Fridge Organizer, Kitchen, Cabinets, Bathroom","theaoo","$42.99","2,215","100","$95,223","05/29/2023","","4.7","446","","2,267","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C6LJXD72"
"","","B08W1MVS8F","Isaac Jacobs 3-Pack XL Clear Storage Bins with Handles, Plastic Organizer for Office, Home, Kitchen, Pantry, Closet, Kids Room, Cube Shelf, Non-Slip Container Set (3-Pack, Extra-Large)","Isaac Jacobs International","$64.99","308","8","$20,017","02/04/2021","$42.50","4.6","210","$22.49","32,470","7","FBA","2","Kitchen & Dining","Oversize","11.2 x 12.25 x 10.5 in","4.8 lb","https://www.amazon.com/dp/B08W1MVS8F"
"","","B07Z57Y6MB","STORi Audrey Stackable Bin Clear Plastic Organizer Drawers | 2 Piece Set | Organize Cosmetics and Beauty Supplies on a Vanity | Made in USA","STORi","$29.99","6,443","159","$193,226","10/14/2019","$17.86","4.6","8,155","$12.13","3,400","6","FBA","1","Beauty & Personal Care","Standard","10.16 x 13.86 x 7.76 in","4.83 lb","https://www.amazon.com/dp/B07Z57Y6MB"
"","","B0BZPCSQL2","Qilinba 8 PACK Clear Stackable Drawer Organizer Bins, Plastic Organizer Bins for Cutlery Vanity Storage Tray for Bathroom Kitchen Office Desk Organizing","Qilinba","$24.99","271","11","$6,772","03/26/2023","","4.9","58","","24,758","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BZPCSQL2"
"","","B09TFW842V","ClearSpace Plastic Storage Bins with Lids X-Large  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$89.99","1,885","61","$169,631","02/24/2022","$61.47","4.6","1,665","$28.52","4,182","7","FBA","1","Kitchen & Dining","Oversize","12.79 x 9.76 x 17.71 in","16.7 lb","https://www.amazon.com/dp/B09TFW842V"
"","","B08XYP44P6","Hudgan 8 PACK Stackable Pantry Organizer Bins (3 sizes) - Clear Fridge Organizers for Kitchen, Freezer, Countertops, Cabinets - Plastic Food Storage Container with Handles for Home and Office","Hudgan","$33.99","1,213","39","$41,230","01/17/2022","$21.56","4.8","1,343","$12.43","7,014","7","FBA","2","Kitchen & Dining","Standard","7.5 x 5.5 x 11.5 in","7 lb","https://www.amazon.com/dp/B08XYP44P6"
"","","B0B5VMMH3V","Sorbus Fridge Drawers - Clear Stackable Pull Out Organizer Bins - Food Storage Containers for Kitchen, Refrigerator, Freezer, Vanity Organization and Storage (2 Pack | Large)","Sorbus","$37.99","2,640","62","$100,294","06/30/2022","$24.96","4.6","928","$13.03","4,073","6","FBA","7","Kitchen & Dining","Standard","8 x 5.5 x 13.25 in","6.52 lb","https://www.amazon.com/dp/B0B5VMMH3V"
"","","B078XHRXLR","BINO | Plastic Storage Bins, Large - 2 Pack, Clear | THE SOHO COLLECTION | Pantry Organizers and Storage Containers Fridge Organizer Bins Kitchen Cabinet Organizer Medicine Cabinet Organizer Bin","BINO","$22.99","4,251","148","$97,730","01/09/2018","$12.51","4.7","9,527","$10.48","1,324","7","FBA","1","Kitchen & Dining","Standard","9.5 x 6 x 13.5 in","2.54 lb","https://www.amazon.com/dp/B078XHRXLR"
"","","B0B5YVZ7Q9","Clear Plastic Storage Bins, Perfect for Kitchen Organization or Pantry Organization and Storage, Fridge Organizer Plastic Bins, Pantry Organization and Storage Bins, Cabinet Organizers","CONTROL KITCHEN","$29.99","1,004","23","$30,110","07/06/2022","$18.16","4.8","551","$11.83","12,289","7","FBA","1","Kitchen & Dining","Standard","10.35 x 11.65 x 7.83 in","3.971 lb","https://www.amazon.com/dp/B0B5YVZ7Q9"
"","","B0C4XFYDD3","Clear Plastic Storage Bins, Perfect for Kitchen Organization or Pantry Organization and Storage, Fridge Organizer Plastic Bins, Pantry Organization and Storage Bins, Cabinet Organizers","CONTROL KITCHEN","$29.99","1,024","30","$30,710","05/10/2023","$18.76","4.7","121","$11.23","9,261","7","FBA","1","Kitchen & Dining","Standard","8.1 x 5.1 x 11.2 in","4.29 lb","https://www.amazon.com/dp/B0C4XFYDD3"
"","","B097PVKRYM","SEE SPRING Large 12 Pack Shoe Storage Box, Clear Plastic Stackable Shoe Organizer for Closet, Space Saving Foldable Shoe Rack Sneaker Container Bin Holder","SEE SPRING","$31.99","23,490","989","$751,445","06/21/2021","$19.56","4.2","24,715","$12.43","176","7","FBA","7","Home & Kitchen","Standard","13.7 x 15.24 x 4.41 in","7.39 lb","https://www.amazon.com/dp/B097PVKRYM"
"","","B0BVSR8T6M","ClearSpace Plastic Pantry Bins with Removable Dividers - Kitchen Storage and Organization (4 Pack)","ClearSpace","$39.99","5,628","176","$225,064","02/13/2023","$27.56","4.7","842","$12.43","1,037","6","FBA","4","Kitchen & Dining","Standard","6 x 3.5 x 10.5 in","3.76 lb","https://www.amazon.com/dp/B0BVSR8T6M"
"","","B09LZ9SWRC","Isaac Jacobs 2-Pack Large Clear Storage Bins (11.5 L x 14 W x 5.5 H) w/Cutout Handles, Plastic Organizer for Home, Office, Kitchen, Fridge/Freezer, Bathroom, BPA Free, Food Safe (Large)","Isaac Jacobs International","$34.99","674","25","$23,583","11/15/2021","$21.51","4.7","288","$13.48","11,174","7","FBA","3","Kitchen & Dining","Standard","12.24 x 7.2 x 14.96 in","3.03 lb","https://www.amazon.com/dp/B09LZ9SWRC"
"","","B0C9JWFR95","Clear Refrigerator Organizer Bins - Plastic Fridge Organizers - Storage Containers for Organizing Pantry, Cupboard, Cabinet, Freezer, Food, Fruit, Kitchen, Bathroom - Refrigerator Storage Bin set of 6","","$49.99","300","10","$14,997","","","4.7","27","","27,879","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C9JWFR95"
"","","B0B47P8RWP","ClearSpace Plastic Storage Bins with Lids XL  Perfect Kitchen or Pantry Organization  Fridge Organizer and Storage Bins, Cabinet Organizers","ClearSpace","$109.99","641","17","$70,504","06/14/2022","$76.19","4.7","426","$33.80","16,462","7","FBA","4","Kitchen & Dining","Oversize","12.5 x 7 x 12.5 in","23 lb","https://www.amazon.com/dp/B0B47P8RWP"
"","","B097QP49XB","Set Of 8 Refrigerator Organizer Bins - 4 Large and 4 Medium Stackable Plastic Clear Food Storage Bin with Handles for Pantry, Freezer, Fridge, Cabinet, Kitchen Countertops - BPA Free","Heyuzb","$29.99","490","17","$14,695","08/14/2021","$18.16","4.7","2,310","$11.83","16,626","7","FBA","1","Kitchen & Dining","Standard","6.69 x 3.54 x 10.79 in","6.12 lb","https://www.amazon.com/dp/B097QP49XB"
"","","B0B6HXQV6N","10 Pack Refrigerator Pantry Organizer Bins, Stackable Fridge Bins with Lids, Clear Plastic for Kitchen, Countertops, Cabinets, Fridge, Drinks, Fruits, Vegetable, Cereals","YKIOKE","$28.99","1,806","72","$52,356","07/13/2022","$17.31","4.4","1,203","$11.68","3,439","7","FBA","6","Kitchen & Dining","Standard","12.638 x 12.913 x 4.528 in","6.455 lb","https://www.amazon.com/dp/B0B6HXQV6N"
"","","B0CB3W8YQX","GTMOON Large Shoe Storage Boxes, 12 Pack Shoe Boxes Clear Plastic Stackable, Shoe Organizer Box for Closet, Stackable Sneaker Containers Case Bins with Lids, Great Alternative to Shoe Racks, Black","GTMOON","$39.99","3,030","101","$121,170","07/03/2023","","4.4","1,541","","7,829","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CB3W8YQX"
"","","B0BGRTS796","Clear Plastic Food Storage Organizer Bins,8 Pack Pantry Organizations and Storage Bins with Removable Dividers, Stackable Refrigerator Organizer Bins Fridge Organizers Kitchen Cabinet Organizers","VIVAIVE","$26.99","1,055","33","$28,474","09/28/2022","$15.91","4.7","458","$11.08","8,344","7","FBA","5","Kitchen & Dining","Standard","6.4 x 11.8 x 2.6 in","5.57 lb","https://www.amazon.com/dp/B0BGRTS796"
"","","B09MGZ46LS","6 Pack Clear Space Plastic Storage Bins For Kitchen Organization, Freeze Organizers With Handles Cabinet For Fridge, Pantry, Bedrooms,Bathrooms","fcaylo","$23.99","333","7","$7,989","11/23/2021","$13.06","4.8","424","$10.93","38,002","7","FBA","1","Kitchen & Dining","Standard","10.79 x 7.68 x 11.65 in","5.99 lb","https://www.amazon.com/dp/B09MGZ46LS"
"","","B0CQJWNNGT","ZEXALOR Socks Underwear Drawer Organzier Dividers, 16 Compartment Removable Divided Plastic Storage Bin with Lid, Storage Organizer for Scarves Ties Bras, Clear Light Gray Dresser Drawer Organizers","ZEXALOR","$19.99","150","5","$2,998","12/17/2023","$10.56","","","$9.43","158,505","6","FBA","1","Home & Kitchen","Standard","12.2 x 3.9 x 10.6 in","2.68 lb","https://www.amazon.com/dp/B0CQJWNNGT"
"","","B0BK4745R6","SKYJUNS 8 pack Clear Plastic Storage Bins, Pantry Organization and Storage, Clear Organizing Bins for Kitchen Organization, Freeze Storage, Cabinet Organization (4L+4S)","SKYJUNS","$38.97","223","7","$8,690","02/28/2023","$25.79","4.9","67","$13.18","38,821","7","FBA","1","Kitchen & Dining","Standard","11.2 x 7.5 x 8.5 in","6.85 lb","https://www.amazon.com/dp/B0BK4745R6"
"","","B09QBFNVPZ","ClearSpace XL Clear Plastic Storage Bins - 2 Pack for Kitchen Cabinet and Fridge Organization","ClearSpace","$34.99","2,938","86","$102,801","01/11/2022","$22.11","4.7","2,105","$12.88","2,732","6","FBA","3","Kitchen & Dining","Standard","11.22 x 7.9 x 12.2 in","4 lb","https://www.amazon.com/dp/B09QBFNVPZ"
"","","B09NQVFZ6P","Simple Houseware Refrigerator Organizer Storage Bins Kitchen/Pantry, Clear, Set of 4","Simple Houseware","$16.87","448","12","$7,558","12/16/2021","$9.20","4.6","954","$7.67","22,889","6","FBA","1","Kitchen & Dining","Standard","3 x 3 x 3 in","1 lb","https://www.amazon.com/dp/B09NQVFZ6P"
"","","B09LXHKMK5","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Fridge Organizer, and Bins, Cabinet Organizers","ClearSpace","$24.99","12,423","361","$310,451","11/16/2021","$14.21","4.8","10,498","$10.78","327","6","FBA","6","Kitchen & Dining","Standard","7.59 x 11.29 x 8.22 in","2.7 lb","https://www.amazon.com/dp/B09LXHKMK5"
"","","B0CKY615C4","Large Clear Plastic Storage Bins, Perfect for Kitchen Organization or Pantry Organization and Storage, Fridge Organizer Plastic Bins, Pantry Organization and Storage Bins, Cabinet Organizers","","$39.99","750","25","$29,993","","","5","25","","11,054","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CKY615C4"
"","","B0C3H57PCT","Vtopmart 4 Pack Clear Stackable Storage Bins with Lids, Large Plastic Containers with Handle for Pantry Organization and Storage,Perfect for Kitchen, Fridge, Cabinet, Bathroom Organizer","Vtopmart","$26.99","9,839","302","$265,555","04/24/2023","$15.91","4.7","1,578","$11.08","444","7","FBA","2","Kitchen & Dining","Standard","9.41 x 7.68 x 11.38 in","5.08 lb","https://www.amazon.com/dp/B0C3H57PCT"
