"Export time:  1/30/2024, 5:15:44 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07VZNMNHH","Amazon Basics Plastic Clipboards, Low Profile Clip, Clipboard for Classrooms, Office, Restaurants, Doctor Offices, 2-Pack, Black","Amazon Basics","$8.54","1,254","63","$10,709","10/02/2019","$4.19","4.6","3,937","$4.35","3,774","6","AMZ","1","Office Products","Standard","9 x 0.1 x 12.3 in","8 oz","https://www.amazon.com/dp/B07VZNMNHH"
"Clipboard Holder","","B09HZQ9YQ1","Gamenote Clipboard Holder - Wood and Metal Clipboard Stand Clipboards Storage Rack Small White Board Organizer for Classroom Office (Assembly Required)","GAMENOTE","$29.99","299","8","$8,967","10/07/2021","$11.99","4.6","336","$18.00","28,908","6","FBA","2","Office Products","Oversize","10 x 13 x 13 in","3.47 lb","https://www.amazon.com/dp/B09HZQ9YQ1"
"Average Monthly Sales: 847","","B0CMQK1BZJ","2Pack Clipboard Holder Clipboard Organizer White Clipboard Storage Rack Clipboard Stand Desktop File Sorter Organizer Magazine File Storage for Office Home Decoration","GKOKG","$34.99","90","3","$3,149","12/25/2023","","","","","64,560","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CMQK1BZJ"
"Average Revenue: $14,710","","B0CKYDRBN2","JoyCat Clipboard Holder - Wood and Metal Clipboard Stand Clipboards Storage Rack Small White Board Organizer for Classroom Office (Assembly Required)","JoyCat","$29.99","60","2","$1,799","10/12/2023","$19.70","4.7","7","$10.29","93,621","6","FBA","1","Office Products","Standard","2.2 x 0.1 x 17.6 in","2.9 lb","https://www.amazon.com/dp/B0CKYDRBN2"
"Average Price: $22.33","","B0CKNXP29J","2Pack Clipboard Holder Clipboard Organizer Wooden Clipboard Storage Rack Clipboard Stand Desktop File Sorter Organizer Magazine File Storage for Home Office Decoration","GKOKG","$29.99","90","3","$2,699","08/13/2023","$10.11","","","$19.88","64,560","6","FBA","1","Office Products","Oversize","10.31 x 13.39 x 13.39 in","6.3 lb","https://www.amazon.com/dp/B0CKNXP29J"
"Average No. of Ratings: 829","","B0CGZRRXSK","XINGTS Clipboard Holder,Easy to Assemble Clipboard Organizer,Clipboard Holder for Classroom,Clipboard Storage in Wood and Metal,Stable Clipboard Standcan for Home Office(Comes with Instructions)","XINGTS","$9.99","30","1","$299.70","08/30/2023","$-0.04","2.8","33","$10.03","126,263","7","FBA","1","Office Products","Standard","10.6 x 4.5 x 15.7 in","3.6 lb","https://www.amazon.com/dp/B0CGZRRXSK"
"Average Sales Rank: 57,479","","B0CJTLTF1M","KLJKPA Clipboard Holder, Metal Clipboard Organizer with Pen Holder, Stand Clipboards Storage Rack for Classroom, Office, Black","KLJKPA","$36.99","75","3","$2,774","09/25/2023","$17.18","4.9","17","$19.81","73,525","6","FBA","1","Office Products","Oversize","10.6 x 14 x 13.6 in","5.11 lb","https://www.amazon.com/dp/B0CJTLTF1M"
"Average Rating Number: 4.3","","B0CH8DTTP9","Clipboard Holder - Wood and Metal Clipboard Storage Rack, Classroom Must Haves Clip Board Stand, Clipboard Organizer for Classroom Office (Assembly Required)","LAISGOO","$28.99","53","1","$1,536","09/03/2023","$11.52","5","13","$17.47","112,828","6","FBA","1","Office Products","Oversize","12.5 x 13 x 10 in","3.85 lb","https://www.amazon.com/dp/B0CH8DTTP9"
"","","B0BGSGX2M4","SUPEASY 10-Tier Wall File Organizer Hanging Wall File Holder for Papers, Folders, Files Clipboard & Magazine Organization Great for Office Home, Black","SUPEASY","$49.99","1,896","47","$94,781","09/28/2022","$28.23","4.6","264","$21.76","5,111","6","FBA","1","Office Products","Oversize","6.55 x 25.08 x 12.56 in","4.99 lb","https://www.amazon.com/dp/B0BGSGX2M4"
"","","B0CBJ8SN3X","Sintuff 2 Pieces Clipboard Holder Wood Metal Clipboard Stand Sturdy Clipboard Storage Rack Small White Board Organizer for Teacher Classroom Home Office, Black (Assembly Required)","Sintuff","$35.99","","","$1,080","07/09/2023","$27.05","2","5","$8.94","238,480","6","FBA","1","Office Products","Standard","12.17 x 6.38 x 15.55 in","1.13 oz","https://www.amazon.com/dp/B0CBJ8SN3X"
