"Export time:  2/11/2024, 3:12:50 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07JGWT8WB","Amazon Basics Dresser Drawer Storage Organizer for Undergarments, Set of 4 - Gray","Amazon Basics","$16.13","","","","05/16/2019","$4.01","4.5","21,120","$12.12","803","6","AMZ","2","Our Brands","Oversize","5.5 x 25.5 x 2.25 in","1.349 lb","https://www.amazon.com/dp/B07JGWT8WB"
"Closet Organizer","","B07SYPLVTG","YOUDENOVA Hanging Closet Organizer and Storage, 6-Shelf Closet Hanging Storage Shelves, Grey","YOUDENOVA","$14.99","7,733","216","$115,918","06/10/2019","$7.60","4.5","12,188","$7.39","2,733","6","FBA","1","Home & Kitchen","Standard","12.2 x 12.6 x 1.6 in","1.451 lb","https://www.amazon.com/dp/B07SYPLVTG"
"Average Monthly Sales: 5,880","","B082BLVKGF","SMIRLY 6 Shelf Hanging Closet Organizer with Drawers, Modern Style, Non-Woven Fabric, 42.5' x 12.2' x 13.6'","SMIRLY","$26.39","2,187","63","$57,715","12/04/2019","$14.80","4.4","12,008","$11.59","13,909","7","FBA","1","Home & Kitchen","Standard","12.64 x 14.25 x 5.67 in","7.61 lb","https://www.amazon.com/dp/B082BLVKGF"
"Average Revenue: $160,729","","B086G7QX2K","GRANNY SAYS 3-Shelf Hanging Closet Organizer and Storage, Collapsible Hanging Closet Shelves, Hanging Organizer for Closet & RV, Gray, 29 ' H X 12' W X 12' D, 1-Pack","GRANNY SAYS","$9.99","8,199","242","$81,908","03/25/2020","$3.35","4.6","15,853","$6.64","2,309","6","FBA","1","Home & Kitchen","Standard","11.969 x 12.441 x 1.26 in","1.078 lb","https://www.amazon.com/dp/B086G7QX2K"
"Average Price: $48.50","","B08HHKJLK8","HOMIDEC Closet Organizer, 9-Cube Closet Organizers and Storage, Portable Closet Storage Shelves,Closet Organizer Storage Shelves, Clothes Storage Organizer for Garment Racks, Closet, Wardrobe","HOMIDEC","$29.98","4,694","185","$140,726","09/04/2020","$16.35","4.4","3,409","$13.63","3,427","6","FBA","6","Home & Kitchen","Standard","12.992 x 16.535 x 5.827 in","12.214 lb","https://www.amazon.com/dp/B08HHKJLK8"
"Average No. of Ratings: 4,092","","B0BMTKGDZZ","OMGelic Acrylic Shelf Dividers for Closet Organization 6PCS Closet Shelf Divider Closet Dividers for Shelves Shelf Organizer for Closet Shelf Organizer for Wood Closet Separator Clear","OMGelic","$21.96","3,533","107","$77,585","11/17/2022","","4.6","374","","7,222","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BMTKGDZZ"
"Average Sales Rank: 39,105","","B08P16KRQJ","Pinkpum Stackable Plastic Storage Basket-Foldable Closet Organizers and Storage Bins 4 Pack-Drawer Shelf Storage Container for Wardrobe Cupboard Kitchen Bathroom Office 4L","Pinkpum","$37.99","4,146","186","$157,507","11/22/2020","$24.66","4.4","2,330","$13.33","3,422","7","FBA","4","Home & Kitchen","Standard","5.1 x 16.5 x 12.6 in","6.65 lb","https://www.amazon.com/dp/B08P16KRQJ"
"Average Rating Number: 4.4","","B0CHM65992","Fixwal 6-Shelf Weekly Hanging Closet Organizer for Kids with 6 Side Pockets, Weekday Kids Clothes Organizers Monday Through Friday Clothes Foldable Hanging Storage Shelves (Blue)","Fixwal","$18.99","1,147","39","$21,782","09/07/2023","","4.5","253","","23,541","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHM65992"
"","","B092D7Q3TP","X-cosrack 3 Tier Foldable Closet Organizer, Clothes Shelves with 5 S Hooks, Wall Mount&Cabinet Wire Storage Basket Bins, for Clothing Sweaters Shoes Handbags Clutches Accessories-White Patent Design","X-cosrack","$29.99","300","10","$8,997","06/25/2021","$18.16","4.4","476","$11.83","94,093","7","FBA","20","Home & Kitchen","Standard","10.591 x 12.953 x 4.016 in","6.565 lb","https://www.amazon.com/dp/B092D7Q3TP"
"","","B09MK47LM9","4 Tier Closet Hanging Organizer, Clothes Hanging Shelves with 5 S Hooks, Closet Organization and Storage Wire Basket Bins for Clothing Sweater Handbag Clutches Accessories Patent Design Silver","X-cosrack","$39.99","827","19","$33,072","05/14/2022","$8.33","4.6","604","$31.66","48,423","7","FBA","9","Home & Kitchen","Oversize","11.8 x 42.4 x 12.4 in","7.94 lb","https://www.amazon.com/dp/B09MK47LM9"
"","","B0B568Z9V6","5 Tier Closet Hanging Organizer, Clothes Hanging Shelves with 4 Hanging Hooks 5 S Hooks, Wire Storage Basket Bins, for Clothing Sweaters Shoes Handbags Clutches Accessories Patent Design-White","X-cosrack","$46.99","343","5","$16,118","06/26/2022","","4.5","127","","156,872","7","FBA","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0B568Z9V6"
"","","B0BRQ9XVPC","Volnamal Legging Organizer for Closet, Metal Yoga Pants Hanger w/Rubber Coated 2 Pack w/10 Clips Hold 20 Leggings, Hangers Space Saving Hanging Closet Organizer for Closet Organizers and Storage-Grey","Volnamal","$15.99","8,468","259","$135,403","01/04/2023","","4.4","853","","2,075","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BRQ9XVPC"
"","","B0BRKHCLGZ","Closet Organizers and Storage,3 Pack Organization and Storage Pants-Hangers-Space-Saving,Velvet Hanger for Dorm Room for College Students Girls Boys Guys Hanging Jean Scarf","JUUBAOOPN","$9.59","5,561","232","$53,330","01/02/2023","","4.5","1,020","","2,450","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BRKHCLGZ"
"","","B073PJ9LB6","Amazon Basics Closet Storage Organizer with Fabric Bins and 3 Shelves, Grey, 32.7' x 12.2' x 31'","Amazon Basics","$24.97","","","","01/02/2018","$9.62","4.6","13,870","$15.35","2,236","6","AMZ","15","Our Brands","Oversize","13 x 32 x 2 in","7.899 lb","https://www.amazon.com/dp/B073PJ9LB6"
"","","B08HK98N35","Closet Organizers and Storage 162L Closet Organizer 6 Cube Closet Shelves with Hook for Handing Storage Shelves for Storage Bins for Closet Storage","HOMIDEC","$24.99","851","25","$21,266","09/04/2020","$13.31","4.3","515","$11.68","37,168","7","FBA","3","Home & Kitchen","Standard","12.795 x 16.102 x 4.213 in","8.821 lb","https://www.amazon.com/dp/B08HK98N35"
"","","B08HK9Q2JC","Closet Organizer, 12-cube Closet Organizers and Storage, Portable Closet Storage Shelves, Clothing Storage for Kids, Closet, Bedroom, Bathroom, Office (11.8x11.8x11.8 inch), Black","HOMIDEC","$39.99","2,285","81","$91,377","09/04/2020","$19.73","4.4","3,320","$20.26","10,182","6","FBA","3","Home & Kitchen","Oversize","11.8 x 11.8 x 11.8 in","14.99 lb","https://www.amazon.com/dp/B08HK9Q2JC"
"","","B0C5N81V89","HOMELUX THEORY 1 PC Heavy Duty Over the Door Organizer 55x14x6.7, 6 Large Front & 12 Side Pockets, Hanging Storage Closet Door Organizer for Bedroom, Bathroom and Baby Nursery Storage (Ivory)","HOMELUX THEORY","$26.99","1,940","172","$52,361","05/17/2023","","4.8","547","","3,833","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C5N81V89"
"","","B0C4H3Z6K7","Durmmur 2 Pack Hat Racks for Baseball Caps, Stainless Steel Hat Organizer for Baseball Cap, Hat Holder Storage Organizer, Hat Hanger Strong Adhesive/Wall Drilled for Door,Bedroom,Closet(Black)","Durmmur","$7.99","20,885","685","$166,871","05/05/2023","$3.25","4.4","690","$4.74","373","7","FBA","1","Home & Kitchen","Standard","3.14 x 2.08 x 6.77 in","5.6 oz","https://www.amazon.com/dp/B0C4H3Z6K7"
"","","B082K8XTBS","AMKUFO 6 Pack-Closet-Organizers-and-Storage, Magic-Hangers-Space-Saving-for-Clothes, Closer-Organizer-for-Closet-Organization, Space-Saver-Hanger-Organizer-for-Multipurpose, Dorm-Room-Essentials","AMKUFO","$7.49","2,681","77","$20,081","12/08/2019","$2.60","4.5","3,349","$4.89","10,976","7","FBA","1","Home & Kitchen","Standard","4.25 x 10 x 2.55 in","0.45 lb","https://www.amazon.com/dp/B082K8XTBS"
"","","B0C89KMH41","Z&L HOUSE 6 Tier Hanging Closet Organizer, Collapsible Thicken Hanging Shelves, with 3 Side Pockets and 3 Removable Drawers, Suitable for Bedroom Closet Clothing Storage Grey","Z&L HOUSE","$11.99","287","63","$3,441","06/15/2023","","4.2","29","","13,930","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C89KMH41"
"","","B0CDGGX9BD","12 Pack Sock Underwear Drawer Organizer Dividers, 116 Cells Fabric Foldable Dresser Closet Organizers and Storage Bins for Baby Clothing, Women Men Underwear Socks, Bra, Ties, Scarf","Criusia","$49.98","3,745","117","$187,175","09/13/2023","$35.75","4.6","1,470","$14.23","6,453","7","FBA","1","Home & Kitchen","Standard","11.8 x 4 x 11.8 in","2.53 lb","https://www.amazon.com/dp/B0CDGGX9BD"
"","","B0CGD1W4P6","HOMIDEC Closet Organizers and Storage 70Qt 3 Pack Stackable Storage Bins with 3 Lids Closet Organizer Boxes for Clothes Foldable Storage Box for Clothes/Toys/Office Supplies/Snacks(23Qt X 3)","HOMIDEC","$32.99","1,277","30","$42,128","08/22/2023","$8.46","4.3","122","$24.53","31,042","6","FBA","2","Home & Kitchen","Oversize","10.63 x 25.6 x 14.76 in","7.19 lb","https://www.amazon.com/dp/B0CGD1W4P6"
"","","B09P769PCR","AWTATOS Cube Storage Organizer, 16 Cube Closet Organizer, Stackable Storage Cube Shelves, DIY Portable Closet Clothes Organizer Shelving for Bedroom, Closet, Wardrobe, Bathroom, White","AWTATOS","$49.99","495","11","$24,745","12/25/2021","$31.26","4.6","997","$18.73","82,724","7","FBA","1","Home & Kitchen","Standard","13.23 x 16.3 x 7.76 in","19.22 lb","https://www.amazon.com/dp/B09P769PCR"
"","","B08HHKFPMD","HOMIDEC 6-Cube Storage Organizer, Closet Organizer Storage Cabinet Shelf Bookcase Bookshelf,Storage Cubes Organizer Cabinet for Kids,Closet, Bedroom,Bathroom","HOMIDEC","$23.99","6,440","269","$154,496","09/04/2020","$12.46","4.3","6,528","$11.53","1,952","7","FBA","7","Home & Kitchen","Standard","12.913 x 16.299 x 4.095 in","8.907 lb","https://www.amazon.com/dp/B08HHKFPMD"
"","","B0BW3ZQY4L","Daoun Hat Rack for Baseball Caps - 2 Pieces Adhesive Hat Organizer Wall Mount, Strong Hat Storage Organizer for Baseball Cap No Drilling Hat Holder for Door, Closet and Wall","Daoun","$14.99","2,084","64","$31,239","04/10/2023","","4.3","173","","13,613","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BW3ZQY4L"
"","","B0BWSHN8XZ","ZEDODIER Belt Hanger, Belt Rack Closet Accessories Organizer, Maximum 24 Storage Capacity, Hanging Holder Storage Hook for Belt, Bra, Tank Top, Tie, Scarf, Purse, Black","ZEDODIER","$9.99","3,003","102","$30,000","02/23/2023","","4.7","1,669","","7,744","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BWSHN8XZ"
"","","B0BNQ56MH5","Delamu 2 Sets of 2-Tier Multi-Purpose Bathroom Under Sink Organizers and Storage, Stackable Kitchen Pantry Organization, Pull Out Medicine Cabinet Organizer with 8 Movable Dividers","Delamu","$39.99","23,176","641","$926,808","11/30/2022","","4.3","1,258","","112","7","FBA","6","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BNQ56MH5"
"","","B09MK34HL5","5 Tier Closet Hanging Organizer, Clothes Hanging Shelves with 4 Hanging Hooks 5 S Hooks, Wire Storage Basket Bins, for Clothing Sweaters Shoes Handbags Clutches Accessories Patent Design","X-cosrack","$45.99","936","25","$43,047","05/08/2022","$30.56","4.6","390","$15.43","36,940","7","FBA","9","Home & Kitchen","Standard","10.91 x 13.11 x 6.73 in","10.249 lb","https://www.amazon.com/dp/B09MK34HL5"
"","","B092JRBZXJ","ZEDODIER 2 Pack Tank Top Hanger, Bra Organizer for Closet, Heavy Duty Sport Bras Holder, Space Saving Closet Organizers and Storage, College Dorm Room Essentials, Silver","ZEDODIER","$15.99","11,293","357","$180,575","04/13/2021","$8.45","4.6","5,944","$7.54","1,226","6","FBA","1","Home & Kitchen","Standard","8.898 x 12.48 x 1.063 in","1.402 lb","https://www.amazon.com/dp/B092JRBZXJ"
"","","B0BNKYX83H","Gsiekare 4 Pack Stackable Plastic Storage Bins with Lid, 18 Qt Foldable Closet Organizers, Storage Drawers for Clothes Toys","Gsiekare","$32.99","2,902","67","$95,737","11/28/2022","$20.11","3.8","714","$12.88","12,861","7","FBA","3","Home & Kitchen","Standard","10.63 x 6.18 x 17.4 in","1 lb","https://www.amazon.com/dp/B0BNKYX83H"
"","","B08177SCT4","Easy Track Ultimate Corner Wood Kit Closet Organizer, White","Easy Track","$1,033.04","","","$0.00","11/07/2019","$872.94","3.3","23","$160.10","943,816","7","AMZ","1","Home & Kitchen","Standard","1 x 1 x 1 in","1 lb","https://www.amazon.com/dp/B08177SCT4"
"","","B0B825RMNF","CTSNSLH 4 Pack Folding Closet Organizers Storage Box, Stackable Plastic Drawer Basket for Clothing(White)","CTSNSLH","$37.99","3,762","86","$142,918","07/28/2022","","4.4","790","","9,547","7","FBA","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0B825RMNF"
"","","B0BR7MSWN2","homsorout Trapezoid Storage Bins, Foldable Closet Organization , Closet Storage Organizer for Shelves, Linen Closet Organizers and Storage for Toy, Clothes, 6 Packs (Blended)","homsorout","$39.99","1,430","35","$57,186","12/27/2022","","4.6","348","","26,325","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BR7MSWN2"
"","","B0C6ZYGPQB","Fixwal Over The Door Hanging Organizer, Large Capacity Storage with Transparent PVC Material, 6 Shelves, 69'L x 11.8'W x 6.3'H","Fixwal","$14.99","1,589","35","$23,819","06/02/2023","$-7.98","4.2","119","$22.97","26,691","7","FBA","1","Home & Kitchen","Oversize","11.8 x 6.3 x 59 in","1.23 lb","https://www.amazon.com/dp/B0C6ZYGPQB"
"","","B091KFT7WN","Magic Pants Hangers Space Saving - 2 Pack for Closet Multiple Layers Multifunctional Uses Rack Organizer for Trousers Scarves Slack (2 Pack with 10 Metal Clips)","FeeraHozer","$21.99","22,153","569","$487,144","04/01/2021","$13.55","4.3","12,998","$8.44","533","7","FBA","1","Home & Kitchen","Standard","9.961 x 13.189 x 1.575 in","1.55 lb","https://www.amazon.com/dp/B091KFT7WN"
"","","B07HLM5YW7","UDEAR Portable Closet Large Wardrobe Closet Clothes Organizer with 6 Storage Shelves, 4 Hanging Sections 4 Side Pockets,Grey","UDEAR","$44.99","692","24","$31,133","09/22/2018","$25.88","3.7","8,822","$19.11","39,751","7","FBA","1","Home & Kitchen","Oversize","14 x 24 x 4 in","8.999 lb","https://www.amazon.com/dp/B07HLM5YW7"
"","","B0BJ6NPY5K","SLEEPING LAMB Long 2-Tier Shoe organizer for Closet, Stackable Wide Shoe Rack Holds 18-Pairs Low Shoe Shelf Storage for Bedroom, Floor, Entryway(Black)","SLEEPING LAMB","$21.99","3,383","139","$74,392","11/02/2022","","4.6","841","","5,125","7","FBA","13","Home & Kitchen","","","","https://www.amazon.com/dp/B0BJ6NPY5K"
"","","B0CM1BXPNC","X-cosrack Hanging Closet Organizers and Storage with Pants Hanger, Collapsible Hanging Closet Shelves, Adjustable Hanging Organizer for Closet & RV, Black, 2-Packs","X-cosrack","$30.99","390","13","$12,086","01/02/2024","","4.5","15","","71,209","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CM1BXPNC"
"","","B08HCZZQ3B","Criusia 3 Pack Sock Underwear Organizer Dividers, 64 Cell Fabric Foldable Cabinet Closet Organizers and Storage Boxes for Storing Socks, Underwear, Ties (16+24+24 Cell, Gray)","Criusia","$16.98","6,685","173","$113,511","09/02/2020","$7.70","4.6","17,413","$9.28","3,780","7","FBA","1","Home & Kitchen","Standard","3.94 x 12.6 x 12.6 in","1.06 lb","https://www.amazon.com/dp/B08HCZZQ3B"
"","","B0C2Q1NPN1","Ulif E1 Heavy Duty Clothes Rack, 6 Tiers Metal Freestanding Garment Rack, Expandable Closet Organizers and Storage with 4 Hanging Rods, Easy to Assemble, 71.4' H x (70.8' - 86.6') W x 14' D, White","Ulif","$129.99","923","23","$119,981","04/16/2023","","4.6","391","","41,009","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2Q1NPN1"
"","","B0B67PCFLQ","23Qt Plastic Storage Bins Organizer 3 Tier, Stackable Storage Boxes with Lids, Storage Containers for Bedroom Living Room Kitchen Study Office, Folding Storage Boxes","CTSNSLH","$32.99","6,574","100","$216,876","08/24/2022","","4.5","1,965","","7,913","7","FBA","10","Home & Kitchen","","","","https://www.amazon.com/dp/B0B67PCFLQ"
