"Export time:  2/8/2024, 3:38:07 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08R7YXRWV","Vallo 100% Compostable Clamshell To Go Boxes For Food [8X8 1-Compartment 50-Pack] Disposable Take Out Containers, Made of Biodegradable Sugar Cane, Eco-Friendly Bagasse, Heavy-Duty ToGo Containers","Vallo","$24.99","93","3","$2,324","12/15/2020","$14.51","4.2","336","$10.48","127,598","6","FBA","1","Health & Household","Standard","6 x 9 x 6 in","4.59 lb","https://www.amazon.com/dp/B08R7YXRWV"
"Compostable Clamshell Take Out Food Containers","","B0CCTH6B3F","Dhaey HGX Food Storage Container, Biodegradable, Grease-Proof 6x6 Clamshell Small Togo Containers, Small Take Out Boxes 50pk. Disposable, Microwavable Take Out Container With Hinged Lid","Dhaey","$16.99","60","2","$1,019","07/25/2023","$-2.13","4.3","2","$19.12","64,780","7","FBA","1","Industrial & Scientific","Oversize","7.5 x 11 x 19 in","2.31 lb","https://www.amazon.com/dp/B0CCTH6B3F"
"Average Monthly Sales: 728","","B081HYFYTW","100% Compostable Clamshell Take Out Food Containers [8X8' 50-Pack] Heavy-Duty Quality to go Containers, Natural Disposable Bagasse, Eco-Friendly Biodegradable Made of Sugar Cane Fibers","Stack Man","$20.99","3,317","138","$69,624","11/13/2019","$12.04","4.5","2,957","$8.95","656","7","FBA","2","Industrial & Scientific","Standard","8 x 2.5 x 8 in","3.31 lb","https://www.amazon.com/dp/B081HYFYTW"
"Average Revenue: $18,530","","B07XV8KDKD","100% Compostable Clamshell Take Out Food Containers [8X8' 3-Compartment 50-Pack] Heavy-Duty Quality to go Containers, Natural Disposable Bagasse, Eco-Friendly Biodegradable Made of Sugar Cane Fibers","Stack Man","$20.99","2,760","107","$57,932","09/11/2019","$11.74","4.4","7,758","$9.25","948","7","FBA","4","Industrial & Scientific","Standard","8 x 2.5 x 8 in","4.25 lb","https://www.amazon.com/dp/B07XV8KDKD"
"Average Price: $30.14","","B082TTFZFJ","100% Compostable Clamshell Take Out Food Containers [6x6' 50-Pack] Heavy-Duty Quality to go Containers, Natural Disposable Bagasse, Eco-Friendly Biodegradable Made of Sugar Cane Fibers","Stack Man","$15.99","625","25","$9,994","12/15/2019","$7.80","4.7","2,777","$8.19","29,322","7","FBA","1","Health & Household","Standard","6 x 3 x 6 in","2.28 lb","https://www.amazon.com/dp/B082TTFZFJ"
"Average No. of Ratings: 825","","B079C4P9CC","Avant Grub Food Storage Container, Grease-Proof 6x6 Clamshell Small Togo Containers, Small Take Out Boxes 100pk. Disposable, Microwavable Take Out Container With Hinged Lid","Avant Grub","$30.91","185","9","$5,718","02/15/2018","$22.06","4.6","685","$8.85","16,780","7","FBA","2","Industrial & Scientific","Standard","6 x 3 x 6 in","1.1 lb","https://www.amazon.com/dp/B079C4P9CC"
"Average Sales Rank: 43,387","","B0B3J8WXCN","YANGRUI Clamshell Food Containers, 65 Pack 7.8 Inch BPA Free Reusable To Go Containers 30 oz Shrink Wrap 3 Compartment Freezer and Microwave Safe Take Out Containers","YANGRUI","$31.99","666","33","$21,305","06/07/2022","$20.52","4.5","664","$11.47","4,165","7","FBA","4","Industrial & Scientific","Standard","7.8 x 2.8 x 7.8 in","7.31 lb","https://www.amazon.com/dp/B0B3J8WXCN"
"Average Rating Number: 4.3","","B075PNJXMH","HeloGreen Eco Friendly 1 Compartment 100 Count 8'x8' To Go Food Containers - To Go Containers Disposable, Take Out Food Containers, To Go Boxes for Food, Clamshell Food Container, Heavy Duty To Go Box","HeloGreen","$43.99","92","4","$4,047","01/13/2017","$30.18","4.5","283","$13.81","39,714","6","FBA","2","Industrial & Scientific","Standard","8 x 1.5 x 8 in","10.51 lb","https://www.amazon.com/dp/B075PNJXMH"
"","","B01MR63NE5","HeloGreen Eco Friendly 3 Compartment 1000ml Cornstarch Food Storage Container, Modern Style, Take Out Boxes, Disposable, Microwaveable, Non-Soggy, 100 Count","HeloGreen","$42.99","287","12","$12,338","11/02/2016","$29.30","4.5","888","$13.69","12,361","6","FBA","1","Industrial & Scientific","Standard","8 x 1.5 x 8 in","10.36 lb","https://www.amazon.com/dp/B01MR63NE5"
"","","B0BTD62K7C","greensight 9 x 6 Clamshell Take Out Food Containers, 75 Pack Disposable To Go Containers, Compostable To Go Boxes, Biodegradable Food Containers Made of Sugar Cane Fibers","greensight","$26.99","470","15","$12,685","01/29/2023","$16.72","4.7","131","$10.27","9,864","7","FBA","2","Industrial & Scientific","Standard","6 x 3 x 9 in","5.09 lb","https://www.amazon.com/dp/B0BTD62K7C"
