"Export time:  2/8/2024, 3:37:24 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CC82S8CV","Signature Compostable Paper Plates 9 inch 125 Pack - Biodegradable Sugarcane Plates - Heavy Duty Disposable Plates","Signature Packaging","$19.99","544","15","$10,875","07/18/2023","","4.6","4,013","","42,076","6","FBA","2","Health & Household","","","","https://www.amazon.com/dp/B0CC82S8CV"
"Compostable Paper Plates","","B082MZFGT7","BIRCHIO 250 Piece Biodegradable Paper Plates Set (EXTRA LONG UTENSILS), Disposable Dinnerware Set, Eco Friendly Compostable Plates & Utensil include Plates, Forks, Knives and Spoons for Party","BIRCHIO","$29.99","791","32","$23,722","12/10/2019","$18.76","4.6","1,394","$11.23","24,188","7","FBA","3","Health & Household","Standard","9.5 x 10 x 7 in","4.65 lb","https://www.amazon.com/dp/B082MZFGT7"
"Average Monthly Sales: 1,878","","B08X1SX5KQ","Ecovita 100% Compostable Paper Plates [9 in.]  150 Disposable Plates Eco Friendly Sturdy Tree Free Liquid and Heat Resistant Alternative to Plastic or Paper Plates","Ecovita","$36.75","869","33","$31,936","02/18/2021","$24.21","4.6","324","$12.54","23,514","8","FBA","2","Health & Household","Standard","9.291 x 9.331 x 7.677 in","5.595 lb","https://www.amazon.com/dp/B08X1SX5KQ"
"Average Revenue: $41,548","","B091CCS36H","Vplus 150 Pack Compostable Disposable Paper Plates 10 inch Super Strong 100% Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates(nature)","Vplus","$29.99","6,667","226","$199,943","03/29/2021","$17.86","4.6","1,985","$12.13","4,043","6","FBA","1","Health & Household","Standard","10.4 x 7.48 x 10.4 in","7.16 lb","https://www.amazon.com/dp/B091CCS36H"
"Average Price: $23.72","","B07MQG9H6R","100% Compostable Paper Plates, Heavy Duty Disposable Plates [125-Pack] 9 Inch Plates - Eco-Friendly, Biodegradable Sugarcane Bagasse, Natural Unbleached Brown 9' Dinner Paper Plate Disposable","Stack Man","$21.99","19,241","649","$423,110","01/09/2019","$15.77","4.7","20,325","$6.22","1,182","7","FBA","1","Health & Household","Standard","9 x 0.5 x 9 in","0.01 oz","https://www.amazon.com/dp/B07MQG9H6R"
"Average No. of Ratings: 1,733","","B0B9HDFDVN","GreenWorks 100 Count 6 Compostable Dessert Plates, Heavy-duty Unbleached Biodegradable Bagasse and Bamboo fiber Paper Plates","GreenWorks","$9.96","2,446","93","$24,362","08/11/2022","","4.7","346","","9,620","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0B9HDFDVN"
"Average Sales Rank: 34,644","","B081PDR48W","Paper Plates, 100% Compostable Heavy Duty Disposable 10 Inch Plate - [125-Pack] - {PFAS-Free} - {BPI Certified} Eco-Friendly, Biodegradable Bagasse Natural Brown 10' Dinner Plates - By Stack Man","Stack Man","$26.99","5,026","175","$135,652","11/17/2019","$17.80","4.7","2,785","$9.19","5,248","7","FBA","3","Health & Household","Standard","10 x 0.5 x 10 in","1 lb","https://www.amazon.com/dp/B081PDR48W"
"Average Rating Number: 4.6","","B08MYJWQ8T","ECO SOUL 100% Compostable 10 Inch Palm Square Leaf Plates [50-Pack] I Premium Disposable Plates Set I Heavy Duty Eco-Friendly Bamboo Plates Disposable I Square Disposable Plates","ECO SOUL","$31.95","1,591","63","$50,832","03/01/2021","$15.56","4.5","1,667","$16.39","13,589","6","FBA","4","Health & Household","Oversize","10.47 x 10.79 x 8.54 in","7.2 lb","https://www.amazon.com/dp/B08MYJWQ8T"
"","","B09F2FHH58","ECOLipak 9 inch 150 Pack Compostable Paper Plates, Heavy Duty Disposable Biodegradable Eco-friendly Sugarcane Bagasse Plates for Party Dinner","ECOLipak","$21.98","2,268","67","$49,851","08/30/2021","$11.65","4.6","1,083","$10.33","12,930","6","FBA","1","Health & Household","Standard","9.06 x 6.89 x 9.06 in","5.39 lb","https://www.amazon.com/dp/B09F2FHH58"
"","","B0B5CSPS8D","Vplus 200 Pack Paper Plates 7 inch 100% Compostable Plates Heavy-Duty Disposable Paper Plates Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates","Vplus","$19.99","380","16","$7,596","06/28/2022","","4.5","304","","39,966","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0B5CSPS8D"
