"Export time:  2/11/2024, 3:07:16 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B088D6WRKR","UrbanRed Flexible Bendable Ceiling Curtain Track, 9.8FT (3m), Ceiling Mount for Curtain Rail with Track Curtain System, Hanging Room Divider, Ceiling Curtain Rod, RV Ceiling Track for Curtains, White","UrbanRed","$29.97","2,994","97","$89,730","03/29/2019","$13.49","4.4","8,646","$16.48","8,249","7","FBA","1","Home & Kitchen","Oversize","10.24 x 10.24 x 11.81 in","1.45 lb","https://www.amazon.com/dp/B088D6WRKR"
"Curtain Track Ceiling","","B09P58RNYR","Flexible Bendable Curtain Track Ceiling Wall Mount 12 Ft Ceiling Track for Curtains Room Divider Curved Slide Curtain Rail Heavy Duty Ceiling Curtain Track System for RV Bay Windows","KOLAKO","$16.99","1,386","54","$23,548","12/23/2021","$9.30","4.3","937","$7.69","16,440","7","FBA","1","Home & Kitchen","Standard","0.39 x 0.39 x 5.91 in","1.98 lb","https://www.amazon.com/dp/B09P58RNYR"
"Average Monthly Sales: 481","","B0832DL6Z4","KXLife Flexible Bendable Curved Ceiling Curtain Track, Curtain Track Ceiling Mount, RV Curtain Track, Curtain Rail (8 ft)","KXLIFE","$19.99","1,290","40","$25,787","12/22/2019","$11.85","4.4","4,017","$8.14","23,068","6","FBA","6","Home & Kitchen","Standard","10.24 x 1.18 x 10.24 in","1.37 lb","https://www.amazon.com/dp/B0832DL6Z4"
"Average Revenue: $18,392","","B07ZS6RPJQ","Ceiling Curtain Track Set - 3ft-9.8ft / 3 Meter - Ceiling Track for Curtains-Room Divider Curtain Track Ceiling Mount For Privacy Living Room Bedroom Drop Ceiling Shower-Ceiling Track System - White","Jos & Haz","$65.95","580","14","$38,251","12/30/2019","$45.98","4.4","751","$19.97","64,353","7","FBA","1","Home & Kitchen","Oversize","6 x 39.6 x 1.53 in","3.351 lb","https://www.amazon.com/dp/B07ZS6RPJQ"
"Average Price: $39.58","","B089QF1594","Room divider Ceiling Track set for Curtains with hooks, Corner Connectors(Set of 2) and top brackets Curtain Rail System (12-18 ft Track Set) White","SOLOKOS","$78.99","252","7","$19,905","06/04/2020","$58.20","4.3","268","$20.79","120,989","6","FBA","2","Home & Kitchen","Oversize","5 x 3.9 x 37.8 in","4.2 oz","https://www.amazon.com/dp/B089QF1594"
"Average No. of Ratings: 1,716","","B08ZK8NDDW","Flexible Ceiling Curtain Track | 9.8 ft (3 m) Curved Curtain Rail with Mute Rollers | Bendable Mount for Shower Bay Window RV Room Divider","Gaahing","$17.00","236","8","$4,012","03/19/2021","$-66.97","4.2","733","$83.97","106,633","7","FBA","1","Home & Kitchen","Oversize","0.79 x 0.2 x 118.11 in","1.5 lb","https://www.amazon.com/dp/B08ZK8NDDW"
"Average Sales Rank: 197,339","","B0927BK927","UrbanRed Self Adhesive Curtain Track 9.8FT (3m) for Smooth Ceiling Or Wall- No Drill, Screws, Ceiling Curtain Track, Curtain Rods, Ceiling Mount, Adhesive Curtain Rod (Non-Flexible)","UrbanRed","$34.99","1,110","48","$38,839","03/29/2019","$20.80","3.8","960","$14.19","18,886","7","FBA","1","Home & Kitchen","Oversize","10.24 x 10.24 x 11.81 in","12.3 oz","https://www.amazon.com/dp/B0927BK927"
"Average Rating Number: 4.3","","B0CGHBY9ZR","TYRON Adhesive Curtain Track Ceiling or Wall Mount(128'/ 10.7 FT), Ceiling Track Room Divider, Self Adhesive Curtain Rod No Drill, Screws or Tools, Curtain Hangers No Damage","TYRON TYRON","$32.99","668","29","$22,037","08/23/2023","$22.90","4.5","30","$10.09","31,930","7","FBA","1","Home & Kitchen","Standard","0.8 x 0.8 x 16 in","1.12 lb","https://www.amazon.com/dp/B0CGHBY9ZR"
"","","B0BD6Q1LZV","FELIDESIGN Curtain Track, Ceiling Curtain Track, Ceiling Track for Curtains, Room Divider Curtain Rods, Curtain Track Ceiling Mount, Curtain Track Rail Set with Roller Hooks (White, 6ft - 9ft)","FELIDESIGN","$55.99","414","13","$23,180","09/05/2022","$-53.95","4.2","124","$109.94","70,913","6","FBA","1","Home & Kitchen","Oversize","39.39 x 39.39 x 10.14 in","2.4 lb","https://www.amazon.com/dp/B0BD6Q1LZV"
"","","B0CCYDDHL6","SOMINS Curtain Track, Ceiling Curtain Track, Room Divider Curtain Track, Ceiling Track for Curtains - Comes with Roller Hooks, for 6ft - 9ft (White)","SOMINS","$53.99","236","13","$12,742","07/26/2023","$34.67","4.4","10","$19.32","70,390","6","FBA","1","Home & Kitchen","Oversize","4.72 x 4.72 x 38.97 in","2.55 lb","https://www.amazon.com/dp/B0CCYDDHL6"
"","","B0859NPDXB","Ceiling Curtain Track 3ft-13ft / 4 Meter - Ceiling Track for Curtains-Room Divider Curtain Track Ceiling Mount For Privacy Living Room Bedroom Drop Ceiling Shower-Ceiling Track System - White","Jos & Haz","$72.95","583","14","$42,530","12/30/2019","$-20.20","4.4","751","$93.15","64,353","7","FBA","2","Home & Kitchen","Oversize","944.88 x 1,023.62 x 157.48 in","2.94 lb","https://www.amazon.com/dp/B0859NPDXB"
"","","B0BV7DRBJS","UrbanRed Self Adhesive Curtain Track (16.4 FT, 5 Meters) For Smooth Ceiling Or Wall- No Drill, Screws, No Damage Curtain Track, Curtain Hangers, Adhesive Curtain Rod (Non-Flexible)","UrbanRed","$44.99","325","10","$14,622","04/13/2023","$-43.18","3.6","94","$88.17","94,025","7","FBA","2","Home & Kitchen","Oversize","12.7 x 12.7 x 196.77 in","1.28 lb","https://www.amazon.com/dp/B0BV7DRBJS"
"","","B09MCY5KH8","ACMEART Ceiling Curtain Track,Retractable Ceiling Track for Curtains,2.8-5.2ft,Room Divider Curtain Rod,Ceiling Rails Set with Silent Rollers and Hooks for Living room/Bedroom/Shower/RV","ACMEART","$33.99","204","8","$6,934","11/21/2021","$19.57","4.5","105","$14.42","109,894","6","FBA","1","Home & Kitchen","Oversize","2 x 2 x 35 in","1.2 lb","https://www.amazon.com/dp/B09MCY5KH8"
"","","B01N1O0MRB","Amazon Basics 1-Inch Curtain Rod with Round Finials, 1-Pack, 72' to 144', Nickel","Amazon Basics","$49.99","","","","07/19/2019","$32.60","4.7","63,397","$17.39","436","6","AMZ","11","Our Brands","Oversize","8 x 3.5 x 51.5 in","5.4 lb","https://www.amazon.com/dp/B01N1O0MRB"
"","","B0C7ZPFMTJ","Hoeflife Ceiling Curtain Track, Curtain Track Ceiling Mount, Room Divider Curtain Rod or Wall with Rolling Hooks, Ceiling Shower Curtain Tracks Perfect for Privacy in Open Rooms (3-6ft, White)","","$48.99","300","10","$14,697","","","4.5","28","","92,282","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7ZPFMTJ"
"","","B09CKGQYC5","TOKPLNU Ceiling Curtain Track, Flexible Bendable Ceiling Curtain Track Curved Curtain Track 12Ft Ceiling Track for Curtains Room Divider Curtain Rail Track Ceiling Wall Mount for RV Curtain Bay window","TOKPLNU","$16.49","913","26","$15,055","08/12/2021","$-68.19","4.3","560","$84.68","36,497","7","FBA","1","Home & Kitchen","Oversize","0.4 x 0.4 x 144 in","2.06 lb","https://www.amazon.com/dp/B09CKGQYC5"
"","","B09WZXMCBZ","6ft Ceiling Track for Curtains, Never Rust & Enough Rollers and Hooks & Slide Quietly Curtain Track Rail for Window: Suitable for Bathroom, Shower Room, Bedroom, Hospital, RV, Camper","FSLGEFUL","$28.99","124","4","$3,595","03/31/2022","$19.50","4","50","$9.49","202,886","6","FBA","1","Home & Kitchen","Standard","1.97 x 1.97 x 17.8 in","1.34 lb","https://www.amazon.com/dp/B09WZXMCBZ"
"","","B09SGJ375V","MERJULAN Aluminium alloy Ceiling Track for Curtains, Room Divider, Ceiling Curtain Track, Room Divider Curtain Rod, Numerous Hooks with End Hook, Easy Install, for Spaces (3ft - 6ft, Silver)","MERJULAN","$51.99","120","4","$6,239","02/13/2022","$28.62","4.4","143","$23.37","203,763","7","FBA","1","Home & Kitchen","Oversize","5 x 38.6 x 4.9 in","2.05 lb","https://www.amazon.com/dp/B09SGJ375V"
"","","B09BTCW21B","Curved Ceiling Curtain Track Bendable Mount for Curtain Rail Bunk Bed Bay Window Room Divider Flexible Straight (Black,5 m/ 16.4 ft)","Jetec","$29.99","725","25","$21,743","06/23/2021","$19.70","4.3","1,395","$10.29","37,668","7","FBA","1","Home & Kitchen","Standard","12.205 x 1.575 x 12.205 in","2.866 lb","https://www.amazon.com/dp/B09BTCW21B"
"","","B0CL43RX1M","Hoeflife Room Divider Curtain with Flexible Ceiling Track, Total Privacy Ceiling Track Curtains Blackout Sound Proof Floor to Curtains for Living Room Bedroom Patio Sliding Door (Black, W100 x H84)","hoeflife","$55.99","90","3","$5,039","12/22/2023","","4.7","32","","283,706","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CL43RX1M"
"","","B095P1W49W","ZSTARR Retractable Ceiling Curtain Track, Measurement-Free Curtain Track 33.5''-59'',For Room Divider, Shower Curtain, Parallel bay window, RV Curtain Track (White)","ZSTARR","$36.89","189","9","$6,972","05/23/2021","$-50.06","4.4","279","$86.95","99,899","6","FBA","1","Home & Kitchen","Oversize","59.84 x 0.04 x 59.84 in","1.1 lb","https://www.amazon.com/dp/B095P1W49W"
"","","B0BHL7LXTN","MaKefeile Room Divider Curtains Total Blackout Privacy Curtain Panel Room Thermal Insulated Noise Reduction Curtain for Bedroom Window Living Room Ceiling Track Curtain W 10 ft  H 8ft Dark-Grey.","MaKefeile","$58.99","577","23","$34,037","09/16/2022","","4.6","59","","41,063","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BHL7LXTN"
"","","B09C8LFWF3","Curved Ceiling Curtain Track Bendable Mount for Curtain Rail Bunk Bed Bay Window Room Divider Flexible Straight (6.5 Feet/ 2 Meters, Black)","Jetec","$15.99","304","11","$4,861","08/09/2021","$-67.83","4.2","437","$83.82","84,346","6","FBA","1","Home & Kitchen","Oversize","117 x 0.01 x 117 in","1.05 lb","https://www.amazon.com/dp/B09C8LFWF3"
"","","B0CLYLX5MB","BSAOCRT Ceiling Curtain Track Flexible Bendable Curtain Track Ceiling Wall Mount Curved Curtain Rail 8.2Ft Sliding Ceiling Track System Set for Room Divider, Bay Window","BSAOCRT","$14.99","403","10","$6,041","10/26/2023","$7.60","4.2","331","$7.39","94,264","7","FBA","1","Home & Kitchen","Standard","2 x 2 x 2 in","1.34 lb","https://www.amazon.com/dp/B0CLYLX5MB"
"","","B09Z992MTK","Curtain Track Ceiling Mount Heavy Duty Curtain Tracks Rods System Room Divider Partition Curtain Ceiling Rails Clips Hooks Sliding Shower-Ceiling Track 9 ft White.","MaKefeile","$58.99","351","15","$20,705","04/30/2022","$46.37","4.3","106","$12.62","62,752","7","FBA","1","Home & Kitchen","Standard","1 x 1 x 1 in","8 oz","https://www.amazon.com/dp/B09Z992MTK"
