"Export time:  1/29/2024, 6:08:51 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BYDZQY2K","Large Desk Mat 47.2' x 17' Leather Desk Pad Protector with Natural Cork & PU Leather, Non-Slip Office Desk Mat, Double-Sided Mouse Pad, Waterproof Large Desk Pad for Office&Home(Black)","AFIING","$18.99","3,943","173","$74,878","03/16/2023","$11.00","4.6","346","$7.99","1,066","7","FBA","1","Office Products","Standard","3.19 x 3.15 x 17.36 in","1.26 lb","https://www.amazon.com/dp/B0BYDZQY2K"
"Desk Mat","","B0BVVVCPYP","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (23.6' x 13.8', Sea Blue)","YSAGi","$7.99","60,570","2,019","$483,954","11/17/2022","","4.6","2,795","","12","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BVVVCPYP"
"Average Monthly Sales: 7,290","","B07JW4ZJ3M","K KNODEL Large Desk Mat, Office Desk Pad, Computer Desk Mat, Laptop Mat for Desk, Desk Protecor Mat, Desktop Mat, Desk Writing Pad, Desk Blotter Pad, Desk Cover Mat (31.5'x15.7', Dark Blue)","K KNODEL","$11.19","30,232","851","$338,296","05/18/2018","$0.57","4.7","56,224","$10.62","76","7","FBA","1","Office Products","Oversize","15.7 x 0.08 x 31.5 in","13.1 oz","https://www.amazon.com/dp/B07JW4ZJ3M"
"Average Revenue: $79,591","","B082F5ZLS5","Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (Black,31.5' x 15.7')","Aothia","$11.89","22,107","875","$262,852","12/04/2019","$0.85","4.7","71,822","$11.04","72","7","FBA","1","Office Products","Oversize","15.7 x 0.08 x 31.5 in","10.5 oz","https://www.amazon.com/dp/B082F5ZLS5"
"Average Price: $21.47","","B0C5H71DWY","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Waterproof Laptop Desk Writing Pad for Office and Home (23.6' x 13.8', Eggshell)","YSAGi","$7.99","48,505","2,019","$387,555","11/17/2022","$3.02","4.6","2,795","$4.97","12","7","FBA","1","Office Products","Standard","2.48 x 2.44 x 14.17 in","9.1 oz","https://www.amazon.com/dp/B0C5H71DWY"
"Average No. of Ratings: 9,629","","B085M9KRLX","Leather Desk Pad Protector,Mouse Pad,Office Desk Mat,Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home(Dark Blue,31.5' x 15.7')","Aothia","$11.89","22,895","868","$272,222","03/07/2020","$0.85","4.7","71,822","$11.04","73","7","FBA","3","Office Products","Oversize","15.7 x 0.1 x 31.5 in","10 oz","https://www.amazon.com/dp/B085M9KRLX"
"Average Sales Rank: 13,976","","B07D6559YM","K KNODEL Leather Desk Mat, Large Office Desk Pad, Computer Desk Mat, Laptop Mat for Desk, Desk Protecor Mat, Desktop Mat, Desk Writing Pad, Desk Blotter Pad, Desk Cover Mat (31.5'x15.7', Black)","K KNODEL","$11.19","30,006","851","$335,767","05/18/2018","$0.15","4.7","56,224","$11.04","76","7","FBA","1","Office Products","Oversize","15.7 x 0.1 x 31.5 in","13.1 oz","https://www.amazon.com/dp/B07D6559YM"
"Average Rating Number: 4.6","","B086BL81PY","Leather Desk Pad Protector,Mouse Pad,Office Desk Mat,Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (Dark Blue,23.6' x 13.7')","Aothia","$8.49","22,064","875","$187,323","03/23/2020","$-1.95","4.7","71,822","$10.44","72","7","FBA","1","Office Products","Oversize","13.7 x 0.1 x 23.6 in","7 oz","https://www.amazon.com/dp/B086BL81PY"
"","","B0892Y46HP","K KNODEL Small Desk Mat, Office Desk Pad, Computer Desk Mat, Laptop Mat for Desk, Desk Protecor Mat, Desktop Mat, Desk Writing Pad, Desk Blotter Pad, Desk Cover Mat (23.6'x13.8', Pink)","K KNODEL","$7.99","30,176","851","$241,106","05/03/2020","$-2.15","4.7","56,224","$10.14","76","7","FBA","1","Office Products","Oversize","13.78 x 0.01 x 23.62 in","9.9 oz","https://www.amazon.com/dp/B0892Y46HP"
"","","B07FSQPZNB","TOWWI Dual Sided Desk Pad, Large Desk Mat, Waterproof Desk Blotter Protector Mouse Pad, Leather Desk Pad Large for Keyboard and Mouse (36' x 17', Black)","Towwi","$15.99","1,440","75","$23,026","07/22/2018","$4.65","4.6","12,167","$11.34","3,085","6","FBA","1","Office Products","Oversize","17 x 0.1 x 36 in","14.1 oz","https://www.amazon.com/dp/B07FSQPZNB"
