"Export time:  1/29/2024, 5:59:32 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CG7ZB88S","JUNDUN Accordion File Organizer -Fireproof Document Organizer with Zipper & Labels - 13 Pocket Expanding File Folder with Multi-Pockets Folder Organizer for Letter A4 Files | Receipt and More","JUNDUN","$28.99","780","26","$22,612","08/21/2023","","4.5","79","","379","7","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0CG7ZB88S"
"Document Organizer","","B0BYNNNH5V","JUNDUN Document Organizer, 16.1'x11.4'x4.3'Fireproof Document Box with Accordian,Fireproof Document Bag with Lock, 7 Pockets Document Holder with Handle Portable File Bag for Important Documents","JUNDUN","$36.99","1,066","37","$39,431","03/15/2023","$24.06","4.3","823","$12.93","199","7","FBA","1","Office Products","Standard","28 x 10 x 38 cm","1.06 kg","https://www.amazon.ca/dp/B0BYNNNH5V"
"Average Monthly Sales: 247","","B09H2LM6GS","File Box Fireproof Box with Lock,TOPGOOSE File Storage Organizer Anti-Static Box,Collapsible Fireproof Document Box Filing Box with Handle,Portable Home Office Safe Box for Hanging Letter/Legal Folder","TOPGOOSE","$59.98","60","2","$3,599","09/23/2021","","4.5","271","","6,935","7","FBA","4","Office Products","","","","https://www.amazon.ca/dp/B09H2LM6GS"
"Average Revenue: $7,999","","B08D6HHHNC","DocSafe Document Bag with Lock,Fireproof 3-Layer File Storage Case with Water-Resistant Zipper,Document Safe Portable Travel Home Organizer Bag for Laptop,Files,Certificates,Gifts for Him,Black","DocSafe","$35.99","390","13","$14,036","11/03/2020","$22.70","4.3","4,663","$13.29","1,109","7","FBA","8","Office Products","Standard","29.845 x 42.418 x 9.525 cm","0.771 kg","https://www.amazon.ca/dp/B08D6HHHNC"
"Average Price: $44.89","","B0BNPZCXVD","WhtSky File Organizer Bags,Fireproof Document Bag with Money Bag,Home Office Travel Safe Bag with Lock,Multi-Layer Portable Filing Storage for Important File Passport Certificates Legal Documents","WhtSky","$39.98","300","2","$11,994","11/30/2022","$26.17","4.1","102","$13.81","13,007","7","FBA","3","Tools & Home Improvement","Standard","27.43 x 10.16 x 36.83 cm","900 g","https://www.amazon.ca/dp/B0BNPZCXVD"
"Average No. of Ratings: 975","","B0C59GGZKQ","Fireproof Document Organizer with Lock, Waterproof File Safe Box Anti-Static Collapsible Portable Home Office Safe Accessories File Cabinet for Important Hanging Letter & Legal Folder Certificate","Mr Wonhz","$45.89","180","6","$8,260","05/14/2023","","3.9","17","","2,599","7","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0C59GGZKQ"
"Average Sales Rank: 27,709","","B09B3DJY8R","Fireproof Document Bag with Lock, JARAGAR Fireproof Money Bag 3-Layer File Organizer Case with Water-Resistant Zipper, Portable Safe Box for Important File Passport Certificates Legal Documents","JARAGAR","$30.99","120","4","$3,719","11/17/2021","$20.58","4","262","$10.41","4,195","5","FBA","5","Office Products","Standard","33.7 x 43 x 5.5 cm","0.81 kg","https://www.amazon.ca/dp/B09B3DJY8R"
"Average Rating Number: 4.4","","B08D6DZTPH","ENGPOW File Organizer Bags,Fireproof Document Bag with Money Bag,Home Office Travel Safe Bag with Lock,Multi-Layer Portable Filing Storage for Important File Passport Certificates Legal Documents","ENGPOW","$37.99","265","10","$10,067","07/16/2020","$25.19","4.3","7,497","$12.80","1,435","7","FBA","2","Office Products","Standard","33.401 x 41.097 x 6.909 cm","0.948 kg","https://www.amazon.ca/dp/B08D6DZTPH"
"","","B09YH6G964","RPNB Fireproof Document Bag,Fire Proof Document Organizer Bag with Lock,Multi-Layer Portable Travel Paper Organization,Water Safe Storage for Important File Passport Certificates Documents","","$35.99","90","3","$3,239","","","4.5","210","","9,364","","FBA","","Tools & Home Improvement","","","","https://www.amazon.ca/dp/B09YH6G964"
"","","B0B8HHVB9V","MUIFA Fireproof Document Box with Lock, 2-Layer Portable Fireproof File Box Home Office Storage Organizer Filing Cabinet for Letter/Legal Folder","MUIFA","$50.39","311","12","$15,671","08/02/2022","","4.5","385","","1,149","7","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0B8HHVB9V"
"","","B07D9C689N","Fireproof File Folder Fireproof Fire and Water Resistant Money Document Bag with A4 Size 13 Pockets Zipper Closure Non-Itchy Silicone Coated Portable Filing Organizer Pouch(14.3' x 9.8')","ENGPOW","$21.99","244","13","$5,366","06/13/2018","$12.66","4.4","7,416","$9.33","1,082","7","FBA","30","Office Products","Standard","25.197 x 37.008 x 3.2 cm","0.544 kg","https://www.amazon.ca/dp/B07D9C689N"
"","","B0B7QR4RVY","File Box with Lock, ELOBOON Fireproof Document Box with Wheels, Collapsible File Organizer Box, File Storage Box for Home & Office, Rolling File Cabinet for Hanging Letter/Legal Folders, Black","ELOBOON","$79.99","30","1","$2,400","11/01/2022","","4.2","105","","10,530","7","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0B7QR4RVY"
"","","B097T4FK3S","Fireproof Document Bag with Lock, ZOOPIP 14.3'x10.2' Fireproof Money Bag with Zipper Closure, Storage Pouch for A4 Letter Size Document, Cash, Cell Phone, Tablet, Credit Card,Passport","ZOOPIP","$19.99","202","7","$4,038","07/08/2021","$12.91","4.6","1,740","$7.08","4,519","7","FBA","2","Tools & Home Improvement","Standard","25.91 x 1.52 x 36.32 cm","242 g","https://www.amazon.ca/dp/B097T4FK3S"
"","","B0CM9CVK3T","5200 Fireproof Document Bag with Lock, 4-Layer Waterproof Document Organizer 17'x 12'x 5.3' for Legal Document Portable Home Travel Office Safe Important Document Box Reflective Strip (Black)","JIHOX","$67.79","","","","","","4.6","18","","39,037","","FBA","","Office Products","","","","https://www.amazon.ca/dp/B0CM9CVK3T"
"","","B08CZJN569","BALAPERI Extra Large Fireproof Document Bag, 17 x 12 x 5.8 Large Fireproof Bag with Money Bag, Fireproof & Water-Resistant Important Document Organizer with Shoulder Strap, Multi-Layer File Organizer Bag","BALAPERI","$35.99","30","1","$1,080","09/11/2020","$22.39","4.5","188","$13.60","10,913","7","FBA","2","Office Products","Standard","31.75 x 44.45 x 7.62 cm","0.998 kg","https://www.amazon.ca/dp/B08CZJN569"
"","","B09DPKCMHB","Fireproof Document Bag with Multiple Pockets,DocSafe Large (17x12.5x7.2) File Organizer Bag Fireproof Safe Money Bag Important Document Holder Home Office Portable Filing Storage for Valuables","DocSafe","$46.99","","","$944.85","11/11/2021","$32.92","4.6","353","$14.07","33,251","7","FBA","4","Office Products","Standard","33.782 x 43.942 x 6.096 cm","1.338 kg","https://www.amazon.ca/dp/B09DPKCMHB"
"","","B09B139L5B","Fireproof Bag(2000), 15 x 11 Inches Waterproof and Fireproof Money Safe Bag with Strap & Zipper, Fireproof Document Bag. Fire Safe Storage for Valuables,Money,Jewelry,Legal Documents,File and Tablet (Black)","Quctak","$19.99","300","10","$5,997","07/20/2021","$11.35","4.6","357","$8.64","2,872","7","FBA","1","Tools & Home Improvement","Standard","28.5 x 38.4 x 1.1 cm","0.22 kg","https://www.amazon.ca/dp/B09B139L5B"
"","","B0C691HR1X","Fireproof Document Box with Lock, Fireproof File Box Document Organizer with Handle, Waterproof Document Bag Portable Home Travel Safe Storage Box for Important Documents, File and Birth Certificate","Oleciya","$36.79","","","$0.00","05/24/2023","","4.5","61","","55,291","7","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0C691HR1X"
"","","B0CMWGKFKN","Fireproof Document Bags, Multi-Layer Portable Filing Storage, Fireproof Document Organizer Box for Important File, Passport, Certificates, Legal Documents","MingZhuInC","$29.99","","","$0.00","11/07/2023","","5","1","","84,498","7","FBA","1","Office Products","","","","https://www.amazon.ca/dp/B0CMWGKFKN"
"","","B0CJYG1XTJ","Voncabay Fireproof Document Bag with Lock, 4 -Layer Fireproof File Box with Water-Resistant Zipper for Office Home Travel, Portable Document Organizer (15.5' X 11.5 X 5.5) for Laptop,Files,Passport","","$61.32","","","","","","3.8","4","","90,494","","FBA","","Office Products","","","","https://www.amazon.ca/dp/B0CJYG1XTJ"
"","","B08CXTKWJ8","BALAPERI Fireproof Document Bag (2 Pack), 15x 11 and 12x 8 Fireproof Document Organizer File Storage Bag, Document Holder Bag for Important File,Cash,Money,Passport,Valuables","BALAPERI","$22.49","12","1","$269.88","09/03/2020","$12.80","4.5","239","$9.69","16,472","7","FBA","3","Office Products","Standard","28.296 x 37.287 x 2.108 cm","0.44 kg","https://www.amazon.ca/dp/B08CXTKWJ8"
"","","B08MZW9W56","Tamfile Document Organizer File Storage Bag, Fireproof & Waterproof Travel Important Document Holder Box with Safe Code Lock and Shoulder Strap, Large and Multi-Layer Storage Space(17.12*12*5.78inch)","Tamfile","$43.90","","","$1,823","12/11/2020","$20.45","4.3","550","$23.45","126,759","7","FBA","13","Tools & Home Improvement","Oversize","39.802 x 50.902 x 11.1 cm","1.252 kg","https://www.amazon.ca/dp/B08MZW9W56"
"","","B0C6G7SDM3","ENGPOW 5200F Fireproof Document Bag with Lock,Heat Insulated FireproofWaterproof Box 8 Layers Document Organizer with Fireproof File Folder,Portable Home Travel Safe Storage for Important Document","","$68.50","","","","","","","","","","","FBA","","","","","","https://www.amazon.ca/dp/B0C6G7SDM3"
"","","B08DLL81KL","Fireproof Document Bags 2 Pack,15x 11Large Waterproof and Fireproof Folder Money Bag and 11.4x8.3Fireproof Safe Storage Pouch with Zipper for A4 Letter Size Document Holder,File,Cash and Valuables","ABC life","$25.01","106","3","$2,651","07/24/2020","$15.43","4.4","332","$9.58","11,575","7","FBA","1","Tools & Home Improvement","Standard","27.5 x 37 x 1.2 cm","0.3 kg","https://www.amazon.ca/dp/B08DLL81KL"
