"Export time:  2/4/2024, 6:33:45 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CBK8MFBR","Tenceur 15 Pads Engineering Computation Pad Engineer Pad 8.5' x 11' Engineering Notebook Graph Paper 5 Squares Per Inch Evidence Engineering 100 Sheets Per Pad Engineering Paper 3 Hole Punched","Tenceur","$49.99","30","1","$1,500","07/09/2023","$32.31","","","$17.68","155,272","7","FBA","1","Office Products","Standard","9.06 x 4.53 x 11.42 in","14.96 lb","https://www.amazon.com/dp/B0CBK8MFBR"
"Engineering Computation Pad","","B0C4D3W2CG","12 Pads (1200 Sheets Total) Engineering Computation Pad, 8.5 x 11 Inches, 5 Squares Per Inch, Engineering Notebook Graph Paper, 3 Hole Punched Green Tint Graphing Paper","PerKoop","$35.99","12","","$431.88","05/04/2023","$27.05","3.2","6","$8.94","186,891","7","FBA","1","Office Products","Standard","9.25 x 4.49 x 11.3 in","3.53 oz","https://www.amazon.com/dp/B0C4D3W2CG"
"Average Monthly Sales: 650","","B0BYRKD54C","Seajan 5 Pack Engineering Computation Pad Engineer Pad 8.25x11 Inches Engineering Notebook Graph Paper Notebook, 5 Squares Per Inch Evidence Engineering Pad, 100 Sheets/Pack (3 Hole Punched)","Seajan","$30.99","511","8","$15,836","03/16/2023","$22.50","4.7","18","$8.49","28,044","6","FBA","1","Office Products","Standard","8.7 x 2.2 x 11.2 in","3.53 oz","https://www.amazon.com/dp/B0BYRKD54C"
"Average Revenue: $9,092","","B0C9DL1QN1","Fainne 10 Pads Engineering Computation Pad Engineer Pad 8.5' x 11' Engineering Notebook Graph Paper Notebook 5 Squares Per Inch 100 Sheets Per Pad Engineering Paper 3 Hole Punched (Cream White, Green)","Fainne","$37.99","235","5","$8,928","06/25/2023","$24.06","4.7","17","$13.93","46,810","7","FBA","1","Office Products","Standard","9.13 x 4.57 x 11.65 in","9.59 lb","https://www.amazon.com/dp/B0C9DL1QN1"
"Average Price: $22.41","","B0B3M27LNF","TOPS Engineering Computation Pads 3 Pk, 8-1/2' x 11', Glue, 5 x 5 Graph Rule on Back, Green Tint Paper, 3-Hole Punched, 100 Sheets per Pad (35507A)","Tops","$18.60","1,521","43","$28,291","06/08/2022","$9.37","4.6","93","$9.23","5,687","7","AMZ","2","Office Products","Standard","8.5 x 1.5 x 11 in","3.2 lb","https://www.amazon.com/dp/B0B3M27LNF"
"Average No. of Ratings: 465","","B001J87JTM","TOPS Engineering Computation Pad, 8-1/2' x 11', Glue Top, 5 x 5 Graph Rule on Back, Green Tint Paper, 3-Hole Punched, 100 Sheets (35500)","Tops","$8.75","4,207","90","$36,811","10/23/2008","$4.37","4.7","5,205","$4.38","2,480","7","FBA","18","Office Products","Standard","8.4 x 0.2 x 10.8 in","11.2 oz","https://www.amazon.com/dp/B001J87JTM"
"Average Sales Rank: 379,882","","B07TKXSJGV","Amazon Basics Engineering Computation Pad, 8.5' x 11', Quad/Margin Rule, 100 Sheets","Amazon Basics","$6.64","1,926","41","$12,789","10/04/2019","$2.57","4.7","2,234","$4.07","5,960","6","AMZ","1","Office Products","Standard","8.5 x 0.32 x 11 in","12 oz","https://www.amazon.com/dp/B07TKXSJGV"
"Average Rating Number: 4.5","","B000Q5Z5UO","Ampad Engineer Pad, 5 Squares per Inch, 8.5' x 11', 200 Sheet Pad, Green (22-144)","Ampad","$14.99","529","7","$7,930","05/09/2006","$7.60","4.7","728","$7.39","32,443","5","FBA","27","Office Products","Standard","0.75 x 11 x 8.5 in","1 lb","https://www.amazon.com/dp/B000Q5Z5UO"
"","","B0CKW6943F","Colarr Engineering Computation Pad 8.5' x 11' Engineering Wirebound Spiral Notebook Grid Pad 5 Squares Per Inch Graph Paper 100 Sheets Per Pad for Drafting Drawing Blueprint Sketching (Gold,3 Pads)","Colarr","$21.99","165","4","$3,628","10/10/2023","$12.26","","","$9.73","48,127","7","FBA","1","Office Products","Standard","11.42 x 1.97 x 13 in","3.88 lb","https://www.amazon.com/dp/B0CKW6943F"
"","","B0CGJ5CF3J","Zhanmai 5 Pads Engineering Computation Pad 5 Squares Per Inch 8.5' x 11' Engineering Graph Paper Notepad 100 Sheets Per Pad,3 Hole Punched (Beige, Brown)","Zhanmai","$24.99","69","1","$1,724","08/23/2023","$14.51","4.5","3","$10.48","109,518","7","FBA","1","Office Products","Standard","9.06 x 2.4 x 11.65 in","4.73 lb","https://www.amazon.com/dp/B0CGJ5CF3J"
"","","B0CNRRNCV4","PerKoop 8 Pack Colored Engineering Computation Pad, 8.5 x 11 Inches, 5 x 5 Graph Rule on Back Glue Top 3-hole Punched, 800 Sheets(Pastel Colors)","PerKoop","$33.99","94","2","$3,195","11/20/2023","$21.26","4","2","$12.73","80,326","7","FBA","1","Office Products","Standard","9.29 x 3.86 x 11.57 in","8 lb","https://www.amazon.com/dp/B0CNRRNCV4"
"","","B0C7864QVH","Eaasty 200 Sheets Engineering Graph Paper Grid Notepad Drafting Blueprint Engineering Paper Grid Paper Pad, 50 Sheets/Pad (8.5 x 11 Inch)","Eaasty","$16.99","90","2","$1,529","12/14/2022","$8.65","","","$8.34","99,150","7","FBA","1","Office Products","Standard","8.9 x 0.9 x 10.8 in","2.25 lb","https://www.amazon.com/dp/B0C7864QVH"
"","","B0CCNV228B","Tenceur 500 Sheets Engineering Pad 11''x17'' Double Sided Large Engineering Paper Graph Paper Grid Paper Drafting Pad 4''x4'' Grid Blueprint Sketching 10 Pads for Engineer Architect (Black)","Tenceur","$44.99","","","$0.00","07/23/2023","$29.11","5","1","$15.88","350,997","6","FBA","1","Office Products","Standard","11.93 x 3.54 x 17.36 in","12.7 lb","https://www.amazon.com/dp/B0CCNV228B"
"","","B001E6BXM8","TOPS Engineering Computation Pad, 8-1/2' x 11', Glue Top, 5 x 5 Graph Rule on Back, Green Tint Paper, 3-Hole Punched, 200 Sheets (35502)","Tops","$16.49","236","7","$3,892","08/07/2008","$8.88","4.7","1,216","$7.61","33,744","6","FBA","10","Office Products","Standard","8.5 x 0.5 x 11 in","1.52 lb","https://www.amazon.com/dp/B001E6BXM8"
