"Export time:  1/29/2024, 6:01:32 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B071225BBS","Amazon Basics Foldable Storage Bins Cubes Organizer, 6-Pack, Gray","Amazon Basics","$27.11","2,880","78","$78,077","10/24/2017","$14.13","4.7","92,564","$12.98","270","5","AMZ","1","Home","Standard","10.87 x 4.57 x 11.61 in","6.71 lb","https://www.amazon.ca/dp/B071225BBS"
"Foldable Cube Storage Bin","","B07GSKLNGZ","SimpleHouseware Foldable Cube Storage Bin with Handle, 6 Pack, Grey","SIMPLE HOUSEWARE","$28.87","120","4","$3,464","09/10/2018","$17.64","4.6","5,738","$11.23","15,514","5","FBA","1","Home","Standard","28 x 29 x 10.4 cm","1.95 kg","https://www.amazon.ca/dp/B07GSKLNGZ"
"Average Monthly Sales: 392","","B07MZKHFFP","SimpleHouseware Foldable Cube Storage Bin with Handle, 6 Pack, Red","SIMPLE HOUSEWARE","$28.87","625","15","$18,044","05/15/2019","$17.09","4.6","13,512","$11.78","3,516","5","FBA","1","Home","Standard","30.988 x 31.242 x 11.684 cm","2.654 kg","https://www.amazon.ca/dp/B07MZKHFFP"
"Average Revenue: $10,930","","B07GSJ8HRP","SimpleHouseware Foldable Cube Storage Bin with Handle, 6 Pack, Beige","SIMPLE HOUSEWARE","$28.87","629","2","$18,159","09/12/2018","$17.05","4.5","2,168","$11.82","35,571","5","FBA","1","Home","Standard","31.242 x 31.496 x 11.684 cm","2.631 kg","https://www.amazon.ca/dp/B07GSJ8HRP"
"Average Price: $34.94","","B07MS8WY6X","SimpleHouseware 6 Pack Foldable Cube Storage Bin Organizer, Pink (11 inch H x 10.75 inch W x 10.75 inch D)","SIMPLE HOUSEWARE","$22.92","3,125","113","$71,625","04/13/2019","$11.85","4.6","55,441","$11.07","132","6","FBA","30","Home","Standard","28 x 29 x 10.4 cm","1.92 kg","https://www.amazon.ca/dp/B07MS8WY6X"
"Average No. of Ratings: 6,115","","B09TTS4WKJ","Amazon Basics Collapsible Fabric Storage Cubes Organizer with Handles, 10.5'x10.5'x11', White - Pack of 6","Amazon Basics","$25.64","1,246","38","$31,947","03/13/2023","","4.7","4,705","","923","6","AMZ","30","Home","","","","https://www.amazon.ca/dp/B09TTS4WKJ"
"Average Sales Rank: 48,907","","B07SHJR3QY","SimpleHouseware Foldable Storage Bins Cubes Organizer, 6 Pack, Turquoise","SIMPLE HOUSEWARE","$22.92","3,110","113","$71,281","08/07/2019","$11.64","4.6","55,441","$11.28","132","5","FBA","30","Home","Standard","27.7 x 29.1 x 11.8 cm","2.022 kg","https://www.amazon.ca/dp/B07SHJR3QY"
"Average Rating Number: 4.5","","B091Y5FYKF","Kntiwiwo Fabric Storage Cubes 10.5x10.5x11 Cube Storage Bins for Closet Organizers and Storage Shelves Foldable Storage Bin with Handles, Set of 6, Grey","Kntiwiwo","$49.99","120","4","$5,999","08/02/2021","$34.96","4.5","790","$15.03","18,228","7","FBA","1","Home","Standard","28.829 x 30.531 x 17.805 cm","1.52 kg","https://www.amazon.ca/dp/B091Y5FYKF"
"","","B07SPR2HPT","SONGMICS Storage Cubes, 11-Inch Non-Woven Fabric Bins with Double Handles, Set of 6, Closet Organizers for Shelves, Foldable, for Clothes, Gray UROB26LG","SONGMICS","$25.99","562","10","$14,606","08/09/2019","$13.99","4.5","8,586","$12.00","5,697","6","FBA","2","Home","Standard","30.226 x 30.734 x 10.668 cm","3.084 kg","https://www.amazon.ca/dp/B07SPR2HPT"
"","","B07GSH95BG","SimpleHouseware Foldable Cube Storage Bin with Handle, 6 Pack, Black","SIMPLE HOUSEWARE","$28.87","678","15","$19,574","09/12/2018","$16.98","4.6","13,512","$11.89","3,539","5","FBA","2","Home","Standard","30.404 x 32.004 x 12.192 cm","2.585 kg","https://www.amazon.ca/dp/B07GSH95BG"
