"Export time:  2/14/2024, 2:11:38 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07TZPF6PM","Utopia Home - Fridge Organizer Bins - Set of 8 Refrigerator Organizing Bins - Pantry Organizers and Storage - Stackable Clear Storage Bins For Home & Kitchen Pantry Organization and Storage","Utopia Home","$22.99","8,351","194","$191,989","07/04/2019","$11.91","4.7","30,512","$11.08","1,115","6","FBA","8","Tools & Home Improvement","Standard","10.08 x 15.04 x 7.17 in","6.31 lb","https://www.amazon.com/dp/B07TZPF6PM"
"Fridge Organizer Bins","","B0CMZGQ9HQ","PROGULOVER 8pcs Refrigerator Organizer - Clear Plastic Storage Bins, Food Fridge Organizers with Cutout Handles, Fruit Vegetable Storage Containers for Kitchen Pantry Organizatio","PROGULOVER","$30.99","60","3","$1,859","11/08/2023","$18.41","4.9","22","$12.58","79,002","7","FBA","1","Kitchen & Dining","Standard","11.18 x 7.95 x 11.77 in","7.24 lb","https://www.amazon.com/dp/B0CMZGQ9HQ"
"Average Monthly Sales: 3,529","","B0CMHLDZ9P","damynuo 10Pack Fridge Organizer Bins, Clear Refrigerator Organizing Containers with Refrigerator Drawers and Lids, Stackable Food and Fruit Storage Containers for Fridge Organizers and Storage","damynuo","$29.88","270","9","$8,068","12/16/2023","","4.7","54","","30,524","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CMHLDZ9P"
"Average Revenue: $86,363","","B089LLDN39","HOOJO Refrigerator Organizer Bins - 8pcs Clear Plastic Bins For Fridge, Freezer, Kitchen Cabinet, Pantry Organization, BPA Free Fridge Organizer, 12.5' Long, Clear","HOOJO","$19.98","19,575","608","$391,109","06/02/2020","$9.95","4.7","32,413","$10.03","124","7","FBA","4","Kitchen & Dining","Standard","10.04 x 12.76 x 6.22 in","5.031 lb","https://www.amazon.com/dp/B089LLDN39"
"Average Price: $27.73","","B0BZPJ7828","ZIJUND 14 Pack Fridge Organizer, Stackable Refrigerator Organizer Bins with Lids, BPA-Free Fridge Organizers and Storage Containers for Fruit, Vegetable, Food, Drinks, Cereals, Clear","ZIJUND","$35.99","1,755","54","$63,162","03/26/2023","$22.66","4.4","417","$13.33","4,766","7","FBA","5","Kitchen & Dining","Standard","12.56 x 4.69 x 16.69 in","8.71 lb","https://www.amazon.com/dp/B0BZPJ7828"
"Average No. of Ratings: 3,142","","B07M718XB3","SimpleHouseware Refrigerator Storage Organizer, Assorted Set of 6","Simple Houseware","$21.87","1,003","32","$21,936","01/03/2019","$10.66","4.7","7,532","$11.21","8,638","5","FBA","1","Kitchen & Dining","Standard","13.9 x 15.3 x 5.8 in","5.699 lb","https://www.amazon.com/dp/B07M718XB3"
"Average Sales Rank: 16,578","","B074CJH2NH","Sorbus Fridge Bins and Freezer Bins Refrigerator Organizer Stackable Food Storage Containers BPA-Free Drawer Organizers for Refrigerator Freezer and Pantry (Pack of 6)","Sorbus","$29.98","1,471","52","$44,101","06/01/2016","$17.85","4.7","6,315","$12.13","5,033","7","FBA","21","Kitchen & Dining","Standard","14 x 4.5 x 17.5 in","5.9 lb","https://www.amazon.com/dp/B074CJH2NH"
"Average Rating Number: 4.6","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","13,406","328","$536,106","06/22/2020","$25.46","4.8","10,488","$14.53","386","6","FBA","10","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"","","B09XB68ZB8","Pomeat 10 Pack Fridge Organizer, Stackable Refrigerator Organizer Bins with Lids, BPA-Free Produce Fruit Storage Containers for Storage Clear for Food, Drinks, Vegetable Storage","Pomeat","$34.99","5,984","163","$209,380","04/05/2022","$23.31","4.4","2,193","$11.68","1,162","7","FBA","2","Kitchen & Dining","Standard","8.27 x 4.13 x 12.2 in","3.52 lb","https://www.amazon.com/dp/B09XB68ZB8"
"","","B0BVGH92FP","Munfix Set Of 16 Refrigerator Organizer Bins - Plastic Pantry Organization and Storage Baskets - Stackable Food Fridge Organizers with Cutout Handles for Freezer, Kitchen, Countertops, Cabinets","Munfix","$35.99","3,036","81","$109,266","02/11/2023","$22.36","4.8","720","$13.63","2,949","6","FBA","1","Kitchen & Dining","Standard","6.7 x 3.2 x 10.7 in","9.85 lb","https://www.amazon.com/dp/B0BVGH92FP"
"","","B0CHP16VGW","Drink Organizer for Fridge,Fridge Organization,Soda Can Organizer,Spring Loaded Beverage Storage (6 Row, White)","Minicloss","$27.99","1,094","45","$30,621","09/08/2023","","4.6","44","","5,979","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CHP16VGW"
"","","B0CMHRHPKL","damynuo 14Pack Fridge Organizer Bins, Clear Refrigerator Organizing Containers with Lids and Refrigerator Drawers, Stackable Food, Vegetable and Fruit Containers for Fridge Organizers and Storage","damynuo","$39.88","450","15","$17,946","12/22/2023","","4.7","30","","18,287","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CMHRHPKL"
"","","B0BGJ8HRVF","Ornafort 2Pack Fridge Organizer Bins with Pull Out Drawer Stackable Refrigerator Drawers Set for Save Vertical Space, Clear Cabinet Organizers for Kitchen Pantry Bedroom Office Closet Produce Storage","Ornafort","$29.99","465","18","$13,945","09/25/2022","","4.5","116","","15,549","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BGJ8HRVF"
"","","B0CGDTGDF1","Fruit Storage Containers for Fridge - 5 Size Food Storage Containers for Refrigerator Organizers Bins with Colander Set, Clear Lettuce Keeper with Lids and Handle, Ideal Vegetable Storage Bins","BOICHU","$29.88","246","8","$7,350","08/22/2023","$18.67","4.6","69","$11.21","32,969","7","FBA","1","Kitchen & Dining","Standard","8.66 x 5.98 x 10.5 in","4.72 lb","https://www.amazon.com/dp/B0CGDTGDF1"
"","","B0BK8FQMJD","10 Pack Refrigerator Organizer Bins - 3 Size Stackable Fridge Clear Storage Bins with Lids for Vegetable Berry Cereals Grape Tomatoes Fruit ,etc","BOICHU","$29.88","353","8","$10,548","12/01/2022","$18.07","4.5","348","$11.81","33,635","7","FBA","1","Kitchen & Dining","Standard","12.99 x 4.9 x 12.99 in","6.5 lb","https://www.amazon.com/dp/B0BK8FQMJD"
"","","B0CBWT6B2G","SpaceHacks 10 Pack Refrigerator Organizer Bins Stackable with Lids, Clear Fridge Organizers and Storage, Kitchen Organizer Storage Containers for Fruit, Produce, Food, Vegetables","SpaceHacks","$21.99","2,039","20","$44,838","10/20/2023","","4.5","86","","13,671","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CBWT6B2G"
"","","B09RX2Z1LX","Sorbus Fridge Bins and Freezer Bins Refrigerator Organizer Stackable Food Storage Containers BPA-Free Drawer Organizers for Refrigerator Freezer and Pantry (Pack of 8)","Sorbus","$39.99","1,501","52","$60,025","02/06/2022","$25.16","4.7","6,315","$14.83","5,033","7","FBA","8","Kitchen & Dining","Standard","13.54 x 7.64 x 15.91 in","7.59 lb","https://www.amazon.com/dp/B09RX2Z1LX"
"","","B0B3X8ZDF7","bealy 2 Pack Fridge Organizer Bins with Pull-out Drawer Stackable Fridge Drawer, Clear Refrigerator Organizing Fridge Organizers and Storage,Save Vertical Space for Kitchen Cabinet Pantry","bealy","$27.99","956","34","$26,758","06/12/2022","$17.06","4.6","238","$10.93","8,056","7","FBA","1","Kitchen & Dining","Standard","4.96 x 4.3 x 13.4 in","4.14 lb","https://www.amazon.com/dp/B0B3X8ZDF7"
"","","B0CJV9LH6R","14 Pack Fridge Organizers Bins and Storage, PBA Free Refrigerator Organizer Bins with Lids, Stackable Food Storage Organizer Bins for Kitchen, Countertops, Cabinets, Fridge, Drinks, Fruits, Vegetable","CANTAMI","$35.99","484","15","$17,419","09/25/2023","$22.36","4.6","42","$13.63","17,966","7","FBA","3","Kitchen & Dining","Standard","10 x 5.5 x 13 in","9.29 lb","https://www.amazon.com/dp/B0CJV9LH6R"
"","","B09X2F8B77","10 Pack Fruits Storage Organizer for Fridge with Lid and Removable Drain Plate 1.5 L Stackable Food Storage Produce Saver Container for Fridge to Keep Fruits Vegetables Meat Fish Fresh and Dry","Gandeer","$22.99","30","2","$689.70","04/01/2022","$12.81","4.2","78","$10.18","110,901","7","FBA","1","Kitchen & Dining","Standard","9.016 x 12.638 x 4.921 in","2.54 lb","https://www.amazon.com/dp/B09X2F8B77"
"","","B0BPGSPTCB","Taiuloo 2 Pack Divided Veggie Tray with Lid, 5 Compartment Snackle Box Container for Fridge, Clear Refrigerator Organizer Bins Plastic Food Storage Containers for Snack, Fruit, Vegetable, Fish, Meat","Taiuloo","$29.99","534","16","$16,015","12/07/2022","$19.06","4.1","143","$10.93","17,051","7","FBA","1","Kitchen & Dining","Standard","9.5 x 3.1 x 14.7 in","1.76 lb","https://www.amazon.com/dp/B0BPGSPTCB"
"","","B0CQ828FGQ","RTHIEAI Refrigerator Organizer With Lids (3 Compartments), Fridge Storage, Fridge Organizers And Storage Clear, Fridge Organization, Fridge Storage Containers, Stackable With Lid Fridge Organizers","RTHIEAI","$27.99","180","6","$5,038","12/13/2023","$17.06","5","8","$10.93","46,577","7","FBA","1","Kitchen & Dining","Standard","9.45 x 5.6 x 12.2 in","2.33 lb","https://www.amazon.com/dp/B0CQ828FGQ"
"","","B0B7R66NBD","Dewpeton Refrigerator Organizer Bins - Large Capacity Egg Holder Tray for Refrigerator, Clear Plastic Container Drawer for Egg, Home Essentials Organization and Storage Box for Fridge Cabinet Pantry","Dewpeton","$18.99","2,719","66","$51,634","07/26/2022","$11.00","4.3","895","$7.99","4,848","7","FBA","5","Tools & Home Improvement","Standard","11.8 x 2.5 x 7.8 in","1.21 lb","https://www.amazon.com/dp/B0B7R66NBD"
"","","B0B1LBR4JL","HOMER Set Of 6 Refrigerator Organizer Bins , Pantry Organization and Storage Bins, Fridge Organizers with Cutout Handles, Clear Plastic Storage Bins for Pantry - BPA Free Kitchen Organizers","HOMER","$19.87","913","26","$18,141","05/17/2022","$10.16","4.8","366","$9.71","10,725","7","FBA","1","Kitchen & Dining","Standard","5.5 x 3.15 x 11.6 in","4.23 lb","https://www.amazon.com/dp/B0B1LBR4JL"
"","","B0BC3W3S99","Vtopmart Set of 8 Fridge Organizer, Refrigerator Organizer Bins with Handles, Freezer Organizer Clear Organizing Bins, BPA-Free Fridge Storage Containers for Fridge, Freezer, Cabinet, Kitchen, Pantry","Vtopmart","$23.99","1,348","36","$32,339","12/06/2022","","4.7","534","","7,487","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BC3W3S99"
"","","B08XYP44P6","Hudgan 8 PACK Stackable Pantry Organizer Bins (3 sizes) - Clear Fridge Organizers for Kitchen, Freezer, Countertops, Cabinets - Plastic Food Storage Container with Handles for Home and Office","Hudgan","$33.99","1,182","43","$40,176","01/17/2022","$21.56","4.8","1,343","$12.43","6,212","7","FBA","2","Kitchen & Dining","Standard","7.5 x 5.5 x 11.5 in","7 lb","https://www.amazon.com/dp/B08XYP44P6"
