"Export time:  2/4/2024, 6:31:18 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CLKNQLP4","KEMETHY 6 Pack Fruit Storage Containers For Fridge With Removable Colanders, Airtight Storage Container, BPA-Free, Dishwasher & Microwave Safe, Keep Berry Fruit Vegetable Food Meat Fresh Longer","KEMETHY","$24.99","1,568","47","$39,184","10/21/2023","$14.81","4.7","64","$10.18","5,580","7","FBA","1","Kitchen & Dining","Standard","7 x 4.5 x 9 in","3.88 lb","https://www.amazon.com/dp/B0CLKNQLP4"
"Fruit Storage Containers","","B07FPW5JGN","Joie Kitchen Gadgets 31830 Berry Container and Colander, Plastic, Raspberry","Joie Kitchen Gadgets","$9.48","60","2","$568.80","07/22/2018","$3.69","4.5","151","$5.79","97,370","4","FBA","1","Kitchen & Dining","Standard","4.646 x 5.158 x 4.449 in","0.331 lb","https://www.amazon.com/dp/B07FPW5JGN"
"Average Monthly Sales: 2,129","","B01NAS639I","SILIVO Fruit Storage Containers for Fridge (3 Pack) - 1.5L Produce Saver Containers for Refrigerator with Removable Drain Tray Keep Fresh for Produce, Bacon, Fruits and Vegetables","SILIVO","$12.99","3,286","96","$42,685","01/10/2017","$6.52","4.4","11,970","$6.47","2,385","6","FBA","1","Kitchen & Dining","Standard","4.72 x 2.76 x 11.42 in","14.1 oz","https://www.amazon.com/dp/B01NAS639I"
"Average Revenue: $63,126","","B09KTHRD67","LUXEAR Fruit Vegetable Produce Storage Saver Containers with Lid & Colander 5 Packs BPA-Free Plastic Fresh Keeper Set | Refrigerator Fridge Organizer | for Salad Berry Lettuce Food Meat Fish Celery","LUXEAR","$25.99","903","22","$23,469","11/01/2021","$15.36","4.4","2,182","$10.63","12,426","7","FBA","4","Kitchen & Dining","Standard","8.9 x 12.24 x 6.02 in","3.309 lb","https://www.amazon.com/dp/B09KTHRD67"
"Average Price: $28.11","","B0B27MDKXD","5 PCS Large Fruit Containers for Fridge - Leakproof Food Storage Containers with Removable Colander - Dishwasher & microwave safe Produce Containers Keep Fruits, Vegetables, Berry, Meat Fresh longer","Freshmage","$20.99","4,173","170","$87,591","05/24/2022","$11.11","4.4","1,315","$9.88","1,089","6","FBA","1","Kitchen & Dining","Standard","9.06 x 6.3 x 10.63 in","2.51 lb","https://www.amazon.com/dp/B0B27MDKXD"
"Average No. of Ratings: 2,514","","B08D9S3N9S","Rubbermaid FreshWorks Produce Saver, Medium and Large Storage Containers, 8-Piece Set, Clear","Rubbermaid","$32.95","5,649","213","$186,135","06/30/2020","$21.20","4.6","5,352","$11.75","775","6","FBA","9","Kitchen & Dining","Standard","7.81 x 8.13 x 9.81 in","2 lb","https://www.amazon.com/dp/B08D9S3N9S"
"Average Sales Rank: 26,412","","B0BY1PBQRD","4 PCS Fruit Storage Containers for Fridge with Removable Colander, Airtight Food Storage Container, Dishwasher Safe Produce Saver Container for Refrigerator, Keep Berry Fruit Vegetable Fresh Longer","Freshmage","$16.99","1,966","67","$33,402","05/24/2023","$8.65","4.4","365","$8.34","3,704","7","FBA","2","Kitchen & Dining","Standard","7.8 x 5.3 x 9.6 in","1.57 lb","https://www.amazon.com/dp/B0BY1PBQRD"
"Average Rating Number: 4.5","","B0BJ11LHBK","Kitchen Spaces Colander Bin, Produce Saver, Fridge Organizer With Lid, Wash, Strain and Store, Great for Refrigerator, Freezer and Pantry, Large, Mint Green, Pack of 1","Kitchen Spaces","$23.57","360","12","$8,485","10/11/2022","$13.54","4.2","3,977","$10.03","23,620","5","AMZ","1","Kitchen & Dining","Standard","7.1 x 6 x 11 in","2.14 lb","https://www.amazon.com/dp/B0BJ11LHBK"
"","","B0B47Z4N4D","ClearSpace Plastic Storage Bins with Lids XL  Perfect Kitchen Organization or Pantry Storage  Fridge/Cabinet Organizers","ClearSpace","$69.99","723","20","$50,603","06/14/2022","$50.36","4.7","419","$19.63","13,680","7","FBA","1","Kitchen & Dining","Standard","7 x 12.5 x 12.5 in","12.36 lb","https://www.amazon.com/dp/B0B47Z4N4D"
"","","B09XB68ZB8","Pomeat 10 Pack Fridge Organizer, Stackable Refrigerator Organizer Bins with Lids, BPA-Free Produce Fruit Storage Containers for Storage Clear for Food, Drinks, Vegetable Storage","Pomeat","$22.99","5,693","411","$130,882","04/05/2022","$13.11","4.4","2,159","$9.88","260","7","FBA","2","Kitchen & Dining","Standard","8.27 x 4.13 x 12.2 in","3.52 lb","https://www.amazon.com/dp/B09XB68ZB8"
"","","B0C7TMSDP2","4-Pack Fruit Storage Containers for Fridge with Removable Colanders, 4 in 1 Produce Storage Containers with Lid for Salad Berry Lettuce Vegetables Meat Keeper","Winproper","$17.99","1,999","103","$35,962","06/12/2023","$8.86","4.4","285","$9.13","2,179","7","FBA","1","Kitchen & Dining","Standard","5.5 x 7.7 x 9.5 in","3.03 lb","https://www.amazon.com/dp/B0C7TMSDP2"
"","","B0B7JBFQBF","ONEMORE Large Garlic Keeper with Lid, Ceramic Garlic Saver 5 inch, Garlic Keeper for Counter, Light Green","ONEMORE","$19.99","236","7","$4,718","07/24/2022","","4.8","126","","37,304","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B7JBFQBF"
"","","B0C99BHTPY","Fruit Storage Containers for Fridge - 10-Piece Kitchen Organizers Leak Proof Produce Saver and Veggie Storage Bins Set for Refrigerator, Plastic Airtight Food Storage Containers with Lids & Handle","Winproper","$16.99","2,484","75","$42,203","08/06/2023","$8.01","4.3","220","$8.98","3,248","7","FBA","1","Kitchen & Dining","Standard","8.66 x 4.92 x 11.61 in","3.33 lb","https://www.amazon.com/dp/B0C99BHTPY"
"","","B0CLKNQW6P","KEMETHY 5 Pack Fruit Storage Containers for Fridge with Removable Colanders - Food Storage Containers with Lids, BPA-Free Produce Containers Keep Fruits, Vegetables, Berry, Meat Fresh Longer","KEMETHY","$17.99","1,246","65","$22,416","12/25/2023","$9.50","4.7","50","$8.49","3,851","7","FBA","1","Kitchen & Dining","Standard","7.87 x 4.72 x 9.44 in","2.55 lb","https://www.amazon.com/dp/B0CLKNQW6P"
"","","B0CLKNSHJM","KEMETHY 10 Pack Fruit Storage Containers for Fridge with Removable Colanders - Food Storage Containers with Lids, BPA-Free Produce Containers Keep Fruits, Vegetables, Berry, Meat Fresh Longer","KEMETHY","$39.99","668","33","$26,713","01/02/2024","$27.26","4.8","20","$12.73","8,259","7","FBA","1","Kitchen & Dining","Standard","8.99 x 5.31 x 10.62 in","4.95 lb","https://www.amazon.com/dp/B0CLKNSHJM"
"","","B0CBTVNMF9","Taiuloo Airtight Fruit Storage Containers for Fridge with Lids & Handle, BPA-Free Food Storage Container with 4 Removable Colanders, Berry Vegetable Fresh Produce Saver, Refrigerator Organizer Bins","Taiuloo","$29.99","707","43","$21,203","07/13/2023","$18.76","4.2","33","$11.23","6,188","7","FBA","2","Kitchen & Dining","Standard","8.9 x 5.9 x 13.1 in","3 lb","https://www.amazon.com/dp/B0CBTVNMF9"
"","","B09GW2T4H4","ClearSpace Plastic Storage Bins With lids  Perfect Kitchen Fridge Organizer, Pantry Organization, Cabinet Organizers - 8 Pack","ClearSpace","$69.99","4,022","112","$281,500","04/17/2022","$46.37","4.7","1,226","$23.62","1,947","6","FBA","6","Kitchen & Dining","Oversize","11.61 x 18.07 x 7.83 in","11.881 lb","https://www.amazon.com/dp/B09GW2T4H4"
"","","B0BBCHPLR2","Ronanemon 4 Pack Fridge Food Storage Container Set with Lids with Strainer, Fruit Vegetable Storage Containers Keep Fruits, Vegetables, Berry, Meat Fresh longer, BPA-Free Plastic Produce Keepers","Ronanemon","$25.99","584","23","$15,178","08/20/2022","$15.66","4.6","382","$10.33","12,114","7","FBA","1","Kitchen & Dining","Standard","8.4 x 5.6 x 10 in","2.98 lb","https://www.amazon.com/dp/B0BBCHPLR2"
"","","B0C66DDL88","ClearSpace Drink Organizer for Fridge & Soda Can Dispenser - Fridge Organization & Can Organizer for Refrigerator Stackable Can Holder Dispenser with Lid - Holds 12 Cans Each, BPA Free - Set of 2","ClearSpace","$29.99","2,331","101","$69,907","05/23/2023","","4.6","148","","2,235","6","FBA","4","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C66DDL88"
"","","B0CDWQDZZN","102QT/Tier Collapsible Storage Bins with Lids - Plastic Bins with Wheels for Bedroom&Living Room, Stackable Storage Bins for Efficient Space Saving, Ideal for Clothes Organizers and Storage4-Tier","YFXCVSL","$129.99","396","18","$51,476","08/06/2023","$92.43","5","8","$37.56","52,004","6","FBA","3","Home & Kitchen","Oversize","1 x 1 x 1 in","24.2 lb","https://www.amazon.com/dp/B0CDWQDZZN"
