"Export time:  2/11/2024, 3:12:22 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CD7NT8W4","GIMTRR Closet Organizer, 9-Cube Storage with Doors, Closet Organizers and Storage, Cabinet Storage for Bedroom, Wardrobe, White","GIMTRR","$35.98","608","18","$21,876","08/21/2023","$20.85","3.9","201","$15.13","51,454","7","FBA","2","Home & Kitchen","Standard","12.95 x 6.57 x 16.38 in","15 lb","https://www.amazon.com/dp/B0CD7NT8W4"
"GIMTRR Closet Organizer 9-Cube Storage with Doors Closet Organizers and Storage Cabinet Storage for Bedroom Wardrobe White","","B0BLN78G77","GIMTRR 9 Cubes Storage Organizers, Closet Organizers and Storage, Portable Closet Storage Shelves, Cubby Closet Storage Shelf, Bookcase Bookshelf for Kids Room, Bedroom, Office, White","GIMTRR","$30.98","1,812","84","$56,136","01/23/2023","","4.4","639","","9,864","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BLN78G77"
"Average Monthly Sales: 471","","B07PLVVXDJ","SONGMICS Cube Storage with Door, Set of 12 Plastic Cubes, Closet Storage Shelves, DIY Plastic Closet Cabinet, Modular Bookcase, Shelving with Doors for Bedroom, Living Room, Black and White ULPC34HV1","SONGMICS","$49.99","513","21","$25,645","03/10/2019","$26.33","4.3","737","$23.66","45,197","6","FBA","2","Home & Kitchen","Oversize","13.6 x 16 x 9.3 in","19.5 lb","https://www.amazon.com/dp/B07PLVVXDJ"
"Average Revenue: $17,454","","B0C5X7TLDX","GIMTRR Closet Organizer, 16-Cube Storage with Doors, Closet Organizers and Storage Shelves, Portable Closet Storage System, Clothes Organizer Storage Shelf for Bedroom, Wardrobe, White, Blue (WM-B)","GIMTRR","$65.98","","","$0.00","08/02/2023","$-44.11","2.9","6","$110.09","2,613,600","","FBA","1","Home & Kitchen","Oversize","47.24 x 48.03 x 11.81 in","24.3 lb","https://www.amazon.com/dp/B0C5X7TLDX"
"Average Price: $69.90","","B0C5QTRSLY","C&AHOME Cube Storage Organizer with Doors, 4-Cube Shelves, Closet Cabinet, DIY Plastic Modular Bookshelf Ideal for Bedroom, Living Room, 24.8' L x 12.4' W x 24.8' H White USHS04W-DOOR","C&AHOME","$20.99","178","8","$3,736","05/18/2023","","4.2","554","","109,666","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C5QTRSLY"
"Average No. of Ratings: 1,800","","B08S7GZGLD","ANWBROAD Cube Storage Organizer, 9-Cube Modular DIY Book Shelf with Doors, Closet Clothes Organizer, Plastic Storage Cubbies Cabinet for Living Room Bedroom Office White ULCS09TM","ANWBROAD","$45.99","120","4","$5,519","02/27/2021","$30.26","4.2","648","$15.73","187,462","7","FBA","1","Home & Kitchen","Standard","13.106 x 16.496 x 6.654 in","14.991 lb","https://www.amazon.com/dp/B08S7GZGLD"
"Average Sales Rank: 440,559","","B07CYNRM26","BASTUO Cubes Storage Organizer, 16-Cube Plastic DIY Cabinet Clothes Wardrobe Closet, Portable Modular Bookcase Shelf Baskets Cube, White with Doors for Livingroom, Bedroom","BASTUO","$59.99","174","2","$10,438","03/28/2018","$31.03","4","1,054","$28.96","327,313","6","FBA","1","Home & Kitchen","Oversize","15.2 x 17.2 x 9 in","29.101 lb","https://www.amazon.com/dp/B07CYNRM26"
"Average Rating Number: 4.1","","B0B2JLG3NN","MAGINELS 5 Cube Storage Cabinet, Narrow Clothes Storage with Doors,Tall Plastic Standing Organizer Shelves for Small Spaces,Use to Closet,Bedroom,Livingroom,White(11.8x11.8inch)","MAGINELS","$39.99","276","7","$11,037","05/26/2022","","3.8","292","","121,116","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0B2JLG3NN"
"","","B09X5H4PKP","C&AHOME Cube Storage Organizer with Doors, 8-Cube Shelf, Closet Cabinet, DIY Plastic Modular Bookshelf, Storage Shelves Ideal for Bedroom,Living Room,24.8' L  12.4' W  48.4' H White USBTM3008B-DOOR","C&AHOME","$39.99","150","5","$5,999","05/04/2022","$24.56","4.2","333","$15.43","170,073","6","FBA","1","Home & Kitchen","Standard","13.11 x 16.02 x 5.67 in","13.561 lb","https://www.amazon.com/dp/B09X5H4PKP"
"","","B0CN6NWXBR","GREENSTELL Closet Organizer, 9 Cube Storage Organizer with Doors, Portable Closet Storage Shelves, Modular Bookcase Closet Cabinet for Clothes, Books,Toys, Artworks (11.8x11.8x11.8 inch),White","","$35.99","1,230","41","$44,268","","","4.4","6,561","","22,414","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CN6NWXBR"
"","","B0B1ZRMZT1","C&AHOME Cube Storage Organizer with Doors, 9-Cube Shelves, Closet Cabinet, DIY Plastic Modular Bookshelf Ideal for Bedroom, Living Room, 36.6L x 12.4W x 36.6H White USBTM3009B-DOOR","C&AHOME","$40.99","90","3","$3,689","06/16/2022","","4.4","203","","252,557","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B1ZRMZT1"
"","","B0B2JMV4D8","C&AHOME Cube Storage Organizer with Doors, 12-Cube Shelves, Closet Cabinet, DIY Plastic Modular Bookshelf Ideal for Bedroom, Living Room, 36.6L x 12.4W x 48.4H Black USHS3012B-DOOR","C&AHOME","$50.99","176","5","$8,974","05/26/2022","$32.11","4.1","273","$18.88","160,256","6","FBA","5","Home & Kitchen","Standard","13.268 x 16.102 x 7.284 in","19.145 lb","https://www.amazon.com/dp/B0B2JMV4D8"
"","","B0BTBXR1VS","SONGMICS Cube Storage Organzier Portable Wardrobe Closet, 12 Cubes DIY Plastic Armoire Cabinet Modular Shelves Unit with Doors and Hanging Rods for Bedroom, Grey ULPC301G01","SONGMICS","$69.99","93","4","$6,509","01/28/2023","$39.91","4.2","45","$30.08","195,729","6","FBA","2","Home & Kitchen","Oversize","14.8 x 10.1 x 17 in","28.4 lb","https://www.amazon.com/dp/B0BTBXR1VS"
"","","B0B21CPWL1","C&AHOME Cube Storage Organizer with Doors, 6-Cube Shelves, Closet Cabinet, DIY Plastic Modular Bookshelf Ideal for Bedroom, Living Room, 36.6L x 12.4W x 36.6H White USBTM3006B-DOOR","C&AHOME","$25.99","150","5","$3,898","05/22/2022","$12.51","4.2","803","$13.48","171,192","6","FBA","1","Home & Kitchen","Standard","13.2 x 4.4 x 15.2 in","10.78 lb","https://www.amazon.com/dp/B0B21CPWL1"
"","","B0C5RKD4DJ","AWTATOS Cube Storage Closet Organizer 12 Cube Storage Shelves with Doors Portable Closet Organizers and Storage for Kids Cabinet DIY Stackable Clothes Organizer for Bedroom, Home Office, White","AWTATOS","$45.99","123","4","$5,657","05/18/2023","","4.2","205","","220,084","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C5RKD4DJ"
"","","B091Y9BR97","TomCare Cube Storage Organizer 12-Cube Closet Organizer and Storage Shelves DIY Storage Cube Organizer Cabinet Modular Book Shelf Plastic Shelving for Bedroom Living Room Office, Pure White","TomCare","$36.99","881","22","$32,588","10/09/2020","$21.71","4.5","11,330","$15.28","43,421","7","FBA","1","Home & Kitchen","Standard","12.795 x 16.299 x 7.008 in","14.87 lb","https://www.amazon.com/dp/B091Y9BR97"
"","","B0CC5FCTVS","VASICAR Storage Dresser with 9 Drawers, DIY Storage Drawer Unit for Closet, Fabric Chest of Drawers for Bedroom, Hallway, Dorm, Pattern","VASICAR","$59.99","114","4","$6,839","08/08/2023","$-7.94","4","30","$67.93","221,478","7","FBA","1","Home & Kitchen","Oversize","33.7 x 39.4 x 11 in","12.03 lb","https://www.amazon.com/dp/B0CC5FCTVS"
"","","B092HZ22C3","ANWBROAD Cubes Storage Organizer 12-Cube Shelves Closet Organizers and Storage with Doors for Bedroom Bookshelf Clothing Storage ULCS12TM","ANWBROAD","$49.99","90","2","$4,499","04/13/2021","$31.56","4.3","360","$18.43","414,591","7","FBA","1","Home & Kitchen","Standard","13.228 x 16.181 x 7.362 in","18.825 lb","https://www.amazon.com/dp/B092HZ22C3"
"","","B093GSTNJ8","Aeitc Cube Organizer 5-Cube (11.8inx11.8in) Narrow Cabinet Closet Storage Shelves Plastic Storage Shelving for Bedroom, Living Room, Office, White with Doors","Aeitc","$44.99","30","1","$1,350","02/17/2021","$30.01","3.5","1,344","$14.98","661,361","6","FBA","1","Home & Kitchen","Standard","13.3 x 16.81 x 3.94 in","9.299 lb","https://www.amazon.com/dp/B093GSTNJ8"
"","","B07Z7TR27T","GREENSTELL Closet Organizer, 12-Cube Storage Organizer with Rubber Mallet, Portable Closet Storage Shelves, Clothing Storage for Kids, Closet, Bedroom, Office (11.8x11.8x11.8 inch), Black","GREENSTELL","$33.99","784","34","$26,648","10/16/2019","$18.56","4.6","4,198","$15.43","26,976","7","FBA","3","Home & Kitchen","Standard","13.2 x 15.4 x 6.8 in","16.05 lb","https://www.amazon.com/dp/B07Z7TR27T"
"","","B08HK98N35","Closet Organizers and Storage 162L Closet Organizer 6 Cube Closet Shelves with Hook for Handing Storage Shelves for Storage Bins for Closet Storage","HOMIDEC","$24.99","851","25","$21,266","09/04/2020","$13.31","4.3","515","$11.68","37,168","7","FBA","3","Home & Kitchen","Standard","12.795 x 16.102 x 4.213 in","8.821 lb","https://www.amazon.com/dp/B08HK98N35"
"","","B08HVJFM4V","Puroma Closet Organizer 9 Cube Storage Organizer, Bookcase Bookshelf with Mallet DIY Closet Organizers and Storage, Portable Closet Storage Shelves Cabinet for Kids, Home, Office, and Bedroom","Puroma","$39.99","1,861","39","$74,421","09/10/2020","$25.16","4.5","14,527","$14.83","23,845","7","FBA","1","Home & Kitchen","Standard","13 x 5.5 x 15 in","11.88 lb","https://www.amazon.com/dp/B08HVJFM4V"
"","","B0B23L5NYT","BRIAN & DANY Portable Wardrobe Closet for Hanging Clothes, Bedroom Armoire with Doors, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, Towels (8-Cube), Pink","BRIAN & DANY","$49.99","60","2","$2,999","","","3.7","107","","315,482","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0B23L5NYT"
"","","B09N1HYZ9H","Aeitc Portable Wardrobe Closets 14'x18' Depth Bedroom Armoire, Clothes Storage Organizer with Doors, 25 Cubes, White","Aeitc","$34.99","","","$0.00","12/03/2021","","3.3","27","","1,999,516","6","FBM","2","Home & Kitchen","","","","https://www.amazon.com/dp/B09N1HYZ9H"
"","","B0BPL9VT56","ClosetMaid Pantry Cabinet with 2 Doors and Furinno 5-Cube Bookcase, White","ClosetMaid","$233.72","","","$0.00","12/08/2022","","3.7","9","","2,612,166","5","AMZ","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BPL9VT56"
"","","B0CBMP3Q9J","Sauder Homeplus Wardrobe, Soft White Finish & HomePlus Storage Cabinet, White Finish","Sauder","$547.99","","","","07/10/2023","","","","","","6","","1","","","","","https://www.amazon.com/dp/B0CBMP3Q9J"
