"Export time:  2/11/2024, 3:10:05 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B084H7K9LY","Glass Food Storage Containers with Bamboo Lids (4 Pack, 36 Ounce) Eco Friendly Meal Prep Containers Airtight  Plastic Free, BPA Free","Verel","$38.97","1,773","49","$69,094","05/03/2020","$25.49","4.4","1,975","$13.48","5,364","6","FBA","3","Kitchen & Dining","Standard","9.2 x 11.7 x 7.1 in","7.851 lb","https://www.amazon.com/dp/B084H7K9LY"
"Glass Food Storage Containers with Bamboo Lids","","B0C855MPQ3","Utile Thick Glass Food Jar Set with Pine Wood Lid, 4PCS of Vol.440ml, 1PC of Vol.1080ml, Sturdy Glass Airtight Canisters set for Cookie, Pasta, Coffee Beans, 4045.2002.1","Utile","$31.99","","","$0.00","06/14/2023","$24.96","4.4","9","$7.03","1,195,643","6","FBA","1","Kitchen & Dining","Standard","6.3 x 2.4 x 8.4 in","4.71 lb","https://www.amazon.com/dp/B0C855MPQ3"
"Average Monthly Sales: 1,764","","B0C85561NJ","Utile Thick Glass Food Jar with Pine Wood Lid, 6 PCS of Vol.290ml/9.8oz, Sturdy Glass Airtight Canisters set for Cookie, Pasta, Coffee Beans, 4045.0101.6","Utile","$24.99","","","$0.00","06/14/2023","$15.56","4.1","13","$9.43","331,737","6","FBA","1","Kitchen & Dining","Standard","4.7 x 2.1 x 8.2 in","3.16 lb","https://www.amazon.com/dp/B0C85561NJ"
"Average Revenue: $60,023","","B089Y57S9L","Urban Green Glass Jars with Wood Lids, 6 Sets, Food Storage Containers, 3.7in Canister Diameter, Oven Safe, Reusable, BPA Free","Urban Green","$36.99","324","15","$11,985","04/29/2020","$23.81","4.3","1,118","$13.18","18,540","7","FBA","1","Kitchen & Dining","Standard","12.9 x 5.9 x 13 in","5.31 lb","https://www.amazon.com/dp/B089Y57S9L"
"Average Price: $31.77","","B0C4SML7SY","Vtopmart Glass Food Storage Containers with Bamboo Lids, 4 Pack Meal Prep Glass Containers Bento Lunch Box, Safe for Microwave, Oven, Freezer and Dishwasher, BPA Free","Vtopmart","$24.99","669","28","$16,718","05/09/2023","$13.91","4.2","51","$11.08","9,964","7","FBA","2","Kitchen & Dining","Standard","5.8 x 2.6 x 7.8 in","6.27 lb","https://www.amazon.com/dp/B0C4SML7SY"
"Average No. of Ratings: 1,204","","B0BN35LN44","Gencywe Glass Storage Jars with Airtight Bamboo Lid, 27 OZ, Black, Clear Glass, Silicone, 6 Packs","Gencywe","$25.99","937","31","$24,353","11/21/2022","$15.36","4.6","231","$10.63","8,721","7","FBA","3","Kitchen & Dining","Standard","6 x 7 x 5 in","4.8 lb","https://www.amazon.com/dp/B0BN35LN44"
"Average Sales Rank: 46,144","","B0B27X7HFZ","Vtopmart Glass Food Storage Jars, 7 Pack Food Containers with Airtight Bamboo Wooden Lids for Pasta, Cookies, Nuts, Coffee Beans, Cereal, Glass Canisters for Kitchen, Pantry Organization, BPA Free","Vtopmart","$26.99","2,691","95","$72,630","05/24/2022","$15.91","4.5","1,230","$11.08","2,428","6","FBA","2","Kitchen & Dining","Standard","3.93 x 11.81 x 11.81 in","5.35 lb","https://www.amazon.com/dp/B0B27X7HFZ"
"Average Rating Number: 4.5","","B07S37N2FY","GREENER CHEF Glass Food Storage Containers with Lids (Bamboo) - 4 Piece Value Set - The Most Ecofriendly Glass Containers - Airtight, Glass Meal Prep Containers or Glass Food Containers","Greener Chef","$24.99","557","17","$13,919","10/15/2019","$13.31","4.2","2,039","$11.68","16,181","6","FBA","2","Kitchen & Dining","Standard","9.65 x 6.85 x 11.57 in","8.11 lb","https://www.amazon.com/dp/B07S37N2FY"
"","","B09WY8C75F","NEPIVEL 4 Pack Glass Jars with Bamboo Lids, 18.5Oz Containers Airtight Lid and Spoons,100% Sealed Spice for Candy Coffee Beans Sugar Nuts Cookies,540ml","NEPIVEL","$23.90","780","26","$18,642","05/06/2022","$14.32","4.6","467","$9.58","10,658","7","FBA","4","Kitchen & Dining","Standard","7.48 x 11.2 x 5.43 in","1.78 lb","https://www.amazon.com/dp/B09WY8C75F"
"","","B0CC5TTFRC","AISIPRIN Glass Food Storage Containers with Bamboo Lids,5 Pack Airtight Glass Jars with Screw On Lid, Pasta, Cereal, Sugar Flour Containers Storage, Kitchen Canisters 80oz 50oz 27oz With 42 Lables","","$29.51","390","13","$11,509","10/03/2023","","4.7","85","","20,921","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CC5TTFRC"
