"Export time:  2/11/2024, 3:11:44 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B06Y31WGWR","PrepNaturals 5 Pack 30 Oz Glass Meal Prep Containers - Dishwasher Microwave Freezer Oven Safe - Glass Storage Containers with Lids (Multi-Compartment)","PrepNaturals","$24.99","7,269","205","$181,652","04/05/2017","$13.61","4.6","49,455","$11.38","821","7","FBA","1","Kitchen & Dining","Standard","9 x 7.5 x 15.5 in","7.4 lb","https://www.amazon.com/dp/B06Y31WGWR"
"Glass Meal Prep Containers","","B07HRRV96C","M MCIRCO 10-Pack, 22 Oz Glass Food Storage Containers with Lids, BPA Free, Microwave, Oven, Freezer and Dishwasher Safe, Gray","M MCIRCO","$39.99","4,767","126","$190,632","09/27/2018","$28.85","4.7","5,910","$11.14","1,670","6","FBA","4","Kitchen & Dining","Standard","4.5 x 2.2 x 6.2 in","1.38 lb","https://www.amazon.com/dp/B07HRRV96C"
"Average Monthly Sales: 4,947","","B0C614PWPZ","KOMUEE 10 Packs 22 oz Glass Meal Prep Containers with Lids, Airtight Glass Lunch Containers, BPA Free, Microwave, Oven, Freezer and Dishwasher Friendly, Gray","KOMUEE","$29.99","1,556","51","$46,664","05/22/2023","$16.66","4.7","285","$13.33","5,073","7","FBA","2","Kitchen & Dining","Standard","4.5 x 2.2 x 6.2 in","11.86 lb","https://www.amazon.com/dp/B0C614PWPZ"
"Average Revenue: $166,778","","B081JTZNRS","[10-Pack] Glass Meal Prep Containers with Lids-MCIRCO Food Storage Containers with Snap Locking Lids, Airtight Lunch Containers, Microwave, Oven, Freezer and Dishwasher","M MCIRCO","$39.99","6,004","74","$240,100","11/14/2019","$29.47","4.6","8,444","$10.52","3,303","6","FBA","3","Kitchen & Dining","Standard","9.84 x 7.4 x 15.86 in","13 oz","https://www.amazon.com/dp/B081JTZNRS"
"Average Price: $33.27","","B0C5HRQ1BQ","HOMBERKING 10 Pack Glass Meal Prep Containers, 2 Compartment, BPA-Free, Leak Proof, 630ml Capacity, Grey","HOMBERKING","$37.99","5,585","111","$212,174","05/16/2023","$22.86","4.6","774","$15.13","1,972","7","FBA","5","Kitchen & Dining","Standard","7.48 x 14.2 x 12 in","13.51 lb","https://www.amazon.com/dp/B0C5HRQ1BQ"
"Average No. of Ratings: 7,083","","B07R8BQD66","C CREST [10 Pack] Glass Meal Prep Containers, Food Storage Containers with Lids Airtight, Glass Lunch Boxes, Microwave, Oven, Freezer and Dishwasher Safe","C CREST","$39.99","11,930","349","$477,081","05/24/2019","$25.16","4.7","31,002","$14.83","347","7","FBA","3","Kitchen & Dining","Standard","9.96 x 16.73 x 7.01 in","11.66 lb","https://www.amazon.com/dp/B07R8BQD66"
"Average Sales Rank: 8,011","","B08X4615SC","KOMUEE 10 Packs 30 oz Glass Meal Prep Containers,Glass Food Storage Containers with Lids,Airtight Glass Lunch Bento Boxes,BPA Free,Microwave,Freezer and Dishwasher,Gray","KOMUEE","$43.99","4,657","146","$204,861","02/21/2021","$32.25","4.7","1,750","$11.74","1,355","7","FBA","4","Kitchen & Dining","Standard","5.7 x 2.5 x 7.8 in","1.88 lb","https://www.amazon.com/dp/B08X4615SC"
"Average Rating Number: 4.6","","B0C4HLZVJW","Vtopmart 8 Pack Glass Food Storage Containers with Lids, Meal Prep Containers, Airtight Lunch Containers Bento Boxes with Snap Locking Lids, for Microwave, Oven, Freezer and Dishwasher","Vtopmart","$28.89","10,145","796","$293,089","05/05/2023","$16.33","4.6","2,544","$12.56","72","7","FBA","2","Kitchen & Dining","Standard","9.45 x 6.77 x 14.13 in","9.33 lb","https://www.amazon.com/dp/B0C4HLZVJW"
"","","B0C4LHZ4SV","Vtopmart 5 Pack 22oz Glass Food Storage Containers with Lids, Meal Prep Containers, Airtight Lunch Containers Bento Boxes with Snap Locking Lids for Microwave, Oven, Freezer and Dishwasher","Vtopmart","$24.98","1,106","49","$27,628","05/07/2023","$14.20","4.8","113","$10.78","5,413","7","FBA","1","Kitchen & Dining","Standard","5.59 x 2.44 x 7.4 in","5.54 lb","https://www.amazon.com/dp/B0C4LHZ4SV"
"","","B0BL98DLWQ","Vtopmart 15 Pack Glass Food Storage Containers, Meal Prep Containers, Airtight Glass Bento Boxes with Leak Proof Locking Lids, for Microwave, Oven, Freezer and Dishwasher","Vtopmart","$38.98","2,754","65","$107,351","11/02/2022","$23.70","4.7","1,138","$15.28","3,886","7","FBA","5","Kitchen & Dining","Standard","13.27 x 6.34 x 14.84 in","13.69 lb","https://www.amazon.com/dp/B0BL98DLWQ"
