"Export time:  2/17/2024, 2:53:13 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07VSBF3M9","TOGETRUE Plastic Bag Holder, Grocery Bag Holder Mesh Hanging Storage Bag Dispenser (Black 2 Packs)","TOGETRUE","$6.99","3,711","260","$25,940","07/27/2019","$2.40","4.5","11,406","$4.59","567","6","FBA","1","Kitchen & Dining","Standard","4.2 x 7.5 x 2.2 in","0.201 lb","https://www.amazon.com/dp/B07VSBF3M9"
"Grocery Bag Holder","","B01G5K1AM0","Utopia Kitchen Grocery Plastic Bag Holder and Dispenser - Easy Wall Mount Bag Saver - Stainless Steel (Silver)","Utopia Kitchen","$14.99","8,241","199","$123,533","05/24/2016","$6.95","4.4","10,303","$8.04","860","6","FBA","4","Kitchen & Dining","Standard","7.28 x 3.5 x 12.72 in","1 lb","https://www.amazon.com/dp/B01G5K1AM0"
"Average Monthly Sales: 1,306","","B00R0BIDM4","Honey-Can-Do KCH-02989 Stainless Steel Bag Saver Medium","Honey-Can-Do","$10.79","3,763","129","$40,603","07/11/2014","$3.38","4.6","3,925","$7.41","5,674","3","AMZ","2","Home & Kitchen","Standard","7.047 x 12.795 x 3.543 in","1.036 lb","https://www.amazon.com/dp/B00R0BIDM4"
"Average Revenue: $28,440","","B07HYJ87WP","Gramercy Kitchen Reusable Grocery Bags Reusable Shopping Bags, Tote Bags Bulk, Reusable Bags, Utility Tote, Bulk Tote Bags, Shopping Bag - Set of 4 Shopping Bags for Groceries - Washable - Black","Gramercy Kitchen Company","$49.97","97","6","$4,847","10/01/2018","$35.74","4.7","1,050","$14.23","42,445","8","FBA","1","Kitchen & Dining","Standard","11.9 x 15.5 x 2.6 in","4.949 lb","https://www.amazon.com/dp/B07HYJ87WP"
"Average Price: $20.91","","B08BQBNXSQ","ClearSpace Plastic Storage Bins  Perfect Kitchen Organization or Pantry Storage  Fridge Organizer, Pantry Organization and Storage Bins, Cabinet Organizers","ClearSpace","$39.99","12,943","361","$517,591","06/22/2020","$25.46","4.8","10,498","$14.53","327","6","FBA","11","Kitchen & Dining","Standard","11.496 x 16.024 x 7.638 in","5.311 lb","https://www.amazon.com/dp/B08BQBNXSQ"
"Average No. of Ratings: 2,710","","B08L4FCJR9","carrotez Cabinet Organizer Shelf, Set of 2 Stackable Kitchen Counter Shelves, Cabinet Organizers and Storage, Pantry Storage Shelf Organizer, Kitchen Cabinet Organizer, White 9.8 x 7.8 x 6.1","carrotez","$20.99","432","13","$9,068","10/12/2020","$14.07","4.4","896","$6.92","21,958","6","FBA","1","Kitchen & Dining","Standard","8.54 x 10.59 x 1.89 in","0.6 lb","https://www.amazon.com/dp/B08L4FCJR9"
"Average Sales Rank: 49,756","","B086WNKLTM","TICONN 6 Pack Extra Large Moving Bags with Zippers & Carrying Handles, Heavy-Duty Storage Tote for Space Saving Moving Storage","TICONN","$29.95","16,931","516","$507,083","04/07/2020","$18.73","4.7","34,332","$11.22","640","6","FBA","1","Home & Kitchen","Standard","10.5 x 5 x 13.1 in","4.109 lb","https://www.amazon.com/dp/B086WNKLTM"
"Average Rating Number: 4.6","","B0C2Z289M9","TOGETRUE Plastic Bag Holder, Wall Mount Plastic Bag Organizer Dispenser, Heavy Duty Grocery Bag Storage Holder for Home Kitchen Camper","TOGETRUE","$5.99","1,170","39","$7,008","10/08/2023","","4.8","206","","6,865","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C2Z289M9"
"","","B0982Q1S5Z","Wall Mount Plastic Grocery Bag Organizer/Holder,Washable Shopping Bags Carrier,Storage Dispenser for Home Kitchen Travelling, Free Adjustment with Drawstring, Large, Gray, 22x9'","SYIPO","$6.99","2,546","69","$17,797","06/27/2021","$2.40","4.7","1,335","$4.59","3,600","7","FBA","1","Kitchen & Dining","Standard","4.72 x 1.18 x 9.84 in","0.14 lb","https://www.amazon.com/dp/B0982Q1S5Z"
"","","B0BZK1QHFD","YouCopia StoraBag Space-Saving Plastic Bag Dispenser, Organizer for Kitchen Cabinet or Pantry Storage, One-Size, Speckled White","YouCopia","$24.99","1,522","60","$38,035","03/23/2023","","4.5","184","","4,206","7","AMZ","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BZK1QHFD"
"","","B0B51NGRY1","SYIPO Plastic Bag Holder, Reusable Grocery Bag Organizer, Wall Mount, 1 Pack, Seaweed","SYIPO","$5.99","2,301","80","$13,783","06/23/2022","","4.7","827","","3,000","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B51NGRY1"
"","","B002OW05KC","Spectrum Diversified, White Plastic Bag Holder, Wall Mount or Adhesive, Standard","Spectrum Diversified","$9.99","978","50","$9,770","06/26/2007","$4.72","4.3","10,184","$5.27","5,256","6","AMZ","16","Kitchen & Dining","Standard","7.8 x 15.35 x 3.58 in","0.6 lb","https://www.amazon.com/dp/B002OW05KC"
"","","B099WL1TNG","Plastic Bag Holder (2sets/pack) Grocery Bag Holder Good for storing plastic bags under the sink,Wall-mounted space-saving sock organizer and panty organizer in the cloakroom.kitchen gadgets KozyGather","KozyGather","$7.99","1,351","46","$10,794","03/21/2022","$3.02","4.3","1,313","$4.97","5,782","6","FBA","1","Kitchen & Dining","Standard","10.2 x 13.27 x 0.79 in","0.549 lb","https://www.amazon.com/dp/B099WL1TNG"
