"Export time:  2/8/2024, 9:47:16 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C4LMKZJB","Focuaim T2 Iron Sights, 45 Degree Offset Iron Sights with Green and Red Fiber Optics Dots, Flip Up Front and Rear Backup Sights for Picatinny Rail.","FocuAim","$27.99","535","11","$14,975","05/07/2023","$20.25","4.4","122","$7.74","20,159","6","FBA","1","Sports & Outdoors","Standard","2.87 x 1.14 x 3.66 in","0.1 kg","https://www.amazon.com/dp/B0C4LMKZJB"
"Iron Sights","","B0CGC8GH7Q","RTMGOB Fiber Optic Iron Sights-Red Green Dots Flip Up SightsFront and Rear Backup Sights Free Adjustment Backup Iron Sight","RTMGOB","$24.99","15","","$374.85","08/22/2023","$17.70","4","1","$7.29","278,288","6","FBA","1","Sports & Outdoors","Standard","2.91 x 1.1 x 4.17 in","0.12 kg","https://www.amazon.com/dp/B0CGC8GH7Q"
"Average Monthly Sales: 244","","B0CPFM61VX","TBPA Fiber Optic Iron Sights,Red Green Dots Fiber Flip Up Sights,Rail Mount Flip Up Sights,Tool-Free Adjustable Front Sight Rapid Transition","TBPA","$29.99","60","2","$1,799","12/03/2023","$21.50","","","$8.49","101,348","7","FBA","1","Sports & Outdoors","Standard","1.75 x 1.48 x 2.24 in","1.12 oz","https://www.amazon.com/dp/B0CPFM61VX"
"Average Revenue: $5,899","","B0CMWM3BB1","TRSAIM 45 Degree Iron Sights,Fiber Optic Red Dot Front Sight","TRSAIM","$21.99","30","1","$659.70","11/07/2023","$15.32","","","$6.67","157,045","6","FBA","1","Sports & Outdoors","Standard","2.7 x 0.7 x 3.7 in","0.24 lb","https://www.amazon.com/dp/B0CMWM3BB1"
"Average Price: $33.94","","B0CPXQFBTG","Focuaim R3 Fiber Optic Iron Sights, Durable Flip Up Iron Sights with Red Green Dots, Tool-Free Adjustment Front and Rear Backup Iron Sight","FocuAim","$34.99","153","7","$5,353","12/10/2023","$26.20","4.9","18","$8.79","31,345","6","FBA","1","Sports & Outdoors","Standard","2.87 x 1.26 x 3.62 in","0.02 kg","https://www.amazon.com/dp/B0CPXQFBTG"
"Average No. of Ratings: 639","","B0C4H6M6BC","Aecktech with Green and Red Full Dots Polymer Fiber Optics Iron Sights Front and Rear Sights","Aecktech","$16.99","366","11","$6,218","05/10/2021","$10.90","4.1","760","$6.09","20,412","6","FBA","1","Sports & Outdoors","Standard","3.19 x 1.22 x 4.65 in","0.09 kg","https://www.amazon.com/dp/B0C4H6M6BC"
"Average Sales Rank: 263,178","","B0CQ469VST","New Gen Fiber Optic Iron Sights, Flip Up Front and Rear Backup Sights with Green Red Fiber Optics Dots, Tool-Free Adjustable Front Sight Rapid Transition","GRWOLF","$28.89","120","4","$3,467","12/12/2023","$19.14","4.8","26","$9.75","57,842","6","FBA","1","Sports & Outdoors","Standard","5 x 0.92 x 5.95 in","8 oz","https://www.amazon.com/dp/B0CQ469VST"
"Average Rating Number: 4.3","","B0CKQZM88T","Iron Sights 2pc Flip Up Sights 20MM Backup Sights Set Black","SVICCOOKQ","$13.90","","","$0.00","10/08/2023","$7.66","3","4","$6.24","370,188","6","FBA","1","Sports & Outdoors","Standard","1.09 x 0.78 x 1.79 in","1.44 oz","https://www.amazon.com/dp/B0CKQZM88T"
"","","B0CG6876FC","Focuaim R4 Flip Up Iron Sights, Durable Fiber Optic Iron Sights with Red Green Dots, Tool-Free Adjustment Front and Rear Backup Iron Sight","FocuAim","$29.99","10","","$299.90","08/20/2023","$21.95","3","3","$8.04","327,336","6","FBA","1","Sports & Outdoors","Standard","2.83 x 1.22 x 3.66 in","0.12 kg","https://www.amazon.com/dp/B0CG6876FC"
"","","B0C868Z5N8","SHTALHST Iron Sights,45 Degree Offset Flip Up Sights,Flip Up Front and Rear Sights,Canted Iron Sights with Fiber Optic Red and Green Dots for Picatinny Rail,Flip Up Iron Sight","SHTALHST","$22.99","30","1","$689.70","06/14/2023","","4","7","","206,874","6","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0C868Z5N8"
"","","B0BTGZGQ8Q","Feyachi Front and Rear Backup Iron Sights, Best Flip Up Iron Sights, Backup Sight Set (Tool Free Adjustment)","Feyachi","$29.99","122","1","$3,659","01/30/2023","$22.57","4.6","1,213","$7.42","130,919","7","FBA","2","Sports & Outdoors","Standard","2.87 x 0.75 x 2.95 in","0.11 kg","https://www.amazon.com/dp/B0BTGZGQ8Q"
"","","B0BX6L1T1J","45 Degree Offset Flip Up Iron Sights | Aluminum Flip Up Sights | Canted Iron Sights Flip Up | Flip Up Iron Sights for Picatinny Rail Metal | Low Profile Flip Up Iron Sights | Black 45 Iron Sights","GDMYST","$21.99","34","","$747.66","02/28/2023","$15.15","4.1","23","$6.84","312,701","6","FBA","1","Sports & Outdoors","Standard","2.83 x 1.14 x 3.62 in","0.1 kg","https://www.amazon.com/dp/B0BX6L1T1J"
"","","B09MGH5CWV","ST02DR Fiber Optics Front and Rear Sights Flip Up Picatinny Rail Mounted Backup Iron Sights (Red)","TPO","$29.99","90","3","$2,699","11/22/2021","","4.2","33","","76,724","5","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B09MGH5CWV"
"","","B087CSG97R","Aecktech 45 Degree Offset Flip Up Iron Sights,Rapid Transition Front & Backup Rear Sights Black","Aecktech","$19.99","15","1","$299.85","04/20/2020","$13.45","4.2","376","$6.54","183,379","6","FBA","1","Sports & Outdoors","Standard","2.95 x 1.34 x 3.23 in","0.12 kg","https://www.amazon.com/dp/B087CSG97R"
"","","B0C5Y6JJP9","Fiber Optics 45 Degree Flip Up Iron Sights Set, Front and Rear Sights Combo for Picatinny Rail(Red) (ST4502R)","Eastern Tactical Supply","$29.99","15","","$449.85","05/21/2023","$21.95","4.1","28","$8.04","467,436","6","FBA","1","Sports & Outdoors","Standard","2 x 1 x 3 in","0.2 lb","https://www.amazon.com/dp/B0C5Y6JJP9"
"","","B071VS8VPQ","HWZ Tactical Folding Front & Rear Set Flip Up Backup Sights BUIS Black","HWZ","$11.99","175","10","$2,098","05/15/2017","$6.65","3.9","2,194","$5.34","22,236","5","FBA","5","Sports & Outdoors","Standard","3.15 x 1.34 x 4.65 in","0.08 kg","https://www.amazon.com/dp/B071VS8VPQ"
"","","B09Y2QJD7J","GOTICAL - Combo of 2 Items - 5 Slots and Red Flip up Sights Iron Sight Detach Folding Design 20mm","Gotical","$15.95","","","$0.00","04/17/2021","$10.02","5","1","$5.93","1,374,414","5","FBA","1","Sports & Outdoors","Standard","2 x 1 x 4 in","0.3 lb","https://www.amazon.com/dp/B09Y2QJD7J"
"","","B08JPRHKLY","Stinger Novelty Finger Sight Set, Front and Rear Iron Sight Set, Fit Picatinny Rail and Weaver, Straight 90 Degree","Stinger","$34.99","55","1","$1,924","09/22/2020","$26.20","4.6","503","$8.79","173,502","5","FBA","2","Sports & Outdoors","Standard","4.21 x 1.93 x 5.28 in","0.16 kg","https://www.amazon.com/dp/B08JPRHKLY"
"","","B0CMQ9J4SJ","Flip Up Iron SightsMetal Front & Rear SightsRapid Transition Backup Sight Set","HATSEN","$26.99","","","$0.00","11/05/2023","","5","1","","918,825","7","","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CMQ9J4SJ"
"","","B095QXXSWZ","ST4502B Fiber Optics 45 Degree Flip Up Iron Sights Set, Front and Rear Sights Combo for Picatinny Rail","TPO","$29.99","","","$0.00","05/23/2021","$21.95","4.3","20","$8.04","298,846","6","FBA","2","Sports & Outdoors","Standard","5.67 x 2.6 x 8.11 in","0.15 kg","https://www.amazon.com/dp/B095QXXSWZ"
"","","B0CLHB1Z2X","45 Degree 90 Degree Offset Flip Up Sight | Low Profile Design Rapid Transition Front and Rear flip up Sights","ZONEBIKE","$15.99","201","5","$3,214","10/19/2023","$10.05","4.2","439","$5.94","46,213","6","FBA","1","Sports & Outdoors","Standard","1.85 x 1.73 x 3.98 in","0.08 kg","https://www.amazon.com/dp/B0CLHB1Z2X"
"","","B0CB4B49FV","RTMGOB Front Sight Adjuster -Suitable for Iron Sights Red & Green Dot Sight and 45 Degree Offset Iron Sights Sight Set Rapid Transition","RTMGOB","$9.88","15","","$148.20","07/03/2023","$4.81","5","1","$5.07","399,917","7","FBA","1","Sports & Outdoors","Standard","0.36 x 0.36 x 2.69 in","0.79 lb","https://www.amazon.com/dp/B0CB4B49FV"
"","","B0CPDHYF2Q","ZBULAR Fiber Optic Sights, Flip Up Front and Rear Backup Sights with Green Red Fiber Optics Dots, Tool-Free Adjustable Front Sight Rapid Transition","ZBULAR","$15.99","60","2","$959.40","12/03/2023","$9.75","3.5","69","$6.24","103,646","7","FBA","1","Sports & Outdoors","Standard","3.27 x 1.18 x 4.65 in","0.08 kg","https://www.amazon.com/dp/B0CPDHYF2Q"
"","","B00JSYGS2I","Magpul MBUS Flip-Up Backup Sights, Gray, Rear Sight","Magpul","$45.11","61","2","$2,752","04/18/2014","$35.42","4.8","760","$9.69","105,093","4","AMZ","15","Sports & Outdoors","Standard","4.21 x 0.71 x 7.4 in","0.05 kg","https://www.amazon.com/dp/B00JSYGS2I"
"","","B07X261688","AR 15 iron sight | Decal Vinyl Sticker | Cars Trucks Vans Walls Laptop | 2nd Amendment American enthusiasts Custom","Generic","$2.99","","","","11/13/2018","$-1.00","5","2","$3.99","7,813","","FBM","1","Handmade Products","Standard","6 x 5 x 6 in","0.313 lb","https://www.amazon.com/dp/B07X261688"
"","","B00TRKNC36","EdgeMatch Inverted Iron Sights for Glock (Black, Precision)","EdgeMatch","$99.99","","","$0.00","07/30/2017","$82.07","4.2","10","$17.92","1,127,261","5","FBM","1","Sports & Outdoors","Standard","3.75 x 0.75 x 5.63 in","0.13 lb","https://www.amazon.com/dp/B00TRKNC36"
"","","B0B4NX479S","Front and Rear Flip Up Sights Set, Flip Up Backup Iron Sights for 20mm Rail","HATSEN","$27.99","","","","","","","","","550,916","","","","Sports & Outdoors","","","","https://www.amazon.com/dp/B0B4NX479S"
"","","B0B48FXDYJ","Gotical Combo of 4-5 Slots (2 Pcs) & 7-Slots (2 Pcs) Slots Section with Attachment MLok Quick Detach Mount Kit-Push 6-9 Inches","Gotical","$14.95","","","$0.00","03/30/2021","","4.2","73","","381,545","7","FBA","1","Sports & Outdoors","","","0.4 lb","https://www.amazon.com/dp/B0B48FXDYJ"
"","","B0CPVHZLJS","2PC 20mm Flip Up Sights Flip Up Back Up Sights 2nd Generation MB-US Front and Rear Flip Sights Compatible Sights","SVICCOOKQ","$13.99","","","$0.00","12/08/2023","$8.35","","","$5.64","302,486","7","FBA","1","Sports & Outdoors","Standard","3.27 x 1.34 x 4.69 in","0.06 kg","https://www.amazon.com/dp/B0CPVHZLJS"
"","","B0CNBY7M8V","RTMGOB Flip Up Sights, Fiber Optic Red Green Dot Sights Folding Polymer Sights for Picatinny Rail Adjustable Front and Backup Sights Set","RTMGOB","$15.99","120","4","$1,919","09/27/2023","$10.52","3.7","11","$5.47","57,958","7","FBA","1","Sports & Outdoors","Standard","1.36 x 0.74 x 2.56 in","3.2 oz","https://www.amazon.com/dp/B0CNBY7M8V"
"","","B09ZVGXJCX","Aisunoutdoor Fiber Optics Flip up Front Sight Adjustment Tool, 4&5 Prong A1&A2 Types Iron Sight Elevation Tool","AISUNOUTDOOR","$5.70","450","15","$2,565","","","4.1","87","","15,088","","FBA","","Sports & Outdoors","","","","https://www.amazon.com/dp/B09ZVGXJCX"
"","","B0CJRR8RQ4","2pcs 20mm Flip Up Sights,Black Flip Up Front and Rear Sights,Backup Sights Set,flip up Sights 20mm Rail Model Decorative Accessories","SVICCOOKQ","$19.99","12","1","$239.88","09/24/2023","$13.45","2.5","3","$6.54","226,704","7","FBA","1","Sports & Outdoors","Standard","2.52 x 0.83 x 3.03 in","0.07 kg","https://www.amazon.com/dp/B0CJRR8RQ4"
"","","B07NV4D7H6","HWZ Newest Model Tactical Polymer Folding Front and Rear Set Flip Up Backup Sights","HWZ","$11.99","12","","$143.88","02/16/2019","$6.65","3.6","87","$5.34","385,324","5","FBA","2","Sports & Outdoors","Standard","3.2 x 1.2 x 4.4 in","0.07 kg","https://www.amazon.com/dp/B07NV4D7H6"
