"Export time:  2/14/2024, 2:12:40 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BB7H8GKF","Artigarden Garden Trash Bag Holder - Outdoor Leaf Bag Support Stand Multi-Use Metal Garbage Bag Holder Frame Holds 30-45 Gallons Bag for Camping Leaves Gardening Parties Yard Weeding (Black)","Artigarden","$24.99","608","15","$15,194","08/18/2022","$2.04","4.3","315","$22.95","13,141","7","FBA","1","Patio, Lawn & Garden","Oversize","12.8 x 27.17 x 11.02 in","3.06 lb","https://www.amazon.com/dp/B0BB7H8GKF"
"Large Trash Bag Holder","","B0CC5D75CR","Extra Large Trash Bag Holder with Lid, Hudgan Acrylic Garbage Bag Dispenser with Handles for Kitchen Organization, Under Sink","Hudgan","$29.99","1,953","67","$58,570","08/10/2023","$19.66","4.6","108","$10.33","1,777","6","FBA","1","Industrial & Scientific","Standard","7 x 7 x 12 in","2 lb","https://www.amazon.com/dp/B0CC5D75CR"
"Average Monthly Sales: 372","","B0CB8N14ZX","Extra Large Trash Bag Dispenser Roll Holder,Garbage Bag Dispenser Holder Under Sink, Bamboo Wall Mounted Kitchen Trash Bag Dispenser,Organization and Storage,Trash Bags Holder","KOCWELL","$23.99","653","19","$15,665","07/05/2023","$13.66","4.7","74","$10.33","14,299","7","FBA","1","Kitchen & Dining","Standard","7.5 x 7.5 x 10 in","3.27 lb","https://www.amazon.com/dp/B0CB8N14ZX"
"Average Revenue: $9,944","","B0CF8YH27D","MOAT Grill & Griddle Caddy plus Grill & Griddle Large Trash Bag Holder, Magnetic Utensils Holder  Compatible Blackstone Griddle Caddy for Grilling. And for Weber Grill Accessories for Outdoor Grill","MOAT","$37.99","409","15","$15,538","10/28/2023","","4.8","38","","13,424","7","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CF8YH27D"
"Average Price: $28.79","","B087Z85NG1","Rubber Bands for 64-65 Gallon Trash Cans (Value 6 Pack)","Tasker","$14.97","406","14","$6,078","04/30/2020","$9.18","4.6","1,015","$5.79","65,204","5","FBA","2","Home & Kitchen","Standard","4.61 x 1.61 x 4.61 in","3.17 oz","https://www.amazon.com/dp/B087Z85NG1"
"Average No. of Ratings: 367","","B0BZPK4F82","Hudgan Clear Stackable Storage Bins Acrylic Open Front with Lids for Home Edit and Kitchen Organization, Trash Bag Holder Dispenser Containers","Hudgan","$30.99","1,048","28","$32,478","05/09/2023","","4.6","149","","33,501","6","FBA","5","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZPK4F82"
"Average Sales Rank: 88,109","","B0BKQHDTNY","SHILFID Plastic Bag Holder, Grocery Bag Holder and Dispenser for Plastic Bags,Wall Mount Bag Saver,Kitchen Trash Bag Organizer,Fingerprint Resistant,Brushed Stainless Steel,Matte Silver","SHILFID","$18.99","50","","$949.50","11/23/2022","","4.7","100","","222,418","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BKQHDTNY"
"Average Rating Number: 4.4","","B0BHKH85LH","Manterio Plastic Bag Holder | Durable Plastic Wall Mount Kitchen Grocery Bag Storage Organizer | Smudge Proof, Fingerprint Resistant | Silver","Manterio","$24.95","1,885","59","$47,031","10/06/2022","","4.7","1,078","","4,356","7","FBA","11","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BHKH85LH"
"","","B0CKMZVYHL","Trash Bag Holder, Metal Trash Bag Dispenser Roll Holder, Kitchen Trash Bag Organizer for Cabinet, Countertop, Wall Mounted or Freestanding, Black","STWWO","$24.99","1,270","8","$31,737","10/06/2023","$15.45","4.6","39","$9.54","108,963","6","FBA","1","Home & Kitchen","Standard","5.1 x 5.1 x 9 in","2.16 lb","https://www.amazon.com/dp/B0CKMZVYHL"
"","","B0C8SFBYYZ","Extra Large Trash Bag Dispenser Roll Holder, Acrylic Garbage Bag Dispenser with Bamboo Lid, Wall Mount Trash Bag Organizer for Kitchen Cabinet, Under Sink","ERTIUANIO","$27.99","441","7","$12,344","06/20/2023","$16.16","4.3","69","$11.83","36,411","7","FBA","2","Kitchen & Dining","Standard","7.48 x 6.3 x 10.43 in","1.35 kg","https://www.amazon.com/dp/B0C8SFBYYZ"
