"Export time:  2/17/2024, 7:41:31 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CP27KQ1V","U-pick Pickleball Paddles Set of 2, Thickened Honeycomb Core Pickleball Racket with Pickleball Bag Pickleball Balls, Lightweight Easy Control for Men, Women, Beginners, Kids Black-X","U-pick","$27.99","","","","12/26/2023","$17.36","","","$10.63","","7","FBA","1","","Standard","8.74 x 3.19 x 17.2 in","2.07 lb","https://www.amazon.com/dp/B0CP27KQ1V"
"Lightweight Pickleball Paddle","","B0CNQJS7Z2","Pickleball Paddles Set of 2, Carbon Fiber Surface (CHS), Polypropylene Honeycomb Core, 2 Anti-Slip Sweat-Absorbing Grips, 4 Pickle Balls Outdoor and Indoor, Portable Carry Bag.","mklfbetter 4y","$39.99","","","$0.00","11/19/2023","$26.06","5","2","$13.93","638,464","8","FBA","1","Sports & Outdoors","Standard","9.84 x 3.14 x 17.71 in","0.8 kg","https://www.amazon.com/dp/B0CNQJS7Z2"
"Average Monthly Sales: 1,513","","B0821SMGFB","Selkirk Amped Pickleball Paddle | Fiberglass Pickleball Paddle with a Polypropylene X5 Core | Pickleball Rackets Made in The USA","Selkirk Sport","$150.00","672","24","$100,800","11/25/2019","$123.73","4.6","1,941","$26.27","8,819","7","FBA","2","Sports & Outdoors","Standard","12.24 x 1.89 x 17.83 in","0.31 kg","https://www.amazon.com/dp/B0821SMGFB"
"Average Revenue: $79,583","","B0CP261DSC","U-pick Pickleball Paddles Set of 2, Thickened Honeycomb Core Pickleball Racket with Pickleball Bag Pickleball Balls, Lightweight Easy Control for Men, Women, Beginners, Kids Black-A","U-pick","$27.99","","","","12/26/2023","$17.36","","","$10.63","","7","FBA","1","","Standard","8.86 x 3.15 x 16.73 in","2.07 lb","https://www.amazon.com/dp/B0CP261DSC"
"Average Price: $63.12","","B0CHS9HZTQ","OXIKEN 10/13/16 mm Pickleball Paddles 2024 USAPA Approved T700 Carbon Fiber Pickle Paddle (CFS), High Grit & Spin, Honeycomb Core, 5.5 Elongated Handle, Anti Slip Sweat Absorbing Grip with Cover Case","SS OXIKEN","$79.99","1,140","38","$91,189","06/22/2023","$59.76","4.6","120","$20.23","5,115","7","","1","Sports & Outdoors","Standard","9 x 4 x 17 in","2 lb","https://www.amazon.com/dp/B0CHS9HZTQ"
"Average No. of Ratings: 962","","B0CFXC94BS","Pickleball Paddles Set of 2 or 4, USAPA Approved Pickleball Paddles Set with 4 Pickleball Balls and Pickleball Carry Bag, Fiberglass Pickleball Paddles Rackets Set Gifts for Unisex Beginners&Pros","Mayboom","$20.98","1,986","123","$41,666","08/14/2023","$9.60","4.8","306","$11.38","1,053","7","FBA","2","Sports & Outdoors","Standard","10.04 x 3.43 x 17.04 in","1.01 kg","https://www.amazon.com/dp/B0CFXC94BS"
"Average Sales Rank: 57,796","","B0BYKXC974","JOOLA Journey Pickleball Paddle  Fiberglass Graphite Surface for More Power  Lightweight Pickleball Paddle w/Increased Control - Multiple Colors & Designs - USAPA Approved","JOOLA","$65.75","693","20","$45,565","05/01/2023","$54.26","4.6","225","$11.50","10,651","7","AMZ","6","Sports & Outdoors","Standard","9.84 x 2.2 x 17.91 in","0.28 kg","https://www.amazon.com/dp/B0BYKXC974"
"Average Rating Number: 4.7","","B0CJ633PQC","Pickleball Set USAPA Approved, Neon Color Pickleball Paddles Set of 4, Paddle for Pickle Ball, Pickleball Sets with 4 Grip Tapes & Zip-up Bag, Pickle Ball Paddle Set of 4, Pickleball Rackets Equipment","GOALSO","$99.99","60","2","$5,999","09/14/2023","$73.61","4.1","16","$26.38","106,666","6","FBA","1","Sports & Outdoors","Standard","9.73 x 3.82 x 17.38 in","1.31 kg","https://www.amazon.com/dp/B0CJ633PQC"
"","","B0CH9CG6F5","FULL CHOICE Pickleball Paddles, Micro Abraded Fiberglass Surface, USAPA Standard, Come with Balls, Bag and Grip Tapes, 2 or 4 Paddles Set, Multiple Styles Available","Full Choice","$29.99","90","3","$2,699","09/04/2023","$19.06","4.9","38","$10.93","77,854","7","FBA","1","Sports & Outdoors","Standard","8.86 x 16.9 x 3.35 in","2.1 lb","https://www.amazon.com/dp/B0CH9CG6F5"
"","","B0CBTQTJ4T","Pickleball Paddles, USAPA Approved Fiberglass Surface Pickleball Set with 2 Pickleball Rackets,4 Pickleball Balls,1 Portable Carry Bag,Pickle Ball Paddle Set for Men Women","MTEN","$39.99","10,812","375","$432,372","07/13/2023","$26.36","4.9","134","$13.63","147","7","FBA","5","Sports & Outdoors","Standard","9.13 x 3.23 x 16.97 in","0.94 kg","https://www.amazon.com/dp/B0CBTQTJ4T"
