"Export time:  1/29/2024, 6:06:13 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08VPFB5G3","Amazon Basics Mesh Desk Office Organizer, Black, 9.25' x 4.53' x 3.94'","Amazon Basics","$16.78","5,512","159","$92,491","09/24/2021","$9.74","4.7","10,102","$7.04","1,199","5","AMZ","2","Office Products","Standard","4.53 x 3.94 x 9.25 in","12.3 oz","https://www.amazon.com/dp/B08VPFB5G3"
"Mesh Desk Organizer","","B0C8LVF7Z6","SHANSVYE 4-Tier Paper Letter Tray Organizer with File Holder, Desk Organizer with Drawer and Pen Holder, Mesh Desktop Storage with Magazine Holder for Office Supplies (Black)","SHANSVYE","$19.99","217","6","$4,338","07/19/2023","$9.96","4.5","46","$10.03","40,173","6","FBA","1","Office Products","Standard","12.52 x 4.8 x 13.23 in","3.69 lb","https://www.amazon.com/dp/B0C8LVF7Z6"
"Average Monthly Sales: 1,244","","B0B59MF971","Simple Houseware SHW 6-Compartment Desktop Organizer with Drawer, Black","Simple Houseware","$14.87","117","3","$1,740","06/27/2022","$5.91","4.4","133","$8.96","74,291","5","FBA","1","Office Products","Standard","6.3 x 10.7 x 9.75 in","2.7 lb","https://www.amazon.com/dp/B0B59MF971"
"Average Revenue: $27,841","","B06ZZY3YBV","SimpleHouseware Mesh Desk Organizer with Sliding Drawer, Double Tray and 5 Stacking Sorter Sections, Black","Simple Houseware","$24.97","218","10","$5,443","04/18/2017","$13.89","4.6","10,158","$11.08","22,707","6","FBA","2","Office Products","Standard","9.4 x 6.7 x 13.4 in","4.85 lb","https://www.amazon.com/dp/B06ZZY3YBV"
"Average Price: $22.60","","B0C6QMPX37","Marbrasse Mesh Pen Holder for Desk, Desk Organizer with Drawer, Multi-Functional Pencil Organizer, Desk Organizers and Accessories for Office Art Supplies (Black)","Marbrasse","$20.99","2,183","88","$45,821","05/30/2023","","4.4","376","","2,544","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6QMPX37"
"Average No. of Ratings: 2,153","","B0BBD548CF","SUPEASY Mesh Desk Organizer with File Holder, 5-Tier Paper Letter Tray Organizer with Magazine Holder, Desktop Organizer and Storage with Drawer for Office Supplies Home or School, Black","SUPEASY","$25.40","1,172","34","$29,769","08/20/2022","$6.26","4.5","589","$19.14","7,172","6","FBA","2","Office Products","Oversize","12.01 x 11.02 x 15.94 in","4 lb","https://www.amazon.com/dp/B0BBD548CF"
"Average Sales Rank: 21,064","","B0BPLMQGZ8","MPVWM Mesh Desk Organizer with File Holder, 5-Tier Paper Letter Tray Organizer with Magazine Holder, Desktop Organizer and Storage with Drawer and 2 Pen Holder for Home and Office Supplies","MPVWM","$28.99","87","4","$2,522","12/08/2022","","4.7","108","","56,400","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BPLMQGZ8"
"Average Rating Number: 4.6","","B07D5MKDQP","Simple Houseware Desk Organizer 3 Tray w/Sliding Drawer, Hanging File Holder and Pen Holder Accessory, Black","Simple Houseware","$24.97","373","15","$9,314","05/17/2018","$14.19","4.6","10,327","$10.78","16,150","6","FBA","2","Office Products","Standard","11.732 x 12.992 x 4.803 in","4.696 lb","https://www.amazon.com/dp/B07D5MKDQP"
"","","B01K07MYA6","SimpleHouseware 6 Trays Desktop Document Letter Tray Organizer, Black","Simple Houseware","$19.87","241","9","$4,789","08/07/2016","$10.16","4.7","6,942","$9.71","25,890","5","FBA","1","Office Products","Standard","12.4 x 15.9 x 1.8 in","4.601 lb","https://www.amazon.com/dp/B01K07MYA6"
"","","B07WFZFLH9","deli Mesh Desk Organizer Office Supplies Caddy with Pencil Holder and Storage Baskets for Desktop Accessories, 3 Compartments, Black","deli","$14.99","724","24","$10,853","08/15/2019","$9.12","4.7","3,299","$5.87","10,431","6","FBM","5","Office Products","Standard","7.087 x 9.646 x 5.118 in","0.483 lb","https://www.amazon.com/dp/B07WFZFLH9"
