"Export time:  1/30/2024, 7:53:18 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07RGHT11D","SUNEE Multisize Mesh Zipper Pouches (Black, 21 Packs), Water-Resistant Zip Bag for School Office Supplies, Puzzles & Games Organizing Storage","SUNEE","$9.99","8,824","505","$88,152","06/18/2019","$4.15","4.7","5,136","$5.84","201","7","FBA","1","Office Products","Standard","2.36 x 0.5 x 4.72 in","14.4 oz","https://www.amazon.com/dp/B07RGHT11D"
"Mesh Zipper Pouch","","B0CN3HXCHS","Fainne 100 Pcs Mesh Zipper Pouch, A5 Waterproof Plastic Pouches, 7.1' x 9.5' Travel Pouch Storage Bags with Zipper PVC Pouches Multipurpose Document Bags for Classroom Office Home (Bright Colors)","Fainne","$35.99","87","4","$3,131","11/09/2023","$24.16","","","$11.83","56,298","7","FBA","1","Office Products","Standard","10.31 x 3.78 x 12.01 in","3.83 lb","https://www.amazon.com/dp/B0CN3HXCHS"
"Average Monthly Sales: 1,874","","B0CC67GJSK","24pcs Mesh Zipper Pouch Bags - 8 Sizes Plastic Zipper Pouches for Organization, Mesh Bags with Zipper, Waterproof Clear Travel Pouches, UMETDO File Bag with Zipper for Office Supplies","UMETDO","$9.97","2,175","70","$21,685","08/24/2023","$3.95","4.6","174","$6.02","3,325","7","FBA","1","Office Products","Standard","1.38 x 11.4 x 7 in","15.2 oz","https://www.amazon.com/dp/B0CC67GJSK"
"Average Revenue: $26,151","","B0BZSDWPQV","Oaimyy-24PCS-3'x 5' inchs-Mesh Zipper Pouch, Plastic Zip File Folders Puzzle Bags for Organizing,Office Supplies,Travel,Home Storage-Black","Oaimyy","$12.95","287","10","$3,717","03/27/2023","$7.47","4.4","24","$5.48","24,016","6","FBA","1","Office Products","Standard","5.28 x 1.85 x 7.52 in","1.6 oz","https://www.amazon.com/dp/B0BZSDWPQV"
"Average Price: $16.81","","B087WHHHJQ","EOOUT 30pcs Mesh Zipper Pouch, Waterproof Zipper Bags, 8 Sizes, 8 Colors, Multipurpose for Travel, School Supplies, Office Appliances and Home Organization","EOOUT","$15.99","9,596","379","$153,440","04/29/2020","$8.45","4.8","6,008","$7.54","327","7","FBA","1","Office Products","Standard","9.84 x 0.79 x 11.81 in","1.5 lb","https://www.amazon.com/dp/B087WHHHJQ"
"Average No. of Ratings: 1,380","","B0BRXXPGQW","LANDNEOO 30 PCS Mesh Zipper Pouch, [ A 4 Size ] 13.3 x 9.3 Plastic Waterproof Zipper Bags, Large Mesh Bags for Travel Items Organizing Storage, Home Office Supplies","LANDNEOO","$14.99","2,345","87","$35,152","01/08/2023","$7.60","4.6","106","$7.39","2,577","7","FBA","1","Office Products","Standard","11.5 x 1.5 x 14.5 in","1.98 lb","https://www.amazon.com/dp/B0BRXXPGQW"
"Average Sales Rank: 21,432","","B07PMM5WNN","SUNEE Plastic Mesh Zipper Pouch 9x13 in (Black, 18 Packs),Extra Large Water-Resistant Zip Bag for School Office Supplies, Puzzles & Games Organizing Storage","SUNEE","$9.99","4,481","181","$44,765","03/13/2019","$3.35","4.7","6,319","$6.64","1,005","7","FBA","1","Office Products","Standard","9.4 x 0.19 x 13.3 in","1.17 lb","https://www.amazon.com/dp/B07PMM5WNN"
"Average Rating Number: 4.7","","B08M425D96","SUNEE Mesh Zipper Pouch 7x11 in (Black, 30 Packs), Mesh Bags with Zipper for School Office Supplies, Puzzles & Games, Travel Accessories, Waterproof Zipper Pouches for Organizing","SUNEE","$19.99","2,760","92","$55,172","10/27/2020","$11.85","4.7","2,708","$8.14","2,418","7","FBA","1","Office Products","Standard","9.84 x 2.09 x 12.4 in","1.41 lb","https://www.amazon.com/dp/B08M425D96"
"","","B075WNW8X4","Oaimyy-B6(5.5'x 7.5'),12 Pcs,Plastic Mesh Zipper Pouch Document Folders Bag Zip File Folders for School Office Supplies, Travel,Puzzles Games Organizing Storage-Black","Oaimyy","$14.86","960","36","$14,266","09/24/2017","$9.09","4.7","1,388","$5.77","6,798","6","FBA","2","Office Products","Standard","5.5 x 1.38 x 7.5 in","1.76 oz","https://www.amazon.com/dp/B075WNW8X4"
"","","B08V1F7P18","SUNEE Mesh Zipper Pouch 11x16 in (Black, 24 Packs),Extra Large Water-Resistant Zip Bag for School Office Supplies, Puzzles & Games Organizing Storage","SUNEE","$16.79","10,008","505","$168,034","01/25/2021","$8.48","4.7","5,136","$8.31","201","7","FBA","1","Office Products","Standard","13.19 x 1.5 x 17.36 in","2.09 lb","https://www.amazon.com/dp/B08V1F7P18"
"","","B093PWF1R6","Oaimyy-18 Pcs,5'x 7' Plastic Mesh Zipper Pouch Document Folders Bag Zipper Zip File Folders for Office Supplies, Travel,Organizing Storage (5'x 7', Black)","Oaimyy","$16.86","943","33","$15,899","04/27/2021","$10.56","4.6","591","$6.30","7,433","7","FBA","1","Office Products","Standard","5 x 1 x 7 in","7.4 oz","https://www.amazon.com/dp/B093PWF1R6"
"","","B07Q81JBNM","EOOUT 24pcs Mesh Zipper Pouch Puzzle Bag for Organizing Storage, A4, Letter Size, File Bags for School, Toys, Board Games and Office Supplies","EOOUT","$13.49","8,868","358","$119,629","03/31/2019","$5.68","4.8","10,745","$7.81","360","6","FBA","3","Office Products","Standard","11.34 x 2.17 x 15.63 in","1.65 lb","https://www.amazon.com/dp/B07Q81JBNM"
"","","B0C2H9NTSV","Mesh Zipper Pouch Bags, 36Pcs Zipper Pouches for Organizing, 8 Size 8 Color Waterproof Plastic Zipper Bag for Office School Supplies Game File Storage","TEELLA","$12.97","650","25","$8,431","05/13/2023","$5.88","4.7","64","$7.09","10,034","7","FBA","1","Office Products","Standard","8.82 x 2.2 x 12.09 in","1.57 lb","https://www.amazon.com/dp/B0C2H9NTSV"
"","","B0BRQ37G3G","150 Pack Pencil Pouch Bulk Mesh Zipper Pencil Cases 9.5 x 4.5 Inch Small Kids Clear Pencil Holder Storage Case Multipurpose Cosmetics Toiletry Bags for Office Supplies, Bill, File, Travel, Stationery","Harloon","$38.99","145","5","$5,654","01/04/2023","$26.41","4.5","16","$12.58","41,455","7","FBA","1","Office Products","Standard","11.02 x 4.69 x 12.64 in","4.29 lb","https://www.amazon.com/dp/B0BRQ37G3G"
"","","B0B612M47Y","Handepo 100 Pack Mesh Zipper Pouch Pencil Pouches Bulk Clear File Bag Waterproof Document Pouch Multipurpose for Office Travel Puzzles Games Organizing (White Pouch Black Zipper, A6/9.45x4.53in)","Handepo","$30.99","83","5","$2,572","07/06/2022","$20.55","4.9","19","$10.44","43,469","6","FBA","1","Office Products","Standard","7.13 x 3.86 x 11.69 in","2.89 lb","https://www.amazon.com/dp/B0B612M47Y"
"","","B0CJTVVC5K","EOOUT 28pcs Mesh Zipper Pouch, 9.5x7.1 in, 14 Colors Zipper Bags for Organizing Storage, Waterproof Puzzle Bag, Zipper File Bags for Board Games and School Office Supplies","EOOUT","$12.99","120","4","$1,559","09/25/2023","$5.90","5","1","$7.09","54,028","6","FBA","1","Office Products","Standard","8.66 x 1.97 x 10.63 in","1.09 lb","https://www.amazon.com/dp/B0CJTVVC5K"
"","","B071J3PS3S","EOOUT 10pcs Mesh Zipper Pouch Bags for Organizing 9.4x13.4 Puzzle Project Bags for Cross Stitch and Organizing Storage, Letter Size A4 Size for Travel and Office Supplies","EOOUT","$9.99","1,341","23","$13,397","05/23/2017","$4.72","4.7","1,841","$5.27","10,660","6","FBA","1","Office Products","Standard","10 x 1.2 x 14 in","10.8 oz","https://www.amazon.com/dp/B071J3PS3S"
