"Export time:  2/8/2024, 3:51:55 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CLYNX6QX","Drimzate Shovel Holder for Truck,4 Pcs Shovel Mount for Roof Truck,Metal Rubber Clamps for Roof Rack, Truck, Boats and Family Workshop Tools(Orange)","","$32.99","","","","","","5","1","","347,223","","FBA","","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CLYNX6QX"
"Metal Rubber Clamps","","B0CN2S1MWP","4 Pack Shovel Mount for Roof Rack, Metal Rubber Clamp Wall Mounting Brackets, Durable Axe Holder Clamp Mount Kit for Truck, Roof Rack, Boats, Axe and Family Workshop Tools","Hdennmat","$36.99","","","$0.00","12/24/2023","","","","","442,466","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CN2S1MWP"
"Average Monthly Sales: 551","","B0CF2J4LX1","RAAON Cable Clamps 42PCS - 304 Stainless Steel Rubber Cushion Pole Clamps - Wire Clamps in 6 Sizes 1/4'' 5/16'' 3/8'' 1/2'' 5/8'' 3/4''- Ideal for Metal Electric Wires, Fuel line Hose & Automotive","Raaon","$13.94","180","6","$2,509","08/07/2023","$6.85","4.9","36","$7.09","56,213","6","FBA","1","Tools & Home Improvement","Standard","5.2 x 1.57 x 7.68 in","1.1 lb","https://www.amazon.com/dp/B0CF2J4LX1"
"Average Revenue: $8,821","","B0CD1K2RBQ","Saillong Shovel Mount for Roof Rack, Metal Rubber Clamps, Wall Mounting Brackets, Quick Release Axe Holder Mount Kit, Car Accessories for Roof Rack Truck Boats Military Equipment and Tools(2 Pcs)","Saillong","$17.99","443","17","$7,970","07/27/2023","$11.52","4.4","48","$6.47","21,265","7","FBA","1","Tools & Home Improvement","Standard","3.82 x 1.42 x 5.12 in","10.2 oz","https://www.amazon.com/dp/B0CD1K2RBQ"
"Average Price: $17.55","","B0CMHPRKWN","Saillong Shovel Mount for Roof Rack, Metal Rubber Clamps, Wall Mounting Brackets, Quick Release Axe Holder Mount Kit, Car Accessories for Roof Rack Truck Boats Military Equipment and Tools (8 Pcs)","Saillong","$56.99","449","17","$25,589","11/02/2023","$42.65","4.4","48","$14.34","21,265","7","FBA","1","Tools & Home Improvement","Standard","6.02 x 1.65 x 8.66 in","2.66 lb","https://www.amazon.com/dp/B0CMHPRKWN"
"Average No. of Ratings: 463","","B0C55CV8ZD","OURU 125PCS Cable Clamp,12 Sizes Stainless Steel Rubber Coated Cushioned Insulated Cable Clamps Assortment Kit-Metal Wire Clamps,Cable Clips,Pipe Clamps","OURU","$42.99","415","13","$17,841","05/12/2023","$30.11","4.8","93","$12.88","27,263","7","FBA","1","Tools & Home Improvement","Standard","7.87 x 2.28 x 11.81 in","3.98 lb","https://www.amazon.com/dp/B0C55CV8ZD"
"Average Sales Rank: 109,778","","B0CF2LFXV8","RAAON Cable Clamps 80PCS - 304 Stainless Steel Rubber Cushion Pole Clamps - Wire Clamps in 6 Sizes 1/4'' 5/16'' 3/8'' 1/2'' 5/8'' 3/4'' - Ideal for Metal Electric Wires, Fuel line Hose & Automotive","Raaon","$22.94","162","6","$3,716","08/07/2023","$13.71","4.9","36","$9.23","56,213","6","FBA","1","Tools & Home Improvement","Standard","7.01 x 1.85 x 10.67 in","2.07 lb","https://www.amazon.com/dp/B0CF2LFXV8"
"Average Rating Number: 4.7","","B0B1H55XZZ","OURU 30pcs 3/8 Inch Stainless Steel Cable Clamps,Rubber Coated Cushioned Insulated Cable Clamp,Automotive Cable Wire Clamps,Pipe Clamps,Metal Clamp for Tube,Lines,Wire Cord Installation(Black,10mm)","OURU","$13.99","2,079","89","$29,085","05/16/2022","$8.12","4.7","597","$5.87","3,303","7","FBA","1","Tools & Home Improvement","Standard","4 x 3.75 x 4 in","10.4 oz","https://www.amazon.com/dp/B0B1H55XZZ"
"","","B01MSJMHF1","Cable Clamp, Lokman 12 Pack 1.5 Inch Stainless Steel Cable Clamp, Pipe Clamp, Metal Clamp, Rubber Cushioned","LOKMAN","$12.99","771","27","$10,015","10/10/2017","$8.12","4.7","3,261","$4.87","13,337","6","FBA","1","Tools & Home Improvement","Standard","1 x 0.5 x 1 in","0.64 oz","https://www.amazon.com/dp/B01MSJMHF1"
"","","B0CJ559P42","AKIHISA 56pcs Cable Clamps Assortment Kit, 7 Sizes 1/4' 5/16' 3/8' 1/2' 5/8' 3/4' 1' 304 Stainless Steel Rubber Coated Cushioned Insulated Cable Clamp, Metal Clamp, Pipe Clamp for Pipes and Hoses","AKIHISA","$16.99","150","5","$2,548","11/05/2023","","4.9","80","","74,289","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CJ559P42"
"","","B0BM46BRPV","PADTON 25 Pack 1/2 Inch Stainless Steel Cable Clamps, Metal Pipe Clamps Wire Clamps Conduit clamps for Tube, Pipe or Wire Loom Installation, Rubber Cussioned","PADTON","$12.99","234","5","$3,040","11/10/2022","$7.27","4.8","78","$5.72","68,539","6","FBA","1","Tools & Home Improvement","Standard","3.94 x 1.65 x 5.39 in","7 oz","https://www.amazon.com/dp/B0BM46BRPV"
"","","B01HPE185E","LOKMAN 20 Pack 1 Inch Stainless Steel Cable Clamp, Rubber Cushioned Insulated Clamp, Metal Clamp, Tube Holder for Tube, Pipe or Wire Cord Installation","LOKMAN","$15.99","3,627","142","$57,996","06/27/2016","$10.05","4.7","4,929","$5.94","1,767","6","FBA","1","Tools & Home Improvement","Standard","1 x 1 x 2 in","0.64 oz","https://www.amazon.com/dp/B01HPE185E"
"","","B0C5TL23NF","20 Pcs 2' inch Metal Spring Clamps, Heavy Duty Spring Metal Clips Clamps, Tent Clips with Rubber Tips for Woodworking Camping Home Improvement Photography Projects","Siyurongg","$6.99","483","14","$3,376","05/19/2023","$2.17","4.2","72","$4.82","25,526","7","FBA","1","Tools & Home Improvement","Standard","4.06 x 0.98 x 7.13 in","6.5 oz","https://www.amazon.com/dp/B0C5TL23NF"
"","","B07V2YBDS5","ISPINNER 52pcs Cable Clamps Assortment Kit, 304 Stainless Steel Rubber Cushion Pipe Clamps in 6 Sizes 1/4' 5/16' 3/8' 1/2' 5/8' 3/4'","ISPINNER","$14.99","736","35","$11,033","07/06/2019","$7.60","4.7","2,086","$7.39","9,978","7","FBA","1","Tools & Home Improvement","Standard","5.47 x 1.42 x 7.64 in","1.14 lb","https://www.amazon.com/dp/B07V2YBDS5"
