"Export time:  2/1/2024, 1:42:37 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08CHH5328","Valante Set of Adult Game Toys Microfiber Drawstring Storage Bags (Large size set)","Valante","$18.99","1,350","37","$25,636","07/06/2020","$13.07","4.8","2,107","$5.92","21,248","6","FBA","1","Health & Household","Standard","0.2 x 12 x 9 in","7 oz","https://www.amazon.com/dp/B08CHH5328"
"Microfiber Drawstring","","B09QCQWXHT","Flutesan 6 Pieces Adult Toy Storage Bag Microfiber Ski Goggle Bag Sunglasses Pouch Case Foldable Adjustable Drawstring Bag (9 x 11.8 Inch)","Flutesan","$12.99","207","7","$2,689","01/12/2022","$7.27","3.9","77","$5.72","122,238","7","FBA","1","Clothing, Shoes & Jewelry","Standard","9.65 x 11.85 x 0.98 in","0.509 lb","https://www.amazon.com/dp/B09QCQWXHT"
"Average Monthly Sales: 352","","B0B9BKZMSV","Hillban 20 Pcs Adult Game Toy Storage Bags Microfiber Drawstring Bags Adjustable Toys Organizer Foldable Ditty Bag Pouch Case for Game Toy Cosmetic, 3 Sizes (Pink)","","$17.99","360","12","$6,476","","","4.8","76","","49,639","","FBA","","Health & Household","","","","https://www.amazon.com/dp/B0B9BKZMSV"
"Average Revenue: $7,536","","B07SJHHRLT","Mamlyn Sunglasses Pouch Soft Slim Glasses and Phone Case with Drawstring Closure","Mamlyn","$7.99","1,080","36","$8,629","10/27/2018","$3.87","4.7","3,753","$4.12","26,008","","FBA","1","Clothing, Shoes & Jewelry","Standard","3.937 x 7.087 x 0.039 in","0.221 lb","https://www.amazon.com/dp/B07SJHHRLT"
"Average Price: $16.59","","B08CHGTZD3","Valante Set of Adult Game Toys Microfiber Drawstring Storage Bags (XL size set)","Valante","$19.99","1,336","37","$26,707","07/06/2020","$14.07","4.8","2,107","$5.92","21,248","5","FBA","1","Health & Household","Standard","0.2 x 15 x 12 in","5.9 oz","https://www.amazon.com/dp/B08CHGTZD3"
"Average No. of Ratings: 1,658","","B0BCK8RTX2","Konohan Toy Storage Bag Adult Microfiber Drawstring Bags Adjustable Small Cloth Pouch Foldable Ditty Bag for Game Toy Cosmetic Glass (Purple,Mixed Sizes)","Konohan","$16.99","243","9","$4,129","08/30/2022","$10.67","4.7","142","$6.32","63,372","7","FBA","1","Health & Household","Standard","5.51 x 1.85 x 8.19 in","7.37 oz","https://www.amazon.com/dp/B0BCK8RTX2"
"Average Sales Rank: 395,775","","B09Y29TFFB","PATIKIL 30x20cm Microfiber Pouch, 2Pcs Soft Storage Drawstring Gift Bag for Glasses Wedding, Brown","","$6.99","","","","","","4.1","7","","295,264","","FBA","","Health & Household","","","","https://www.amazon.com/dp/B09Y29TFFB"
"Average Rating Number: 4.5","","B077XFFMQL","Lens Jammies Microfiber Drawstring Bags (Variety Pack)","ShutterBands","$20.00","30","1","$600.00","11/30/2017","$13.46","4.5","61","$6.54","569,422","5","FBA","1","Clothing, Shoes & Jewelry","Standard","6 x 1 x 9 in","0.31 lb","https://www.amazon.com/dp/B077XFFMQL"
"","","B08RHGQ72X","GUOQING Hanging Neck Microfiber Pouch - Cell Phone Soft Storage Bag Microfiber Glasses Sleeve Pouch Sunglasses Bag","GUOQING","$6.99","60","2","$419.40","05/08/2022","$2.40","4.4","175","$4.59","378,896","6","FBA","3","Clothing, Shoes & Jewelry","Standard","4.409 x 7.362 x 1.378 in","0.042 lb","https://www.amazon.com/dp/B08RHGQ72X"
"","","B0CQYNJQH9","Nuogo 30 Pcs Microfiber Drawstring Bags 3 Sizes Adult Toy Drawstring Bags, Microfiber Pouch Stuff Bags Drawstring Storage Bags for Jewelry Pouches Wedding Candy Gift Bags Lipstick Cosmetic (Black)","Nuogo","$26.99","60","2","$1,619","12/25/2023","","","","","150,076","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CQYNJQH9"
"","","B07FN4VCHV","Mandala Crafts 4mm 30 Yards Navy Blue Soft Drawstring Replacement Rope Upholstery Crochet Macram Cotton Welt Trim Piping Cord","Mandala Crafts","$11.99","780","26","$9,352","09/26/2016","$6.65","4.5","1,352","$5.34","5,227","6","FBA","1","Arts, Crafts & Sewing","Standard","2.5 x 4.5 x 2.5 in","0.273 lb","https://www.amazon.com/dp/B07FN4VCHV"
"","","B0CF2LPVFH","6 Pack Toy Storage Bag Adult Silk Drawstring Storage Bags Toys Organizer Multi Purpose Bags for Woman Man Couples, Game Toy, Travel, Camping, Cosmetic","GONGKANGYUAN","$16.99","164","4","$2,786","08/07/2023","","5","1","","100,970","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CF2LPVFH"
