"Export time:  1/30/2024, 5:20:47 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CLDN9Z9J","8 Tier Mobile Book Cart with Wheels: Rolling Bookshelf with Storage, Movable Bookshelf for Kids, Metal Bookcase for Living Room, Study, Office, Library","Feyejade","$39.99","171","5","$6,838","10/18/2023","","5","8","","41,796","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CLDN9Z9J"
"Movable Storage Book Shelves","","B0CCGG9TSY","Bookshelves and Bookcases on Wheels: Rolling File Folder Rack & Office Shelf Organizer - Movable Bookshelf for Kids Room, Home School Classroom & Bedroom-Desk Organizers and Storage to Organize Home","Generic","$44.99","115","2","$5,174","07/19/2023","","4","21","","302,019","8","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCGG9TSY"
"Average Monthly Sales: 2,207","","B0CNGK1V6Y","Rolling File Cart 6 Tier File Organizer Cart,Rolling Office Cart Homeschool Organization,Paper Organizer Desk Beside Mobile Bookshelf,Wood and Mesh Design with Detachable Wheels Removable Trays","Dmevkic","$39.99","113","6","$4,519","11/15/2023","$9.47","","","$30.52","39,706","6","FBA","1","Office Products","Oversize","11.2 x 33 x 15.7 in","14.32 lb","https://www.amazon.com/dp/B0CNGK1V6Y"
"Average Revenue: $96,787","","B0CM66YFMP","Lemiran Storage Cubes Baskets For Shelves,Fabric Storage Bins For Organizing Clothing, Sheets, Toys, Books,Large Sturdy Collapsible Storage Box With Handles,18.9117.9in Closet Bins,Pack Of 3","Lemiran","$21.99","120","4","$2,639","10/30/2023","$5.42","5","2","$16.57","205,215","7","FBA","1","Home & Kitchen","Oversize","11 x 7.9 x 18.9 in","3.08 lb","https://www.amazon.com/dp/B0CM66YFMP"
"Average Price: $51.05","","B0CR9ZKNPQ","ARNUZ Movable Bookshelf Cart, Bookcase with Wheels 2 Tiers, Movable Storage Book Shelves, Multi-Functional Mobile Book Cart Organizer for Bedroom Living Room Home School, Kids Children Students","ARNUZ","$16.21","","","","","","","","","1,568,591","","FBM","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CR9ZKNPQ"
"Average No. of Ratings: 2,701","","B0C3BMRC32","Mobile Bookshelf With Wheels Movable Bookshelf Cart Rolling Bookshelf,Movable Bookshelf Storage Organizer Shelf Rotating Stable Structure Compact (6 Layer)","Naroote","$61.67","","","$0.00","04/22/2023","","2.7","4","","1,534,206","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3BMRC32"
"Average Sales Rank: 1.44M","","B0C15ZMNYV","Tnfeeon Movable Bookshelf, Large Capacity Plastic Compact Stable Structure Storage Organizer Shelf for Office (5 Layer)","Tnfeeon","$61.78","","","","","","5","1","","","","FBA","","","","","","https://www.amazon.com/dp/B0C15ZMNYV"
"Average Rating Number: 4.2","","B0CST4SXHG","Qeelee 2-Tier Rolling Utility Cart with Wheels Movable Storage Book Shelves Craft Storage Organizer Mobile Shelving Unit Storage Rolling Utility Cart for Kitchen, Bedroom, Bathroom, Living Room","Qeelee","$17.47","","","","","","","","","","","FBM","","","","","","https://www.amazon.com/dp/B0CST4SXHG"
"","","B0C9FJF1XP","GLOGLOW 5 Tier Book Rack Storage Bookshelf, Large Capacity Movable Plastic Bookshelf Rotatable Removable Plastic Storage Shelf for Bedroom Living Room Home School ()","GLOGLOW","$77.94","","","$0.00","06/24/2023","","","","","3,659,368","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9FJF1XP"
"","","B0CPDXZ82R","COAVODQ Book Cart with Wheels Mobile Bookshelf Rolling Bookshelf Organizer Bookcase Book Storage Rack, Book Movable Rolling Carts with Wheels for Home Sclool Office 5-Tier","COVAODQ","$54.99","273","8","$15,012","12/03/2023","","5","3","","107,792","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CPDXZ82R"
