"Export time:  2/8/2024, 3:38:38 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09NM5H9ZV","Vplus 100% Compostable Oval Paper Plates 12 inch 125 Pack Super Strong Disposable Paper Plates Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates for BBQ, Party, Dinner, and Picnic","Vplus","$39.99","985","40","$39,390","12/13/2021","","4.5","584","","19,978","6","FBA","3","Health & Household","","","","https://www.amazon.com/dp/B09NM5H9ZV"
"Natural Disposable","","B0B3JFK95T","Vplus 100% Compostable Oval Paper Plates 12 inch 120 Pack Super Strong Disposable Dinner Plates Natural Biodegradable Eco-Friendly Sugarcane Plates for BBQ, Party, Gathering, and Picnic","Vplus","$36.99","492","13","$18,199","06/07/2022","","4.6","255","","46,282","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0B3JFK95T"
"Average Monthly Sales: 1,687","","B0CGV7BVM6","FEHHTO 100% Compostable Oval Paper Plates, 12.5Inch 50Pack Disposable Heavy Duty Bagasse Platters Eco-Friendly Biodegradable Sugarcane Plates for BBQ, Party, Picnic - Natural Brown","FEHHTO","$18.99","78","4","$1,481","08/28/2023","","4.7","54","","113,379","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CGV7BVM6"
"Average Revenue: $35,658","","B091CCS36H","Vplus 150 Pack Compostable Disposable Paper Plates 10 inch Super Strong 100% Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates(nature)","Vplus","$29.99","6,667","226","$199,943","03/29/2021","$17.86","4.6","1,985","$12.13","4,043","6","FBA","1","Health & Household","Standard","10.4 x 7.48 x 10.4 in","7.16 lb","https://www.amazon.com/dp/B091CCS36H"
"Average Price: $25.08","","B07MQG9H6R","100% Compostable Paper Plates, Heavy Duty Disposable Plates [125-Pack] 9 Inch Plates - Eco-Friendly, Biodegradable Sugarcane Bagasse, Natural Unbleached Brown 9' Dinner Paper Plate Disposable","Stack Man","$21.99","19,241","649","$423,110","01/09/2019","$15.77","4.7","20,325","$6.22","1,182","7","FBA","1","Health & Household","Standard","9 x 0.5 x 9 in","0.01 oz","https://www.amazon.com/dp/B07MQG9H6R"
"Average No. of Ratings: 1,468","","B0C5MGG3PC","JOYFULOCEAN Paper Plates, 125 Count Compostable Paper Plates, 7 Inch Heavy-Duty 100% Bagasse Natural Disposable Plates for Party, Biodegradable Eco-Friendly Sugarcane Fibers Party Plates","JOYFULOCEAN","$14.99","1,236","41","$18,528","06/16/2023","","4.7","113","","19,452","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0C5MGG3PC"
"Average Sales Rank: 80,883","","B0CM3DS2BP","Tiaiidi 200 Pack Compostable Natural Paper Bowls,8 oz Disposable Paper Bowls,Eco-Friendly Sugarcane Bowls,Heavy Duty Small Bagasse Bowls for Salad,Snack,Soup,Party Serving Treats","Tiaiidi","$19.99","1,175","54","$23,488","10/29/2023","","4.1","462","","15,650","7","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CM3DS2BP"
"Average Rating Number: 4.5","","B09ZMSFPCW","Reli. Compostable Paper Plates, 10 Inch (130 Pack Bulk) | 3-Compartment | Brown Disposable Plates 10' | Heavy Duty Paper Plates, Sectioned | Made of Sugarcane Fibers/Bagasse - Biodegradable | Natural","Reli.","$26.99","","","$0.00","05/14/2023","","4.9","31","","345,405","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B09ZMSFPCW"
"","","B091CBCQB1","Vplus 150 Pack Compostable Disposable Paper Plates made of 100% Bagasse Natural Biodegradable Eco-Friendly Sugarcane, Super Strong, 10 inch (white)","Vplus","$29.99","6,398","226","$191,876","03/29/2021","$17.86","4.6","1,985","$12.13","4,043","6","FBA","2","Health & Household","Standard","10.63 x 10.669 x 7.52 in","7.057 lb","https://www.amazon.com/dp/B091CBCQB1"
"","","B0CBJG3C43","Vplus 125 Pack 6 inch Paper Plates 100% Compostable Plates Heavy-Duty Disposable Small Paper Plates Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates(Nature)","Vplus","$11.47","3,307","198","$37,931","07/09/2023","","4.6","495","","4,630","6","FBA","2","Health & Household","","","","https://www.amazon.com/dp/B0CBJG3C43"
"","","B07X5265HW","Paper Bowls, 100% Compostable Disposable Soup Bowl [125-Pack] - (PFAS-Free) - (BPI Certified) - [12 oz] Heavy Duty, Eco-Friendly, Biodegradable Bagasse Hot Food Plates and Bowls - Natural Brown","Stack Man","$17.99","6,125","215","$110,189","08/26/2019","$9.50","4.7","9,025","$8.49","4,241","7","FBA","1","Health & Household","Standard","6.8 x 1.5 x 6.8 in","2.49 lb","https://www.amazon.com/dp/B07X5265HW"
"","","B0BZR41LBL","Cmkura 200 Pcs 4 oz Natural Sugarcane Biodegradable Bowls Disposable Paper Bowls Compostable Soup Bowls for Salad,Hot Soup,Pasta and Dessert","Cmkura","$17.99","398","17","$7,160","05/21/2023","","4.2","80","","39,476","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0BZR41LBL"
"","","B0BDRYBX1L","ECO SOUL 100% Compostable, Biodegradable, Disposable Palm Leaf Plates | Like Bamboo Plates, Eco-friendly 6' | Sturdy, Microwave & Oven Safe | Party, Wedding, Event Plates (100 Count 6', Square)","ECO SOUL","$47.49","617","19","$29,301","09/08/2022","","4.4","153","","35,375","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0BDRYBX1L"
