"Export time:  2/12/2024, 6:37:24 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B076KPCJL5","SMELLS BEGONE Air Freshener Pet Odor Absorber Gel - Made with Essential Oils - Absorbs and Eliminates Odor in Pet Areas, Bathrooms, Cars, & Boats - Calming Rain Scent - 15 Ounce - 2 Pack","SMELLS BEGONE","$16.95","1,500","50","$25,425","06/30/2017","$9.89","4","6,334","$7.06","16,496","6","FBA","2","Health & Household","Standard","3.9 x 3.8 x 7.5 in","15 oz","https://www.amazon.com/dp/B076KPCJL5"
"Odor Removal for Home & Pets","","B0BVGVCCDX","SilverWorks! Pet Odor Eliminator Spray For Home - Safe, Natural, Silver Ion Deodorizer - Cat, Dog Smell And Urine Odor Eliminator For Carpet, Furniture And Litter -16.9oz","SilverWorks!","$24.99","954","60","$23,840","12/15/2023","$16.10","4.8","22","$8.89","4,444","6","FBA","1","Pet Supplies","Standard","2 x 11 x 2 in","1.43 lb","https://www.amazon.com/dp/B0BVGVCCDX"
"Average Monthly Sales: 3,818","","B0CKGYMVYS","Thornell Odor Eliminator 128oz Concentrate  K.O.E. Apricot Odor Eliminator for Strong Odor for Cages, Runs & More  Pet Odor Eliminator for Home & Kennel w/Safe, Non-Enzymatic Formula","Odorcide","$89.95","","","","12/30/2023","","4.6","73","","","","FBA","1","","","","","https://www.amazon.com/dp/B0CKGYMVYS"
"Average Revenue: $106,480","","B06Y2GVCH1","SMELLS BEGONE Pet Odor Absorber Gel - Air Freshener & Odor Eliminator - Formulated for The Toughest Pet Odors - Fragrance Free - 15 Ounce - 2 Pack","AMERICAN KENNEL CLUB","$16.95","808","30","$13,696","04/03/2017","","4","946","","8,263","6","FBA","1","Pet Supplies","","","0.94 lb","https://www.amazon.com/dp/B06Y2GVCH1"
"Average Price: $20.94","","B08DTNC3VY","Arm & Hammer for Pets Air Care Pet Scents Deodorizing Gel Beads in Fresh Breeze | 12 oz Pet Odor Neutralizing Gel Beads with Baking Soda | Air Freshener Beads for Pet Odor Elimination (FF12689)","Arm & Hammer","$5.90","10,331","415","$60,953","07/27/2020","$0.50","4.1","4,351","$5.40","559","7","AMZ","2","Pet Supplies","Standard","3.5 x 3.5 x 4.3 in","12.8 oz","https://www.amazon.com/dp/B08DTNC3VY"
"Average No. of Ratings: 6,659","","B00OI20SXA","Angry Orange Pet Odor Eliminator for Home - 8oz Dog and Cat Pee Smell Remover for Carpet, Grass, Tile and Furniture - Citrus Concentrate, Makes 128oz of Liquid","ANGRY ORANGE","$22.07","45,074","1,721","$994,783","10/13/2014","$14.99","4.5","72,434","$7.08","67","6","FBA","1","Pet Supplies","Standard","2.3 x 2.3 x 4.6 in","8 oz","https://www.amazon.com/dp/B00OI20SXA"
"Average Sales Rank: 28,310","","B07643LGKT","Thornell Odor Eliminator Concentrate  K.O.E. Odor Eliminator for Strong Odor for Cages, Runs & More  Pet Odor Eliminator for Home & Kennel w/Safe, Non-Enzymatic Formula (Fresh Scent, 16 oz)","Odorcide","$24.95","5,368","180","$133,932","02/24/2013","$17.67","4.6","1,954","$7.28","1,500","7","FBA","7","Pet Supplies","Standard","1.75 x 8 x 4.25 in","0.01 oz","https://www.amazon.com/dp/B07643LGKT"
"Average Rating Number: 4.2","","B01G0FNOKQ","SMELLS BEGONE Pet Odor Absorber Gel - Air Freshener & Odor Eliminator - Made with Essential Oils - Fresh & Clean Scent - 15 Ounce","AMERICAN KENNEL CLUB","$9.95","768","30","$7,642","04/03/2017","$3.32","3.7","733","$6.63","8,263","6","FBA","1","Pet Supplies","Standard","3.583 x 3.74 x 3.583 in","1.049 lb","https://www.amazon.com/dp/B01G0FNOKQ"
"","","B08PJR6SVT","ANGRY ORANGE Pet Odor Eliminator for Strong - Citrus Deodorizer Dog or Cat Pee Smells on Carpet, Furniture & Indoor Outdoor Floors Puppy Supplies (24 Fl Oz + UV Flashlight)","ANGRY ORANGE","$28.99","3,463","90","$100,392","12/02/2020","$18.85","4.2","3,888","$10.14","3,055","6","FBA","1","Pet Supplies","Standard","8.15 x 3.66 x 11.54 in","1.94 lb","https://www.amazon.com/dp/B08PJR6SVT"
"","","B0723HRWJW","Nature's Miracle Advanced Dog Stain and Odor Eliminator Spray, Severe Mess Enzymatic Formula, 32 fl oz","Nature's Miracle","$13.55","16,114","583","$218,345","05/29/2017","$4.79","4.6","27,278","$8.76","356","6","AMZ","3","Pet Supplies","Standard","5.75 x 12.38 x 9.4 in","2.2 lb","https://www.amazon.com/dp/B0723HRWJW"
"","","B09RGLZTCQ","Enviroscent Non-Toxic Plug-in (2-Piece Set) Room & Home Air Freshener Kit Infused with Essential Oils | 1 Refillable Plug Hub & 1 Liquidless Scent Pods (Spring Water + Lotus)","Enviroscent","$13.99","4,368","124","$61,108","01/29/2022","$8.35","4","1,009","$5.64","7,372","6","FBA","1","Health & Household","Standard","8.5 x 2.83 x 10.08 in","5.61 oz","https://www.amazon.com/dp/B09RGLZTCQ"
"","","B0BSR9GQ3V","Fresh Wave Odor Removing Litter Box Gel, 7 oz. | Pack of 2 | Pet Odor Eliminator | Odor Absorbers for Home | Safer Odor Relief | Natural Plant-Based Odor Eliminator","Fresh Wave","$20.99","1,050","35","$22,040","01/19/2023","","4","197","","7,107","6","FBA","1","Pet Supplies","","","","https://www.amazon.com/dp/B0BSR9GQ3V"
"","","B0B3LSR3KQ","KLC Odor Eliminator for Pet Odor Home|Charcoal Stick-On Tag|2-pack|Deodorizer for Litter Box, Cat Box, Dog Crate|Cat Litter Area Air Freshener|Charcoal odor Absorber for Cat Odor & Dog Odor Home","Taiwan made","$12.95","74","3","$958.30","06/09/2022","$8.09","3.4","75","$4.86","41,485","7","FBA","2","Pet Supplies","Standard","2.36 x 0.12 x 3.94 in","0.01 oz","https://www.amazon.com/dp/B0B3LSR3KQ"
"","","B0CBNWFFBY","Kinderbean Dog and Cat Urine Stain and Odor Eliminator, Single 32 oz., Grapefruit & Thyme Scent, Enzyme Bio-Active Formula with Squeeze and Spray Top for Maximum Coverage & Performance","Kinderbean","$26.99","124","3","$3,347","12/07/2023","$17.15","4.4","65","$9.84","50,658","7","FBA","1","Pet Supplies","Standard","3 x 9 x 3 in","2.47 lb","https://www.amazon.com/dp/B0CBNWFFBY"
"","","B08D353QVL","CLEVAST Bamboo Charcoal Air Purifying Bags (Large, 4200g), Removes Odors and Moisture, Nature Fresh Air Purifier Bags, Odor Eliminator for Home, Car, Pets, Bathroom, Basement","CLEVAST","$13.98","4,890","139","$68,362","07/15/2020","$6.74","4.3","4,788","$7.24","6,597","7","FBA","3","Health & Household","Standard","1.57 x 5.59 x 6.81 in","1.85 lb","https://www.amazon.com/dp/B08D353QVL"
"","","B00F0LD7RM","Shout for Pets Turbo Oxy Urine Remover | Carpet Cleaner and Pet Odor Eliminator in Fresh Scent, 32 Oz | Fast, Easy, and Effective for Pet Odors in Homes","Shout","$7.99","511","18","$4,083","04/01/2014","$1.00","4.4","1,720","$6.99","12,678","7","AMZ","3","Pet Supplies","Standard","4 x 10 x 4 in","2.1 lb","https://www.amazon.com/dp/B00F0LD7RM"
