"Export time:  2/17/2024, 7:42:06 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09QPX2RVR","ROKNE Taktical Carbon Series, Pickleball Paddle, 3K Raw Carbon Fiber, Thermoformed Foam Lined Edge, 13MM or 16MM, USAPA Approved Pickleball Racket, High Grit Texture, Max Spin","Rokne","$89.99","90","3","$8,099","01/22/2022","$72.72","4.5","271","$17.27","76,974","7","FBA","1","Sports & Outdoors","Standard","9.02 x 3.86 x 17.6 in","0.27 kg","https://www.amazon.com/dp/B09QPX2RVR"
"Pickleball Paddle","","B0C52DBW1Z","2024 Pickleball Paddle from SLK by Selkirk | Evo Power, Hybrid & Control Paddles | Fiberglass Pickleball Paddle | Carbon Fiber Pickleball Paddle with SpinFlex Surface","Selkirk Sport","$99.99","3,083","94","$308,269","05/10/2023","$81.22","4.5","376","$18.77","1,562","7","FBA","4","Sports & Outdoors","Standard","12.87 x 1.73 x 17.95 in","0.31 kg","https://www.amazon.com/dp/B0C52DBW1Z"
"Average Monthly Sales: 1,357","","B0CGY61SDF","Pickleball Paddles, USAPA Approved Fiberglass Surface Pickleball Set with Pickleball Rackets, Pickle Ball Paddle Set of 2 for Men Women","JEWELOPORIUM","$59.99","","","$0.00","08/29/2023","$44.56","5","8","$15.43","351,344","6","FBA","1","Sports & Outdoors","Standard","9 x 3 x 16 in","2.2 lb","https://www.amazon.com/dp/B0CGY61SDF"
"Average Revenue: $100,077","","B0CQYMZ3PS","Pickleball Paddles Set of 2, USAPA Approved Fiberglass Pickleball Set for Beginners & Pros","MTEN","$39.99","90","1","$3,599","12/25/2023","$26.06","4.8","97","$13.93","200,425","6","FBA","1","Sports & Outdoors","Standard","9.17 x 3.27 x 16.85 in","1 kg","https://www.amazon.com/dp/B0CQYMZ3PS"
"Average Price: $94.26","","B0CF4NSP7P","Pickleball Paddle, USA Pickleball Approved, 3K Raw Carbon Fiber Surface (CFS) High Grit & Spin, with 16MM Polypropylene Honeycomb Core, Ideal for Novice and Professional Players","CZRR","$49.49","2,132","103","$105,513","06/29/2023","$34.51","4.5","72","$14.98","1,378","7","FBA","1","Sports & Outdoors","Standard","8.62 x 1.81 x 17.48 in","0.48 kg","https://www.amazon.com/dp/B0CF4NSP7P"
"Average No. of Ratings: 654","","B0BYV7P9X7","Pickleball Paddles, USAPA Approved Fiberglass Surface Pickleball Set with 2 Pickleball Rackets,4 Pickleball Balls,1 Portable Carry Bag,Pickle Ball Paddle Set for Men Women","MTEN","$39.99","10,361","375","$414,336","03/17/2023","$26.06","4.8","2,386","$13.93","147","7","FBA","18","Sports & Outdoors","Standard","9.17 x 3.31 x 17.04 in","1.05 kg","https://www.amazon.com/dp/B0BYV7P9X7"
"Average Sales Rank: 35,512","","B0CD74H6FH","GARYE Pickleball Paddles Set of 2, USAPA Approved Carbon Fiber Pickleball Set, Lightweight Graphite Rackets 2 Pack with 6 Balls, 1 Pickleball Bag for Men and Women","GARYE","$49.99","3,414","134","$170,666","09/03/2023","$34.56","4.7","296","$15.43","922","7","FBA","3","Sports & Outdoors","Standard","9.92 x 3.31 x 16.69 in","1.03 kg","https://www.amazon.com/dp/B0CD74H6FH"
"Average Rating Number: 4.6","","B0BNTL3Q2C","VINSGUIR Pickleball Paddles, USAPA Approved Pickleball Paddles Set of 2, Lightweight Fiberglass Pickleball Set, Pickleball Paddles Set of 4 with Rackets& Carry Bag Pickleball Gifts for Beginners","VINSGUIR","$29.99","4,880","134","$146,351","12/01/2022","$17.86","4.7","963","$12.13","929","7","FBA","5","Sports & Outdoors","Standard","9.33 x 3 x 16.28 in","0.56 kg","https://www.amazon.com/dp/B0BNTL3Q2C"
"","","B0C523HPJP","2024 Pickleball Paddle from SLK by Selkirk | Evo Power, Hybrid & Control Paddles | Fiberglass Pickleball Paddle | Carbon Fiber Pickleball Paddle with SpinFlex Surface","Selkirk Sport","$99.99","3,035","94","$303,470","05/10/2023","$81.22","4.5","376","$18.77","1,562","7","FBA","3","Sports & Outdoors","Standard","10 x 1 x 17.5 in","0.3 kg","https://www.amazon.com/dp/B0C523HPJP"
"","","B0B7ZJJM8V","PCKL Pickleball Paddle Control Series and Power Series | USA Pickleball Approved | Graphite Carbon Face | Edgeless Design | Choose Blue or White Pickleball Paddle","PCKL","$89.99","106","6","$9,539","08/01/2022","$70.06","4.4","373","$19.93","36,577","6","FBA","3","Sports & Outdoors","Standard","9.25 x 1.65 x 16.45 in","0.54 kg","https://www.amazon.com/dp/B0B7ZJJM8V"
