"Export time:  1/30/2024, 5:11:59 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CMTR43G1","Barydat 8 Pack Plastic Storage Baskets with Bamboo Lid 10x7x4 Pantry Organization Storage Containers Lidded Storage Bins for Shelves Drawers Desktop Closet Playroom Office(Black, Classic)","Barydat","$42.99","128","","","11/06/2023","","","","","170,524","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMTR43G1"
"Plastic Storage Baskets With Bamboo Lid","","B0CH8X6XCK","Plastic Storage Baskets With Bamboo Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","Ohmlove","$36.99","1,325","39","$49,012","10/12/2023","","4.6","72","","23,328","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CH8X6XCK"
"Average Monthly Sales: 805","","B0C28517QP","EOENVIVS Storage Bins With Bamboo Lid Plastic Storage Baskets Lidded Pantry Organization and Storage Containers Organizer for Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","EOENVIVS","$39.99","738","","","04/11/2023","","4.4","129","","50,915","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C28517QP"
"Average Revenue: $30,414","","B0CH37LVQJ","Barydat 4 Pack Plastic Storage Baskets with Bamboo Lid Pantry Organization Storage Containers Lidded Storage Bins Container for Shelves Drawers Desktop Closet Playroom Classroom Office (Gray)","Barydat","$24.99","","","","08/31/2023","","","","","","7","","1","","","","","https://www.amazon.com/dp/B0CH37LVQJ"
"Average Price: $34.90","","B0CMLW8QQS","Storage Bins with Bamboo Lids - Plastic Storage Containers with Lids Stackable Storage Box: Storage Baskets for Organizing Desktop Closet Playroom Classroom Office, Cream White, 2 Packs","Ohmlove","$39.99","","","","12/24/2023","","","","","","","FBA","1","","","","","https://www.amazon.com/dp/B0CMLW8QQS"
"Average No. of Ratings: 512","","B0C3P7VZPW","CORE HOME Multipurpose White 14 x 11 Polypropylene Storage Bins With Bamboo Lids Set of 2","CORE HOME","$44.96","30","","","04/10/2023","","4.7","8","","636,916","4","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3P7VZPW"
"Average Sales Rank: 227,813","","B0CMTRYZCZ","Barydat 8 Pack Plastic Storage Baskets with Bamboo Lid 10x7x4 Pantry Organization Storage Containers Lidded Storage Bins for Shelves Drawers Desktop Closet Playroom Office(Beige, Gray, Modern)","Barydat","$39.99","30","","","12/26/2023","","","","","445,380","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMTRYZCZ"
"Average Rating Number: 4.5","","B0CMLT6BVV","Storage Bins with Bamboo Lids - Plastic Storage Containers with Lids Stackable Storage Box: Storage Baskets for Organizing Desktop Closet Playroom Classroom Office, Gray, 2 Packs","Ohmlove","$39.99","","","","12/24/2023","","","","","","","FBA","1","","","","","https://www.amazon.com/dp/B0CMLT6BVV"
"","","B0BQJWBQ3B","Isaac Jacobs 2-Pack XL White Storage Bin Set w/Cut-Out Handles and Bamboo Lid, Plastic Organizers for Home, Pantry, Kitchen, Closet, Office, Home Dcor, BPA Free, Food Safe (Extra-Large, White)","Isaac Jacobs International","$49.99","110","","","12/18/2022","","4.4","25","","34,742","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BQJWBQ3B"
"","","B0CGTT6BL9","Kigley 6 Pcs Seagrass Baskets with Lids Wicker Storage Basket Organizer Baskets Rectangular Basket Boxes Woven Baskets for Shelf Closet Bedroom Back to School, 6 Sizes(Yellow Brown, Classic Style)","Kigley","$57.99","197","7","$11,424","11/02/2023","","4.1","17","","123,955","7","FBA","30","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGTT6BL9"
"","","B0BBMMYDTW","Tuanse 8 Pieces Plastic Storage Bins with Lids White Storage Box with Handle Stackable Containers with Lids for Organizing White Bins Small Storage Basket with Lid for Table (7.3 x 10.2 x 6.5 Inches)","Tuanse","$39.99","258","7","$10,317","08/22/2022","$27.26","4.6","80","$12.73","130,808","7","FBA","1","Home & Kitchen","Standard","0.39 x 0.39 x 0.39 in","4.69 lb","https://www.amazon.com/dp/B0BBMMYDTW"
"","","B09K34DL1H","Citylife 2 Packs Plastic Storage Bins with Lids Large Storage Box with Handle Stackable Containers for Organizing, 14.33 x 10.16 x 6.3 inch","ITYLIFE CITYLIFE","$22.99","332","15","$7,633","02/13/2022","$7.18","4.4","167","$15.81","62,108","6","AMZ","1","Home & Kitchen","Oversize","10.71 x 14.84 x 8.23 in","3.199 lb","https://www.amazon.com/dp/B09K34DL1H"
"","","B0CDSJHR2Y","Homepeaz Wicker Storage Baskets with Lids, Set of 3 Decorative Storage Boxes, Woven Baskets with Lock & Handle, Closet Storage and Organizer, Nesting Storage Bins for DVD Makeup Bathroom Decor, Beige","Homepeaz","$39.99","87","4","$3,479","08/04/2023","","4.7","13","","20,218","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0CDSJHR2Y"
"","","B0CG14T4CD","Vtopmart 4 Pack Clear Stackable Storage Organizer Bins with Bamboo Lids, Large Plastic Containers with Handle for Pantry, Bathroom, Closet, Shelf, Kitchen, Under Sink, Cabinet, etc","Vtopmart","$23.99","653","","","11/14/2023","","4.5","38","","15,055","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CG14T4CD"
"","","B0CC4P4HC3","Ohmlove 4 Pack Bamboo Lid Storage Bins - Stackable Plastic Containers for Organizing Desktop, Closet, Playroom, Classroom, Office, White","Ohmlove","$27.19","1,126","47","$30,616","08/14/2023","","4.4","108","","19,154","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CC4P4HC3"
"","","B0C282B476","Storage Bins with Bamboo Lids Set of 6 Lidded Storage Container Plastic Baskets Organizer Bins for Organizing Kithen Room Bedroom Office Closet, Sturdy and Durable (Grey)","AREYZIN","$36.99","896","","","03/25/2021","$24.41","4.8","88","$12.58","38,027","6","FBA","1","Home & Kitchen","Standard","7.1 x 4.1 x 10.2 in","2.39 kg","https://www.amazon.com/dp/B0C282B476"
"","","B0CJ9DC6Z8","8 Pcs Plastic Storage Bins with Bamboo Style Lids Stackable White Storage Basket with Handle Sticker Marker Small Box Container for Organizing Cabinet Shelf Countertop Table Seasonal Decor(4 Pieces)","Barydat","$25.99","","","","09/17/2023","","5","2","","756,950","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJ9DC6Z8"
"","","B0BQJW65S1","Isaac Jacobs 2-Pack Medium White Storage Bin Set w/Cut-Out Handles and Bamboo Lid, Plastic Organizers for Home, Pantry, Kitchen, Closet, Office, Home Dcor, BPA Free, Food Safe (Medium, White)","Isaac Jacobs International","$29.99","138","7","$4,139","12/18/2022","$19.70","4.4","25","$10.29","35,729","7","FBA","6","Kitchen & Dining","Standard","6.6 x 4.25 x 9.75 in","2.12 lb","https://www.amazon.com/dp/B0BQJW65S1"
"","","B08JQKFK5V","Homepeaz Set of 3 Woven Storage Basket Bin Wicker Hamper Stackable Box with Lid & Lock, Container Tote Cube Organizer for Nursery, Baby Toiletry, Diaper, Toys, Home Closet, Laundry, DVD, Book (Grey)","Homepeaz","$37.99","626","18","$23,782","09/15/2020","$24.06","4.5","1,444","$13.93","6,321","7","FBA","1","Baby","Standard","11.5 x 14.5 x 8 in","4.2 lb","https://www.amazon.com/dp/B08JQKFK5V"
"","","B0893JQQ43","LARS NYSM Bread Box I Metal bread box with linen bread bag for long lasting freshness I Bread box with bamboo lid usable as cutting board I 13.4x7.3x5.3In (Sage)","LARS NYSM","$43.99","1,229","23","$54,064","08/04/2020","$30.96","4.5","5,377","$13.03","11,871","6","FBA","1","Kitchen & Dining","Standard","7.28 x 5.31 x 13.39 in","3.42 lb","https://www.amazon.com/dp/B0893JQQ43"
"","","B0B5DD4DNM","LoforHoney Home Collapsible Storage Bins with Metal Frames, Fabric Storage Baskets for Clothing, Shelf Baskets for Organizing, Closet Storage Bins for Organization, Large, Beige & Brown, 2-Pack","LoforHoney Home","$21.99","680","22","$14,953","06/28/2022","$11.06","4.6","373","$10.93","41,860","6","FBA","1","Home & Kitchen","Standard","9.4 x 7.6 x 13.7 in","2.55 lb","https://www.amazon.com/dp/B0B5DD4DNM"
"","","B09Y8X2167","Citylife 2 PCS Storage Bins with Bamboo Lids Plastic Storage Containers for Organizing Stackable Storage Box with Handle, 15.12 x 10.67 x 5.98 inch","ITYLIFE CITYLIFE","$39.97","1,423","46","$56,877","04/18/2022","$21.23","4.4","489","$18.74","19,521","6","FBA","6","Home & Kitchen","Oversize","11.42 x 8.46 x 15.55 in","5.8 lb","https://www.amazon.com/dp/B09Y8X2167"
"","","B0CQK31JH6","NEATJELAI Set of 6 Plastic Storage Baskets with Bamboo Lids, Plastic Storage Container and Organizer Bins for Shelves Drawers Desktop Closet Playroom Classroom Office, White","NEATJELAI","$39.99","","","","","","","","","","","FBA","","","","","","https://www.amazon.com/dp/B0CQK31JH6"
"","","B0BQLGL8XT","AREYZIN Refrigerator Organizer Bins Storage Bins with Lids 4 Pack Clear Plastic Storage Bins with Bamboo Lids, Small Storage Containers for Organization and Storage, 6.8 Quart","AREYZIN","$35.99","200","","","12/19/2022","","4.5","178","","202,301","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BQLGL8XT"
"","","B09JG2XZ68","Citylife 4 PCS Storage Baskets with Bamboo Lids Plastic Baskets for Organizing Stackable Storage Bins with Handle for Shelves, 10.16 x 6.81 x 5.31 inch","ITYLIFE CITYLIFE","$25.97","1,082","","","10/13/2021","","4.4","677","","41,759","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B09JG2XZ68"
"","","B08JPG2SY5","Retro Shaw Expandable Bamboo Food Container Lid Organizer for Cabinet, Adjustable Lid Organizer for Plastic Lids and Covers Storage, Lid Organizer Rack with Adjustable Dividers","Retro Shaw","$25.99","878","30","$22,819","09/21/2020","$15.36","4.7","186","$10.63","9,062","7","FBA","1","Kitchen & Dining","Standard","10.4 x 4 x 12.2 in","4.006 lb","https://www.amazon.com/dp/B08JPG2SY5"
"","","B0811PXNBJ","StorageWorks Storage Bins, Extra Large Closet Storage Bins for Organizing, Fabric Storage Baskets with Handles, Rectangle Storage Baskets for Closet, Natural Color, 2-Pack","StorageWorks","$22.39","9,188","329","$205,719","11/04/2019","$12.60","4.6","4,760","$9.79","1,406","6","FBA","1","Home & Kitchen","Standard","12.95 x 17.2 x 2.13 in","3.419 lb","https://www.amazon.com/dp/B0811PXNBJ"
"","","B0C4FP2Y5X","BAMOTTO Lidded Bamboo Storage Bins & Box/Cube/Basket, Home Kitchen and Office Storage Boxes with Handles & Stackable for Organizer Tableware, Clothing, Toys, Office Shelf Books, 14.6x10.2x6.5","BAMOTTO CRAFTBAMBOO","$41.99","97","","","05/04/2023","$28.36","4.1","8","$13.63","480,999","6","AMZ","2","Home & Kitchen","Standard","10.2 x 6.5 x 14.6 in","3.8 lb","https://www.amazon.com/dp/B0C4FP2Y5X"
