"Export time:  1/30/2024, 5:12:27 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BTSS74PQ","Plastic Storage Bins 10 Pcs White Storage Bin Pantry Organizer Bins Small Storage Baskets Storage Containers for Home Kitchen (14 x 10.5 x 9.5 Inch)","Zopeal","$77.99","311","8","$24,255","02/02/2023","","4.5","37","","34,365","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BTSS74PQ"
"Plastic Storage Baskets","","B0BNZWJB1F","Yishyfier Plastic Storage Baskets Bins Boxes With Lids,Organizing Container White Storage Organizer Bins For Shelves Drawers Desktop Playroom Classroom Office,4-Pack(4t7)","Yishyfier","$55.99","","","","12/04/2022","","4","1","","","6","FBA","1","","","","","https://www.amazon.com/dp/B0BNZWJB1F"
"Average Monthly Sales: 1,082","","B09HN64HW3","Curver Set of 6 Medium V Basket Decorative Plastic Organization and Storage Basket, White with Tweed Pattern","Curver","$55.08","96","2","$5,288","09/30/2021","$26.10","4.6","26","$28.98","307,617","6","AMZ","4","Home & Kitchen","Oversize","14.9 x 20.4 x 14.2 in","6.949 lb","https://www.amazon.com/dp/B09HN64HW3"
"Average Revenue: $28,314","","B07P8BQDV5","mDesign Plastic Deep Home Storage Organizer Basket Bin, Handles for Cube Furniture Shelving in Office, Closet, Bedroom, Laundry Room, Nursery, Kids Toy Room Shelf, Ligne Collection, 4 Pack, Light Pink","mDesign","$54.99","109","2","$5,994","02/28/2019","$39.71","4","189","$15.28","317,535","7","FBA","1","Home & Kitchen","Standard","10 x 7.75 x 10 in","1.52 lb","https://www.amazon.com/dp/B07P8BQDV5"
"Average Price: $31.95","","B0C4LXBJ2B","OLLIC Plastic Bins Large Storage with Lids | Korean Organizer Bin Basket Set for Organizing Baskets in Closet and Home (Gray, Large 4PK)","OLLIC","$47.99","450","15","$21,596","09/18/2023","","4.5","38","","60,121","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C4LXBJ2B"
"Average No. of Ratings: 1,092","","B0CBQMDV7T","Curver Set of 6 Jute Medium Decorative Plastic Organization and Storage Baskets, Perfect Bins for Home Office, Closet Shelves, Kitchen Pantry and All Bedroom Essentials","Curver","$44.99","885","23","$39,816","07/11/2023","$30.91","4.5","23","$14.08","12,244","6","AMZ","4","Kitchen & Dining","Standard","14.17 x 5.91 x 11.02 in","6 lb","https://www.amazon.com/dp/B0CBQMDV7T"
"Average Sales Rank: 115,569","","B0BNZW64PB","Yishyfier Plastic Storage Baskets Bins Boxes With Lids,Organizing Container White Storage Organizer Bins For Shelves Drawers Desktop Playroom Classroom Office,6-Pack(4XL+2L)","Yishyfier","$79.99","360","12","$28,796","12/04/2022","","4.7","38","","78,918","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BNZW64PB"
"Average Rating Number: 4.6","","B0915XMJYX","AREYZIN Plastic Storage Baskets With Lid Organizing Container Lidded Knit Storage Organizer Bins for Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","AREYZIN","$26.99","2,952","","","03/25/2021","$15.91","4.5","2,343","$11.08","8,080","6","FBA","1","Home & Kitchen","Standard","9.53 x 11.14 x 7.6 in","2.579 lb","https://www.amazon.com/dp/B0915XMJYX"
"","","B0BVHN92RN","Proarea 4 Pack Stackable Plastic Storage Basket Closet Organizer Bin Foldable Clothes Organizer Storage Drawer Shelf Container for Living Room Bathroom Kitchen Office (4L)","Proarea","$39.99","1,136","31","$45,429","02/10/2023","$25.16","4.4","138","$14.83","30,476","7","FBA","1","Home & Kitchen","Standard","13.1 x 7.3 x 16.6 in","6.34 lb","https://www.amazon.com/dp/B0BVHN92RN"
"","","B08L6WLP4Y","IRIS USA Small Plastic Storage Basket, 12-Pack, Shelf Basket Organizer for Pantries Kitchens Cabinets Bedrooms and Bathrooms, White","IRIS","$19.99","2,021","62","$40,400","11/08/2018","$4.25","4.7","1,635","$15.74","4,063","7","AMZ","5","Kitchen & Dining","Oversize","11.6 x 13.7 x 9.2 in","5.45 lb","https://www.amazon.com/dp/B08L6WLP4Y"
"","","B09NVD7R8Q","12-Pack Plastic Storage Bins - Small Organizers for Laundry, Bathroom, Kitchen, Shelves","NETANY","$23.99","1,984","58","$47,596","12/19/2021","$13.96","4.7","1,769","$10.03","4,431","6","FBA","2","Kitchen & Dining","Standard","7.2 x 3.2 x 10.6 in","3.16 lb","https://www.amazon.com/dp/B09NVD7R8Q"
"","","B0C4H5YGYN","Hoolerry 8 Pieces Colorful Storage Bins with Lid and Handle, Plastic Stackable Baskets Desktop Cube Box Storage Bins Cubby Bins Containers for Shelf Cabinet Bedroom Office(14.2 x 10.2 x 9.5 Inch)","Hoolerry","$76.99","310","12","$23,867","05/05/2023","$56.61","4.6","30","$20.38","79,751","6","FBA","1","Home & Kitchen","Standard","0.4 x 0.4 x 0.4 in","11.28 lb","https://www.amazon.com/dp/B0C4H5YGYN"
"","","B0CCZ8WN8D","Plastic Storage Bins for Organization, 2 Pcs White Pantry Bins Organization, Storage Containers Organizing Bins, Freezer Organizer Bins Stackable, Plastic Boxes for Storage, Snack Kitchen Storage Bins","FINESSY","$29.89","279","11","$8,339","07/26/2023","$17.48","4.7","246","$12.41","25,777","6","FBA","1","Kitchen & Dining","Standard","11.06 x 7.28 x 14.53 in","2.51 lb","https://www.amazon.com/dp/B0CCZ8WN8D"
"","","B0BTPJWQSP","Tuanse 8 Pieces Plastic Storage Bins with Lids White Storage Box with Handle Stackable Containers with Lids for Organizing White Bins Small Storage Basket with Lid for Table (14 x 10.5 x 9.6 Inches)","Tuanse","$89.99","289","7","$26,007","02/01/2023","$67.36","4.6","80","$22.63","130,808","7","FBA","2","Home & Kitchen","Standard","0.39 x 0.39 x 0.39 in","12.07 lb","https://www.amazon.com/dp/B0BTPJWQSP"
"","","B09SWHLXGB","Eslite Plastic Storage Baskets for Organizing,11.42'X9'X4.7',Pack of 4 (Grey)","Eslite","$24.99","1,079","38","$26,964","02/19/2022","$14.81","4.6","373","$10.18","24,289","6","FBA","1","Home & Kitchen","Standard","9 x 4.72 x 11.42 in","1.76 lb","https://www.amazon.com/dp/B09SWHLXGB"
"","","B0C5MDMR86","Zhehao 48 Pack Plastic Storage Baskets Classroom Colored Storage Baskets Paper Organizer Basket Crayon and Pencil Toy Container for Teacher Student Home Office School, 13.6' L x 10.2' W x 3.3' H","Zhehao","$56.99","","","$0.00","05/17/2023","$40.21","4.1","9","$16.78","178,237","7","FBA","1","Office Products","Standard","13.6 x 3.3 x 10.2 in","9.18 lb","https://www.amazon.com/dp/B0C5MDMR86"
"","","B08NT539N8","Suwimut 8 Pack Plastic Storage Baskets, 10x7.3x5.5 Inch Small Pantry Organization and Storage Bins Household Organizers Shelf Basket with Handles for Countertop, Cabinet, Bedroom, Bathroom, Kitchen","Suwimut","$11.99","45","","$539.55","11/17/2020","$3.76","4.7","255","$8.23","778,353","4","FBA","1","Home & Kitchen","Standard","9.5 x 4 x 7 in","3.32 lb","https://www.amazon.com/dp/B08NT539N8"
"","","B0C4QCHZQ2","Rethink Your Room Set of 3 Large Plastic Open Storage Basket, 14 x 12 x 5 Inches, Durable Pantry and Kitchen Organization Bins for Organization, Desktops Countertops Bathroom Home, Navy","RETHINK YOUR ROOM","$34.99","301","6","$10,532","05/09/2023","","4.7","38","","45,049","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C4QCHZQ2"
"","","B07H1Q4WDR","TheWarmHome Extra Large Cube Storage Bins Baskets for Organizing, Sturdy Fabric Storage Basket Cube W/Handles, Decorative Foldable Storage Baskets for Shelves Closet Nursery Toy (3 Pack 161212inch)","TheWarmHome","$34.99","5,288","179","$185,027","11/25/2018","$22.11","4.6","18,583","$12.88","3,617","7","FBA","1","Home & Kitchen","Standard","12.5 x 16.5 x 4.9 in","2.701 lb","https://www.amazon.com/dp/B07H1Q4WDR"
"","","B0B5DD4DNM","LoforHoney Home Collapsible Storage Bins with Metal Frames, Fabric Storage Baskets for Clothing, Shelf Baskets for Organizing, Closet Storage Bins for Organization, Large, Beige & Brown, 2-Pack","LoforHoney Home","$21.99","680","22","$14,953","06/28/2022","$11.06","4.6","373","$10.93","41,860","6","FBA","1","Home & Kitchen","Standard","9.4 x 7.6 x 13.7 in","2.55 lb","https://www.amazon.com/dp/B0B5DD4DNM"
"","","B0BJL9ZJDP","DOFASAYI Cotton Rope Storage Baskets 3-Pack - Baskets for Organizing, Baby Basket for Nursery Storage, Collapsible Storage Bins & Toy Organizer with Handles,Woven Baskets for Storage 15x10x9.1","DOFASAYI","$31.47","1,517","48","$47,740","10/17/2022","","4.6","305","","2,752","6","FBA","2","Baby","","","","https://www.amazon.com/dp/B0BJL9ZJDP"
"","","B0811PQCY4","StorageWorks Storage Bins, Large Closet Storage Bins for Organizing, Fabric Storage Baskets with Handles, Rectangle Storage Baskets for Closet, Natural Color, 2-Pack","StorageWorks","$19.19","9,580","329","$183,840","11/04/2019","$10.52","4.6","4,760","$8.67","1,406","6","FBA","2","Home & Kitchen","Standard","11.535 x 15.787 x 2.165 in","2.491 lb","https://www.amazon.com/dp/B0811PQCY4"
"","","B09DSH7HH5","Clear Plastic Woven Storage Basket, 6-Pack Weave Basket Organizer for Kitchen Offices Bathrooms","ZHENFAN","$21.19","286","6","$6,060","01/08/2021","$10.68","4.6","279","$10.51","43,106","6","FBA","1","Kitchen & Dining","Standard","10.354 x 10.472 x 7.874 in","2.136 lb","https://www.amazon.com/dp/B09DSH7HH5"
"","","B002BA5F0M","Sterilite Medium Ultra Basket, Storage Bin to Organize Closets, Cabinets, Pantry, Shelving and Countertop Space, White, 6-Pack","Sterilite","$22.29","1,993","64","$44,424","05/16/2007","$14.43","4.8","5,957","$7.86","13,529","6","AMZ","19","Home & Kitchen","Standard","10.75 x 5 x 13.75 in","12.8 oz","https://www.amazon.com/dp/B002BA5F0M"
"","","B093BWWY4K","MaxGear Organization and Storage 3 Packs, Plastic Storage Bins Organizer Bins, Woven Baskets for Storage, Plastic Baskets with Handles Storage Baskets for Organizing, Basket Organizer for Home, Large","MaxGear","$26.99","2,429","79","$65,559","03/22/2021","$15.91","4.7","387","$11.08","10,551","7","FBA","6","Home & Kitchen","Standard","11.5 x 5.2 x 13.8 in","2.85 lb","https://www.amazon.com/dp/B093BWWY4K"
"","","B09G9YSRFP","WYT Weave Storage Organizer Baskets, Grey 6-Pack Plastic Woven Baskets, 10.1' x 7.55' x 4.1'","WYT","$13.99","2,500","130","$34,975","06/29/2021","$0.29","4.6","1,221","$13.70","5,596","6","FBA","1","Home & Kitchen","Oversize","10.9 x 11.2 x 8.3 in","2.101 lb","https://www.amazon.com/dp/B09G9YSRFP"
"","","B0CH8X6XCK","Plastic Storage Baskets With Bamboo Lid - Plastic Storage Containers Stackable Storage bins: Storage Baskets for Organizing Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","Ohmlove","$36.99","1,325","39","$49,012","10/12/2023","","4.6","72","","23,328","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CH8X6XCK"
"","","B00V87C11U","Sterilite Tall Plastic Weave Storage Basket, Bin Organization for Countertops, Classroom, Tabletops & Book Shelves for Crafts, Jewelry, Gray, 6-Pack","Sterilite","$29.99","1,490","71","$44,685","03/22/2015","$8.19","4.9","2,488","$21.80","12,021","7","AMZ","8","Home & Kitchen","Oversize","15.354 x 16.142 x 12.598 in","7.496 lb","https://www.amazon.com/dp/B00V87C11U"
"","","B09LCJNND8","AREYZIN Plastic Storage Baskets With Lids Set of 6 Lidded Storage Organizer Bins Containers Baskets for Organizing Shelves Desktop Closet Playroom Classroom Office, 10.6X7.5X5.1 Inches, Grey","AREYZIN","$30.99","1,130","33","$35,019","02/14/2022","$18.71","4.6","806","$12.28","28,490","6","FBA","2","Home & Kitchen","Standard","10.98 x 13.35 x 7.44 in","3.4 lb","https://www.amazon.com/dp/B09LCJNND8"
"","","B09TDNYY95","HapiLeap Plastic Storage Bins, Multiple Colour Organisation Storage Baskets for Kitchen, Cupboard, Office, Bathroom, Toy, Home Tidy Open Storage Bins with Handles (Medium (7 Packs))","HapiLeap","$20.98","488","12","$10,238","02/24/2022","$12.69","4.7","183","$8.29","77,113","7","FBA","1","Home & Kitchen","Standard","9.6 x 3.9 x 6.5 in","1.96 lb","https://www.amazon.com/dp/B09TDNYY95"
"","","B01NCQZL8D","Simplify Large Resin Wicker Tote | Storage Bin | Plastic Organizer | Carrying Handles | Bathroom | Pantry | Accessories | Toys | Grey","Simplify","$14.51","329","14","$4,774","12/12/2016","$-0.41","4.5","345","$14.92","65,169","7","AMZ","1","Home & Kitchen","Oversize","11.693 x 13.819 x 8.819 in","1.199 lb","https://www.amazon.com/dp/B01NCQZL8D"
"","","B0C28517QP","EOENVIVS Storage Bins With Bamboo Lid Plastic Storage Baskets Lidded Pantry Organization and Storage Containers Organizer for Shelves Drawers Desktop Closet Playroom Classroom Office, 6 Pack","EOENVIVS","$39.99","738","","","04/11/2023","","4.4","129","","50,915","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C28517QP"
"","","B0BWMZ8TND","12 Pack Plastic Storage Baskets, Small Baskets for Organizing, Plastic Storage Bins Wicker Pantry Organizer Bins Household Toys for Laundry Room, Bathrooms, Bedrooms, Kitchens, Cabinets, Countertops","FUCDTEFC","$22.98","133","4","$3,056","02/23/2023","$13.10","4.7","58","$9.88","58,314","6","FBA","1","Kitchen & Dining","Standard","7.2 x 3.2 x 10.6 in","1.62 kg","https://www.amazon.com/dp/B0BWMZ8TND"
"","","B0BM3QLY5Y","NDSWKR 12 Pack Small Plastic Storage Baskets, 8.5 x 5.5 x 3 Inch Colorful Classroom Organizer Basket for Kitchen Office Shelves Bathroom Cabinet","NDSWKR","$19.99","88","2","$1,759","11/10/2022","$10.56","4.4","17","$9.43","122,442","6","FBA","1","Kitchen & Dining","Standard","8.86 x 5.71 x 9.57 in","2.42 lb","https://www.amazon.com/dp/B0BM3QLY5Y"
"","","B0C6FTFH7N","BINO | Plastic Storage Baskets Small - Black | THE STABLE COLLECTION | Multi-Use Storage | Rectangular Cabinet Organizer | Baskets For Organizing with Handles | Home Office Organization and Storage","BINO","$15.99","1,140","33","$18,229","07/04/2023","$9.07","4.6","7","$6.92","27,773","5","FBA","1","Home & Kitchen","Standard","7 x 5 x 10 in","13.4 oz","https://www.amazon.com/dp/B0C6FTFH7N"
"","","B09MQFRZHC","NETANY Plastic Storage Baskets - 8 Pack, Gray, Durable, Easy to Use, Flexible, Multi-Purpose, Ideal for Closets, Cabinets, Shelves, Countertops","NETANY","$16.99","2,288","73","$38,873","11/28/2021","$8.65","4.7","2,889","$8.34","11,620","7","FBA","1","Home & Kitchen","Standard","7.2 x 3.2 x 10.6 in","2.2 lb","https://www.amazon.com/dp/B09MQFRZHC"
