"Export time:  2/14/2024, 2:18:56 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C2YX8TGT","Plastic Storage Organizer for Lego Box Kids Child Toy Stackable Containers with Lids Bins 3 Layers Adjustable Compartments Building Blocks Chest Case","Harazaqa","$39.99","410","18","$16,396","04/18/2023","","4.4","136","","6,266","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0C2YX8TGT"
"Plastic Storage Organizer for Lego","","B0CFXHSPXQ","Citylife 17 QT Plastic Storage Box with Building Baseplate Lid and Removable Tray Craft Organizers and Storage Clear Storage Container for Organizing Lego, Bead, Tool, Sewing","ITYLIFE CITYLIFE","$34.99","750","25","$26,243","","","4.9","37","","5,520","","FBA","","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CFXHSPXQ"
"Average Monthly Sales: 1,423","","B0BC8Y1W77","Citylife 17 QT Plastic Storage Box with Removable Tray Craft Organizers and Storage Clear Storage Container for Organizing Lego, Bead, Tool, Sewing, Playdoh","ITYLIFE CITYLIFE","$34.99","2,819","97","$98,637","08/28/2022","","4.8","242","","1,019","6","FBA","2","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BC8Y1W77"
"Average Revenue: $44,818","","B08NPMVH9P","UHOUSE Plastic Organizer Container with Adjustable Dividers,Plastic Storage Box with 18 Removable Grids,Jewelry Organizer Compartments for Cosmetics Craft, Toy, Fuse Beads, Washi Tapes (Clear)","UHOUSE","$16.49","60","1","$989.40","11/16/2020","$8.23","4.4","156","$8.26","90,303","6","FBA","1","Arts, Crafts & Sewing","Standard","13.4 x 2.3 x 11 in","0.928 lb","https://www.amazon.com/dp/B08NPMVH9P"
"Average Price: $30.31","","B08Q37SKPS","UHOUSE 2 PCS 18 Grids Clear Plastic Organizer Container Storage Box with Adjustable Dividers for Washi TapeJewelry Craft Tackles Tools, Size: 10.4 x 6.8 x 1.1 in (Clear)","UHOUSE","$19.49","144","4","$2,807","12/08/2020","$10.14","4.7","240","$9.35","35,818","7","FBA","1","Arts, Crafts & Sewing","Standard","9.055 x 13.898 x 3.819 in","1.288 lb","https://www.amazon.com/dp/B08Q37SKPS"
"Average No. of Ratings: 2,052","","B0787G2287","ArtBin 6990ZZ Super Satchel Double Deep 3-Pack, Portable Art & Craft Organizers with Handles, [3] Plastic Storage Cases, Clear with Rose Gold Accents","ArtBin","$68.66","1,163","48","$79,852","12/11/2017","$37.15","4.6","711","$31.51","2,611","7","AMZ","5","Arts, Crafts & Sewing","Oversize","15.75 x 14.75 x 19.25 in","11 lb","https://www.amazon.com/dp/B0787G2287"
"Average Sales Rank: 40,618","","B0CMCZRRPB","Citylife 17 QT Toys Storage Organizer Bins with Building Baseplate Lid and Removable Tray Large Toy Box Clear Storage Container for Organizing Lego, Bead, Tool, Sewing","ITYLIFE CITYLIFE","$34.99","210","7","$7,348","","","4.4","21","","13,130","","FBA","","Baby","","","","https://www.amazon.com/dp/B0CMCZRRPB"
"Average Rating Number: 4.4","","B00FZVPWO8","IRIS USA 10 Pack Small Plastic Hobby Art Craft Supply Organizer Storage Containers with Latching Lid, for Pencil, Crayon, Ribbons, Wahi Tape, Beads, Sticker, Yarn, Ornaments, Stackable, Clear","IRIS","$15.99","5,497","223","$87,897","10/01/2013","$6.56","4.7","7,051","$9.43","274","7","AMZ","4","Arts, Crafts & Sewing","Standard","11.06 x 11.26 x 6.57 in","1.9 lb","https://www.amazon.com/dp/B00FZVPWO8"
"","","B0CFQQ14HP","Outsmart Gadgets Portable Stackable Organizer, Cube Container with ABC Stickers and 2 Lids, Adjustable Craft Toy Storage Bin with Secure Snap, Perfect for Lego, Kid Travel, Under the Bed Storage","Outsmart Gadgets","$47.99","120","4","$5,759","08/14/2023","","4.6","30","","218,503","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFQQ14HP"
"","","B08GC3SHS8","5Pack Plastic Organizer Box with Adjustable Dividers, 18 Compartments Jewelry Storage Container, Organizer Case for Washi Tape Bead Crafts Lego Pieces Letter Board Fishing Tackles Rock Collection","AKOLAFE","$21.99","72","1","$1,583","08/19/2020","$11.66","4.5","135","$10.33","131,824","7","FBA","1","Arts, Crafts & Sewing","Standard","9.96 x 11.3 x 7.32 in","2.78 lb","https://www.amazon.com/dp/B08GC3SHS8"
