"Export time:  2/2/2024, 8:16:13 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C2J1RQ62","Ctosree 18 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$54.99","161","5","$8,853","04/13/2023","$36.28","5","4","$18.71","41,555","6","FBA","1","Office Products","Oversize","14 x 0.01 x 22 in","4.16 lb","https://www.amazon.com/dp/B0C2J1RQ62"
"Presentation Boards","","B0C4B466Q4","Ctosree 24 Pcs Tri Fold Display Board, Lightweight Presentation Board, Science Fair Project Display Paperboard, Trifold Poster Board, Single Wall(White, 14 x 22 Inch)","Ctosree","$62.99","110","6","$6,929","05/03/2023","$42.70","4.5","4","$20.29","37,919","6","FBA","2","Office Products","Oversize","14 x 2.2 x 22 in","5.29 lb","https://www.amazon.com/dp/B0C4B466Q4"
"Average Monthly Sales: 539","","B09XBZ6CKQ","White Trifold Presentation Board 36' x 48' Display Exhibition Board Lightweight and Portable with Smooth Surface Great for Business presentations (Pack of 4) - by Emraw","Emraw","$35.99","2,585","102","$93,034","04/05/2022","$17.09","4.5","764","$18.90","2,129","6","FBA","1","Office Products","Oversize","24.32 x 1 x 36 in","5.29 lb","https://www.amazon.com/dp/B09XBZ6CKQ"
"Average Revenue: $20,527","","B0042AUMTS","Lightweight Aluminum Flip-Chart Presentation Easel, 70 Inches, Black","Audio-Visual Direct","$39.99","732","20","$29,273","09/07/2010","$23.01","4.6","915","$16.98","12,195","5","FBA","3","Office Products","Oversize","3.9 x 37.8 x 2.9 in","3.049 lb","https://www.amazon.com/dp/B0042AUMTS"
"Average Price: $56.17","","B098GF84NK","Pacon Presentation Boards, Single Wall, White, 48' x 36', 12 Count","PACON","$70.56","4,828","172","$340,664","06/30/2021","$43.81","4.5","31","$26.75","1,079","6","AMZ","7","Office Products","Oversize","24.3 x 3.1 x 36.5 in","1.25 lb","https://www.amazon.com/dp/B098GF84NK"
"Average No. of Ratings: 166","","B08N311CZL","Desk Tech Large Tri-Fold Presentation Board - 36 x 48 inches - Sturdy Corrugated Paper - Perfect for School Projects, Exhibitions, Workshops","Desk Tech","$16.90","4,281","160","$72,349","11/08/2020","$-8.93","4.6","332","$25.83","1,187","7","FBA","1","Office Products","Oversize","0.1 x 48 x 36 in","1.22 lb","https://www.amazon.com/dp/B08N311CZL"
"Average Sales Rank: 58,243","","B0CLDJ4QFC","Ctosree 36 Pcs Tri Fold Display Board Fold Presentation Board Lightweight Fold Presentation Board Display Foldable Paperboard Trifold Poster Board for Project (White, 36 x 48 Inch)","Ctosree","$165.99","30","1","$4,980","10/18/2023","$110.06","","","$55.93","114,749","7","FBA","1","Office Products","Oversize","48 x 0.2 x 36 in","45.9 lb","https://www.amazon.com/dp/B0CLDJ4QFC"
"Average Rating Number: 4.4","","B001E677FA","Pacon 37654 Spotlight Corrugated Presentation Display Boards, 48 x 36, Assorted, 4/Carton","Pacon","$28.54","535","20","$15,269","03/11/2008","$10.76","4.7","1,570","$17.78","12,242","6","AMZ","46","Office Products","Oversize","24.5 x 1.5 x 36.5 in","6 lb","https://www.amazon.com/dp/B001E677FA"
"","","B0C9MMH9G5","Paterr Trifold Poster Board with Storage Bag 72 x 36 Inch Foldable 3 Panel Presentation Board Hook and Loop Receptive Fabric Tabletop Science Fair Display Boards for Exhibition Art Booth Show (Black)","Paterr","$57.99","132","4","$7,655","08/13/2023","$36.09","4.6","3","$21.90","51,547","7","FBA","1","Office Products","Oversize","25 x 1.5 x 35.5 in","3 lb","https://www.amazon.com/dp/B0C9MMH9G5"
"","","B0C7Q1QN69","4 Pcs Small Tri-fold Poster Boards with Double Sided Tapes and Cardboard,21.2x13.8 inches,Corrugated Presentation Boards, Display Boards for School Project,Exhibitions,Business Presentation","Rsgift","$11.90","2,323","64","$27,644","06/29/2023","$1.18","4.3","44","$10.73","3,684","6","FBA","1","Office Products","Oversize","13.8 x 0.1 x 21.2 in","14.1 oz","https://www.amazon.com/dp/B0C7Q1QN69"
