"Export time:  2/17/2024, 6:05:58 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CGWYQT9J","ZEAGUS Resistance Bar for Physical Therapy 3Pack,Flexible Non-slip Twisting Hand Exercise Bar,Relieves Tendonitis Pain&Improve Grip Strength,Hand Therapy Bar for Injury Recovery, Forearm Therapy &","ZEAGUS","$31.99","390","13","$12,476","08/29/2023","","4.6","199","","17,703","","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CGWYQT9J"
"Resistance Bar for Physical Therapy","","B093561LRQ","Resistance Band Bar for Fitness  Workout Bar for Exercise, Squat, Biceps, Triceps, Shoulders, Back  Adjustable 3 Parts Bar for Resistance Bands  Durable Portable Steel Pilates Resistance Bar","CTRL Sports","$49.95","170","7","$8,492","12/31/2023","$36.03","4.5","425","$13.92","32,142","6","FBA","2","Sports & Outdoors","Standard","5 x 2.4 x 16.6 in","1.75 kg","https://www.amazon.com/dp/B093561LRQ"
"Average Monthly Sales: 1,115","","B088DNK4WB","Logest Twist Hand Exerciser Bars for Physical Therapy - Relieves Tendonitis Pain & Improve Grip Strength - Tennis Elbow, Golfer's Elbow, Tendonitis, Wrist, Forearms Pain Relief Hand Therapy Bar","Logest","$14.99","2,161","153","$32,393","05/09/2020","$6.31","4.6","3,175","$8.68","751","6","FBA","1","Sports & Outdoors","Standard","8.03 x 2.05 x 12.44 in","0.51 kg","https://www.amazon.com/dp/B088DNK4WB"
"Average Revenue: $33,888","","B0C742WFPN","Hshbxd Tennis Elbow Therapy Flexible Bar, Flex Therapy Bar Strengthener, Resistance Bar for Golfers Elbow, Tendonitis, Wrist, Forearms Pain Relief (TPR-Red, Green and Blue)","Hshbxd","$26.99","302","11","$8,151","06/04/2023","$17.15","4.7","22","$9.84","53,637","7","FBA","1","Health & Household","Standard","6.34 x 1.89 x 13.03 in","2.25 lb","https://www.amazon.com/dp/B0C742WFPN"
"Average Price: $30.42","","B08V84QVKC","FlintRehab Twist Hand Exerciser Flexible Bars (3 Pack) - Flex Therapy Bar Strengthener - Relieve Tennis & Golfers Elbow Tendonitis Pain - Arm Exercise Wrist & Hand Strength Forearm Grip - 3 Variable Resistance Bars for Injury Recovery","FlintRehab","$29.99","305","14","$9,147","02/03/2021","$19.70","4.7","587","$10.29","15,889","6","FBA","1","Sports & Outdoors","Standard","5.59 x 2.13 x 12.24 in","1.31 kg","https://www.amazon.com/dp/B08V84QVKC"
"Average No. of Ratings: 872","","B07YNR5HRW","Logest Twist Hand Exerciser Bars for Physical Therapy - Relieves Tendonitis Pain & Improve Grip Strength - Tennis Elbow, Golfer's Elbow, Tendonitis, Wrist, Forearms Pain Relief Hand Therapy Bar","Logest","$33.99","2,221","153","$75,492","10/02/2019","$23.10","4.6","3,175","$10.89","751","7","FBA","3","Sports & Outdoors","Standard","5.59 x 2.05 x 12.24 in","1.31 kg","https://www.amazon.com/dp/B07YNR5HRW"
"Average Sales Rank: 86,281","","B0C73RSRQD","Flex Therapy Bar Strengthener, Tennis Elbow Physical Therapy Bar, Resistance Bar for Golfers Elbow, Tendonitis, Wrist, Forearms Pain Relief","Hshbxd","$11.99","1,014","40","$12,158","06/04/2023","$6.42","4.3","107","$5.57","4,854","7","FBA","1","Sports & Outdoors","Standard","3.7 x 1.77 x 14.45 in","0.34 kg","https://www.amazon.com/dp/B0C73RSRQD"
"Average Rating Number: 4.5","","B0CMQ97417","Flex Therapy Bar for Physical Therapy, Resistance Bar Relieves Tendonitis Pain,Hand Therapy Bar for Tennis Elbow, Golfer's Elbow, Wrist, Forearms Pain Relief","Hshbxd","$29.99","150","5","$4,499","11/05/2023","$18.16","4.9","24","$11.83","43,097","7","FBA","1","Sports & Outdoors","Standard","5.98 x 1.97 x 12.56 in","1.54 kg","https://www.amazon.com/dp/B0CMQ97417"
"","","B08S7Q4Q8K","Serenilite Flexible Resistance Bar, Grip Strength Trainer, Resistance Band, Forearm Exerciser Workout, Flexible Bar for Tennis Elbow, Golfers Elbow, Physical Therapy, Pain Relief, Tendonitis, Recovery","Serenilite","$18.45","545","19","$10,055","01/05/2021","$11.16","4.6","753","$7.29","11,571","7","FBA","2","Sports & Outdoors","Standard","1.93 x 1.93 x 12.83 in","0.45 kg","https://www.amazon.com/dp/B08S7Q4Q8K"
"","","B0C8HNMJTN","GD Twist Grip Adjustable Resistance Bar for Physical Therapy, Relieves Tendonitis Pain & Improve Grip Strength, Grip Strength Trainer, Hand Exerciser Bars, Wrist and Elbow Strengthener, Multi-Flex Bars","GD","$41.90","50","5","$2,095","06/18/2023","$30.48","4.5","37","$11.42","47,540","7","FBA","1","Sports & Outdoors","Standard","4.3 x 2.3 x 16.3 in","1.55 lb","https://www.amazon.com/dp/B0C8HNMJTN"
