"Export time:  2/17/2024, 6:05:19 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B093561LRQ","Resistance Band Bar for Fitness  Workout Bar for Exercise, Squat, Biceps, Triceps, Shoulders, Back  Adjustable 3 Parts Bar for Resistance Bands  Durable Portable Steel Pilates Resistance Bar","CTRL Sports","$49.95","170","7","$8,492","12/31/2023","$36.03","4.5","425","$13.92","32,142","6","FBA","2","Sports & Outdoors","Standard","5 x 2.4 x 16.6 in","1.75 kg","https://www.amazon.com/dp/B093561LRQ"
"Resistance Bar","","B09X8B4CPN","Vive Twist Bar for Physical Therapy & Tennis Elbow Relief - For Improving Tendonitis & Grip Strength - Flex Resistance for Golfers, Hand, Epicondylitis, Equipment - Strengthens Wrists & Forearms","Vive","$14.99","448","26","$6,716","04/05/2022","$8.97","4.6","154","$6.02","28,174","7","FBA","1","Health & Household","Standard","2.28 x 2.2 x 12.36 in","6.38 oz","https://www.amazon.com/dp/B09X8B4CPN"
"Average Monthly Sales: 926","","B0CGWYQT9J","ZEAGUS Resistance Bar for Physical Therapy 3Pack,Flexible Non-slip Twisting Hand Exercise Bar,Relieves Tendonitis Pain&Improve Grip Strength,Hand Therapy Bar for Injury Recovery, Forearm Therapy &","ZEAGUS","$31.99","390","13","$12,476","08/29/2023","","4.6","199","","17,703","","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CGWYQT9J"
"Average Revenue: $32,628","","B0CLGJHSQ6","Twist Hand Exerciser Flexible Bars for Physical Therapy-Alleviates Tendonitis Pain and Enhances Grip Strength-Effective for Tennis Elbow, Golfer's Elbow,Tendonitis,Wrist","benlexben","$26.99","60","2","$1,619","10/19/2023","$15.91","4.5","10","$11.08","164,650","7","FBA","1","Health & Household","Standard","5.98 x 4.06 x 14.41 in","1.02 kg","https://www.amazon.com/dp/B0CLGJHSQ6"
"Average Price: $36.99","","B0C3CP4FV2","Pilates Bar Kit with 4 Resistance Bands, Portable Pilates Bar for Home Gym Workout, Adjustable 3-Section Pilates Stick Bar for Women and Men Full Body Shaping","KEMLDIVS","$21.99","832","17","$18,296","04/23/2023","$12.26","4.5","113","$9.73","12,587","7","FBA","1","Sports & Outdoors","Standard","4.02 x 3.9 x 13.86 in","1.49 kg","https://www.amazon.com/dp/B0C3CP4FV2"
"Average No. of Ratings: 954","","B08ZKB4GL3","WeluvFit Pilates Bar Kit with Resistance Bands, Pilates Bar with Non-Slip Foot Belts /3-Section/Exercise Equipment for Women & Men, Home Workouts Stainless Steel Stick Squat Yoga for Full Body","WeluvFit","$29.99","3,958","120","$118,700","03/19/2021","$19.06","4.4","1,859","$10.93","1,094","8","FBA","3","Sports & Outdoors","Standard","4.49 x 3.23 x 15.2 in","1.62 kg","https://www.amazon.com/dp/B08ZKB4GL3"
"Average Sales Rank: 49,323","","B0C26K466M","Portable Resistance Band Bar - Steel Resistance Bar for Resistance Bands - Resistance Bar for Working Out - Dual Cable Machine Bar - Straight Bar Cable Attachment - Adjustable from 38' to 26'","Tribe Lifting","$29.97","388","18","$11,628","07/20/2023","$19.68","4.5","67","$10.29","12,282","7","FBA","1","Sports & Outdoors","Standard","5.51 x 1.97 x 14.06 in","1.31 kg","https://www.amazon.com/dp/B0C26K466M"
"Average Rating Number: 4.5","","B07WHWD12D","INNSTAR Home Gym Workout bar 38' Black Max Load 800lb for Resistance Bands Training Full Body Exercise Power Lifting Fitness Bar (Black-38'')","INNSTAR","$49.99","206","10","$10,298","08/13/2019","$32.03","4.6","1,636","$17.96","21,942","7","FBA","4","Sports & Outdoors","Oversize","2.8 x 2.8 x 38.8 in","1.5 kg","https://www.amazon.com/dp/B07WHWD12D"
"","","B0CLRWMK8D","Upgraded Push Up Board: Multi-Functional Push Up Bar with Resistance Bands, Portable Home Gym, Strength Training Equipment, Push Up Handles for Perfect Pushups, Home Fitness for Men and Women","LALAHIGH","$69.99","1,563","29","$109,394","10/24/2023","$49.76","4.3","2,026","$20.23","7,088","7","FBA","1","Sports & Outdoors","Standard","10.55 x 5.55 x 15.43 in","3.73 kg","https://www.amazon.com/dp/B0CLRWMK8D"
"","","B08S7Q4Q8K","Serenilite Flexible Resistance Bar, Grip Strength Trainer, Resistance Band, Forearm Exerciser Workout, Flexible Bar for Tennis Elbow, Golfers Elbow, Physical Therapy, Pain Relief, Tendonitis, Recovery","Serenilite","$18.45","545","19","$10,055","01/05/2021","$11.16","4.6","753","$7.29","11,571","7","FBA","2","Sports & Outdoors","Standard","1.93 x 1.93 x 12.83 in","0.45 kg","https://www.amazon.com/dp/B08S7Q4Q8K"
"","","B00NPZ7G36","Bionic Body Workout Bar  Fits All Resistance Bands with Clip, 38 Inches Long BBEB-020, Black, 2.00 x 3.25 x 21.00 inches, 1.5 x 1.5 x 38'","BIONIC BODY","$27.99","550","15","$15,395","09/18/2014","$13.71","4.6","4,936","$14.28","14,967","7","AMZ","4","Sports & Outdoors","Oversize","3.15 x 1.93 x 20.71 in","1.59 kg","https://www.amazon.com/dp/B00NPZ7G36"
"","","B08RBXNKL8","Bbtops Pilates Bar Kit with Resistance Bands,3-Section Pilates Bar with Stackable Bands Workout Equipment for Legs,Hip,Waist and Arm,Exercise Fitness Equipment for Women & Men Home Gym Yoga Pilates","Bbtops","$25.99","6,077","220","$157,941","12/25/2020","$15.36","4.3","3,337","$10.63","405","7","FBA","1","Sports & Outdoors","Standard","4.49 x 4.37 x 13.74 in","1.26 kg","https://www.amazon.com/dp/B08RBXNKL8"
