"Export time:  2/17/2024, 7:36:13 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CTT1QD78","Xanadued Golf Trainer Ball Golf Training Aid Golf Swing Trainer Golf Swing Training Aid Smart Ball Golf Training Aid Golf Swing Training Aid Golf Wrist Trainer Golf Training Equipment for Beginner","Xanadued","$33.99","150","5","$5,099","02/01/2024","$25.12","","","$8.87","45,799","7","FBA","1","Sports & Outdoors","Standard","4.7 x 4.6 x 5.4 in","6.88 oz","https://www.amazon.com/dp/B0CTT1QD78"
"Retractable Golf Swing Training Aid Golf Grip Trainer & Golf Swing Trainer for Warm-up Right-Handed Golf Club for Indoor Practice Golf Accessories - Strength & Tempo Training for Chipping Hitting","","B004N7RL1W","EyeLine Golf Impact Cube - Portable Swing Training Aids/Tool for Degree/Angle/Scooping, Practice Driving Indoor and Outdoor","EyeLine Golf","$74.95","79","6","$5,921","05/10/2012","$56.98","4","58","$17.97","41,584","6","FBA","1","Sports & Outdoors","Standard","12.6 x 1.77 x 13.89 in","0.41 kg","https://www.amazon.com/dp/B004N7RL1W"
"Average Monthly Sales: 215","","B0CJMYPMVR","NetNinja Golf Club Grip Trainer for Correct Hand Position & Grasp. Creates Muscle Memory for Optimal Play. Super Lightweight, Non-Slip, 6' Long, for Right Handed Players (Sold Individually)","Generic","$12.99","123","4","$1,598","09/21/2023","$7.50","3.6","11","$5.49","54,276","8","FBA","1","Sports & Outdoors","Standard","1.54 x 1.42 x 6.54 in","0.03 kg","https://www.amazon.com/dp/B0CJMYPMVR"
"Average Revenue: $6,303","","B0CN6R54CP","TeeTime Golf Practice Mat - Patent Pending - Versatile Swing Trainer with Interchangeable Surfaces, Dual-Tone Sequin Design - Ideal for Indoor/Outdoor Golf Training - Includes Carry Clip","TeeTime.","$39.00","60","2","$2,340","11/12/2023","$25.22","5","1","$13.78","126,544","7","FBA","1","Sports & Outdoors","Standard","12 x 1 x 16 in","1.36 kg","https://www.amazon.com/dp/B0CN6R54CP"
"Average Price: $45.09","","B0C9LPJSHX","Retractable Golf Swing Training Aid, Golf Grip Trainer & Golf Swing Trainer for Warm-up, Right-Handed Golf Club for Indoor Practice, Golf Accessories - Strength & Tempo Training for Chipping Hitting","THE GOLFER STORE","$35.99","812","19","$29,224","08/14/2023","$26.07","4.3","33","$9.92","11,600","6","FBA","1","Sports & Outdoors","Standard","1.89 x 1.85 x 15.79 in","0.39 kg","https://www.amazon.com/dp/B0C9LPJSHX"
"Average No. of Ratings: 378","","B09PL6QW2P","Golf Swing Trainer Aid, Golf Grip Trainer for Warm-up, Swing Tempo Training - Weighted Golf Club for Indoor Practice, Right-Handed Chipping Hitting Golf Accessories","Golfupp","$28.99","208","9","$6,030","01/02/2022","$14.94","4.3","61","$14.05","26,384","7","FBA","2","Sports & Outdoors","Oversize","1.8 x 1.7 x 27.7 in","1 kg","https://www.amazon.com/dp/B09PL6QW2P"
"Average Sales Rank: 177,974","","B0CN7C1G78","SAMPEN Golf Swing Training Aid, Stretchable Golf Swing Trainer Golf Grip Rod for Warm-up, Indoor Practice, Golf Stick Improve Rhythm, Flexibility, Balance, Tempo and Strength for Chipping Hitting","SAMPEN","$34.99","50","2","$1,750","11/12/2023","$25.22","","","$9.77","106,082","7","FBA","1","Sports & Outdoors","Standard","2 x 2 x 16 in","0.99 lb","https://www.amazon.com/dp/B0CN7C1G78"
"Average Rating Number: 4.1","","B0CQW7XLBT","Retractable Golf Swing Training Aid, Golf Grip Trainer & Golf Swing Trainer for Warm-up, Right-Handed Golf Club for Indoor Practice, Golf Accessories - Strength & Tempo Training for Chipping Hitting","","$65.00","","","","","","","","","","","FBM","","","","","","https://www.amazon.com/dp/B0CQW7XLBT"
"","","B0CK6G6T2K","Sk Athletics Golf Swing Trainer | Golf Alignment Stick | Golf Trainer Enhances Strength & Swing Path-Durable Golf Swing Training Aid | Golf Grip Trainer from Fiberglass,TPU | Indoor Golf Training Aid","Sk Athletics","$49.99","136","12","$6,799","09/30/2023","$32.03","4.8","26","$17.96","18,596","6","FBA","1","Sports & Outdoors","Oversize","3.25 x 2.5 x 37.5 in","0.68 kg","https://www.amazon.com/dp/B0CK6G6T2K"
"","","B0019GKDTM","SKLZ Golf Tempo & Grip Trainer for Right-Handed Golfers","SKLZ","$39.99","766","32","$30,632","05/13/2008","$23.91","4.4","3,053","$16.08","6,415","5","AMZ","8","Sports & Outdoors","Oversize","3 x 3 x 27.5 in","1.04 kg","https://www.amazon.com/dp/B0019GKDTM"
