"Export time:  2/17/2024, 7:46:04 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B000ETKYYO","Ultra Pro Semi-Rigid 1/2' Lip Sleeves, Plastic, 200ct","Ultra Pro","$15.99","737","24","$11,785","04/03/2005","$8.45","4.3","1,269","$7.54","8,778","4","AMZ","13","Sports & Outdoors","Standard","3.5 x 5 x 7.5 in","1 lb","https://www.amazon.com/dp/B000ETKYYO"
"Rigid Card Holders","","B09NQDGFXF","BCW Semi-Rigid Card Holder 1-100 ct","BCW","$13.10","132","3","$1,729","12/15/2021","$7.60","4.4","32","$5.51","71,306","3","FBA","7","Office Products","Standard","3.3 x 4.9 x 2.7 in","0.634 oz","https://www.amazon.com/dp/B09NQDGFXF"
"Average Monthly Sales: 1,028","","B079ZXL1W5","BCW Semi Rigid Card Holder - 50 Trading Card Sleeves | PSA, BGS, SGC & CSG Grading Submission Sleeves for Cards - Sports Card, MTG Card Sleeves, Yugioh Card Sleeves, Pokemon Card - Save or Grade!","BCW","$9.50","867","15","$8,237","02/22/2018","$4.56","4.6","1,000","$4.94","14,535","6","FBA","4","Sports & Outdoors","Standard","7.87 x 1.57 x 7.87 in","10.23 oz","https://www.amazon.com/dp/B079ZXL1W5"
"Average Revenue: $18,679","","B0C9S3S5J3","BCW SR1 Grading Submission Sleeves for PSA | Save & Grade Your Cards | Semi Rigid Card Holder 200ct","BCW","$24.18","2,268","102","$54,840","06/28/2023","$13.90","4.7","227","$10.28","1,395","6","FBA","3","Sports & Outdoors","Standard","5.39 x 3.78 x 6.65 in","2.89 lb","https://www.amazon.com/dp/B0C9S3S5J3"
"Average Price: $22.85","","B0C95RM3L4","/CARDDICT Trading Card Holder Compatible with Pokemon Card, 3-1/8 x 4-1/8 200ct Semi Rigid Clear Sports Cards Saver, Card Graders Lip Sleeves Protectors for MTG, Yugioh Card, Baseball Game Card","/CARDDICT","$24.99","1,462","51","$36,535","05/22/2023","$15.45","4.7","308","$9.54","3,567","7","FBA","2","Sports & Outdoors","Standard","3.13 x 0.1 x 4.13 in","2.9 lb","https://www.amazon.com/dp/B0C95RM3L4"
"Average No. of Ratings: 1,005","","B07773FYWZ","BCW Topload Card Holder for Standard Trading Cards, 6 Packs of 25, 3x4 Inch, Up to 20 pts, Toploaders for Cards, Pokemon, Football, Magic, Baseball Cards, and More, Hard Plastic Protector Sleeves","BCW","$15.96","165","10","$2,633","12/16/2017","$7.76","4.6","214","$8.20","21,780","6","FBA","5","Sports & Outdoors","Standard","5.5 x 5 x 7 in","2.5 lb","https://www.amazon.com/dp/B07773FYWZ"
"Average Sales Rank: 70,349","","B093LB9B3N","Semi Rigid Card Holders  50 Card Holders for Trading Cards and 50 Penny Sleeves - 100 Bundle  Baseball Card Sleeves - Baseball Card Protectors - 3-5/16' x 4-7/8' Including 1/2' Lip","GO DELIGHT","$17.95","2,192","79","$39,346","04/26/2021","$11.49","4.6","1,768","$6.46","2,021","7","FBA","1","Sports & Outdoors","Standard","4.69 x 2.01 x 5.43 in","11.2 oz","https://www.amazon.com/dp/B093LB9B3N"
"Average Rating Number: 4.5","","B09KM8SKML","Vault X Wide-Fit Semi-Rigid Card Holders for Trading Cards & Sports Card Grading submissions (200 Pack)","Vault X","$25.99","974","16","$25,314","10/27/2021","$16.30","4.7","287","$9.69","14,228","7","FBA","1","Sports & Outdoors","Standard","3.19 x 0.01 x 4.25 in","2.68 lb","https://www.amazon.com/dp/B09KM8SKML"
"","","B078SFLTJQ","Card Saver 1 by Cardboard Gold - PSA Recommended Trading Card Holder for Baseball, and More - Semi-Rigid, Archival Safe, 50ct Pack - Fits Standard & Oversized Cards","Cardboard Gold","$8.33","3,683","116","$30,679","05/30/2022","$3.29","4.7","3,602","$5.04","1,146","6","FBA","8","Sports & Outdoors","Standard","3.7 x 1.54 x 5.43 in","0.3 kg","https://www.amazon.com/dp/B078SFLTJQ"
"","","B0932P657Y","200ct Semi Rigid Card Holders - Card Sleeves for Trading Card with 1/2' Lip Sleeves Fit Standard Grading Cards Baseball Cards for Graded Card Submittions","P.Y.P Protect You Play","$20.99","256","7","$5,373","04/20/2021","$12.05","4.6","104","$8.94","32,077","6","FBA","1","Sports & Outdoors","Standard","3.31 x 0.01 x 4.84 in","2.57 lb","https://www.amazon.com/dp/B0932P657Y"
"","","B0CDGFC25N","D DACCKIT Semi Rigid Card Holder Binder - Holds 360 Semi Rigid Card Holders, 9 Pocket Trading Card Album fit for 3-5/16' x 4-7/8' Semi Rigid Card Holders for Trading Cards or Sports Cards - Dark Blue","D DACCKIT","$39.99","83","2","$3,319","08/01/2023","","4.5","77","","109,881","7","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CDGFC25N"
"","","B004KHV24W","Ultra Pro 25 3 X 4 Top Loader Card Holder for Baseball, Football, Basketball, Hockey, Golf, Single Sports Cards Top Loads","Ultra Pro","$6.48","3,381","103","$21,909","01/09/2010","$1.74","4.8","13,188","$4.74","1,379","5","FBA","17","Sports & Outdoors","Standard","3.11 x 1.69 x 4.02 in","0.18 kg","https://www.amazon.com/dp/B004KHV24W"
"","","B0C9SJ8LGY","BCW SR1 Grading Submission Sleeves for PSA | Save & Grade Your Cards | Semi Rigid Card Holder 400ct","BCW","$42.99","2,297","102","$98,748","07/21/2023","$29.51","4.7","227","$13.48","1,395","6","FBA","2","Sports & Outdoors","Standard","10.43 x 4.41 x 12.05 in","5.74 lb","https://www.amazon.com/dp/B0C9SJ8LGY"
"","","B0C1HB6X29","BCW Graded Card Slab Bumpers - Clear - 6 Pack | for Standard PSA Slab Case | Silicone Case for Graded Slabs | Easy Grip and Edge Protection | Graded Card Protector","BCW","$15.99","316","10","$5,053","04/03/2023","$10.05","4.5","23","$5.94","22,629","6","FBA","2","Sports & Outdoors","Standard","3.54 x 2.13 x 5.98 in","3.53 oz","https://www.amazon.com/dp/B0C1HB6X29"
"","","B0C9GJ571H","BCW SR1 Grading Submission Sleeves for PSA | Save & Grade Your Cards | Semi Rigid Card Holder 100ct","BCW","$15.99","2,279","102","$36,441","06/25/2023","$8.45","4.7","227","$7.54","1,395","6","FBA","1","Sports & Outdoors","Standard","4.37 x 3.11 x 6.5 in","1.37 lb","https://www.amazon.com/dp/B0C9GJ571H"
"","","B09SPC9X8Z","200 Ultra Pro Graded Card Submission Semi Rigid 1/2' Lip Tall Sleeves with Storage Box","Generic","$41.99","145","4","$6,089","02/16/2022","$29.90","4.7","109","$12.09","52,927","3","FBA","3","Sports & Outdoors","Standard","5.31 x 3.62 x 7.56 in","2.82 lb","https://www.amazon.com/dp/B09SPC9X8Z"
