"Export time:  1/29/2024, 6:11:03 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CN8QN9VX","EDENMS Desk Pencil Pen Holder, 9 Slots 360Degree Rotating Desk Organizer, Desktop Storage Pencil Pen Organizers Stationery Supplies, Cute Pencil Cup Pot for Office, School, Home, Art Supply (Blue)","EDENMS","$13.95","300","10","$4,185","12/21/2023","","4.5","32","","23,037","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CN8QN9VX"
"Rotating Desk Pen Pencil Holder","","B0CG9Y3K52","BXIHUR 360 Degree Rotation Pen Holder,9 Slots Pencil Holder for Desk,Desk Organizer,Desk Accessories & Workspace Organizers,Apply Office, School, HomeWhite","BXIHUR","$10.99","384","11","$4,220","08/21/2023","","4.8","19","","21,682","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CG9Y3K52"
"Average Monthly Sales: 796","","B091C9W3X6","Tiita Makeup Brush Holder Organizer360-Degree Rotating Multi-Functional Pen HolderAcrylic Multi-Purpose Desktop Stationary Organizer, Home Office Art Supply Storage Organizer","Tiita","$11.99","195","6","$2,338","03/29/2021","$6.65","4.4","302","$5.34","39,952","7","FBA","3","Office Products","Standard","4.96 x 5.47 x 4.88 in","0.37 lb","https://www.amazon.com/dp/B091C9W3X6"
"Average Revenue: $10,681","","B0BHSR1FR9","JIMEI True Natural Travertine Marble Rotating Revolver Pen Holder Stand for Desk - Free Spinning Executive Pencil Holder - Cool Gadgets For Desktop Organizer, Birthday Gifts for Men & Women","JIMEI","$32.99","30","","$989.70","10/09/2022","$22.90","4.6","21","$10.09","227,855","7","FBA","1","Office Products","Standard","2.87 x 3.97 x 2.87 in","1.8 lb","https://www.amazon.com/dp/B0BHSR1FR9"
"Average Price: $15.15","","B0BP1L6HKR","Lolocor Desk Pencil Pen Holder, 5 Slots 360 Degree Rotating Desk Pen Organizers for Desk Desktop Storage Stationery Supplies Cup Pot for Office School Home Art Supply White","Lolocor","$9.99","3,706","106","$37,023","12/04/2022","$4.72","4.7","620","$5.27","2,025","7","FBA","1","Office Products","Standard","5.12 x 5.51 x 5.51 in","8 oz","https://www.amazon.com/dp/B0BP1L6HKR"
"Average No. of Ratings: 324","","B0CQ51DT5F","Marbrasse Desk Organizer, 360-Degree Rotating Pen Holder for Desk, Desk Organizers and Accessories with 5 Compartments Pencil Organizer, Art Supply Storage Box Caddy for Office, Home (White+Grey)","Marbrasse","$11.99","15,646","409","$187,596","12/12/2023","","4.7","2,018","","288","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CQ51DT5F"
"Average Sales Rank: 64,542","","B0CLNYB8QK","Lumanman Acrylic Pen Holder, 360-Degree Rotating Pen Organizer for Desk, Clear Pencil Organizer, Marker Holder Caddy, Art Supply Organizer Stationery Organizer for Office School Home","Lumanman","$25.99","60","2","$1,559","10/23/2023","","","","","94,697","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CLNYB8QK"
"Average Rating Number: 4.7","","B0B865TWZB","SETTFRFE Rotating Pencil Holder for Desk,Supplies Organizer Pen Caddy,6 Compartments Spinning Multi-Functional large Pen Holder for Desk (Metal plate punching style)","SETTFRFE","$15.95","395","8","$6,300","07/30/2022","","4.6","79","","29,138","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0B865TWZB"
"","","B08R9N5W8B","NIUBEE Acrylic Pen Pencil Holder 7 Compartments, Multi-capacity Marker Storage Art Supply Organizer, 360 Rotating Clear Pencil Cup","NIUBEE","$29.99","300","6","$8,997","12/24/2020","$18.76","4.7","379","$11.23","35,507","6","FBA","2","Office Products","Standard","8.78 x 10 x 6.969 in","2.249 lb","https://www.amazon.com/dp/B08R9N5W8B"
"","","B0C7FTVLQ7","SNOW COOLER 360 Degree Rotating Desk Organizer, Dual-Purpose Pencil Pen Holder for Desk, Rotating Desk Pen Organizer with 5 Slots, Art Supply, Pencil Cup for Office, School, Home","SNOW COOLER","$8.99","955","33","$8,585","06/07/2023","$3.87","4.6","3,284","$5.12","7,472","6","FBA","1","Office Products","Standard","4 x 5 x 5 in","10.2 oz","https://www.amazon.com/dp/B0C7FTVLQ7"
"","","B093GTYWX2","Pen Holder for Desk, Marker Organizer 360-degree Rotating Pen Organizer with 6 Compartments, Rotating Desk Organizer Acrylic Pencils Holder, Holds over 600+ pencils","volepet","$29.99","140","6","$4,199","07/06/2021","$18.76","4.4","165","$11.23","36,384","7","FBA","1","Office Products","Standard","8.6 x 10.2 x 6.5 in","1 lb","https://www.amazon.com/dp/B093GTYWX2"
"","","B0C27RNLJ3","DOCMON Pen Pencil Holder for Desk, 360 Rotating Pen Pencil Holder Desk Organizer, 5 Slots Spinning Pen Cup for School, Office, Home, Art Supply (White)","DOCMON","$9.99","449","14","$4,486","04/11/2023","$4.72","4.7","137","$5.27","17,318","6","FBA","1","Office Products","Standard","3 x 3 x 3 in","9.9 oz","https://www.amazon.com/dp/B0C27RNLJ3"
"","","B091C1QCVP","MeCids 360 Rotating Storage Organizer Desk Organizers Pen Holder 12 Lazy Susan Style Caddy with Removable Bins, for Home Office Supplies, Art Supplies, Make-up & Kitchen Use, with Card & Gift Box","MeCids","$29.99","326","7","$9,777","03/29/2021","$18.91","4.9","682","$11.08","30,702","7","FBA","1","Office Products","Standard","12.047 x 12.126 x 4.646 in","2.568 lb","https://www.amazon.com/dp/B091C1QCVP"
"","","B0BYVGTGCH","GGIANTGO Pencil Pen Holder for Desk, 9 Slots 360 Degree Rotating Desk Organizer, Cute Pen Organizers Stationery Supplies for Office Home & Art Supply (Beige)","GGIANTGO","$13.99","1,487","63","$20,803","03/17/2023","","4.8","261","","3,735","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYVGTGCH"
"","","B0BVR2HZ2H","Tyti Wicker Pencil Holder with 3 Compartments, Woven Pencil Cup for Desk, Makeup Brush Holders Organizer,Round Cosmetics Brushes Cup, Multifunctional Office Supplies for Home,Kids and School","Tyti","$9.99","20","1","$199.80","04/12/2023","","5","13","","160,404","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BVR2HZ2H"
"","","B0CJ4JSX28","Agirlvct Desk Pencil Pen Holder,9 Slots Desk Organizers, 360 Degree Spinning Desktop Makeup Storage Stationery Supplies,Cute Cup Pot for Office, School, Art Supply, Kids Art Room,Kitchen-White","Agirlvct","$14.99","232","4","$3,478","09/14/2023","","5","3","","57,371","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CJ4JSX28"
"","","B0CM91F35M","WAVEYU Cute Pen Holder for Desk, Ceramic Pencil Holder, Makeup Brush Holders, Desktop Stationery Organizer for School Students Office Women Teens Girls Boys, Words","WAVEYU","$13.59","1,409","40","$19,148","10/31/2023","","4.8","379","","6,192","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CM91F35M"
"","","B0CF52T8R1","Spacrea Pencil Holder for Desk - 360 Degree Rotating Pen Organizer, Desk Organizer with 4 Compartments, Pen Holder for Desk, For School, Classroom, Office, Art Supplies(Black)","Spacrea","$16.99","1,240","27","$21,068","09/13/2023","","4.6","149","","9,300","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CF52T8R1"
"","","B09VKYXBHV","Flytreal Mesh Rotating Desk Organizer, Black Pen Pencil Holder Metal Desktop Stationery Storage Caddy, 4 Compartments Large Capacity Organizer for Home Office School Art Supplies","Flytreal","$19.99","102","3","$2,039","03/14/2022","$11.85","4.7","108","$8.14","66,026","6","FBA","1","Office Products","Standard","7.008 x 7.047 x 5.512 in","1.314 lb","https://www.amazon.com/dp/B09VKYXBHV"
