"Export time:  2/17/2024, 6:06:55 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C1NQJJ52","Snorkel Vests for Adults, Abuytwo Inflatable Snorkeling Vest Adjustable Waist-Belt Swim Vest Snorkel Jacket Buoyancy Vest","Abuytwo","$36.99","339","12","$12,540","07/03/2022","$25.01","4.4","84","$11.98","19,652","8","FBA","1","Sports & Outdoors","Standard","7.87 x 2.32 x 11.06 in","0.35 kg","https://www.amazon.com/dp/B0C1NQJJ52"
"Snorkel Vests","","B071Z4V4DD","Rrtizan Snorkel Vest, Adults Portable Inflatable Swim Vest Buoyancy Aid Swim Jackets for Men & Women","Rrtizan","$22.99","158","4","$3,632","05/11/2017","$15.77","4.5","1,501","$7.22","59,912","6","FBA","2","Sports & Outdoors","Standard","7.36 x 2.13 x 9.37 in","0.26 kg","https://www.amazon.com/dp/B071Z4V4DD"
"Average Monthly Sales: 231","","B0CRDR8HB5","Snorkel Vest for Adults, Inflatable Snorkeling Vest for Men & Women, Portable Swim Jacket & Buoyancy Vest for Snorkeling, Swimming, Kayaking, Boating","Jurmickey","$25.99","513","9","$13,333","01/02/2024","$15.66","4.6","659","$10.33","24,085","7","FBA","1","Sports & Outdoors","Standard","9.76 x 1.61 x 12.48 in","0.37 kg","https://www.amazon.com/dp/B0CRDR8HB5"
"Average Revenue: $7,093","","B07QJ288HD","WACOOL Inflatable Snorkel Diving Swimming Scuba Vest Jacket Large Buoyancy Up to 220 lbs for Adult Youth Kids","WACOOL","$19.99","442","15","$8,836","06/09/2019","$13.22","4.4","832","$6.77","14,902","6","FBA","1","Sports & Outdoors","Standard","7.44 x 1.61 x 9.13 in","0.26 kg","https://www.amazon.com/dp/B07QJ288HD"
"Average Price: $31.18","","B08XSYKTMJ","Khroom Inflatable Snorkel Vest Adults and Teenagers | 60'-75' / 90 lbs-240 lbs | Weighs only 400 Grams | Buoyancy Jacket for Snorkeling and SUP - Snorkel Jacket, Buoyancy Aid, Buoyancy Vest","Khroom","$29.99","1,410","47","$42,286","08/31/2022","","4.2","1,881","","4,008","6","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B08XSYKTMJ"
"Average No. of Ratings: 467","","B07H8N1ZSZ","Seaview Palawan Inflatable Snorkel Vest - Premium Snorkel Jacket for Adults. Balanced Flotation, Secure Lock and Comfort Fit. for Snorkeling, Paddle-Boarding and Other Low Impact Water Sports.","Seaview 180","$79.99","651","19","$52,073","09/10/2018","$60.96","4.6","770","$19.03","11,485","7","FBA","8","Sports & Outdoors","Standard","10.1 x 2.4 x 15.2 in","0.62 kg","https://www.amazon.com/dp/B07H8N1ZSZ"
"Average Sales Rank: 113,284","","B072295N17","Lyuwpes Inflatable Snorkel Vest Adult Snorkeling Jackets Free Diving Swimming Safety Load Up to 220 Ibs","Lyuwpes","$21.95","604","17","$13,258","04/18/2017","$14.89","4.5","1,714","$7.06","13,026","7","FBA","1","Sports & Outdoors","Standard","7.2 x 1.46 x 9.21 in","0.28 kg","https://www.amazon.com/dp/B072295N17"
"Average Rating Number: 4.4","","B08BCHC7S5","Rrtizan Swim Vest for Adults, Buoyancy Aid Swim Jackets - Portable Inflatable Snorkel Vest for Swimming, Snorkeling, Kayaking, Paddle Boating and Other Low Impact Water Sports Safety","Rrtizan","$23.99","380","12","$9,116","07/30/2020","$13.81","4.1","2,182","$10.18","18,947","7","AMZ","2","Sports & Outdoors","Standard","10.28 x 1.54 x 12.56 in","0.39 kg","https://www.amazon.com/dp/B08BCHC7S5"
"","","B0C57NJ5MQ","Inflatable Snorkel Vest - Portable Snorkel Vests for Adults - Durable Scuba Vest for Scuba Diving - Reliable Snorkel Floatation Device - Compact Snorkeling Vest with Pocket","aby","$19.95","207","5","$4,130","05/17/2023","$13.19","4.9","24","$6.76","47,428","6","FBA","1","Sports & Outdoors","Standard","7.4 x 1.61 x 8.39 in","0.31 kg","https://www.amazon.com/dp/B0C57NJ5MQ"
"","","B0CRDPRX6V","Snorkel Vest for Adults, Inflatable Snorkeling Vest for Men & Women, Portable Swim Jacket & Buoyancy Vest for Snorkeling, Swimming, Kayaking, Boating","Jurmickey","$25.99","531","9","$13,801","01/02/2024","$15.66","4.6","659","$10.33","24,085","7","FBA","1","Sports & Outdoors","Standard","9.96 x 1.65 x 12.28 in","0.37 kg","https://www.amazon.com/dp/B0CRDPRX6V"
"","","B089W36MGF","Rrtizan Snorkel Vest, Adults Portable Inflatable Swim Vest Jackets for Snorkeling Swimming Diving Safety","Rrtizan","$20.99","502","19","$10,537","06/08/2020","$14.07","4.4","2,101","$6.92","11,252","6","FBA","2","Sports & Outdoors","Standard","7.64 x 1.46 x 9.02 in","0.27 kg","https://www.amazon.com/dp/B089W36MGF"
"","","B0CB5R6SDP","Inflatable Snorkel Vest Adults Swim Vest Portable Snorkeling Jackets for Diving Swimming Kayaking Surfing Safety Load Up to 220 Ibs","lnztzol","$18.99","15","1","$284.85","07/04/2023","$12.37","","","$6.62","199,749","7","FBA","1","Sports & Outdoors","Standard","7 x 1.5 x 9 in","0.25 kg","https://www.amazon.com/dp/B0CB5R6SDP"
"","","B09VB4X7WL","Swim Vest for Adults,Inflatable Buoyancy Vests-Portable Snorkel Vest forDiving Surfing Swimming Outdoor Water Sports","XZSUN","$14.99","111","3","$1,664","03/10/2022","$8.97","4.3","97","$6.02","86,314","7","FBA","1","Sports & Outdoors","Standard","7.4 x 1.5 x 8.46 in","0.25 kg","https://www.amazon.com/dp/B09VB4X7WL"
"","","B0C1NKFJ1Z","Snorkel Vests for Adults, Abuytwo Inflatable Snorkeling Vest Adjustable Waist-Belt Swim Vest Snorkel Jacket Buoyancy Vest","Abuytwo","$36.99","343","12","$12,688","07/03/2022","$25.01","4.4","84","$11.98","19,652","7","FBA","1","Sports & Outdoors","Standard","8.46 x 2.36 x 11.02 in","0.37 kg","https://www.amazon.com/dp/B0C1NKFJ1Z"
"","","B08BCHLZR1","Rrtizan Swim Vest for Adults, Buoyancy Aid Swim Jackets - Portable Inflatable Snorkel Vest for Swimming, Snorkeling, Kayaking, Paddle Boating and Other Low Impact Water Sports Safety","Rrtizan","$23.99","374","12","$8,972","09/23/2019","$13.96","4.1","2,182","$10.03","18,947","7","AMZ","3","Sports & Outdoors","Standard","9.92 x 1.97 x 12.36 in","0.38 kg","https://www.amazon.com/dp/B08BCHLZR1"
"","","B07SBYP99K","OMOUBOI Snorkel Vests Adults Inflatable Floatage Jackets Lightweight Kayak Buoyancy Vest Portable Floatage Vests for Diving Surfing Swimming Outdoor Water Sports (Suitable for 100-220lbs)","OMOUBOI","$24.99","183","2","$4,573","05/26/2019","$14.51","4","689","$10.48","94,088","6","FBA","2","Sports & Outdoors","Standard","9.92 x 2.17 x 12.2 in","0.46 kg","https://www.amazon.com/dp/B07SBYP99K"
"","","B0BXLSVZSV","Inflatable Snorkel Vest Adults, Portable Snorkel Jacket, Buoyancy Vest for Snorkeling, Swimming, Kayaking, Boating, Safety Load Up to 220 Ibs","Jurmickey","$19.99","203","15","$4,058","03/06/2023","$13.22","4.4","95","$6.77","14,746","7","FBA","1","Sports & Outdoors","Standard","7.36 x 1.26 x 9.13 in","0.24 kg","https://www.amazon.com/dp/B0BXLSVZSV"
"","","B0BX9LXSY2","2 Pcs Safety Vest for Adults, Portable Swim Vest Jackets, Adjustable Kayaking Jackets Safety Vests for Swimming Surfing","Meooeck","$26.99","359","13","$9,689","03/21/2023","$17.15","4.3","46","$9.84","16,986","6","FBA","1","Sports & Outdoors","Standard","6.93 x 2.44 x 9.13 in","0.46 kg","https://www.amazon.com/dp/B0BX9LXSY2"
"","","B0BN9PY1PJ","Faxpot Snorkel Vest, Adults Portable Kayaking Buoyancy Inflatable Swim Vest Jackets, Diving Surfing Adjustable Snorkeling Vest Swimming Jacket for Outdoor Water Sports Fun Safety","Faxpot","$20.99","45","3","$944.55","11/24/2022","$14.07","4.1","103","$6.92","67,227","7","FBA","1","Sports & Outdoors","Standard","7.13 x 1.81 x 8.82 in","0.25 kg","https://www.amazon.com/dp/B0BN9PY1PJ"
"","","B0BRS2NJSZ","4 Pcs Inflatable Snorkel Vest Adults, Portable Swim Vest Jackets, Adjustable Kayaking Jackets Safety Vests for Snorkeling Swimming Diving Surfing","Jerify","$47.99","174","5","$8,350","01/05/2023","$33.76","4.4","62","$14.23","45,896","7","FBA","1","Sports & Outdoors","Standard","7.87 x 4.84 x 9.29 in","1.04 kg","https://www.amazon.com/dp/B0BRS2NJSZ"
"","","B097MKTKTY","SOLY Inflatable Snorkel Vest Adult, Snorkeling Vest Adjustable Light Snorkeling Jackets for Diving LowImpact Water Sports Safety","SOLY","$13.69","270","9","$3,696","06/22/2021","$7.27","4.4","160","$6.42","26,054","7","FBA","1","Sports & Outdoors","Standard","7.5 x 9 x 1 in","0.549 lb","https://www.amazon.com/dp/B097MKTKTY"
"","","B01MR4WG1R","WACOOL Inflatable Snorkel Diving Swimming Scuba Vest Jacket Large Buoyancy Up to 220 lbs for Adult Youth Kids","WACOOL","$19.99","460","15","$9,195","01/06/2017","$13.22","4.4","832","$6.77","14,902","6","FBA","1","Sports & Outdoors","Standard","7.17 x 1.5 x 9.37 in","0.25 kg","https://www.amazon.com/dp/B01MR4WG1R"
"","","B004UDMD44","Scuba Choice Youth Kids Snorkel Vest Neon Yellow/Blue with Name Box","Scuba Choice","$22.99","180","6","$4,138","03/29/2011","$15.77","4.7","130","$7.22","38,432","5","AMZ","2","Sports & Outdoors","Standard","6 x 8.5 x 2 in","0.5 lb","https://www.amazon.com/dp/B004UDMD44"
"","","B0C2HCS8F2","Snorkel Vest, Inflatable Swimming Vest for Adults, Adjustable Snorkeling Vest Swimming Jacket for Outdoor Kayaking Buoyancy Diving Surfing Water Sports Safety (Green)","AmFUN","$27.99","72","3","$2,015","04/13/2023","$18.00","4.8","12","$9.99","76,683","7","FBA","1","Sports & Outdoors","Standard","7.68 x 2.24 x 9.8 in","0.5 kg","https://www.amazon.com/dp/B0C2HCS8F2"
"","","B0CJJHJQ9S","TYUTOSEG Snorkel Vests for AdultsInflatable Snorkel Vest for Adults for Water Sports Fun Safety","TYUTOSEG","$12.69","113","4","$1,434","09/20/2023","$7.02","5","2","$5.67","60,573","7","FBA","1","Sports & Outdoors","Standard","7.4 x 1.42 x 9.57 in","0.25 kg","https://www.amazon.com/dp/B0CJJHJQ9S"
"","","B004UDBCI2","Scuba Choice Adult Neon Yellow Snorkel Vest with Name Box, Large","Scuba Choice","$22.99","36","1","$827.64","03/29/2011","$15.77","4.6","106","$7.22","134,235","3","AMZ","2","Sports & Outdoors","Standard","6 x 8 x 2 in","0.549 lb","https://www.amazon.com/dp/B004UDBCI2"
"","","B0C7ZZ4QTP","Snorkel Life Vest for AdultsSnorkeling Vest for Kayaking Adjustable Snorkel Vest for Water Sports Fun Safety","TYUTOSEG","$12.69","134","7","$1,700","08/09/2023","$7.02","4.3","10","$5.67","35,271","6","FBA","1","Sports & Outdoors","Standard","7.68 x 1.46 x 9.29 in","0.25 kg","https://www.amazon.com/dp/B0C7ZZ4QTP"
"","","B0000DYVFY","ScubaPro Cruiser Skin Dive Safety Snorkeling Vest","Scubapro","$145.00","30","1","$4,350","09/26/2011","$116.82","4.3","270","$28.18","217,544","4","FBA","7","Sports & Outdoors","Standard","11 x 3 x 13 in","2 lb","https://www.amazon.com/dp/B0000DYVFY"
"","","B0C2PX6X8W","Jerify 8 Pcs Inflatable Snorkel Vest Adult, Adjustment Swim Safety Vest Jackets Portable Kayaking Jacket Vests for Swimming Surfing","Jerify","$69.99","","","$0.00","04/16/2023","$50.96","4.3","5","$19.03","249,663","6","FBA","1","Sports & Outdoors","Standard","8.86 x 6.06 x 12.24 in","2.31 kg","https://www.amazon.com/dp/B0C2PX6X8W"
"","","B00V97LJPS","Scuba Choice Adult Royal Blue Snorkel Vest w/Crotch Strap, Size XL","Scuba Choice","$18.98","","","$378.60","03/25/2015","$12.37","4.8","70","$6.61","243,358","4","AMZ","1","Sports & Outdoors","Standard","7 x 9.5 x 1.7 in","0.549 lb","https://www.amazon.com/dp/B00V97LJPS"
