"Export time:  2/13/2024, 12:32:40 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CBFXBRYM","4 Pack Stackable Closet Organizers and Storage Bins, Stackable Plastic Storage Basket, Plastic Storage Drawer Basket Shelf for Clothing Cupboard Kitchen Bathroom Bedroom Office (White)","HoneySky","$29.99","347","18","$10,407","07/07/2023","$18.16","4.3","44","$11.83","52,321","7","FBA","1","Home & Kitchen","Standard","13.78 x 3.54 x 17.72 in","7 lb","https://www.amazon.com/dp/B0CBFXBRYM"
"Stackable Plastic Storage Basket","","B0CHVY2W32","Wenqik 8 Pack Stackable Plastic Storage Basket Foldable Closet Organizers Closet Drawers White Shelf Organizer Bins Shelf Storage Container for Clothing Wardrobe Bathroom, 16.93 x 12.72 x 7.09 inch","Wenqik","$65.99","","","$0.00","09/11/2023","$46.96","","","$19.03","1,164,704","7","FBA","1","Home & Kitchen","Standard","12.72 x 7.09 x 16.93 in","12.07 lb","https://www.amazon.com/dp/B0CHVY2W32"
"Average Monthly Sales: 1,551","","B08P16KRQJ","Pinkpum Stackable Plastic Storage Basket-Foldable Closet Organizers and Storage Bins 4 Pack-Drawer Shelf Storage Container for Wardrobe Cupboard Kitchen Bathroom Office 4L","Pinkpum","$37.99","4,208","127","$159,862","11/22/2020","$24.66","4.4","2,335","$13.33","5,808","7","FBA","4","Home & Kitchen","Standard","5.1 x 16.5 x 12.6 in","6.65 lb","https://www.amazon.com/dp/B08P16KRQJ"
"Average Revenue: $53,049","","B09NHR1K73","Lyuwanxian 4-Pack Stackable Wire Baskets for Closet Organizers and Storage, Open Storage Bins for Clothes, Toys, and Snacks - Rustic Metal Closet Organizers and Storage Shelves in Black","Lyuwanxian","$35.99","419","10","$15,080","12/12/2021","$10.25","4.3","112","$25.74","87,353","7","FBA","1","Home & Kitchen","Oversize","12.68 x 28.78 x 11.5 in","7.41 lb","https://www.amazon.com/dp/B09NHR1K73"
"Average Price: $36.27","","B0CCNT33ZZ","AREYZIN Storage Bins Plastic Storage Baskets With Lid Small Baskets for Organizing Stackable Storage Container Organizer Bins for Shelves Drawers Desktop Playroom Classroom Office, 6 Pack,Black","AREYZIN","$26.99","3,021","96","$81,537","09/13/2023","","4.5","2,367","","8,323","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCNT33ZZ"
"Average No. of Ratings: 1,208","","B0C8H8DHWX","VVoodeinck 4 Drawer Style Wardrobe Storage Boxes with Stackable Plastic Storage Basket Wardrobe Storage Box Kitchen Bathroom Bedroom Office Storage Box Layered Storage Box17*13*7IN","VVoodeinck","$25.99","256","8","$6,653","08/28/2023","$13.26","4.4","50","$12.73","113,752","6","FBA","1","Home & Kitchen","Standard","7.09 x 13.39 x 17.32 in","7.09 lb","https://www.amazon.com/dp/B0C8H8DHWX"
"Average Sales Rank: 123,511","","B0749FL8K4","Doryh Stackable Plastic Storage Baskets/Bins Organizer with Handles, Set of 4 (White, Grey)","Doryh","$19.99","116","2","$2,319","09/13/2017","$9.66","4.6","1,054","$10.33","391,426","5","FBA","1","Home & Kitchen","Standard","8.3 x 13.2 x 7.7 in","1.751 lb","https://www.amazon.com/dp/B0749FL8K4"
"Average Rating Number: 4.4","","B0BPHNYTHJ","Jakyitvi Stackable Closet Organizers and Storage Bins 4 Pack, Folded Drawer Shelf Organizer for Closet Wardrobe, Sturdy Metal Clothes Storage Container for Clothes Pants Sweaters, Black","Jakyitvi","$35.99","277","3","$9,969","12/07/2022","$22.81","4.1","67","$13.18","275,002","7","FBA","1","Home & Kitchen","Standard","12.91 x 4.72 x 17.24 in","8.66 lb","https://www.amazon.com/dp/B0BPHNYTHJ"
"","","B01DLPDOE4","Ggbin Plastic Storage Basket with Handles, Set of 3, 12' L x 8' W x 4' H","Ggbin","$17.99","27","2","$485.73","03/29/2016","$9.50","4.4","168","$8.49","388,985","5","FBA","1","Home & Kitchen","Standard","8 x 4 x 12 in","1.34 lb","https://www.amazon.com/dp/B01DLPDOE4"
"","","B0B825RMNF","CTSNSLH 4 Pack Folding Closet Organizers Storage Box, Stackable Plastic Drawer Basket for Clothing(White)","CTSNSLH","$37.99","3,562","90","$135,320","07/28/2022","","4.4","794","","8,985","7","FBA","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0B825RMNF"
