"Export time:  1/30/2024, 5:13:51 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CJ364XCV","Fluxxus 2 Pack Collapsible Storage Bins With Lids & Wheels, 11.5 Gal Plastic Folding Storage Bins, Stackable Storage Bins with Doors for Closet Organizers and Storage for Home, Office, Kitchen","Fluxxus","$89.99","86","1","$7,739","09/13/2023","$46.27","4.8","18","$43.72","445,561","7","FBA","1","Home & Kitchen","Oversize","13.8 x 26 x 21.7 in","12.42 lb","https://www.amazon.com/dp/B0CJ364XCV"
"Stackable Storage bins","","B0C8T9Z9HQ","KLONVS Closet Organizers and Storage, 21.13 Gallons/Piece Storage Bins with Lids, Stackable Storage Containers, Foldable Storage Boxes for Living Room, Bedroom & Dining Room(4 Pack)","KLONVS","$189.99","266","6","$50,537","09/24/2023","","4.5","373","","142,845","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C8T9Z9HQ"
"Average Monthly Sales: 3,392","","B0B4FZWRVR","HAIXIN Closet Organizers and Storage, Plastic Trunk Organizer, Dorm Room Essentials, 8.4 Gal Collapsible Storage Bins, Stackable Closet Organizer, 3 Pack Dorm Storage Bins with Lids and Doors","HAIXIN","$129.99","8,598","241","$1.12M","07/28/2022","$79.13","4.5","3,499","$50.86","2,311","6","FBA","3","Home & Kitchen","Oversize","12.2 x 35.43 x 19.29 in","10 lb","https://www.amazon.com/dp/B0B4FZWRVR"
"Average Revenue: $192,188","","B0CBM5QY1T","OlarHike 48QT Storage Bins with Lids - Folding Storage box with Doors and Wheels, Collapsible Plastic Storage Bins for Closets, Stackable Storage Organizer, Storage Containers for Closet, 3 Pack Cubes","OlarHike","$99.99","1,290","43","$128,987","","","4.4","153","","21,369","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CBM5QY1T"
"Average Price: $69.92","","B0CL9NDKLQ","AHEONLAR 4 Tier Plastic Storage Bins with Drawers - Foldable Stackable Storage Bins with Lids - Closet Craft Organizers and Storage - 24QT Plastic Drawer Storage for Bedroom Study Toy Room Office","AHEONLAR","$33.99","3,667","121","$124,641","10/17/2023","$16.15","3.9","105","$17.84","6,156","7","FBA","1","Home & Kitchen","Oversize","11.2 x 8.7 x 15.6 in","7.61 lb","https://www.amazon.com/dp/B0CL9NDKLQ"
"Average No. of Ratings: 1,646","","B0C4LXBJ2B","OLLIC Plastic Bins Large Storage with Lids | Korean Organizer Bin Basket Set for Organizing Baskets in Closet and Home (Gray, Large 4PK)","OLLIC","$47.99","450","15","$21,596","09/18/2023","","4.5","38","","60,121","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C4LXBJ2B"
"Average Sales Rank: 54,064","","B0BQ3H7PT8","Clear Storage Bin with Lid 3 Pack 【Stackable & Sturdy】Plastic Bins for Storage, Multifunctional Folding Storage Bins for Bedroom, Living Room, Study, Toy Room, 24 QT Folding Box with Magnetic door","Kmiectse","$40.99","3,980","94","$163,140","12/28/2022","$17.54","4.7","869","$23.45","8,532","7","FBA","3","Home & Kitchen","Oversize","11.02 x 8.66 x 14.96 in","4.72 kg","https://www.amazon.com/dp/B0BQ3H7PT8"
"Average Rating Number: 4.4","","B0BC8VSWC7","Vtopmart 6 Pack Clear Stackable Storage Bins with Lids, Large Plastic Containers with Handle for Pantry Organizer and Storage,Perfect for Kitchen,Fridge,Cabinet, Closet,Bathroom Organization","Vtopmart","$29.99","10,576","339","$317,174","08/28/2022","$16.66","4.7","1,436","$13.33","365","7","FBA","2","Kitchen & Dining","Standard","13.11 x 7.95 x 15.51 in","7.65 lb","https://www.amazon.com/dp/B0BC8VSWC7"
"","","B0BWLXCVB9","SAILUN 5 Pack 19.5 Gal Stackable Storage Bins Folding Storage Bins with Lid, Closet Organizers and Storage, Folding Storage Box with Doors Collapsible Storage Cabinet Bins with 8 Wheels","SAILUN","$149.99","1,157","46","$173,538","02/22/2023","","4.4","344","","19,610","7","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0BWLXCVB9"
"","","B09N3NXDP2","Graciadeco Medium 15' 21 Quart Collapsible Stackable Storage Bins with Lids, 3 Packs Beige Foldable Fabric Closet Boxes Lidded Storage Bins Heavy-duty Linen Baskets Organizers and Storage for Office","Graciadeco","$35.99","3,634","105","$130,788","12/05/2021","$22.96","4.7","718","$13.03","7,406","7","FBA","1","Home & Kitchen","Standard","11.22 x 3.93 x 15.35 in","7.904 lb","https://www.amazon.com/dp/B09N3NXDP2"
