"Export time:  1/28/2024, 5:40:08 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09YNM2TGT","YOAVIP 4.8 x 9.6 Large Clear Storage Book for Planner Scrapbook Stickers Organizer Binder 50 Page","YOAVIP","$13.99","213","8","$2,980","04/22/2022","$8.12","4.6","126","$5.87","27,521","6","FBA","1","Office Products","Standard","5.98 x 10.98 x 0.94 in","0.62 lb","https://www.amazon.com/dp/B09YNM2TGT"
"Sticker storage Album","","B0BNV6Z4B3","Blank Sticker Book Collecting Album Reusable Stickers Storage Organizer Book Release Paper Sticker Keeper with 40 Sheets (Pink)","YUATCYA","$9.99","1,871","66","$18,691","03/11/2022","$5.57","4.7","745","$4.42","3,526","6","FBA","1","Office Products","Standard","5.87 x 0.51 x 8.35 in","5 oz","https://www.amazon.com/dp/B0BNV6Z4B3"
"Average Monthly Sales: 283","","B0CFL45WHH","Reusable Sticker Book Collecting Album Blank Sticker Storage Book for Adults with Clear Plastic Cover 40 Sheets Release Paper Sticker Collection Book for Sticker Keeper Holder A5 Size","YUATCYA","$9.99","721","21","$7,203","08/13/2023","$4.72","4.4","53","$5.27","6,943","6","FBA","1","Arts, Crafts & Sewing","Standard","3.94 x 8.3 x 5.9 in","6.7 oz","https://www.amazon.com/dp/B0CFL45WHH"
"Average Revenue: $3,099","","B0C93VVCLZ","1pcs A5 Sticker storage Album,sticker organization Collecting Book Binder sleeves for planner stickers organizers collector recipe cards (3 different sized pockets)","MANWU","$15.99","390","13","$6,236","06/22/2023","","4.9","19","","19,237","5","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C93VVCLZ"
"Average Price: $11.57","","B0CCF2C8ZG","Briartw 2 Pieces A6 mini Album Storage-Clear Sticker Photo Storage Album-Stamp Cutting Dies Storage Book Organizer Folder Mini Storage Booklet with 40 Pages Hold Postcards Stickers Photo Die Cuts","Briartw","$9.99","","","$0.00","07/19/2023","$5.57","","","$4.42","303,682","7","FBA","2","Arts, Crafts & Sewing","Standard","5 x 0.3 x 6.5 in","0.64 oz","https://www.amazon.com/dp/B0CCF2C8ZG"
"Average No. of Ratings: 121","","B0BYMYPWDZ","SUNEZLGO Reusable Sticker Book 100 Sheets, Sticker Collecting Book with Pockets, Sticker Collecting Album, Reusable Sticker Album, Blank Sticker Book with Tweezer and Spatula (A6)","SUNEZLGO","$11.99","1,549","50","$18,573","03/15/2023","$6.42","4.4","216","$5.57","5,397","7","FBA","1","Toys & Games","Standard","6.46 x 1.57 x 7.99 in","10.8 oz","https://www.amazon.com/dp/B0BYMYPWDZ"
"Average Sales Rank: 102,108","","B08P2VZY16","2 Pieces Sticker Collecting Albums with a Plastic Spatula Reusable Sticker Collecting Books Simple and Fresh Notepads Sticker Collection Accessories for Collecting Stickers, Labels (8.3 x 5.8 Inches)","Zonon","$7.99","56","2","$447.44","11/23/2020","$3.57","4.5","224","$4.42","90,475","7","FBA","1","Office Products","Standard","6.14 x 0.55 x 8.31 in","8.1 oz","https://www.amazon.com/dp/B08P2VZY16"
"Average Rating Number: 4.5","","B09LT1NGVY","2Pcs Nail Art Sticker Storage Book, HOINCO 160 Slots Nail Sticker Organizer Nail Sticker Binder Collecting Manicure Book Easy Photo Album for Nail Art Sticker Displaying Nail Collecting Equipment","HOINCO","$8.99","90","3","$809.10","01/05/2022","$5.27","4.8","110","$3.72","106,588","6","FBA","1","Beauty & Personal Care","Standard","0.394 x 0.394 x 0.394 in","0.002 lb","https://www.amazon.com/dp/B09LT1NGVY"
"","","B0BKFQ7Z9Z","2 Pcs Sticker Book Collecting Album Reusable Sticker Organizer Storage Book for Stickers Collection A5 (64 Pages)","UFU","$9.99","301","9","$3,007","11/11/2022","","4.6","152","","32,502","7","FBA","1","Toys & Games","","","","https://www.amazon.com/dp/B0BKFQ7Z9Z"
"","","B0CCF4BK81","Clear Sticker Organizer Storage Binder for Kpop Deco Stickers A6 Sticker Book Collecting Album for Planner Scrapbook and Journal Stickers Displaying Double-sided 50 Pocket","FGISAR","$12.99","114","4","$1,481","07/19/2023","$7.27","4.8","9","$5.72","54,625","7","FBA","1","Office Products","Standard","5.2 x 1.06 x 8.07 in","7 oz","https://www.amazon.com/dp/B0CCF4BK81"
"","","B0C52QGF8W","Disc Bound Sticker Storage and Photo Album with Double Sided 4x6 Pockets","Generic","$16.86","30","1","$505.80","09/20/2023","","5","1","","108,713","5","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0C52QGF8W"
"","","B0BKPT1L1D","144 Slots Wisteria Flower Nail Art Sticker Storage Book Nail Art Decals Collecting Album Empty Display Book Collecting Holder Binder Book Plastic DIY Design Tools for Nail Art Sticker","jmeowio","$8.39","564","19","$4,732","10/26/2022","$4.80","4.4","609","$3.59","27,853","7","FBA","1","Beauty & Personal Care","Standard","1.97 x 0.12 x 3.94 in","4.97 oz","https://www.amazon.com/dp/B0BKPT1L1D"
"","","B0BF56Q3R2","4 Pieces Sticker Collecting Book Album Reusable Sticker Book with a Plastic Spatula and Tweezer A5 Size 8.3' x 5.8' Christmas Notepads Sticker Collection Labels Accessories (Pink)","Sabary","$16.99","138","4","$2,345","09/12/2022","$9.92","4.3","39","$7.07","70,938","7","FBA","1","Toys & Games","Standard","8.58 x 1.1 x 11.26 in","14.4 oz","https://www.amazon.com/dp/B0BF56Q3R2"
"","","B0BFX4VQBG","YOAVIP A5 Clear Storage Binder Book for Planner Scrapbook Stickers Organizer Collection 40 Page","","$16.99","90","3","$1,529","","","4.4","51","","59,959","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0BFX4VQBG"
