"Export time:  2/4/2024, 6:29:37 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B093HKQ7JT","Ruosuruosu Decorative Wicker Storage Bins with Lids,Woven Seagrass Storage Baskets for Kids Toys,Shelves, Bathroom, Bedroom,Set of 3 Stackable Storage Boxes Large, Medium, Small","Ruosuruosu","$39.99","209","7","$8,358","04/25/2021","$26.36","4.5","260","$13.63","130,846","6","FBA","1","Home & Kitchen","Standard","9.764 x 14.646 x 7.362 in","2.438 lb","https://www.amazon.com/dp/B093HKQ7JT"
"Storage Basket with Lid","","B0CGTT6BL9","Kigley 6 Pcs Seagrass Baskets with Lids Wicker Storage Basket Organizer Baskets Rectangular Basket Boxes Woven Baskets for Shelf Closet Bedroom Back to School, 6 Sizes(Yellow Brown, Classic Style)","Kigley","$56.99","173","3","$9,859","11/02/2023","","4.1","18","","282,215","7","FBA","30","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGTT6BL9"
"Average Monthly Sales: 988","","B0C4TDMPV3","Chi An Home Wicker Storage Baskets with Lids, Set of 3 Lidded Hyacinth Baskets for Organizing, Woven Rectangular Baskets for Storage, Decorative Basket with Lid, Multifunctional Storage Organizer","Chi An Home","$39.95","396","11","$15,820","05/15/2023","$23.03","4.4","24","$16.92","84,369","7","FBA","1","Home & Kitchen","Standard","11.02 x 7.3 x 14.17 in","2 kg","https://www.amazon.com/dp/B0C4TDMPV3"
"Average Revenue: $30,498","","B07WPTN35Q","LEAVINSKY Nylon Woven Storage Boxes, Set of 4, Black","LEAVINSKY","$33.99","171","7","$5,812","08/25/2019","$20.66","4.8","1,130","$13.33","134,755","6","FBA","2","Home & Kitchen","Standard","11 x 16.5 x 7.3 in","4.4 lb","https://www.amazon.com/dp/B07WPTN35Q"
"Average Price: $34.53","","B09KV5KHV8","Hipiwe Wicker Shelf Baskets Bin with Lid, Handwoven Seagrass Basket Storage Bins Rectangular Household Basket Boxes for Shelf Wardrobe Home Organizer, Coffee Medium","Hipiwe","$22.99","2,228","76","$51,222","11/01/2021","","4.6","816","","11,159","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B09KV5KHV8"
"Average No. of Ratings: 1,069","","B07W9BG3GL","SONGMICS Storage Basket with Lid, 17.2 Gallon (65L) Storage Bin, Woven Blanket Storage Basket with Handles, Foldable, Removable Liner, Metal Frame, for Bedroom, Laundry Room, Natural URST56NL","SONGMICS","$55.99","1,974","60","$110,524","09/19/2019","$35.61","4.6","2,343","$20.38","14,706","6","FBA","2","Home & Kitchen","Oversize","14.56 x 3.54 x 22.83 in","5.94 lb","https://www.amazon.com/dp/B07W9BG3GL"
"Average Sales Rank: 77,096","","B0C9J3D6V4","StorageWorks Wicker Storage Basket with Lid, 65L Square Wicker Baskets with lids and Removable Liner, Wicker Storage Trunk, Wicker Basket with Lid for Bedroom, Closet, Bathroom - Natural Tan","StorageWorks","$39.99","373","18","$14,916","09/11/2023","$1.49","4.3","118","$38.50","53,142","6","FBA","2","Home & Kitchen","Oversize","13.5 x 13.5 x 21.75 in","2.86 kg","https://www.amazon.com/dp/B0C9J3D6V4"
"Average Rating Number: 4.5","","B07J4DQ2TW","PRANDOM Large Collapsible Storage Bins with Lids [3-Pack] Linen Fabric Foldable Storage Boxes Organizer Containers Organization Baskets Cube Decorative for Bedroom Closet Clothes (17.7x11.8x11.8)","PRANDOM","$37.99","3,620","117","$137,524","10/07/2018","$25.26","4.7","7,570","$12.73","6,436","6","FBA","3","Home & Kitchen","Standard","12.402 x 17.953 x 3.347 in","4.453 lb","https://www.amazon.com/dp/B07J4DQ2TW"
"","","B09N2Q84KW","GhvyenntteS Large Storage Bins with Lids (3-Pack), Storage Baskets with Lid and Label Window, Foldable Fabric Storage Boxes with 3 Handles for Home Office College Dorms (Black, 15' x 11' x 9.7')","GhvyenntteS","$34.99","1,370","65","$47,936","12/04/2021","$22.71","4.7","1,695","$12.28","13,425","7","FBA","1","Home & Kitchen","Standard","11.496 x 15.472 x 3.228 in","5.084 lb","https://www.amazon.com/dp/B09N2Q84KW"
"","","B07PNJQ6RJ","Sorbus Set of 3 Storage Baskets for Organizing with Lid, Mesh Hand-Woven Design, Linen Closet Organizers and Storage, Organizer Storage Baskets for Shelves, Variety Pack Organizers and Storage","Sorbus","$32.99","294","12","$9,699","12/12/2018","$24.50","4.7","1,799","$8.49","74,022","7","FBA","3","Home & Kitchen","Standard","12 x 7.5 x 17.5 in","0.01 oz","https://www.amazon.com/dp/B07PNJQ6RJ"
"","","B0B7P6GYR6","Rubbermaid Roughneck Clear 66 Qt/16.5 Gal Storage Containers, Pack of 4 with Latching Grey Lids, Visible Base, Sturdy and Stackable, Great for Storage and Organization","Rubbermaid","$104.99","2,221","48","$233,183","07/25/2022","$43.07","4.2","1,010","$61.92","18,823","7","AMZ","8","Home & Kitchen","Oversize","24.2 x 27.2 x 16.25 in","18.999 lb","https://www.amazon.com/dp/B0B7P6GYR6"
"","","B0BDRN81KL","LOVSTORAGE 20.5'x14.5' Large Rope Blanket Basket with Lid, Woven Storage Basket Baby Laundry Basket Hamper Decorative Nursery Toy Basket Bin with Handles for Living Room Bedroom","LOVSTORAGE","$29.99","1,048","35","$31,430","09/08/2022","","4.1","524","","26,572","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BDRN81KL"
"","","B0C13YZ4P3","Large Toy Storage Box with Lid, Sturdy Toys Storage Chest Bin Organizer Basket with Dividers for Kids, Boys, Girls, Nursery, Closet, Bedroom, Playroom 25'x13' x16' (Beige and White)","Gowee","$21.99","4,681","157","$102,935","03/30/2023","","4.6","220","","845","7","FBA","1","Baby","","","","https://www.amazon.com/dp/B0C13YZ4P3"
"","","B0BZXT5XVY","StorageWorks Seagrass Wicker Baskets for Organizing, Medium Wicker Basket with Lid, Decorative Basket with Built-in Handles, Towel Storage for Shelf, 1 Pack","StorageWorks","$29.99","657","24","$19,703","06/08/2023","$18.46","4.5","195","$11.53","39,552","6","FBA","1","Home & Kitchen","Standard","9 x 6.25 x 13 in","1.61 lb","https://www.amazon.com/dp/B0BZXT5XVY"
"","","B08RMXLVWC","Honygebia Grey Wicker Storage Baskets - Set of 3 Decorative Nesting Boxes with Lids, Woven Basket with Lock & Handle, Organizer for Beauty Makeup Bathroom Decor","Honygebia","$37.99","143","2","$5,433","12/28/2020","$24.36","4.5","517","$13.63","380,655","7","FBA","1","Home & Kitchen","Standard","7.28 x 11.02 x 14.17 in","4 lb","https://www.amazon.com/dp/B08RMXLVWC"
"","","B09MZGQ8XJ","Homepeaz Set of 3 Woven Wicker Basket Box with Lid & Lock, Built-in Carry Handles, Multifunctional Storage Organiser for Nursery, Baby, Clothes, Toys, Books, Large/Medium/Small Size (Natural)","Homepeaz","$37.99","633","24","$24,048","01/30/2022","$23.76","4.5","1,448","$14.23","4,999","7","FBA","2","Baby","Standard","12 x 8 x 15 in","4.36 lb","https://www.amazon.com/dp/B09MZGQ8XJ"
"","","B07YQ221CX","mDesign Natural Woven Seagrass Closet Storage Organizer Basket Bin with Removeable Lids to use in Closet, Bedroom, Bathroom, Entryway, Office - Set of 3 - Natural Finish","mDesign","$48.99","117","5","$5,732","10/03/2019","$29.28","4.6","455","$19.71","182,530","7","FBA","1","Home & Kitchen","Oversize","9.1 x 8.75 x 16.5 in","5.06 lb","https://www.amazon.com/dp/B07YQ221CX"
"","","B08L7NS6PF","HUATK 2 Pack Decorative Storage Boxes with Lids Storage Woven Baskets for Shelves, Closet Organization Bins for Office, Bedroom, Closet, Toys (Khaki)","HUATK","$25.97","150","6","$3,896","10/14/2020","$15.64","4.5","293","$10.33","144,308","6","FBA","1","Home & Kitchen","Standard","11 x 2.4 x 15.8 in","3.68 lb","https://www.amazon.com/dp/B08L7NS6PF"
"","","B09DD7YM2L","16' x 16' x 18' Extra Large Storage Basket with Lid, Cotton Rope Storage Baskets, Laundry Hamper, Toy Bin, for Toys Towels Blankets Storage in Living Room Baby Nursery, Jute/Black Mix Basket","Cottonphant","$42.99","332","14","$14,273","10/31/2020","$29.51","4.4","829","$13.48","7,733","7","FBA","1","Baby","Standard","12.598 x 3.937 x 16.535 in","4.409 lb","https://www.amazon.com/dp/B09DD7YM2L"
"","","B0C925Y8L2","RoyalHouse Woven Stackable Storage Baskets with Lid, Decorative Rope Organizer Bin - Set of 2 (2 Sizes), Beige (No Liner)","RoyalHouse","$23.99","398","11","$9,548","06/21/2023","$13.96","4.4","45","$10.03","83,279","6","FBA","3","Home & Kitchen","Standard","5.5 x 6.5 x 12.5 in","2.35 lb","https://www.amazon.com/dp/B0C925Y8L2"
"","","B0CJ6TC2DC","HONCEST Modern Large Brown/White Cotton Storage Box","HONCESTA","$29.99","240","9","$7,198","09/15/2023","","4.2","39","","96,517","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJ6TC2DC"
